z,tech,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Togo,OnshoreWind,wet,4,0.368,0.337,0.293,0.251,0.244,0.26,0.248,0.211,0.271,0.262,0.216,0.178,0.182,0.19,0.187,0.187,0.198,0.238,0.333,0.386,0.394,0.402,0.412,0.413
Benin,PV,dry,1,0,0,0,0,0,0,0.038,0.152,0.277,0.391,0.465,0.499,0.497,0.459,0.391,0.28,0.143,0.019,0,0,0,0,0,0
Benin,PV,dry,2,0,0,0,0,0,0,0.03,0.176,0.332,0.463,0.529,0.562,0.544,0.5,0.409,0.254,0.102,0,0,0,0,0,0,0
Benin,PV,dry,3,0,0,0,0,0,0,0.048,0.227,0.398,0.514,0.602,0.636,0.626,0.567,0.46,0.3,0.121,0.005,0,0,0,0,0,0
Benin,PV,dry,4,0,0,0,0,0,0,0.012,0.093,0.188,0.245,0.267,0.266,0.24,0.201,0.149,0.094,0.038,0,0,0,0,0,0,0
Benin,PV,wet,1,0,0,0,0,0,0,0.027,0.117,0.222,0.323,0.403,0.452,0.466,0.431,0.343,0.224,0.103,0.011,0,0,0,0,0,0
Benin,PV,wet,2,0,0,0,0,0,0,0.053,0.167,0.301,0.397,0.465,0.508,0.488,0.443,0.354,0.207,0.083,0.006,0,0,0,0,0,0
Benin,PV,wet,3,0,0,0,0,0,0,0.047,0.239,0.441,0.554,0.643,0.679,0.642,0.584,0.474,0.31,0.122,0.002,0,0,0,0,0,0
Benin,PV,wet,4,0,0,0,0,0,0,0.037,0.125,0.223,0.326,0.434,0.5,0.519,0.481,0.394,0.275,0.135,0.022,0,0,0,0,0,0
Burkina,PV,dry,1,0,0,0,0,0,0,0.014,0.139,0.307,0.453,0.552,0.604,0.612,0.578,0.5,0.381,0.227,0.071,0,0,0,0,0,0
Burkina,PV,dry,2,0,0,0,0,0,0,0.002,0.171,0.389,0.544,0.615,0.654,0.645,0.616,0.526,0.403,0.243,0.066,0,0,0,0,0,0
