g,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Storage_CAND_2027_Gambia,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Ghana,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_GuineaBissau,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_IvoryCoast,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Liberia,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Mali,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Niger,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_SierraLeone,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Togo,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Mauritania_grid,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
PV_CAND_Nigeria,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
JBSWindpowerplant_IPP,1,0.993,0.985,0.978,0.971,0.963,0.956,0.949,0.946,0.943,0.94,0.937,0.934,0.932,0.929,0.926,0.923,0.92,0.918,0.915,0.912,0.909,0.906,0.904,0.901,0.898,0.895,0.892
OFSHORE_WIND_NGA,1,0.953,0.906,0.859,0.812,0.765,718,0.671,0.66,0.649,0.638,0.628,0.617,0.606,0.595,584,0.573,0.563,552,0.541,0.53,519,0.508,0.497,0.487,0.476,0.465,0.454
WIND_CAND_NGA,1,0.993,0.985,0.978,0.971,0.963,0.956,0.949,0.946,0.943,0.94,0.937,0.934,0.932,0.929,0.926,0.923,0.92,0.918,0.915,0.912,0.909,0.906,0.904,0.901,0.898,0.895,0.892
Storage_CAND_2027_Nigeria,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Centrale Solaire de Boundiali Phase 1,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Extension de la Centrale de Boundiali - CI-ENERGIES,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Bondoukou - AMEA POWER,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Katiola \x96 JC-MONFORT,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Ferkess\xe9dougou \x96 PFO ENERGIE,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Kong \x96 AFRICA VIA,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Tongon - EKDS,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Touba \x96 SCALING SOLAR,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Laboa - SCALING SOLAR,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de S\xe9r\xe9bou - CI-ENERGIES,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Soubr\xe9 - CI-ENERGIES,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Odienn\xe9 \x96 PFO ENERGIE,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Tengr\xe9la - EKDS,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Ferk\xe9 II \x96 SHIBA ENERGY,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Centrale Solaire de Mankono \x96TECMON ENERGY,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_IvoryCoast,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Kaya,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Koudougou,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Kita,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Segou,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Bokhol_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Kaolack2_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Malicounda_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
M\xe9kh\xe9_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Sakal_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
M\xe9rinaDakhar,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Touba_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
KahonePV_IPP,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
CICAD_Diamnadio,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Senegal,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Wind1_IPP,1,0.993,0.985,0.978,0.971,0.963,0.956,0.949,0.946,0.943,0.94,0.937,0.934,0.932,0.929,0.926,0.923,0.92,0.918,0.915,0.912,0.909,0.906,0.904,0.901,0.898,0.895,0.892
Wind2_IPP,1,0.993,0.985,0.978,0.971,0.963,0.956,0.949,0.946,0.943,0.94,0.937,0.934,0.932,0.929,0.926,0.923,0.92,0.918,0.915,0.912,0.909,0.906,0.904,0.901,0.898,0.895,0.892
