z,tech,fuel,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinGenShareAllHours,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn
Burkina,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Burkina,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Burkina,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Burkina,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Burkina,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Burkina,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Burkina,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Burkina,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Burkina,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Gambia,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Gambia,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Gambia,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Gambia,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Gambia,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Gambia,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Gambia,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Gambia,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Gambia,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Gambia,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Gambia,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Gambia,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Gambia,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Gambia,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Gambia,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Gambia,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Gambia,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Gambia,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Gambia,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Gambia,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Ghana,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Ghana,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Ghana,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Ghana,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Ghana,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Ghana,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Ghana,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Ghana,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Ghana,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Ghana,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Ghana,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Ghana,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Ghana,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Ghana,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Ghana,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Ghana,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Ghana,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Ghana,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Ghana,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Ghana,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Guinea,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Guinea,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Guinea,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Guinea,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Guinea,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Guinea,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Guinea,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Guinea,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Guinea,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Guinea,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Guinea,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Guinea,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Guinea,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Guinea,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Guinea,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Guinea,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Guinea,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Guinea,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Guinea,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Guinea,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
GuineaBissau,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
GuineaBissau,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
GuineaBissau,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
GuineaBissau,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
GuineaBissau,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
GuineaBissau,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
GuineaBissau,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
GuineaBissau,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
GuineaBissau,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
GuineaBissau,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
GuineaBissau,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
GuineaBissau,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
GuineaBissau,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
GuineaBissau,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
GuineaBissau,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
GuineaBissau,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
GuineaBissau,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
GuineaBissau,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
GuineaBissau,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
GuineaBissau,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
IvoryCoast,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
IvoryCoast,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
IvoryCoast,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
IvoryCoast,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
IvoryCoast,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
IvoryCoast,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
IvoryCoast,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
IvoryCoast,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
IvoryCoast,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
IvoryCoast,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
IvoryCoast,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
IvoryCoast,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
IvoryCoast,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
IvoryCoast,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
IvoryCoast,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
IvoryCoast,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
IvoryCoast,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
IvoryCoast,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
IvoryCoast,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
IvoryCoast,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Liberia,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Liberia,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Liberia,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Liberia,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Liberia,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Liberia,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Liberia,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Liberia,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Liberia,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Liberia,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Liberia,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Liberia,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Liberia,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Liberia,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Liberia,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Liberia,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Liberia,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Liberia,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Liberia,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Liberia,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Mali,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Mali,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Mali,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Mali,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Mali,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Mali,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Mali,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Mali,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Mali,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Mali,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Mali,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Mali,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Mali,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Mali,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Mali,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Mali,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Mali,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Mali,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Mali,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Mali,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Niger,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Niger,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Niger,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Niger,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Niger,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Niger,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Niger,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Niger,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Niger,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Niger,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Niger,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Niger,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Niger,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Niger,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Niger,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Niger,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Niger,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Niger,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Niger,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Niger,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Nigeria,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Nigeria,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Nigeria,CCGT,LNG,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
Nigeria,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Nigeria,ICE,HFO,25,,0,0,9,1.2,36000,7.5,0,,1,1,0,0.2,0,0,0,0,0,0,0
Nigeria,OCGT,Diesel,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Nigeria,OCGT,Gas,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Nigeria,OCGT,LNG,30,,0,0,9,0.8,20000,4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Nigeria,OCGT,HFO,30,,0,0,9.9,0.8,20000,4.4,0,,1,1,0,0.2,0.3,0,0,3,4,1000,0
Nigeria,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,,,,,,0,0,0,0,0,0,0
Nigeria,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,,,,,,0,0,0,0,0,0,0
Nigeria,PV,Solar,25,,0,0,,0.8,15000,0,0,,,,,,0,0,0,0,0,0,0
Nigeria,ReservoirHydro,Water,50,,0,0,,3.3,50000,0.5,0,,1,1,0,0.45,0,0,0,0,0,0,0
Nigeria,ROR,Water,50,,0,0,,2.8,40000,0.5,0,,1,1,0,0.4,0,0,0,0,0,0,0
Nigeria,ST ,Coal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Nigeria,ST ,DomesticCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Nigeria,ST ,ImportedCoal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Nigeria,ST ,Lignite,30,,0,0,10.3,2,60000,3,0,,0.5,0.5,0,0,0.55,0,0,0,0,0,0
Nigeria,ST ,Geothermal,30,,0,0,8.5,2,60000,3,0,,0.5,0.5,0,0,0.3,0,0,0,0,0,0
Nigeria,Storage,Battery,20,,0,0,,0.3,40000,0,0,,1,1,0,,0,0,0,0,0,0,0
Senegal,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,0,,1,1,0,0.05,0,0,0,0,0,0,0
Senegal,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,0,,1,1,0,0.05,0.6,0,0,4,6,2000,0
