scenario,attribute,year,value
LC_TransCaspian,External interconnection capex: $m,2031,0.0
LC_TransCaspian,External interconnection capex: $m,2032,0.0
LC_TransCaspian,External interconnection capex: $m,2033,0.0
LC_TransCaspian,External interconnection capex: $m,2034,0.0
LC_TransCaspian,External interconnection capex: $m,2035,145.2978
LC_TransCaspian,External interconnection capex: $m,2036,145.2978
LC_TransCaspian,External interconnection capex: $m,2037,145.2978
LC_TransCaspian,External interconnection capex: $m,2038,145.2978
LC_TransCaspian,External interconnection capex: $m,2039,145.2978
LC_TransCaspian,External interconnection capex: $m,2040,145.2978
LC_BSTN,External interconnection capex: $m,2025,0.0
LC_BSTN,External interconnection capex: $m,2026,0.0
LC_BSTN,External interconnection capex: $m,2027,0.0
LC_BSTN,External interconnection capex: $m,2028,0.0
LC_BSTN,External interconnection capex: $m,2029,0.0
LC_BSTN,External interconnection capex: $m,2030,0.0
LC_BSTN,External interconnection capex: $m,2031,0.0
LC_BSTN,External interconnection capex: $m,2032,0.0
LC_BSTN,External interconnection capex: $m,2033,0.0
LC_BSTN,External interconnection capex: $m,2034,0.0
LC_BSTN,External interconnection capex: $m,2035,0.0
LC_BSTN,External interconnection capex: $m,2036,0.0
LC_BSTN,External interconnection capex: $m,2037,0.0
LC_BSTN,External interconnection capex: $m,2038,0.0
LC_BSTN,External interconnection capex: $m,2039,0.0
LC_BSTN,External interconnection capex: $m,2040,0.0
LC_Zangezur,External interconnection capex: $m,2025,0.0
LC_Zangezur,External interconnection capex: $m,2026,0.0
LC_Zangezur,External interconnection capex: $m,2027,0.0
LC_Zangezur,External interconnection capex: $m,2028,0.0
LC_Zangezur,External interconnection capex: $m,2029,0.0
LC_Zangezur,External interconnection capex: $m,2030,0.0
LC_Zangezur,External interconnection capex: $m,2031,0.0
LC_Zangezur,External interconnection capex: $m,2032,0.0
LC_Zangezur,External interconnection capex: $m,2033,0.0
LC_Zangezur,External interconnection capex: $m,2034,0.0
LC_Zangezur,External interconnection capex: $m,2035,0.0
LC_Zangezur,External interconnection capex: $m,2036,0.0
LC_Zangezur,External interconnection capex: $m,2037,0.0
LC_Zangezur,External interconnection capex: $m,2038,0.0
LC_Zangezur,External interconnection capex: $m,2039,0.0
LC_Zangezur,External interconnection capex: $m,2040,0.0
LC_CTN,External interconnection capex: $m,2025,0.0
LC_CTN,External interconnection capex: $m,2026,0.0
LC_CTN,External interconnection capex: $m,2027,0.0
LC_CTN,External interconnection capex: $m,2028,0.0
LC_CTN,External interconnection capex: $m,2029,0.0
LC_CTN,External interconnection capex: $m,2030,0.0
LC_CTN,External interconnection capex: $m,2031,0.0
LC_CTN,External interconnection capex: $m,2032,0.0
LC_CTN,External interconnection capex: $m,2033,0.0
LC_CTN,External interconnection capex: $m,2034,0.0
LC_CTN,External interconnection capex: $m,2035,0.0
LC_CTN,External interconnection capex: $m,2036,0.0
LC_CTN,External interconnection capex: $m,2037,0.0
LC_CTN,External interconnection capex: $m,2038,0.0
LC_CTN,External interconnection capex: $m,2039,0.0
LC_CTN,External interconnection capex: $m,2040,0.0
LC_AllProjects,External interconnection capex: $m,2025,0.0
LC_AllProjects,External interconnection capex: $m,2026,0.0
LC_AllProjects,External interconnection capex: $m,2027,0.0
LC_AllProjects,External interconnection capex: $m,2028,0.0
LC_AllProjects,External interconnection capex: $m,2029,0.0
LC_AllProjects,External interconnection capex: $m,2030,0.0
LC_AllProjects,External interconnection capex: $m,2031,254.2712
LC_AllProjects,External interconnection capex: $m,2032,254.2712
LC_AllProjects,External interconnection capex: $m,2033,272.4334
LC_AllProjects,External interconnection capex: $m,2034,290.5956
LC_AllProjects,External interconnection capex: $m,2035,435.8935
LC_AllProjects,External interconnection capex: $m,2036,1198.707
LC_AllProjects,External interconnection capex: $m,2037,1198.707
LC_AllProjects,External interconnection capex: $m,2038,1198.707
LC_AllProjects,External interconnection capex: $m,2039,1198.707
LC_AllProjects,External interconnection capex: $m,2040,1198.707
LC_FreeExp,External interconnection capex: $m,2025,0.0
LC_FreeExp,External interconnection capex: $m,2026,0.0
LC_FreeExp,External interconnection capex: $m,2027,0.0
LC_FreeExp,External interconnection capex: $m,2028,0.0
LC_FreeExp,External interconnection capex: $m,2029,0.0
LC_FreeExp,External interconnection capex: $m,2030,0.0
LC_FreeExp,External interconnection capex: $m,2031,0.0
LC_FreeExp,External interconnection capex: $m,2032,0.0
LC_FreeExp,External interconnection capex: $m,2033,0.0
LC_FreeExp,External interconnection capex: $m,2034,0.0
LC_FreeExp,External interconnection capex: $m,2035,0.0
LC_FreeExp,External interconnection capex: $m,2036,0.0
LC_FreeExp,External interconnection capex: $m,2037,0.0
LC_FreeExp,External interconnection capex: $m,2038,0.0
LC_FreeExp,External interconnection capex: $m,2039,0.0
LC_FreeExp,External interconnection capex: $m,2040,0.0
