c,z,y,uni,value
Armenia,Armenia,2031,Demand: GWh,7154.999999999986
Armenia,Armenia,2031,Exports exchange: GWh,8522.908986684713
Armenia,Armenia,2031,Imports exchange: GWh,1.4969834199193277
Armenia,Armenia,2031,Net interchange Ratio: GWh,-1.1909730263123424
Armenia,Armenia,2031,Net interchange: GWh,-8521.412003264793
Armenia,Armenia,2031,Total Demand: GWh,7154.999999999986
Armenia,Armenia,2031,Total production: GWh,15676.441581999983
Armenia,Armenia,2032,Demand: GWh,7234.999999999995
Armenia,Armenia,2032,Exports exchange: GWh,8414.40643011722
Armenia,Armenia,2032,Imports exchange: GWh,1.818733523615688
Armenia,Armenia,2032,Net interchange Ratio: GWh,-1.162762639473892
Armenia,Armenia,2032,Net interchange: GWh,-8412.587696593604
Armenia,Armenia,2032,Total Demand: GWh,7234.999999999995
Armenia,Armenia,2032,Total production: GWh,15647.62363275468
Armenia,Armenia,2033,Demand: GWh,7314.999999999995
Armenia,Armenia,2033,Exports exchange: GWh,8356.924003764156
Armenia,Armenia,2033,Imports exchange: GWh,4.536170120531216
Armenia,Armenia,2033,Net interchange Ratio: GWh,-1.1418165186115694
Armenia,Armenia,2033,Net interchange: GWh,-8352.387833643625
Armenia,Armenia,2033,Total Demand: GWh,7314.999999999995
Armenia,Armenia,2033,Total production: GWh,15667.477463343645
Armenia,Armenia,2034,Demand: GWh,7393.999999999999
Armenia,Armenia,2034,Exports exchange: GWh,8360.667864439123
Armenia,Armenia,2034,Imports exchange: GWh,2.6392922352454
Armenia,Armenia,2034,Net interchange Ratio: GWh,-1.130379844766551
Armenia,Armenia,2034,Net interchange: GWh,-8358.028572203877
Armenia,Armenia,2034,Total Demand: GWh,7393.999999999999
Armenia,Armenia,2034,Total production: GWh,15752.080721696737
Armenia,Armenia,2035,Demand: GWh,7473.999999999996
Armenia,Armenia,2035,Exports exchange: GWh,8329.575485729276
Armenia,Armenia,2035,Imports exchange: GWh,3.2576024687908056
Armenia,Armenia,2035,Net interchange Ratio: GWh,-1.1140377151806915
Armenia,Armenia,2035,Net interchange: GWh,-8326.317883260484
Armenia,Armenia,2035,Total Demand: GWh,7473.999999999996
Armenia,Armenia,2035,Total production: GWh,15800.38224987909
Armenia,Armenia,2036,Demand: GWh,7559.999999999999
Armenia,Armenia,2036,Exports exchange: GWh,8329.320879457733
Armenia,Armenia,2036,Imports exchange: GWh,2.688136963934651
Armenia,Armenia,2036,Net interchange Ratio: GWh,-1.1014064474198149
Armenia,Armenia,2036,Net interchange: GWh,-8326.632742493799
Armenia,Armenia,2036,Total Demand: GWh,7559.999999999999
Armenia,Armenia,2036,Total production: GWh,15886.68585710442
Armenia,Armenia,2037,Demand: GWh,7644.999999999998
Armenia,Armenia,2037,Exports exchange: GWh,7911.025568780965
Armenia,Armenia,2037,Imports exchange: GWh,33.69999071843419
Armenia,Armenia,2037,Net interchange Ratio: GWh,-1.03038921884402
Armenia,Armenia,2037,Net interchange: GWh,-7877.32557806253
Armenia,Armenia,2037,Total Demand: GWh,7644.999999999998
Armenia,Armenia,2037,Total production: GWh,15522.991452573233
Armenia,Armenia,2038,Demand: GWh,7730.999999999999
Armenia,Armenia,2038,Exports exchange: GWh,7353.844150892824
Armenia,Armenia,2038,Imports exchange: GWh,39.71693006682492
Armenia,Armenia,2038,Net interchange Ratio: GWh,-0.9460777675366704
Armenia,Armenia,2038,Net interchange: GWh,-7314.127220825999
Armenia,Armenia,2038,Total Demand: GWh,7730.999999999999
Armenia,Armenia,2038,Total production: GWh,15045.91198339747
Armenia,Armenia,2039,Demand: GWh,7815.999999999994
Armenia,Armenia,2039,Exports exchange: GWh,7321.576067320153
Armenia,Armenia,2039,Imports exchange: GWh,84.59470327755422
Armenia,Armenia,2039,Net interchange Ratio: GWh,-0.9259188029737212
Armenia,Armenia,2039,Net interchange: GWh,-7236.981364042599
Armenia,Armenia,2039,Total Demand: GWh,7815.999999999994
Armenia,Armenia,2039,Total production: GWh,15054.652861733011
Armenia,Armenia,2040,Demand: GWh,7902.000000000007
Armenia,Armenia,2040,Exports exchange: GWh,5721.401763592136
Armenia,Armenia,2040,Imports exchange: GWh,264.5045949919887
Armenia,Armenia,2040,Net interchange Ratio: GWh,-0.6905716487724807
Armenia,Armenia,2040,Net interchange: GWh,-5456.897168600147
Armenia,Armenia,2040,Total Demand: GWh,7902.000000000007
Armenia,Armenia,2040,Total production: GWh,13364.123486590594
Azerbaijan,Azerbaijan,2025,Demand: GWh,27170.0
