z,g,uni,y,value
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2027,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2028,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2029,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2030,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2031,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2032,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2033,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2034,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2035,34.35
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2025,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2026,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2027,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2028,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2029,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2030,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2031,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2032,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2033,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2034,96.37599999999999
South_Africa,ExistingWind_REN_ZAF,Fixed O&M: $m,2035,96.37599999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2025,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2026,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2027,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2028,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2029,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2030,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2031,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2032,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2033,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2034,14.399999999999999
South_Africa,Gariep_HY_ZAF,Fixed O&M: $m,2035,14.399999999999999
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2025,0.6417576000000002
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2026,0.6417576000000002
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2027,0.6417576000000004
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2028,0.6417576
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2029,0.6417576
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2030,0.6417576000000002
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2031,0.6417576000000002
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2032,0.6417575999999998
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2033,0.6417575999999999
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2034,0.6417575999999999
South_Africa,Gariep_HY_ZAF,Variable Cost: $m,2035,0.6417575999999998
South_Africa,Gourikwa_TH_ZAF,Variable Cost: $m,2025,69.00829393233182
South_Africa,Gourikwa_TH_ZAF,Variable Cost: $m,2033,0.18466345906392062
South_Africa,Gourikwa_TH_ZAF,Variable Cost: $m,2034,2.8679730506362917
South_Africa,Gourikwa_TH_ZAF,Variable Cost: $m,2035,2.6588061855524736
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2025,25.65
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2026,25.65
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2027,25.65
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2028,25.65
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2029,25.65
South_Africa,Grootvlei_TH_ZAF,Fixed O&M: $m,2030,25.65
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2025,216.53983591438717
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2026,155.69932392935502
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2027,149.71274992892958
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2028,96.05283834500291
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2029,91.94630807928364
South_Africa,Grootvlei_TH_ZAF,Variable Cost: $m,2030,88.48525511056184
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2025,45.495
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2026,45.495
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2027,45.495
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2028,45.495
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2029,45.495
South_Africa,Hendrina_TH_ZAF,Fixed O&M: $m,2030,45.495
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2025,237.87243752225353
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2026,228.6560650057811
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2027,120.43148231036785
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2028,0.05895002745391095
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2029,0.0639496459259346
South_Africa,Hendrina_TH_ZAF,Variable Cost: $m,2030,0.1119802779247382
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2025,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2026,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2027,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2028,61.565999999999995
