z,g,y,value
South_Africa,KelvinB_TH_ZAF,2025,0.2619412405261593
South_Africa,KelvinB_TH_ZAF,2026,0.13712328767123289
South_Africa,Kendal_TH_ZAF,2025,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2026,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2027,0.55
South_Africa,Kendal_TH_ZAF,2028,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2029,0.55
South_Africa,Kendal_TH_ZAF,2030,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2031,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2032,0.5499999999999999
South_Africa,Kendal_TH_ZAF,2033,0.5112007622373191
South_Africa,Kendal_TH_ZAF,2034,0.4875881997182785
South_Africa,Kendal_TH_ZAF,2035,0.48759369571891903
South_Africa,Koeberg_NU_ZAF,2025,0.9
South_Africa,Koeberg_NU_ZAF,2026,0.9
South_Africa,Koeberg_NU_ZAF,2027,0.9000000000000004
South_Africa,Koeberg_NU_ZAF,2028,0.9000000000000002
South_Africa,Koeberg_NU_ZAF,2029,0.9
South_Africa,Koeberg_NU_ZAF,2030,0.8999999999999997
South_Africa,Koeberg_NU_ZAF,2031,0.8999999999999999
South_Africa,Koeberg_NU_ZAF,2032,0.8999999999999999
South_Africa,Koeberg_NU_ZAF,2033,0.9000000000000001
South_Africa,Koeberg_NU_ZAF,2034,0.9000000000000004
South_Africa,Koeberg_NU_ZAF,2035,0.9000000000000002
South_Africa,Kriel_TH_ZAF,2025,0.377937061209629
South_Africa,Kriel_TH_ZAF,2026,0.20326225189886232
South_Africa,Kriel_TH_ZAF,2027,0.0753144989373214
South_Africa,Kriel_TH_ZAF,2029,2.5935554950088167e-05
South_Africa,Kriel_TH_ZAF,2030,8.58867999758071e-05
South_Africa,Kriel_TH_ZAF,2031,0.001880877584267766
South_Africa,Kriel_TH_ZAF,2032,0.0051852790672567844
South_Africa,Kusile_I_TH_ZAF,2025,0.71
South_Africa,Kusile_I_TH_ZAF,2026,0.7100000000000001
South_Africa,Kusile_I_TH_ZAF,2027,0.7099999999999999
South_Africa,Kusile_I_TH_ZAF,2028,0.71
South_Africa,Kusile_I_TH_ZAF,2029,0.6358778575388635
South_Africa,Kusile_I_TH_ZAF,2030,0.5738113471337855
South_Africa,Kusile_I_TH_ZAF,2031,0.5549347376572058
South_Africa,Kusile_I_TH_ZAF,2032,0.5591155924501554
South_Africa,Kusile_I_TH_ZAF,2033,0.5557695000722306
South_Africa,Kusile_I_TH_ZAF,2034,0.511510206749219
South_Africa,Kusile_I_TH_ZAF,2035,0.5324904449618416
South_Africa,Kusile_II_TH_ZAF,2025,0.7100000000000001
South_Africa,Kusile_II_TH_ZAF,2026,0.71
South_Africa,Kusile_II_TH_ZAF,2027,0.71
South_Africa,Kusile_II_TH_ZAF,2028,0.71
South_Africa,Kusile_II_TH_ZAF,2029,0.6656027979367877
South_Africa,Kusile_II_TH_ZAF,2030,0.568604525381351
South_Africa,Kusile_II_TH_ZAF,2031,0.5524449919253775
South_Africa,Kusile_II_TH_ZAF,2032,0.5571041564575859
South_Africa,Kusile_II_TH_ZAF,2033,0.5541221545513172
South_Africa,Kusile_II_TH_ZAF,2034,0.5085393057208986
South_Africa,Kusile_II_TH_ZAF,2035,0.5056749589087617
South_Africa,Lethabo_TH_ZAF,2025,0.65
South_Africa,Lethabo_TH_ZAF,2026,0.6499999999999998
South_Africa,Lethabo_TH_ZAF,2027,0.6499999999999999
South_Africa,Lethabo_TH_ZAF,2028,0.65
South_Africa,Lethabo_TH_ZAF,2029,0.6499999999999999
South_Africa,Lethabo_TH_ZAF,2030,0.6499999999999998
South_Africa,Lethabo_TH_ZAF,2031,0.6499999999999999
South_Africa,Lethabo_TH_ZAF,2032,0.6499999999999999
South_Africa,Lethabo_TH_ZAF,2033,0.6335100250866308
South_Africa,Lethabo_TH_ZAF,2034,0.6084597594157852
South_Africa,Lethabo_TH_ZAF,2035,0.6161046762575887
South_Africa,MajubaI_TH_ZAF,2025,0.6000000000000001
South_Africa,MajubaI_TH_ZAF,2026,0.6
South_Africa,MajubaI_TH_ZAF,2027,0.5348827000617025
South_Africa,MajubaI_TH_ZAF,2028,0.4500451806020797
South_Africa,MajubaI_TH_ZAF,2029,0.3989112472715469
South_Africa,MajubaI_TH_ZAF,2030,0.41000405601712764
South_Africa,MajubaI_TH_ZAF,2031,0.3505596404352209
South_Africa,MajubaI_TH_ZAF,2032,0.31173709945879746
South_Africa,MajubaI_TH_ZAF,2033,0.3184956054929369
