z,y,tech,f,value
Angola,2027,ROR,Solar,0.0
Angola,2027,ROR,Uranium,0.0
Angola,2027,ROR,Water,0.0
Angola,2027,ROR,Wind,0.0
Angola,2027,ReservoirHydro,Battery,0.0
Angola,2027,ReservoirHydro,Biomass,0.0
Angola,2027,ReservoirHydro,CSP,0.0
Angola,2027,ReservoirHydro,Coal,0.0
Angola,2027,ReservoirHydro,Diesel,0.0
Angola,2027,ReservoirHydro,Gas,0.0
Angola,2027,ReservoirHydro,Geothermal,0.0
Angola,2027,ReservoirHydro,HFO,0.0
Angola,2027,ReservoirHydro,LNG,0.0
Angola,2027,ReservoirHydro,Solar,0.0
Angola,2027,ReservoirHydro,Uranium,0.0
Angola,2027,ReservoirHydro,Water,3743.0
Angola,2027,ReservoirHydro,Wind,0.0
Angola,2027,STOPV,Battery,0.0
Angola,2027,STOPV,Biomass,0.0
Angola,2027,STOPV,CSP,0.0
Angola,2027,STOPV,Coal,0.0
Angola,2027,STOPV,Diesel,0.0
Angola,2027,STOPV,Gas,0.0
Angola,2027,STOPV,Geothermal,0.0
Angola,2027,STOPV,HFO,0.0
Angola,2027,STOPV,LNG,0.0
Angola,2027,STOPV,Solar,0.0
Angola,2027,STOPV,Uranium,0.0
Angola,2027,STOPV,Water,0.0
Angola,2027,STOPV,Wind,0.0
Angola,2027,pvwsto,Battery,0.0
Angola,2027,pvwsto,Biomass,0.0
Angola,2027,pvwsto,CSP,0.0
Angola,2027,pvwsto,Coal,0.0
Angola,2027,pvwsto,Diesel,0.0
Angola,2027,pvwsto,Gas,0.0
Angola,2027,pvwsto,Geothermal,0.0
Angola,2027,pvwsto,HFO,0.0
Angola,2027,pvwsto,LNG,0.0
Angola,2027,pvwsto,Solar,0.0
Angola,2027,pvwsto,Uranium,0.0
Angola,2027,pvwsto,Water,0.0
Angola,2027,pvwsto,Wind,0.0
Angola,2028,BiomassPlant,Battery,0.0
Angola,2028,BiomassPlant,Biomass,0.0
Angola,2028,BiomassPlant,CSP,0.0
Angola,2028,BiomassPlant,Coal,0.0
Angola,2028,BiomassPlant,Diesel,0.0
Angola,2028,BiomassPlant,Gas,0.0
Angola,2028,BiomassPlant,Geothermal,0.0
Angola,2028,BiomassPlant,HFO,0.0
Angola,2028,BiomassPlant,LNG,0.0
Angola,2028,BiomassPlant,Solar,0.0
Angola,2028,BiomassPlant,Uranium,0.0
Angola,2028,BiomassPlant,Water,0.0
Angola,2028,BiomassPlant,Wind,0.0
Angola,2028,CSPPlant,Battery,0.0
Angola,2028,CSPPlant,Biomass,0.0
Angola,2028,CSPPlant,CSP,0.0
Angola,2028,CSPPlant,Coal,0.0
Angola,2028,CSPPlant,Diesel,0.0
Angola,2028,CSPPlant,Gas,0.0
Angola,2028,CSPPlant,Geothermal,0.0
Angola,2028,CSPPlant,HFO,0.0
Angola,2028,CSPPlant,LNG,0.0
Angola,2028,CSPPlant,Solar,0.0
Angola,2028,CSPPlant,Uranium,0.0
Angola,2028,CSPPlant,Water,0.0
Angola,2028,CSPPlant,Wind,0.0
Angola,2028,OffshoreWind,Battery,0.0
Angola,2028,OffshoreWind,Biomass,0.0
Angola,2028,OffshoreWind,CSP,0.0
Angola,2028,OffshoreWind,Coal,0.0
Angola,2028,OffshoreWind,Diesel,0.0
Angola,2028,OffshoreWind,Gas,0.0
Angola,2028,OffshoreWind,Geothermal,0.0
Angola,2028,OffshoreWind,HFO,0.0
Angola,2028,OffshoreWind,LNG,0.0
Angola,2028,OffshoreWind,Solar,0.0
Angola,2028,OffshoreWind,Uranium,0.0
Angola,2028,OffshoreWind,Water,0.0
Angola,2028,OffshoreWind,Wind,0.0
