g,z,book,deca_plant,method,note
MANGLA_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
BUNJI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SEHRA_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KAROT-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
AZAD-PATTAN_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
CHAKOTHI-HATIAN_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KOHALA-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KAIGAH_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
MAHL_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KARRANG_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
RAJDHANI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KALAM-ASRTI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SHOGOSIN_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
TAUNSA_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SHARMAI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
ASRIT-KEDAM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
MADYAN_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SHUROB_HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
BAGHDARA_HY_NEW_2031,NEPS_UZB,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
DASHTIJUM_HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
KOKEMEREN-1_HY_NEW_2031,KGZ_S,KG,Kokomerenskaya,keep_2020,Suusamyr-Kokomeren candidate. DeCA gives only the flat national profile.
KOKEMEREN-2_HY_NEW_2031,KGZ_S,KG,Kokomeren,keep_2020,"Same cascade, same reason."
KAMBARATA-1_HY_NEW_2031,KGZ_N,KG,Kambarata 1,keep_2020,"Candidate, zero capacity in the 2020 fleet. DeCA gives only the flat national profile."
BUKHTARMASKAYA_HY_2031,KAZ_N,KZ,HPP Buhtarminskaya,deca_profile,"Same capacity, 675 MW."
FARKHAD_HY_2031,UZB,UZ,Farhad HPP,keep_2020,"DeCA carries two entries, Farhad HPP at 126 MW and Farhad HPP Reservoir with no capacity, against 311 MW here, and its yearly production gives an annual 0.02. Unusable, to be settled in phase 5."
GOLOVNAYA_HY_2031,TAJ_S,TJ,Golovnaya HPP,deca_level,270 MW in DeCA against 240 MW here.
KAIRAKKUM_HY_2031,TAJ_N,TJ,Kayrakkumskaya HPP,deca_level,"Same capacity, 126 MW."
NAGHLU_HY_2031,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SUKI _KANARI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KOTLI_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
LOWER _PALAS_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
LOWER _LOWER SPAT _GAH_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
AKHROI _DAM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
MUNDA _DAM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
AYNI _(ZARAFSHAN)_HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
UCH-KURGANSK_HY_2020,KGZ_S,KG,Uchkurgan HPP,deca_level,"The 2020 model gives it an annual 0.89, DeCA 0.52. Levelled down."
KEYAL _KHWAR_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
FANDARYA_HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Sanobad_HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
NUREK-2_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
YAVAN_HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Jumar_HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Moskov_HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Kokcha_HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Sangvor __HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Oburdon _Oburdon  __HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Sangiston _Sangiston  __HY_NEW_2031,TAJ_N,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Garms _Garms  __HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Urfatin _Urfatin  __HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Shtien _Shtien  __HY_NEW_2031,TAJ_S,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
Surobi-2_HY_NEW_2031,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
Kunar-A_HY_NEW_2031,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
Kukcha_HY_NEW_2031,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
Gulbahar_HY_NEW_2031,NEPS_UZB,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
Capar_HY_NEW_2031,NEPS_UZB,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
Kunar-B_HY_NEW_2031,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
UCH-KURGANSK_HY_NEW_2031,KGZ_S,KG,Uchkurgan HPP,deca_level,Rehabilitation of the same plant.
NARYN_HY_NEW_2031,KGZ_S,KG,"Narynskaya HPP-1 (47,7 MW)",deca_profile,"Upper Naryn candidate. DeCA gives the cascade a marked summer regime, 0.21 in January against 1.00 from May to August."
Hodjikent_PSH_2_HY_NEW_2031,UZB,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
HPP_in_Pskem_1_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,"Pskem candidate. One of the rare Uzbek profiles that is not the national average: 0.08 in January against 0.46 in July, a summer regime."
HPP_in_Pskem_2_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,Same cascade.
HPP_in_Pskem_3_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,Same cascade.
HPP_in_Pskem_4_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,Same cascade.
HPP_in_Pskem_5_HY_NEW_2031,UZB,UZ,Pskem HPP (Pskem river),deca_profile,Same cascade.
GOLEN _GOL_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
NEELUM-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
TARBELA-IV_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
NUREK_1_HY_2022,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_2_HY_2019,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_3_HY_2023,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_4_HY_2024,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_5_HY_2020,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_6_HY_2025,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_7_HY_2021,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_8_HY_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_9_HY_2026,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_NUREK1-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_NUREK2-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_NUREK3-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_NUREK4-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_NUREK5-_REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_6-REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_7-REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
NUREK_9-REHAB_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,"Unit of Nurek. The level comes from the plant, 10330 GWh over 2765 MW, that is an annual 0.43 against 0.47 in the 2020 model."
ROGUN_1_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
ROGUN_2_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
ROGUN_3_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
ROGUN_4_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
ROGUN_5_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
ROGUN_6_HY_NEW_2031,TAJ_S,TJ,Rogun HPP,keep_2020,"Unit of Rogun. DeCA gives 4367 GWh against 400 MW, that is 1.25, above one: the yearly production is that of the full 3600 MW project. Level unusable, and DeCA carries no other detail on Rogun."
KAZ_N_HY_Water_cand,KAZ_N,,,keep_2020,"Generic candidate of the 2020 model, no plant behind it. To be settled with the candidate list in phase 5."
KAZ_S_HY_Water_cand,KAZ_S,,,keep_2020,"Generic candidate of the 2020 model, no plant behind it. To be settled with the candidate list in phase 5."
ATBASH_HY_2010,KGZ_N,KG,Atbashinskaya,keep_2020,Agreement: the 2020 model gives an annual 0.437 against 0.428 in DeCA. Left untouched.
SALMA_HPP,NEPS_HERAT,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
DARUNTA_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
MAHIPER_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
SOROBI_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
PUL_E_KHUMRI_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KAJAKI II_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
