,1,2,3,4,5,6,7,8,9,10,11,12
Kaleta_IPP,0.274417563,0.25421627,0.243615591,0.240162037,0.246415771,0.283564815,0.327620968,0.417226703,0.416666667,0.417226703,0.29224537,0.168010753
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Karpowership_GU,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kéno,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kinkon,0.224014337,0,0,0,0,0.462962963,0.448028674,0.448028674,0.462962963,0.448028674,0.462962963,0.448028674
Kipé_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kogbedou_Franko,0.295291626,0.236742424,0.234196807,0.231481481,0.285109156,0.39983165,0.458211144,0.458211144,0.462962963,0.458211144,0.347222222,0.376751385
Koukoutamba_IPP,0.054860654,0.040492387,0.03885963,0.040154951,0.054860654,0.073223734,0.194298149,0.390882159,0.455876795,0.340593227,0.144085412,0.059432375
Kouravel_IPP,0.114496217,0.110229277,0.114496217,0.113168724,0.114496217,0.128600823,0.209080048,0.278773397,0.277777778,0.278773397,0.159465021,0.134408602
Lafou,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Morisakano,0.369623656,0.319940476,0.309139785,0.305555556,0.302419355,0.458333333,0.403225806,0.456989247,0.458333333,0.456989247,0.458333333,0.443548387
Nzébéla,0.174233373,0.137786596,0.149342891,0.154320988,0.174233373,0.231481481,0.348466746,0.472919156,0.462962963,0.472919156,0.257201646,0.224014337
OFSHORE_WIND_GUI,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Poudaldé,0.313620072,0.256283069,0.231481481,0.208333333,0.201612903,0.25462963,0.350955795,0.403225806,0.401234568,0.403225806,0.362654321,0.209080048
PV_CAND_2024_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
PV_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Sambangalou_GUI_IPP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Souapiti_IPP,0.306152927,0.300925926,0.289725209,0.283950617,0.294205496,0.345679012,0.286738351,0.286738351,0.287037037,0.306152927,0.299382716,0.355436081
Storage_CAND_2027_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Storage_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
TeneI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tinkisso,0.403225806,0.248015873,0,0,0,0.462962963,0.448028674,0.448028674,0.462962963,0.448028674,0.462962963,0.448028674
Tiopo,0.460829493,0.460600907,0.460829493,0.423280423,0.409626216,0.462962963,0.435227855,0.460829493,0.462962963,0.460829493,0.462962963,0.262416795
WIND_CAND_GUI,1,1,1,1,1,1,1,1,1,1,1,1
