From,To,q,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
DRC_South,DRC,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
DRC_South,DRC,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
DRC_South,DRC,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
DRC_South,DRC,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
DRC_South,Zambia,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
DRC_South,Zambia,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
DRC_South,Zambia,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
DRC_South,Zambia,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
Eswatini,Mozambique_South,Q1,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,Mozambique_South,Q2,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,Mozambique_South,Q3,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,Mozambique_South,Q4,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Mozambique_South,Eswatini,Q1,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Mozambique_South,Eswatini,Q2,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Mozambique_South,Eswatini,Q3,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Mozambique_South,Eswatini,Q4,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Mozal,Mozambique_South,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,Mozambique_South,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,Mozambique_South,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,Mozambique_South,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozambique_South,Mozal,Q1,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Mozambique_South,Mozal,Q2,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Mozambique_South,Mozal,Q3,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Mozambique_South,Mozal,Q4,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Eswatini,South_Africa,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,South_Africa,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,South_Africa,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Eswatini,South_Africa,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
Lesotho,South_Africa,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Lesotho,South_Africa,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Lesotho,South_Africa,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Lesotho,South_Africa,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Mozal,South_Africa,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,South_Africa,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,South_Africa,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,South_Africa,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozambique_Central,South_Africa,Q1,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
Mozambique_Central,South_Africa,Q2,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
Mozambique_Central,South_Africa,Q3,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
Mozambique_Central,South_Africa,Q4,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
South_Africa,Mozambique_Central,Q1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozambique_Central,Q2,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozambique_Central,Q3,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozambique_Central,Q4,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozambique_Central,Zimbabwe_East,Q1,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Mozambique_Central,Zimbabwe_East,Q2,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Mozambique_Central,Zimbabwe_East,Q3,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Mozambique_Central,Zimbabwe_East,Q4,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Namibia,South_Africa,Q1,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Namibia,South_Africa,Q2,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Namibia,South_Africa,Q3,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Namibia,South_Africa,Q4,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Namibia,Zambia,Q1,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
Namibia,Zambia,Q2,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
Namibia,Zambia,Q3,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
Namibia,Zambia,Q4,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
South_Africa,Botswana,Q1,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
South_Africa,Botswana,Q2,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
South_Africa,Botswana,Q3,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
South_Africa,Botswana,Q4,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
South_Africa,Eswatini,Q1,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
South_Africa,Eswatini,Q2,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
South_Africa,Eswatini,Q3,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
South_Africa,Eswatini,Q4,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852,852
South_Africa,Lesotho,Q1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
South_Africa,Lesotho,Q2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
South_Africa,Lesotho,Q3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
South_Africa,Lesotho,Q4,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
South_Africa,Mozal,Q1,1100,1100,1100,1100,1100,1100,1100,1100,1100,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozal,Q2,1100,1100,1100,1100,1100,1100,1100,1100,1100,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozal,Q3,1100,1100,1100,1100,1100,1100,1100,1100,1100,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
South_Africa,Mozal,Q4,1100,1100,1100,1100,1100,1100,1100,1100,1100,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
