Market,Quarter,DayType,Year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SAPP,Q2,d4,2026,3.62,3.62,3.62,3.62,3.62,3.62,5.54,10.5,10.5,10.5,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,10.5,10.5,5.54,5.54,3.62,3.62
SAPP,Q3,d1,2026,6.21,6.21,6.21,6.21,6.21,6.21,9.51,18.02,18.02,18.02,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,18.02,18.02,9.51,9.51,6.21,6.21
SAPP,Q3,d2,2026,6.21,6.21,6.21,6.21,6.21,6.21,9.51,18.02,18.02,18.02,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,18.02,18.02,9.51,9.51,6.21,6.21
SAPP,Q3,d3,2026,6.21,6.21,6.21,6.21,6.21,6.21,9.51,18.02,18.02,18.02,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,18.02,18.02,9.51,9.51,6.21,6.21
SAPP,Q3,d4,2026,6.21,6.21,6.21,6.21,6.21,6.21,9.51,18.02,18.02,18.02,9.51,9.51,9.51,9.51,9.51,9.51,9.51,9.51,18.02,18.02,9.51,9.51,6.21,6.21
SAPP,Q4,d1,2026,3.48,3.48,3.48,3.48,3.48,3.48,5.34,10.12,10.12,10.12,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,10.12,10.12,5.34,5.34,3.48,3.48
SAPP,Q4,d2,2026,3.48,3.48,3.48,3.48,3.48,3.48,5.34,10.12,10.12,10.12,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,10.12,10.12,5.34,5.34,3.48,3.48
SAPP,Q4,d3,2026,3.48,3.48,3.48,3.48,3.48,3.48,5.34,10.12,10.12,10.12,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,10.12,10.12,5.34,5.34,3.48,3.48
SAPP,Q4,d4,2026,3.48,3.48,3.48,3.48,3.48,3.48,5.34,10.12,10.12,10.12,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,10.12,10.12,5.34,5.34,3.48,3.48
SAPP,Q1,d1,2027,3.66,3.66,3.66,3.66,3.66,3.66,5.61,10.62,10.62,10.62,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,10.62,10.62,5.61,5.61,3.66,3.66
SAPP,Q1,d2,2027,3.66,3.66,3.66,3.66,3.66,3.66,5.61,10.62,10.62,10.62,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,10.62,10.62,5.61,5.61,3.66,3.66
SAPP,Q1,d3,2027,3.66,3.66,3.66,3.66,3.66,3.66,5.61,10.62,10.62,10.62,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,10.62,10.62,5.61,5.61,3.66,3.66
SAPP,Q1,d4,2027,3.66,3.66,3.66,3.66,3.66,3.66,5.61,10.62,10.62,10.62,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,10.62,10.62,5.61,5.61,3.66,3.66
SAPP,Q2,d1,2027,4.17,4.17,4.17,4.17,4.17,4.17,6.39,12.11,12.11,12.11,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,12.11,12.11,6.39,6.39,4.17,4.17
SAPP,Q2,d2,2027,4.17,4.17,4.17,4.17,4.17,4.17,6.39,12.11,12.11,12.11,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,12.11,12.11,6.39,6.39,4.17,4.17
SAPP,Q2,d3,2027,4.17,4.17,4.17,4.17,4.17,4.17,6.39,12.11,12.11,12.11,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,12.11,12.11,6.39,6.39,4.17,4.17
SAPP,Q2,d4,2027,4.17,4.17,4.17,4.17,4.17,4.17,6.39,12.11,12.11,12.11,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,12.11,12.11,6.39,6.39,4.17,4.17
SAPP,Q3,d1,2027,5.81,5.81,5.81,5.81,5.81,5.81,8.9,16.87,16.87,16.87,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,16.87,16.87,8.9,8.9,5.81,5.81
SAPP,Q3,d2,2027,5.81,5.81,5.81,5.81,5.81,5.81,8.9,16.87,16.87,16.87,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,16.87,16.87,8.9,8.9,5.81,5.81
SAPP,Q3,d3,2027,5.81,5.81,5.81,5.81,5.81,5.81,8.9,16.87,16.87,16.87,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,16.87,16.87,8.9,8.9,5.81,5.81
SAPP,Q3,d4,2027,5.81,5.81,5.81,5.81,5.81,5.81,8.9,16.87,16.87,16.87,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,16.87,16.87,8.9,8.9,5.81,5.81
SAPP,Q4,d1,2027,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2027,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2027,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2027,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2028,3.56,3.56,3.56,3.56,3.56,3.56,5.46,10.35,10.35,10.35,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,10.35,10.35,5.46,5.46,3.56,3.56
SAPP,Q2,d2,2028,3.56,3.56,3.56,3.56,3.56,3.56,5.46,10.35,10.35,10.35,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,10.35,10.35,5.46,5.46,3.56,3.56
SAPP,Q2,d3,2028,3.56,3.56,3.56,3.56,3.56,3.56,5.46,10.35,10.35,10.35,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,10.35,10.35,5.46,5.46,3.56,3.56
SAPP,Q2,d4,2028,3.56,3.56,3.56,3.56,3.56,3.56,5.46,10.35,10.35,10.35,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,10.35,10.35,5.46,5.46,3.56,3.56
SAPP,Q3,d1,2028,5.42,5.42,5.42,5.42,5.42,5.42,8.3,15.73,15.73,15.73,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,15.73,15.73,8.3,8.3,5.42,5.42
SAPP,Q3,d2,2028,5.42,5.42,5.42,5.42,5.42,5.42,8.3,15.73,15.73,15.73,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,15.73,15.73,8.3,8.3,5.42,5.42
SAPP,Q3,d3,2028,5.42,5.42,5.42,5.42,5.42,5.42,8.3,15.73,15.73,15.73,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,15.73,15.73,8.3,8.3,5.42,5.42
SAPP,Q3,d4,2028,5.42,5.42,5.42,5.42,5.42,5.42,8.3,15.73,15.73,15.73,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,15.73,15.73,8.3,8.3,5.42,5.42
SAPP,Q4,d1,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2028,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2029,2.96,2.96,2.96,2.96,2.96,2.96,4.53,8.59,8.59,8.59,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,8.59,8.59,4.53,4.53,2.96,2.96
SAPP,Q2,d2,2029,2.96,2.96,2.96,2.96,2.96,2.96,4.53,8.59,8.59,8.59,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,8.59,8.59,4.53,4.53,2.96,2.96
SAPP,Q2,d3,2029,2.96,2.96,2.96,2.96,2.96,2.96,4.53,8.59,8.59,8.59,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,8.59,8.59,4.53,4.53,2.96,2.96
SAPP,Q2,d4,2029,2.96,2.96,2.96,2.96,2.96,2.96,4.53,8.59,8.59,8.59,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,8.59,8.59,4.53,4.53,2.96,2.96
SAPP,Q3,d1,2029,5.03,5.03,5.03,5.03,5.03,5.03,7.7,14.6,14.6,14.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,14.6,14.6,7.7,7.7,5.03,5.03
SAPP,Q3,d2,2029,5.03,5.03,5.03,5.03,5.03,5.03,7.7,14.6,14.6,14.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,14.6,14.6,7.7,7.7,5.03,5.03
SAPP,Q3,d3,2029,5.03,5.03,5.03,5.03,5.03,5.03,7.7,14.6,14.6,14.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,14.6,14.6,7.7,7.7,5.03,5.03
SAPP,Q3,d4,2029,5.03,5.03,5.03,5.03,5.03,5.03,7.7,14.6,14.6,14.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,14.6,14.6,7.7,7.7,5.03,5.03
SAPP,Q4,d1,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2029,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2030,4.64,4.64,4.64,4.64,4.64,4.64,7.11,13.46,13.46,13.46,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,13.46,13.46,7.11,7.11,4.64,4.64
SAPP,Q3,d2,2030,4.64,4.64,4.64,4.64,4.64,4.64,7.11,13.46,13.46,13.46,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,13.46,13.46,7.11,7.11,4.64,4.64
SAPP,Q3,d3,2030,4.64,4.64,4.64,4.64,4.64,4.64,7.11,13.46,13.46,13.46,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,13.46,13.46,7.11,7.11,4.64,4.64
SAPP,Q3,d4,2030,4.64,4.64,4.64,4.64,4.64,4.64,7.11,13.46,13.46,13.46,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,13.46,13.46,7.11,7.11,4.64,4.64
SAPP,Q4,d1,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2030,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2031,4.24,4.24,4.24,4.24,4.24,4.24,6.5,12.31,12.31,12.31,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.31,12.31,6.5,6.5,4.24,4.24
SAPP,Q3,d2,2031,4.24,4.24,4.24,4.24,4.24,4.24,6.5,12.31,12.31,12.31,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.31,12.31,6.5,6.5,4.24,4.24
SAPP,Q3,d3,2031,4.24,4.24,4.24,4.24,4.24,4.24,6.5,12.31,12.31,12.31,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.31,12.31,6.5,6.5,4.24,4.24
SAPP,Q3,d4,2031,4.24,4.24,4.24,4.24,4.24,4.24,6.5,12.31,12.31,12.31,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,12.31,12.31,6.5,6.5,4.24,4.24
SAPP,Q4,d1,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2031,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2032,3.85,3.85,3.85,3.85,3.85,3.85,5.9,11.18,11.18,11.18,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,11.18,11.18,5.9,5.9,3.85,3.85
SAPP,Q3,d2,2032,3.85,3.85,3.85,3.85,3.85,3.85,5.9,11.18,11.18,11.18,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,11.18,11.18,5.9,5.9,3.85,3.85
SAPP,Q3,d3,2032,3.85,3.85,3.85,3.85,3.85,3.85,5.9,11.18,11.18,11.18,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,11.18,11.18,5.9,5.9,3.85,3.85
SAPP,Q3,d4,2032,3.85,3.85,3.85,3.85,3.85,3.85,5.9,11.18,11.18,11.18,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,11.18,11.18,5.9,5.9,3.85,3.85
