Country,Fuel,Year,Price_Reference_USD_GJ,Price_HighFossil_USD_GJ,Price_AccelTransition_USD_GJ
Angola,Diesel,2050,16.50,23.00,6.00
Angola,Diesel,2051,16.40,22.80,5.90
Angola,Diesel,2052,16.30,22.60,5.80
Angola,Diesel,2053,16.20,22.40,5.70
Angola,Diesel,2054,16.10,22.20,5.60
Angola,Diesel,2055,16.00,22.00,5.50
Angola,Diesel,2056,15.90,21.80,5.40
Angola,Diesel,2057,15.80,21.60,5.30
Angola,Diesel,2058,15.70,21.40,5.20
Angola,Diesel,2059,15.60,21.20,5.10
Angola,Diesel,2060,15.50,21.00,5.00
Angola,Coal,2025,5.70,6.50,5.30
Angola,Coal,2026,5.66,6.60,5.18
Angola,Coal,2027,5.62,6.70,5.06
Angola,Coal,2028,5.58,6.80,4.94
Angola,Coal,2029,5.54,6.90,4.82
Angola,Coal,2030,5.50,7.00,4.70
Angola,Coal,2031,5.46,7.06,4.56
Angola,Coal,2032,5.42,7.12,4.42
Angola,Coal,2033,5.38,7.18,4.28
Angola,Coal,2034,5.34,7.24,4.14
Angola,Coal,2035,5.30,7.30,4.00
Angola,Coal,2036,5.24,7.34,3.90
Angola,Coal,2037,5.18,7.38,3.80
Angola,Coal,2038,5.12,7.42,3.70
Angola,Coal,2039,5.06,7.46,3.60
Angola,Coal,2040,5.00,7.50,3.50
Angola,Coal,2041,4.90,7.40,3.42
Angola,Coal,2042,4.80,7.30,3.34
Angola,Coal,2043,4.70,7.20,3.26
Angola,Coal,2044,4.60,7.10,3.18
Angola,Coal,2045,4.50,7.00,3.10
Angola,Coal,2046,4.40,6.90,3.04
Angola,Coal,2047,4.30,6.80,2.98
Angola,Coal,2048,4.20,6.70,2.92
Angola,Coal,2049,4.10,6.60,2.86
Angola,Coal,2050,4.00,6.50,2.80
Angola,Coal,2051,3.90,6.40,2.74
Angola,Coal,2052,3.80,6.30,2.68
Angola,Coal,2053,3.70,6.20,2.62
Angola,Coal,2054,3.60,6.10,2.56
Angola,Coal,2055,3.50,6.00,2.50
Angola,Coal,2056,3.46,5.90,2.46
Angola,Coal,2057,3.42,5.80,2.42
Angola,Coal,2058,3.38,5.70,2.38
Angola,Coal,2059,3.34,5.60,2.34
Angola,Coal,2060,3.30,5.50,2.30
Angola,Natural Gas,2025,6.50,7.50,6.00
Angola,Natural Gas,2026,6.60,7.80,5.90
Angola,Natural Gas,2027,6.70,8.10,5.80
Angola,Natural Gas,2028,6.80,8.40,5.70
Angola,Natural Gas,2029,6.90,8.70,5.60
Angola,Natural Gas,2030,7.00,9.00,5.50
Angola,Natural Gas,2031,7.10,9.30,5.40
Angola,Natural Gas,2032,7.20,9.60,5.30
Angola,Natural Gas,2033,7.30,9.90,5.20
Angola,Natural Gas,2034,7.40,10.20,5.10
Angola,Natural Gas,2035,7.50,10.50,5.00
Angola,Natural Gas,2036,7.50,10.60,4.90
Angola,Natural Gas,2037,7.50,10.70,4.80
Angola,Natural Gas,2038,7.50,10.80,4.70
Angola,Natural Gas,2039,7.50,10.90,4.60
Angola,Natural Gas,2040,7.50,11.00,4.50
Angola,Natural Gas,2041,7.50,11.00,4.40
Angola,Natural Gas,2042,7.50,11.00,4.30
Angola,Natural Gas,2043,7.50,11.00,4.20
Angola,Natural Gas,2044,7.50,11.00,4.10
Angola,Natural Gas,2045,7.50,11.00,4.00
Angola,Natural Gas,2046,7.40,10.90,3.90
Angola,Natural Gas,2047,7.30,10.80,3.80
Angola,Natural Gas,2048,7.20,10.70,3.70
Angola,Natural Gas,2049,7.10,10.60,3.60
Angola,Natural Gas,2050,7.00,10.50,3.50
Angola,Natural Gas,2051,6.90,10.40,3.40
Angola,Natural Gas,2052,6.80,10.30,3.30
Angola,Natural Gas,2053,6.70,10.20,3.20
Angola,Natural Gas,2054,6.60,10.10,3.10
Angola,Natural Gas,2055,6.50,10.00,3.00
Angola,Natural Gas,2056,6.40,9.90,2.90
Angola,Natural Gas,2057,6.30,9.80,2.80
Angola,Natural Gas,2058,6.20,9.70,2.70
Angola,Natural Gas,2059,6.10,9.60,2.60
Angola,Natural Gas,2060,6.00,9.50,2.50
Angola,LNG,2025,10.50,13.00,9.50
Angola,LNG,2026,10.60,13.40,9.30
Angola,LNG,2027,10.70,13.80,9.10
Angola,LNG,2028,10.80,14.20,8.90
Angola,LNG,2029,10.90,14.60,8.70
Angola,LNG,2030,11.00,15.00,8.50
Angola,LNG,2031,11.10,15.40,8.30
Angola,LNG,2032,11.20,15.80,8.10
Angola,LNG,2033,11.30,16.20,7.90
Angola,LNG,2034,11.40,16.60,7.70
Angola,LNG,2035,11.50,17.00,7.50
Angola,LNG,2036,11.50,17.10,7.30
Angola,LNG,2037,11.50,17.20,7.10
Angola,LNG,2038,11.50,17.30,6.90
Angola,LNG,2039,11.50,17.40,6.70
Angola,LNG,2040,11.50,17.50,6.50
Angola,LNG,2041,11.40,17.40,6.30
Angola,LNG,2042,11.30,17.30,6.10
Angola,LNG,2043,11.20,17.20,5.90
Angola,LNG,2044,11.10,17.10,5.70
Angola,LNG,2045,11.00,17.00,5.50
Angola,LNG,2046,10.90,16.80,5.30
Angola,LNG,2047,10.80,16.60,5.10
Angola,LNG,2048,10.70,16.40,4.90
Angola,LNG,2049,10.60,16.20,4.70
Angola,LNG,2050,10.50,16.00,4.50
Angola,LNG,2051,10.40,15.80,4.40
Angola,LNG,2052,10.30,15.60,4.30
Angola,LNG,2053,10.20,15.40,4.20
Angola,LNG,2054,10.10,15.20,4.10
Angola,LNG,2055,10.00,15.00,4.00
Angola,LNG,2056,9.90,14.80,3.90
Angola,LNG,2057,9.80,14.60,3.80
Angola,LNG,2058,9.70,14.40,3.70
Angola,LNG,2059,9.60,14.20,3.60
Angola,LNG,2060,9.50,14.00,3.50
Angola,Biomass,2025,3.50,3.80,3.20
Angola,Biomass,2026,3.60,3.94,3.26
Angola,Biomass,2027,3.70,4.08,3.32
Angola,Biomass,2028,3.80,4.22,3.38
Angola,Biomass,2029,3.90,4.36,3.44
Angola,Biomass,2030,4.00,4.50,3.50
Angola,Biomass,2031,4.10,4.60,3.56
Angola,Biomass,2032,4.20,4.70,3.62
Angola,Biomass,2033,4.30,4.80,3.68
Angola,Biomass,2034,4.40,4.90,3.74
Angola,Biomass,2035,4.50,5.00,3.80
Angola,Biomass,2036,4.60,5.10,3.84
Angola,Biomass,2037,4.70,5.20,3.88
Angola,Biomass,2038,4.80,5.30,3.92
Angola,Biomass,2039,4.90,5.40,3.96
Angola,Biomass,2040,5.00,5.50,4.00
Angola,Biomass,2041,5.10,5.60,4.04
Angola,Biomass,2042,5.20,5.70,4.08
Angola,Biomass,2043,5.30,5.80,4.12
Angola,Biomass,2044,5.40,5.90,4.16
Angola,Biomass,2045,5.50,6.00,4.20
Angola,Biomass,2046,5.60,6.16,4.26
Angola,Biomass,2047,5.70,6.32,4.32
Angola,Biomass,2048,5.80,6.48,4.38
Angola,Biomass,2049,5.90,6.64,4.44
Angola,Biomass,2050,6.00,6.80,4.50
Angola,Biomass,2051,6.10,6.94,4.56
Angola,Biomass,2052,6.20,7.08,4.62
Angola,Biomass,2053,6.30,7.22,4.68
Angola,Biomass,2054,6.40,7.36,4.74
Angola,Biomass,2055,6.50,7.50,4.80
Angola,Biomass,2056,6.60,7.60,4.84
Angola,Biomass,2057,6.70,7.70,4.88
Angola,Biomass,2058,6.80,7.80,4.92
Angola,Biomass,2059,6.90,7.90,4.96
Angola,Biomass,2060,7.00,8.00,5.00
Angola,Biogas,2025,8.00,8.50,7.50
Angola,Biogas,2026,7.80,8.30,7.20
Angola,Biogas,2027,7.60,8.10,6.90
Angola,Biogas,2028,7.40,7.90,6.60
Angola,Biogas,2029,7.20,7.70,6.30
Angola,Biogas,2030,7.00,7.50,6.00
Angola,Biogas,2031,6.80,7.30,5.80
Angola,Biogas,2032,6.60,7.10,5.60
Angola,Biogas,2033,6.40,6.90,5.40
Angola,Biogas,2034,6.20,6.70,5.20
Angola,Biogas,2035,6.00,6.50,5.00
Angola,Biogas,2036,5.90,6.40,4.90
Angola,Biogas,2037,5.80,6.30,4.80
Angola,Biogas,2038,5.70,6.20,4.70
Angola,Biogas,2039,5.60,6.10,4.60
Angola,Biogas,2040,5.50,6.00,4.50
Angola,Biogas,2041,5.40,5.90,4.40
Angola,Biogas,2042,5.30,5.80,4.30
Angola,Biogas,2043,5.20,5.70,4.20
Angola,Biogas,2044,5.10,5.60,4.10
Angola,Biogas,2045,5.00,5.50,4.00
Angola,Biogas,2046,4.90,5.40,3.90
Angola,Biogas,2047,4.80,5.30,3.80
Angola,Biogas,2048,4.70,5.20,3.70
Angola,Biogas,2049,4.60,5.10,3.60
Angola,Biogas,2050,4.50,5.00,3.50
Angola,Biogas,2051,4.44,4.96,3.44
Angola,Biogas,2052,4.38,4.92,3.38
Angola,Biogas,2053,4.32,4.88,3.32
Angola,Biogas,2054,4.26,4.84,3.26
Angola,Biogas,2055,4.20,4.80,3.20
Angola,Biogas,2056,4.16,4.74,3.16
Angola,Biogas,2057,4.12,4.68,3.12
Angola,Biogas,2058,4.08,4.62,3.08
Angola,Biogas,2059,4.04,4.56,3.04
Angola,Biogas,2060,4.00,4.50,3.00
Botswana,HFO,2025,14.50,16.50,13.50
Botswana,HFO,2026,14.70,16.90,13.30
Botswana,HFO,2027,14.90,17.30,13.10
Botswana,HFO,2028,15.10,17.70,12.90
Botswana,HFO,2029,15.30,18.10,12.70
Botswana,HFO,2030,15.50,18.50,12.50
Botswana,HFO,2031,15.60,18.80,12.30
Botswana,HFO,2032,15.70,19.10,12.10
Botswana,HFO,2033,15.80,19.40,11.90
Botswana,HFO,2034,15.90,19.70,11.70
Botswana,HFO,2035,16.00,20.00,11.50
Botswana,HFO,2036,16.10,20.20,11.20
Botswana,HFO,2037,16.20,20.40,10.90
Botswana,HFO,2038,16.30,20.60,10.60
Botswana,HFO,2039,16.40,20.80,10.30
Botswana,HFO,2040,16.50,21.00,10.00
Botswana,HFO,2041,16.50,21.10,9.70
Botswana,HFO,2042,16.50,21.20,9.40
Botswana,HFO,2043,16.50,21.30,9.10
Botswana,HFO,2044,16.50,21.40,8.80
Botswana,HFO,2045,16.50,21.50,8.50
Botswana,HFO,2046,16.40,21.40,8.30
Botswana,HFO,2047,16.30,21.30,8.10
Botswana,HFO,2048,16.20,21.20,7.90
Botswana,HFO,2049,16.10,21.10,7.70
Botswana,HFO,2050,16.00,21.00,7.50
Botswana,HFO,2051,15.90,20.90,7.40
Botswana,HFO,2052,15.80,20.80,7.30
Botswana,HFO,2053,15.70,20.70,7.20
Botswana,HFO,2054,15.60,20.60,7.10
Botswana,HFO,2055,15.50,20.50,7.00
Botswana,HFO,2056,15.40,20.40,6.90
Botswana,HFO,2057,15.30,20.30,6.80
Botswana,HFO,2058,15.20,20.20,6.70
Botswana,HFO,2059,15.10,20.10,6.60
Botswana,HFO,2060,15.00,20.00,6.50
Botswana,Diesel,2025,18.00,20.50,17.00
Botswana,Diesel,2026,18.20,21.00,16.70
Botswana,Diesel,2027,18.40,21.50,16.40
Botswana,Diesel,2028,18.60,22.00,16.10
Botswana,Diesel,2029,18.80,22.50,15.80
Botswana,Diesel,2030,19.00,23.00,15.50
Botswana,Diesel,2031,19.10,23.40,15.20
Botswana,Diesel,2032,19.20,23.80,14.90
Botswana,Diesel,2033,19.30,24.20,14.60
Botswana,Diesel,2034,19.40,24.60,14.30
Botswana,Diesel,2035,19.50,25.00,14.00
Botswana,Diesel,2036,19.60,25.30,13.60
Botswana,Diesel,2037,19.70,25.60,13.20
Botswana,Diesel,2038,19.80,25.90,12.80
Botswana,Diesel,2039,19.90,26.20,12.40
Botswana,Diesel,2040,20.00,26.50,12.00
Botswana,Diesel,2041,20.00,26.60,11.70
Botswana,Diesel,2042,20.00,26.70,11.40
Botswana,Diesel,2043,20.00,26.80,11.10
Botswana,Diesel,2044,20.00,26.90,10.80
Botswana,Diesel,2045,20.00,27.00,10.50
Botswana,Diesel,2046,19.90,26.80,10.20
Botswana,Diesel,2047,19.80,26.60,9.90
Botswana,Diesel,2048,19.70,26.40,9.60
Botswana,Diesel,2049,19.60,26.20,9.30
Botswana,Diesel,2050,19.50,26.00,9.00
Botswana,Diesel,2051,19.40,25.80,8.90
Botswana,Diesel,2052,19.30,25.60,8.80
Botswana,Diesel,2053,19.20,25.40,8.70
Botswana,Diesel,2054,19.10,25.20,8.60
Botswana,Diesel,2055,19.00,25.00,8.50
Botswana,Diesel,2056,18.90,24.80,8.40
Botswana,Diesel,2057,18.80,24.60,8.30
Botswana,Diesel,2058,18.70,24.40,8.20
Botswana,Diesel,2059,18.60,24.20,8.10
Botswana,Diesel,2060,18.50,24.00,8.00
Botswana,Coal,2025,4.70,5.50,4.30
Botswana,Coal,2026,4.66,5.60,4.18
Botswana,Coal,2027,4.62,5.70,4.06
Botswana,Coal,2028,4.58,5.80,3.94
Botswana,Coal,2029,4.54,5.90,3.82
Botswana,Coal,2030,4.50,6.00,3.70
Botswana,Coal,2031,4.46,6.06,3.56
Botswana,Coal,2032,4.42,6.12,3.42
Botswana,Coal,2033,4.38,6.18,3.28
Botswana,Coal,2034,4.34,6.24,3.14
Botswana,Coal,2035,4.30,6.30,3.00
Botswana,Coal,2036,4.24,6.34,2.90
Botswana,Coal,2037,4.18,6.38,2.80
Botswana,Coal,2038,4.12,6.42,2.70
Botswana,Coal,2039,4.06,6.46,2.60
Botswana,Coal,2040,4.00,6.50,2.50
Botswana,Coal,2041,3.90,6.40,2.42
Botswana,Coal,2042,3.80,6.30,2.34
Botswana,Coal,2043,3.70,6.20,2.26
Botswana,Coal,2044,3.60,6.10,2.18
Botswana,Coal,2045,3.50,6.00,2.10
Botswana,Coal,2046,3.40,5.90,2.04
Botswana,Coal,2047,3.30,5.80,1.98
Botswana,Coal,2048,3.20,5.70,1.92
Botswana,Coal,2049,3.10,5.60,1.86
Botswana,Coal,2050,3.00,5.50,1.80
Botswana,Coal,2051,2.90,5.40,1.74
Botswana,Coal,2052,2.80,5.30,1.68
Botswana,Coal,2053,2.70,5.20,1.62
Botswana,Coal,2054,2.60,5.10,1.56
Botswana,Coal,2055,2.50,5.00,1.50
Botswana,Coal,2056,2.46,4.90,1.46
Botswana,Coal,2057,2.42,4.80,1.42
Botswana,Coal,2058,2.38,4.70,1.38
Botswana,Coal,2059,2.34,4.60,1.34
Botswana,Coal,2060,2.30,4.50,1.30
Botswana,Natural Gas,2025,10.50,13.00,9.50
Botswana,Natural Gas,2026,10.60,13.40,9.30
Botswana,Natural Gas,2027,10.70,13.80,9.10
Botswana,Natural Gas,2028,10.80,14.20,8.90
Botswana,Natural Gas,2029,10.90,14.60,8.70
Botswana,Natural Gas,2030,11.00,15.00,8.50
Botswana,Natural Gas,2031,11.10,15.40,8.30
Botswana,Natural Gas,2032,11.20,15.80,8.10
Botswana,Natural Gas,2033,11.30,16.20,7.90
Botswana,Natural Gas,2034,11.40,16.60,7.70
Botswana,Natural Gas,2035,11.50,17.00,7.50
Botswana,Natural Gas,2036,11.50,17.10,7.30
Botswana,Natural Gas,2037,11.50,17.20,7.10
Botswana,Natural Gas,2038,11.50,17.30,6.90
Botswana,Natural Gas,2039,11.50,17.40,6.70
Botswana,Natural Gas,2040,11.50,17.50,6.50
Botswana,Natural Gas,2041,11.40,17.40,6.30
Botswana,Natural Gas,2042,11.30,17.30,6.10
Botswana,Natural Gas,2043,11.20,17.20,5.90
Botswana,Natural Gas,2044,11.10,17.10,5.70
Botswana,Natural Gas,2045,11.00,17.00,5.50
Botswana,Natural Gas,2046,10.90,16.80,5.30
Botswana,Natural Gas,2047,10.80,16.60,5.10
Botswana,Natural Gas,2048,10.70,16.40,4.90
Botswana,Natural Gas,2049,10.60,16.20,4.70
Botswana,Natural Gas,2050,10.50,16.00,4.50
Botswana,Natural Gas,2051,10.40,15.80,4.40
Botswana,Natural Gas,2052,10.30,15.60,4.30
Botswana,Natural Gas,2053,10.20,15.40,4.20
Botswana,Natural Gas,2054,10.10,15.20,4.10
Botswana,Natural Gas,2055,10.00,15.00,4.00
Botswana,Natural Gas,2056,9.90,14.80,3.90
Botswana,Natural Gas,2057,9.80,14.60,3.80
Botswana,Natural Gas,2058,9.70,14.40,3.70
Botswana,Natural Gas,2059,9.60,14.20,3.60
Botswana,Natural Gas,2060,9.50,14.00,3.50
Botswana,LNG,2025,10.50,13.00,9.50
Botswana,LNG,2026,10.60,13.40,9.30
Botswana,LNG,2027,10.70,13.80,9.10
Botswana,LNG,2028,10.80,14.20,8.90
Botswana,LNG,2029,10.90,14.60,8.70
Botswana,LNG,2030,11.00,15.00,8.50
Botswana,LNG,2031,11.10,15.40,8.30
Botswana,LNG,2032,11.20,15.80,8.10
Botswana,LNG,2033,11.30,16.20,7.90
Botswana,LNG,2034,11.40,16.60,7.70
Botswana,LNG,2035,11.50,17.00,7.50
Botswana,LNG,2036,11.50,17.10,7.30
Botswana,LNG,2037,11.50,17.20,7.10
Botswana,LNG,2038,11.50,17.30,6.90
Botswana,LNG,2039,11.50,17.40,6.70
Botswana,LNG,2040,11.50,17.50,6.50
Botswana,LNG,2041,11.40,17.40,6.30
Botswana,LNG,2042,11.30,17.30,6.10
Botswana,LNG,2043,11.20,17.20,5.90
Botswana,LNG,2044,11.10,17.10,5.70
Botswana,LNG,2045,11.00,17.00,5.50
Botswana,LNG,2046,10.90,16.80,5.30
Botswana,LNG,2047,10.80,16.60,5.10
Botswana,LNG,2048,10.70,16.40,4.90
Botswana,LNG,2049,10.60,16.20,4.70
Botswana,LNG,2050,10.50,16.00,4.50
Botswana,LNG,2051,10.40,15.80,4.40
Botswana,LNG,2052,10.30,15.60,4.30
Botswana,LNG,2053,10.20,15.40,4.20
Botswana,LNG,2054,10.10,15.20,4.10
Botswana,LNG,2055,10.00,15.00,4.00
Botswana,LNG,2056,9.90,14.80,3.90
Botswana,LNG,2057,9.80,14.60,3.80
Botswana,LNG,2058,9.70,14.40,3.70
Botswana,LNG,2059,9.60,14.20,3.60
Botswana,LNG,2060,9.50,14.00,3.50
Botswana,Biomass,2025,3.50,3.80,3.20
Botswana,Biomass,2026,3.60,3.94,3.26
Botswana,Biomass,2027,3.70,4.08,3.32
Botswana,Biomass,2028,3.80,4.22,3.38
Botswana,Biomass,2029,3.90,4.36,3.44
Botswana,Biomass,2030,4.00,4.50,3.50
Botswana,Biomass,2031,4.10,4.60,3.56
Botswana,Biomass,2032,4.20,4.70,3.62
Botswana,Biomass,2033,4.30,4.80,3.68
Botswana,Biomass,2034,4.40,4.90,3.74
Botswana,Biomass,2035,4.50,5.00,3.80
Botswana,Biomass,2036,4.60,5.10,3.84
Botswana,Biomass,2037,4.70,5.20,3.88
Botswana,Biomass,2038,4.80,5.30,3.92
Botswana,Biomass,2039,4.90,5.40,3.96
Botswana,Biomass,2040,5.00,5.50,4.00
Botswana,Biomass,2041,5.10,5.60,4.04
Botswana,Biomass,2042,5.20,5.70,4.08
Botswana,Biomass,2043,5.30,5.80,4.12
Botswana,Biomass,2044,5.40,5.90,4.16
Botswana,Biomass,2045,5.50,6.00,4.20
Botswana,Biomass,2046,5.60,6.16,4.26
Botswana,Biomass,2047,5.70,6.32,4.32
Botswana,Biomass,2048,5.80,6.48,4.38
Botswana,Biomass,2049,5.90,6.64,4.44
Botswana,Biomass,2050,6.00,6.80,4.50
Botswana,Biomass,2051,6.10,6.94,4.56
Botswana,Biomass,2052,6.20,7.08,4.62
Botswana,Biomass,2053,6.30,7.22,4.68
Botswana,Biomass,2054,6.40,7.36,4.74
Botswana,Biomass,2055,6.50,7.50,4.80
Botswana,Biomass,2056,6.60,7.60,4.84
Botswana,Biomass,2057,6.70,7.70,4.88
Botswana,Biomass,2058,6.80,7.80,4.92
Botswana,Biomass,2059,6.90,7.90,4.96
Botswana,Biomass,2060,7.00,8.00,5.00
Botswana,Biogas,2025,8.00,8.50,7.50
Botswana,Biogas,2026,7.80,8.30,7.20
Botswana,Biogas,2027,7.60,8.10,6.90
Botswana,Biogas,2028,7.40,7.90,6.60
Botswana,Biogas,2029,7.20,7.70,6.30
Botswana,Biogas,2030,7.00,7.50,6.00
Botswana,Biogas,2031,6.80,7.30,5.80
Botswana,Biogas,2032,6.60,7.10,5.60
Botswana,Biogas,2033,6.40,6.90,5.40
Botswana,Biogas,2034,6.20,6.70,5.20
Botswana,Biogas,2035,6.00,6.50,5.00
Botswana,Biogas,2036,5.90,6.40,4.90
Botswana,Biogas,2037,5.80,6.30,4.80
Botswana,Biogas,2038,5.70,6.20,4.70
Botswana,Biogas,2039,5.60,6.10,4.60
Botswana,Biogas,2040,5.50,6.00,4.50
Botswana,Biogas,2041,5.40,5.90,4.40
Botswana,Biogas,2042,5.30,5.80,4.30
Botswana,Biogas,2043,5.20,5.70,4.20
Botswana,Biogas,2044,5.10,5.60,4.10
Botswana,Biogas,2045,5.00,5.50,4.00
Botswana,Biogas,2046,4.90,5.40,3.90
Botswana,Biogas,2047,4.80,5.30,3.80
Botswana,Biogas,2048,4.70,5.20,3.70
Botswana,Biogas,2049,4.60,5.10,3.60
Botswana,Biogas,2050,4.50,5.00,3.50
Botswana,Biogas,2051,4.44,4.96,3.44
Botswana,Biogas,2052,4.38,4.92,3.38
Botswana,Biogas,2053,4.32,4.88,3.32
Botswana,Biogas,2054,4.26,4.84,3.26
Botswana,Biogas,2055,4.20,4.80,3.20
Botswana,Biogas,2056,4.16,4.74,3.16
Botswana,Biogas,2057,4.12,4.68,3.12
Botswana,Biogas,2058,4.08,4.62,3.08
Botswana,Biogas,2059,4.04,4.56,3.04
Botswana,Biogas,2060,4.00,4.50,3.00
DRC,HFO,2025,13.50,15.50,12.50
DRC,HFO,2026,13.70,15.90,12.30
DRC,HFO,2027,13.90,16.30,12.10
DRC,HFO,2028,14.10,16.70,11.90
DRC,HFO,2029,14.30,17.10,11.70
DRC,HFO,2030,14.50,17.50,11.50
DRC,HFO,2031,14.60,17.80,11.30
DRC,HFO,2032,14.70,18.10,11.10
DRC,HFO,2033,14.80,18.40,10.90
DRC,HFO,2034,14.90,18.70,10.70
DRC,HFO,2035,15.00,19.00,10.50
DRC,HFO,2036,15.10,19.20,10.20
DRC,HFO,2037,15.20,19.40,9.90
DRC,HFO,2038,15.30,19.60,9.60
DRC,HFO,2039,15.40,19.80,9.30
DRC,HFO,2040,15.50,20.00,9.00
DRC,HFO,2041,15.50,20.10,8.70
DRC,HFO,2042,15.50,20.20,8.40
DRC,HFO,2043,15.50,20.30,8.10
DRC,HFO,2044,15.50,20.40,7.80
DRC,HFO,2045,15.50,20.50,7.50
DRC,HFO,2046,15.40,20.40,7.30
DRC,HFO,2047,15.30,20.30,7.10
DRC,HFO,2048,15.20,20.20,6.90
DRC,HFO,2049,15.10,20.10,6.70
DRC,HFO,2050,15.00,20.00,6.50
DRC,HFO,2051,14.90,19.90,6.40
DRC,HFO,2052,14.80,19.80,6.30
DRC,HFO,2053,14.70,19.70,6.20
DRC,HFO,2054,14.60,19.60,6.10
DRC,HFO,2055,14.50,19.50,6.00
DRC,HFO,2056,14.40,19.40,5.90
DRC,HFO,2057,14.30,19.30,5.80
DRC,HFO,2058,14.20,19.20,5.70
DRC,HFO,2059,14.10,19.10,5.60
DRC,HFO,2060,14.00,19.00,5.50
DRC,Diesel,2025,17.00,19.50,16.00
DRC,Diesel,2026,17.20,20.00,15.70
DRC,Diesel,2027,17.40,20.50,15.40
DRC,Diesel,2028,17.60,21.00,15.10
DRC,Diesel,2029,17.80,21.50,14.80
DRC,Diesel,2030,18.00,22.00,14.50
DRC,Diesel,2031,18.10,22.40,14.20
DRC,Diesel,2032,18.20,22.80,13.90
DRC,Diesel,2033,18.30,23.20,13.60
DRC,Diesel,2034,18.40,23.60,13.30
DRC,Diesel,2035,18.50,24.00,13.00
DRC,Diesel,2036,18.60,24.30,12.60
DRC,Diesel,2037,18.70,24.60,12.20
DRC,Diesel,2038,18.80,24.90,11.80
DRC,Diesel,2039,18.90,25.20,11.40
DRC,Diesel,2040,19.00,25.50,11.00
DRC,Diesel,2041,19.00,25.60,10.70
DRC,Diesel,2042,19.00,25.70,10.40
DRC,Diesel,2043,19.00,25.80,10.10
DRC,Diesel,2044,19.00,25.90,9.80
DRC,Diesel,2045,19.00,26.00,9.50
DRC,Diesel,2046,18.90,25.80,9.20
DRC,Diesel,2047,18.80,25.60,8.90
DRC,Diesel,2048,18.70,25.40,8.60
DRC,Diesel,2049,18.60,25.20,8.30
DRC,Diesel,2050,18.50,25.00,8.00
DRC,Diesel,2051,18.40,24.80,7.90
DRC,Diesel,2052,18.30,24.60,7.80
DRC,Diesel,2053,18.20,24.40,7.70
DRC,Diesel,2054,18.10,24.20,7.60
DRC,Diesel,2055,18.00,24.00,7.50
DRC,Diesel,2056,17.90,23.80,7.40
