Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Botswana,Q3,d3,0.55,0.54,0.53,0.54,0.61,0.73,0.78,0.73,0.73,0.73,0.71,0.7,0.69,0.68,0.69,0.7,0.71,0.74,0.85,0.86,0.8,0.72,0.64,0.58
Mozambique_South,Q3,d3,0.67,0.64,0.61,0.6,0.62,0.68,0.81,0.85,0.9,0.93,0.92,0.9,0.84,0.86,0.88,0.88,0.91,0.9,0.97,0.95,0.89,0.81,0.77,0.69
Mozambique_Central,Q3,d3,0.71,0.68,0.66,0.65,0.67,0.73,0.75,0.79,0.84,0.87,0.88,0.87,0.83,0.84,0.85,0.85,0.86,0.86,0.94,0.92,0.87,0.81,0.79,0.74
Mozambique_North,Q3,d3,0.68,0.66,0.64,0.63,0.65,0.71,0.72,0.76,0.8,0.83,0.84,0.83,0.79,0.79,0.8,0.79,0.81,0.83,0.97,1,0.94,0.84,0.79,0.72
Angola_North,Q3,d3,0.55,0.52,0.49,0.48,0.47,0.48,0.55,0.62,0.69,0.74,0.75,0.74,0.72,0.73,0.74,0.74,0.75,0.76,0.8,0.88,0.86,0.81,0.72,0.62
Angola_Central,Q3,d3,0.61,0.59,0.57,0.55,0.54,0.56,0.6,0.64,0.68,0.71,0.72,0.72,0.71,0.71,0.72,0.72,0.73,0.73,0.77,0.83,0.81,0.77,0.71,0.66
Angola_South,Q3,d3,0.6,0.57,0.56,0.54,0.53,0.54,0.59,0.63,0.67,0.7,0.71,0.71,0.7,0.7,0.71,0.71,0.72,0.73,0.79,0.88,0.86,0.8,0.72,0.65
Angola_East,Q3,d3,0.66,0.64,0.63,0.62,0.61,0.61,0.62,0.64,0.67,0.7,0.71,0.71,0.7,0.7,0.7,0.71,0.71,0.71,0.73,0.8,0.8,0.77,0.74,0.71
Eswatini,Q3,d4,0.44,0.43,0.42,0.45,0.55,0.71,0.72,0.7,0.71,0.71,0.7,0.69,0.68,0.66,0.67,0.69,0.7,0.77,0.82,0.75,0.65,0.57,0.51,0.48
Lesotho,Q3,d4,0.38,0.38,0.38,0.4,0.55,0.73,0.71,0.66,0.65,0.64,0.61,0.6,0.57,0.58,0.57,0.57,0.58,0.58,0.67,0.71,0.66,0.54,0.46,0.41
Malawi,Q3,d4,0.56,0.55,0.55,0.56,0.63,0.77,0.85,0.86,0.87,0.87,0.88,0.9,0.86,0.8,0.8,0.83,0.85,0.88,0.93,0.87,0.79,0.7,0.64,0.6
Namibia,Q3,d4,0.61,0.6,0.59,0.59,0.62,0.69,0.79,0.8,0.79,0.77,0.74,0.71,0.7,0.68,0.69,0.7,0.74,0.81,0.91,0.95,0.88,0.78,0.7,0.65
Zimbabwe,Q3,d4,0.75,0.74,0.74,0.74,0.76,0.78,0.76,0.74,0.75,0.74,0.73,0.72,0.73,0.72,0.73,0.74,0.75,0.76,0.79,0.77,0.78,0.81,0.79,0.77
Zambia,Q3,d4,0.69,0.68,0.68,0.67,0.69,0.69,0.67,0.65,0.66,0.65,0.64,0.64,0.63,0.64,0.66,0.66,0.67,0.66,0.68,0.68,0.69,0.7,0.69,0.69
Tanzania,Q3,d4,0.61,0.59,0.58,0.58,0.58,0.6,0.64,0.64,0.69,0.74,0.77,0.78,0.78,0.75,0.76,0.77,0.78,0.78,0.79,0.83,0.83,0.81,0.75,0.68
South Africa,Q3,d4,0.68,0.66,0.66,0.66,0.68,0.75,0.85,0.88,0.9,0.9,0.9,0.89,0.87,0.85,0.85,0.85,0.86,0.9,0.96,0.95,0.91,0.85,0.77,0.71
Botswana,Q3,d4,0.55,0.54,0.53,0.55,0.63,0.77,0.82,0.78,0.78,0.78,0.75,0.72,0.71,0.69,0.68,0.69,0.72,0.78,0.89,0.89,0.82,0.72,0.65,0.59
Mozambique_South,Q3,d4,0.51,0.48,0.46,0.46,0.48,0.57,0.75,0.77,0.82,0.84,0.83,0.82,0.76,0.78,0.79,0.8,0.82,0.88,0.94,0.92,0.85,0.75,0.63,0.56
Mozambique_Central,Q3,d4,0.54,0.52,0.5,0.5,0.52,0.61,0.7,0.72,0.76,0.78,0.79,0.79,0.75,0.75,0.76,0.77,0.78,0.84,0.91,0.89,0.84,0.75,0.65,0.6
Mozambique_North,Q3,d4,0.53,0.5,0.49,0.48,0.51,0.6,0.67,0.69,0.72,0.74,0.76,0.75,0.71,0.71,0.71,0.71,0.73,0.81,0.94,0.96,0.9,0.78,0.65,0.58
Angola_North,Q3,d4,0.52,0.48,0.46,0.45,0.44,0.46,0.52,0.6,0.67,0.72,0.72,0.71,0.7,0.7,0.72,0.72,0.73,0.73,0.78,0.84,0.82,0.77,0.68,0.58
Angola_Central,Q3,d4,0.57,0.55,0.53,0.52,0.51,0.53,0.57,0.62,0.66,0.69,0.7,0.69,0.68,0.68,0.7,0.7,0.71,0.71,0.74,0.79,0.77,0.74,0.67,0.62
Angola_South,Q3,d4,0.57,0.54,0.52,0.51,0.5,0.51,0.56,0.61,0.66,0.68,0.69,0.69,0.68,0.68,0.69,0.69,0.7,0.71,0.77,0.84,0.82,0.76,0.68,0.61
Angola_East,Q3,d4,0.62,0.6,0.59,0.58,0.57,0.58,0.59,0.62,0.66,0.68,0.68,0.69,0.68,0.68,0.68,0.68,0.69,0.69,0.71,0.76,0.76,0.74,0.7,0.66
Eswatini,Q4,d1,0.42,0.41,0.4,0.4,0.43,0.45,0.51,0.57,0.6,0.62,0.61,0.61,0.6,0.58,0.56,0.55,0.53,0.55,0.58,0.64,0.6,0.53,0.48,0.44
Lesotho,Q4,d1,0.39,0.38,0.38,0.4,0.52,0.63,0.66,0.64,0.64,0.62,0.6,0.58,0.56,0.57,0.56,0.56,0.56,0.58,0.66,0.68,0.61,0.51,0.44,0.4
Malawi,Q4,d1,0.56,0.57,0.56,0.56,0.58,0.65,0.71,0.75,0.77,0.77,0.78,0.8,0.77,0.71,0.69,0.69,0.7,0.74,0.83,0.79,0.75,0.69,0.64,0.6
Namibia,Q4,d1,0.71,0.7,0.68,0.68,0.68,0.7,0.7,0.71,0.72,0.73,0.71,0.7,0.7,0.69,0.69,0.7,0.71,0.73,0.77,0.78,0.81,0.8,0.77,0.73
Zimbabwe,Q4,d1,0.6,0.58,0.58,0.58,0.58,0.6,0.58,0.6,0.63,0.63,0.64,0.62,0.62,0.63,0.62,0.62,0.63,0.62,0.63,0.65,0.62,0.64,0.63,0.61
Zambia,Q4,d1,0.68,0.68,0.66,0.66,0.65,0.63,0.6,0.59,0.61,0.61,0.62,0.62,0.63,0.62,0.61,0.61,0.62,0.62,0.64,0.65,0.64,0.66,0.67,0.68
Tanzania,Q4,d1,0.7,0.66,0.64,0.62,0.62,0.63,0.62,0.64,0.71,0.77,0.8,0.82,0.81,0.8,0.8,0.8,0.8,0.79,0.8,0.88,0.88,0.86,0.82,0.75
South Africa,Q4,d1,0.58,0.57,0.57,0.57,0.58,0.6,0.64,0.68,0.71,0.72,0.72,0.72,0.71,0.7,0.69,0.69,0.69,0.69,0.7,0.73,0.72,0.68,0.64,0.6
Botswana,Q4,d1,0.52,0.51,0.5,0.5,0.51,0.54,0.56,0.59,0.63,0.64,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.63,0.64,0.7,0.7,0.65,0.58,0.54
Mozambique_South,Q4,d1,0.63,0.58,0.55,0.54,0.53,0.52,0.64,0.69,0.75,0.78,0.77,0.77,0.74,0.76,0.78,0.78,0.79,0.79,0.81,0.86,0.86,0.81,0.74,0.68
Mozambique_Central,Q4,d1,0.66,0.62,0.6,0.59,0.58,0.56,0.6,0.64,0.7,0.73,0.74,0.74,0.73,0.74,0.75,0.75,0.75,0.75,0.78,0.84,0.84,0.81,0.77,0.72
Mozambique_North,Q4,d1,0.64,0.6,0.58,0.57,0.56,0.55,0.58,0.61,0.66,0.69,0.7,0.7,0.69,0.69,0.7,0.7,0.71,0.73,0.81,0.9,0.91,0.84,0.77,0.7
Angola_North,Q4,d1,0.7,0.66,0.63,0.6,0.59,0.6,0.66,0.71,0.78,0.83,0.84,0.83,0.82,0.83,0.85,0.86,0.87,0.88,0.91,1,1,0.97,0.88,0.78
Angola_Central,Q4,d1,0.78,0.75,0.72,0.7,0.68,0.69,0.72,0.74,0.77,0.79,0.81,0.8,0.8,0.81,0.82,0.84,0.84,0.85,0.87,0.94,0.95,0.92,0.87,0.83
Angola_South,Q4,d1,0.77,0.73,0.7,0.68,0.67,0.68,0.71,0.73,0.76,0.79,0.8,0.8,0.8,0.8,0.82,0.83,0.83,0.85,0.89,1,1,0.95,0.88,0.82
Angola_East,Q4,d1,0.84,0.82,0.8,0.78,0.76,0.76,0.75,0.74,0.76,0.78,0.79,0.8,0.8,0.8,0.81,0.82,0.82,0.82,0.83,0.91,0.93,0.92,0.91,0.89
Eswatini,Q4,d2,0.51,0.5,0.49,0.49,0.5,0.53,0.6,0.69,0.72,0.7,0.67,0.65,0.63,0.62,0.62,0.63,0.64,0.66,0.72,0.7,0.64,0.57,0.52,0.49
Lesotho,Q4,d2,0.37,0.36,0.36,0.36,0.4,0.45,0.52,0.57,0.59,0.59,0.57,0.56,0.54,0.54,0.53,0.52,0.51,0.51,0.55,0.62,0.6,0.51,0.42,0.38
Malawi,Q4,d2,0.59,0.58,0.58,0.59,0.61,0.69,0.73,0.72,0.71,0.7,0.7,0.73,0.71,0.63,0.61,0.63,0.63,0.71,0.83,0.78,0.7,0.63,0.58,0.56
Namibia,Q4,d2,0.73,0.72,0.71,0.7,0.7,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.74,0.72,0.71,0.72,0.75,0.78,0.81,0.87,0.9,0.85,0.78,0.74
Zimbabwe,Q4,d2,0.66,0.64,0.63,0.62,0.63,0.64,0.6,0.61,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.64,0.63,0.61,0.63,0.66,0.64,0.64,0.69,0.68
Zambia,Q4,d2,0.69,0.69,0.68,0.67,0.67,0.64,0.61,0.6,0.6,0.61,0.62,0.66,0.66,0.66,0.65,0.65,0.65,0.61,0.61,0.61,0.62,0.63,0.66,0.68
Tanzania,Q4,d2,0.69,0.66,0.64,0.63,0.62,0.63,0.61,0.63,0.67,0.7,0.71,0.74,0.75,0.74,0.74,0.74,0.74,0.73,0.77,0.84,0.84,0.82,0.76,0.7
South Africa,Q4,d2,0.63,0.62,0.61,0.61,0.62,0.64,0.68,0.72,0.76,0.78,0.77,0.77,0.76,0.74,0.73,0.72,0.72,0.73,0.77,0.81,0.78,0.73,0.68,0.64
Botswana,Q4,d2,0.6,0.59,0.58,0.57,0.58,0.61,0.65,0.68,0.71,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.73,0.78,0.84,0.82,0.75,0.67,0.62
Mozambique_South,Q4,d2,0.61,0.57,0.54,0.53,0.52,0.52,0.62,0.67,0.72,0.74,0.73,0.72,0.7,0.72,0.72,0.73,0.76,0.79,0.86,0.87,0.85,0.78,0.69,0.6
Mozambique_Central,Q4,d2,0.64,0.61,0.59,0.57,0.56,0.56,0.58,0.62,0.67,0.69,0.69,0.69,0.69,0.7,0.69,0.7,0.72,0.75,0.82,0.85,0.83,0.78,0.71,0.64
Mozambique_North,Q4,d2,0.62,0.59,0.57,0.55,0.55,0.54,0.56,0.6,0.64,0.66,0.66,0.66,0.65,0.66,0.65,0.65,0.68,0.73,0.86,0.91,0.9,0.81,0.71,0.62
Angola_North,Q4,d2,0.68,0.63,0.6,0.58,0.57,0.57,0.63,0.68,0.74,0.76,0.77,0.75,0.74,0.76,0.78,0.79,0.8,0.81,0.86,0.96,0.96,0.92,0.83,0.72
Angola_Central,Q4,d2,0.76,0.72,0.69,0.67,0.65,0.66,0.68,0.7,0.72,0.73,0.74,0.73,0.73,0.74,0.76,0.76,0.77,0.79,0.82,0.91,0.91,0.88,0.82,0.76
Angola_South,Q4,d2,0.75,0.7,0.67,0.65,0.64,0.65,0.68,0.7,0.72,0.73,0.73,0.72,0.72,0.73,0.75,0.76,0.77,0.79,0.84,0.96,0.96,0.91,0.83,0.75
Angola_East,Q4,d2,0.82,0.79,0.76,0.75,0.73,0.72,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.73,0.74,0.75,0.75,0.76,0.78,0.87,0.89,0.88,0.86,0.82
Eswatini,Q4,d3,0.54,0.53,0.52,0.53,0.57,0.62,0.68,0.73,0.75,0.75,0.75,0.75,0.74,0.73,0.72,0.72,0.72,0.71,0.77,0.78,0.71,0.64,0.59,0.55
Lesotho,Q4,d3,0.38,0.37,0.37,0.39,0.47,0.56,0.6,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.58,0.65,0.61,0.52,0.45,0.4
Malawi,Q4,d3,0.6,0.6,0.59,0.6,0.65,0.75,0.79,0.83,0.84,0.83,0.83,0.86,0.82,0.77,0.75,0.77,0.78,0.83,0.91,0.85,0.79,0.72,0.66,0.63
Namibia,Q4,d3,0.75,0.74,0.72,0.72,0.73,0.77,0.78,0.77,0.78,0.79,0.79,0.78,0.79,0.79,0.79,0.81,0.83,0.84,0.84,0.89,0.91,0.88,0.82,0.78
Zimbabwe,Q4,d3,0.65,0.64,0.63,0.62,0.62,0.63,0.6,0.6,0.62,0.63,0.62,0.63,0.62,0.62,0.63,0.63,0.62,0.63,0.63,0.64,0.62,0.63,0.66,0.66
Zambia,Q4,d3,0.69,0.7,0.69,0.69,0.68,0.65,0.62,0.6,0.6,0.61,0.64,0.66,0.65,0.66,0.66,0.65,0.65,0.63,0.62,0.64,0.63,0.64,0.67,0.68
Tanzania,Q4,d3,0.69,0.66,0.64,0.63,0.63,0.64,0.64,0.67,0.76,0.79,0.81,0.83,0.81,0.8,0.81,0.81,0.82,0.82,0.85,0.92,0.91,0.88,0.82,0.75
South Africa,Q4,d3,0.65,0.64,0.63,0.63,0.65,0.68,0.73,0.77,0.81,0.81,0.81,0.81,0.8,0.79,0.78,0.77,0.77,0.77,0.79,0.82,0.8,0.75,0.7,0.67
Botswana,Q4,d3,0.6,0.58,0.57,0.58,0.61,0.67,0.71,0.72,0.75,0.75,0.74,0.73,0.75,0.73,0.73,0.73,0.73,0.74,0.79,0.84,0.81,0.74,0.66,0.61
Mozambique_South,Q4,d3,0.62,0.58,0.55,0.54,0.54,0.55,0.69,0.76,0.83,0.86,0.85,0.83,0.78,0.78,0.8,0.81,0.83,0.84,0.89,0.91,0.88,0.81,0.73,0.65
