,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cap-de-biches_CCGT_SEN,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Yakaar,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CCGT_Senegal,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_LNG_SEN,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CCGT_TOG,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_LNG_TOG,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CC_GAS_CAND_MAU,1,1,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Benin,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Burkina,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Gambia,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Ghana,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Guinea,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_GuineaBissau,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_IvoryCoast,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Liberia,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Mali,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Niger,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
AFAMIII_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ALAOJI2+NIPP_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ALSCON1_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ALSCON2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ASCO_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
AZIKELIPP123_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
BENCO_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
BRESSONASNIGERIA_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
BRESSONNIGERIALTD_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CENTURYIPP_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CHEVRONAGURA_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CumminsPowerGenLTD_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
DELTAIII2IV_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
DELTASTATEIPP_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
EGBEMAII_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
EGBIN2_1_2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ELEME_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ESSAR_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ETHIOPE1_2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GBARAIN/UBIE2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GBARAIN/UBIE3_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GBARAIN/UBIEI_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GEREGUFGN1-2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
HUDSONPOWER_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
IBOMII_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
IKOTABASI_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
KADUNAIPP_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
KADUNAIPP2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
LAFARGEPHASEI_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
LAFARGEPHASEII_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MBH_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OATS_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OKPAIIPPII-AGIP1_2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OMAPOWERGENERATIONCOMPANY_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OMOTOSHOII2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ONDOIPP-KingLine_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ONDOIPP-KingLine12_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
PARAS_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
PROTON_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
QUAIBOEPOWERPLANT_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
SAPELEPOWERPLC_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
SAPELEPOWERPLC2_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
SUPERTEK_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
TOTALFINAELF_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
TURBINEDRIVE_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
WESTCOM_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
YELLOWSTONE_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
ZUMA_IPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CALABAR/ODUKPANI-NIPP1,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CALABAR/ODUKPANI-NIPP2,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
EGBEMAI-NIPP1,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
EGBEMAI-NIPP23,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GEREGUNIPP2,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GEREGUNIPP3,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
IHOVBOR(EYAEN)2-NIPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OMOKU-NIPP1,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
OMOKU-NIPP2,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
SAPELE2-NIPP,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Senegal,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
CAND_GT_HFO,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_Togo,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GT_CAND_MAU,1,1,1,1,0.99,0.98,0.96,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Bembéréké,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
Bohicon,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
Djougou,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
Natitingou-Kandi,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
Onigbolo,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
Parakou3,1,1,1,0.971,0.942,0.913,0.884,0.855,0.826,0.797,0.768,0.739,0.71,0.7005,0.691,0.6815,0.672,0.6625,0.653,0.6435,0.634,0.6245,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
