,,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Niger,Peak,,,,,,,,250,300,350,374.1657387,400,430.886938,464.1588834,500,531.3292846,564.6216173,600,640,680,722.84,768.37892,816.786792,868.2443599,922.9437545,981.0892111,1042.897831,1108.600395,1178.44222,1252.684079,1331.603176,1415.494177,1504.67031,1599.464539,1700.230805
Nigeria,Peak,,,,,,,,3518.786819,3800,4104.142683,4427.201901,4775.694908,5151.619027,5454.253029,5774.661367,6063.088118,6365.899253,6683.882707,7018.418891,7369.629967,7698.852175,8042.733628,8402.007288,8734.100265,9079.264402,9398.83594,9729.585153,10072.00068,10426.51009,10793.41877,11134.24621,11485.88485,11848.579,12222.69515,12608.66085
Senegal,Peak,,,,,,,,1076.21,1461.21,1726.76,1790.86,1828.92,1916.39,1962.51,2057.2,2112.327247,2168.93175,2227.053097,2286.731935,2348.01,2411.40627,2476.514239,2543.380124,2612.051387,2682.576775,2755.006347,2829.391519,2905.78509,2984.241287,3064.815802,3147.565829,3232.550106,3319.828959,3409.464341,3501.519878
SierraLeone,Peak,,,,,,,,102,107,112,116,122,127,133,139,145,152,159,164,169,174,179,185,190,196,202.8979651,210.0386951,217.4307339,225.0829258,233.0044266,240.362199,247.9523138,255.782108,263.8591499,272.1912473
Togo,Peak,,,,,,,,425,464,504,558,589,658,681,703,724,747,768,790,811,835,860,886,913,940,973.0820776,1007.328436,1042.78005,1079.479338,1117.470209,1152.757485,1189.159056,1226.71011,1265.446944,1305.407002
Burkina,Energy,,,,,,,,2643.61,2802.00812,3036.874298,3288.126488,3561.226694,3856.174917,4172.971157,4522.539421,4893.955702,5281.757996,5702.332314,6155.678657,6641.797025,6838.429174,7045.985331,7259.003492,7477.483657,7701.425826,7972.467493,8253.048118,8543.503414,8844.180906,9155.440351,9444.549221,9742.787518,10050.44353,10367.81465,10695.20766
Benin,Energy,,,,,,,,2541.5,2749.21875,3011.921875,3231.859375,3457.90625,3696.171875,3964.984375,4294.890625,4545.375,4808.078125,5040.234375,5266.28125,5504.546875,5712.265625,5956.640625,6194.90625,6439.28125,6677.546875,6912.554453,7155.832818,7407.673048,7668.376467,7938.255004,8188.927811,8447.516319,8714.270489,8989.448174,9273.315372
IvoryCoast,Energy,,,,,,,,12560,13686,14883,16072,17163,18283,19392,20557,21661,22811,24006,25261,26606,27951,29366,30830,32352,34047,35749.35,37536.8175,39413.65838,41384.34129,43453.55836,45626.23628,47907.54809,50302.92549,52818.07177,55458.97536
Gambia,Energy,,,,,,,,521.2519694,592.3452547,673.1349162,713.6852124,754.2355085,794.7858047,839.3911304,883.9964562,924.5467524,965.0970485,1005.647345,1050.25267,1098.913026,1147.573381,1196.233737,1248.949122,1301.664507,1350.324862,1397.847789,1447.043225,1497.970029,1550.689136,1605.263624,1655.954353,1708.245786,1762.188468,1817.834542,1875.237798
GuineaBissau,Energy,,,,,,,,142.706,159.2210591,199.0263238,351.6131721,398.0526477,444.4921232,490.9315988,530.7368635,570.5421283,630.2500255,696.5921334,762.9342413,829.2763493,895.6184572,942.0579328,1008.400041,1074.742149,1141.084257,1207.426365,1326.842159,1373.538643,1421.878549,1471.919716,1518.399735,1566.347492,1615.809335,1666.833075,1719.468034
Guinea,Energy,,,,,,,3263,3426.15,3597.4575,3777.330375,3966.196894,4164.506738,4372.732075,4591.368679,4820.937113,5061.983969,5315.083167,5580.837326,5859.879192,6152.873151,6460.516809,6783.542649,7122.719782,7478.855771,7852.79856,8245.438488,8657.710412,9090.595932,9545.125729,10022.38202,10523.50112,11049.67617,11602.15998,12182.26798,12791.38138
Ghana,Energy,,,,,,,,24119.5,25944.9694,27744.54563,29518.22866,30981.19351,32567.15097,34179.00161,35913.84487,37583.95518,39279.95867,41001.85534,42995.63043,44788.73336,46847.24141,48653.29093,50724.74557,52666.7343,54725.24235,56651.22609,58644.99232,60708.92655,62845.49827,65057.26386,67111.63058,69230.86973,71417.02984,73672.22412,75998.63252
Liberia,Energy,,,,,,,,1207.43,1326.846154,1446.262308,1578.946923,1711.631538,1857.584615,2010.171923,2176.027692,2348.517692,2534.276154,2726.668846,2806.279615,3065.014615,3343.652308,3648.826923,3980.538462,4345.421154,4743.475,4910.415434,5083.231119,5262.128828,5447.322609,5639.034044,5817.102459,6000.793887,6190.285891,6385.761639,6587.410086
Mali,Energy,,,,,,,,4145.81,4338.231561,4536.484079,4746.398509,4967.974852,5195.382152,5440.282321,5691.013446,5953.406484,6233.292391,6519.009255,6717.261772,6915.51429,7125.42872,7335.34315,7556.919494,7784.326793,8017.565049,8299.732825,8591.831128,8894.209451,9207.229586,9531.266057,9832.242684,10142.7235,10463.00862,10793.40765,11134.23995
Mauritania_grid,Energy,,,,,,,,2388.69,2640.512378,2918.882575,3134.074426,3365.131092,3613.222192,3954.935681,4328.966061,4698.99776,5100.659057,5536.653589,6128.924336,6784.55188,7471.844044,8228.760632,9062.354774,9980.394099,10991.43312,11378.26231,11778.70545,12193.24167,12622.36696,13066.59475,13479.20936,13904.85344,14343.93843,14796.88877,15264.14229
Niger,Energy,,,,,,,,1243.75,1492.5,1741.25,1861.47455,1990,2143.662517,2309.190445,2487.5,2643.363191,2808.992546,2985,3184,3383,3596.129,3822.685127,4063.51429,4319.51569,4591.645179,4880.918825,5188.416711,5515.286964,5862.750043,6232.103295,6624.725803,7042.083528,7485.734791,7957.336082,8458.648256
Nigeria,Energy,,,,,,,,22193.69222,23967.36,25885.64873,27923.24783,30121.26292,32492.29153,34401.06471,36421.94417,38241.10938,40150.99977,42156.58501,44266.57163,46481.73013,48558.20044,50727.12954,52993.14037,55087.71719,57264.73643,59280.33804,61366.43948,63526.1227,65762.08442,68076.25087,70225.91772,72443.77293,74731.35748,77090.98283,79525.34571
Senegal,Energy,,,,,,,,6719.04,9122.688359,10780.5814,11180.77325,11418.39105,11964.48748,12252.42582,12843.59845,13187.77122,13541.16686,13904.03252,14276.62198,14659.1958,15054.99409,15461.47893,15878.93886,16307.67021,16747.9773,17200.17269,17664.57735,18141.52094,18631.342,19134.38824,19651.01672,20181.59417,20726.49722,21286.11264,21860.83768
SierraLeone,Energy,,,,,,,,676.689,709.8600294,743.0310588,769.5678824,809.3731176,842.5441471,882.3493824,922.1546176,961.9598529,1008.399294,1054.838735,1088.009765,1121.180794,1154.351824,1187.522853,1227.328088,1260.499118,1300.304353,1346.066874,1393.439947,1442.480254,1493.24647,1545.799338,1594.612315,1644.966699,1696.911165,1750.495925,1805.772774
Togo,Energy,,,,,,,,2733.05,2983.847529,3241.075765,3588.333882,3787.685765,4231.404471,4379.310706,4520.786235,4655.831059,4803.737294,4938.782118,5080.257647,5215.302471,5369.639412,5530.407059,5697.605412,5871.234471,6044.863529,6257.60464,6477.832898,6705.811802,6941.814128,7186.122248,7413.04434,7647.132138,7888.611918,8137.717104,8394.688489
Mauritania_Nema,Peak,,,,,,,,23.80385967,24.80385967,25.80385967,26.80385967,27.80385967,28.80385967,29.80385967,30.80385967,31.80385967,32.80385967,33.80385967,34.80385967,35.80385967,36.80385967,37.80385967,38.80385967,39.80385967,40.80385967,41.80385967,42.80385967,43.80385967,44.80385967,45.80385967,46.80385967,47.80385967,48.80385967,49.80385967,50.80385967
Mauritania_Nema,Energy,,,,,,,,157.92,164.5542182,171.1884365,177.8226547,184.456873,191.0910912,197.7253094,204.3595277,210.9937459,217.6279642,224.2621824,230.8964007,237.5306189,244.1648371,250.7990554,257.4332736,264.0674919,270.7017101,277.3359283,283.9701466,290.6043648,297.2385831,303.8728013,310.5070195,317.1412378,323.775456,330.4096743,337.0438925
