,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
guinea,9,1,0.733416364,0.704329186,0.678414028,0.662439366,0.659462721,0.675508996,0.711640407,0.701573176,0.703848007,0.700595069,0.698044221,0.70748471,0.717195072,0.716304729,0.719174774,0.725003656,0.737355931,0.762105719,0.824883868,0.898265248,0.909383978,0.886588528,0.845693143,0.791108914
guinea,9,2,0.733416364,0.704329186,0.678414028,0.662439366,0.659462721,0.675508996,0.711640407,0.701573176,0.703848007,0.700595069,0.698044221,0.70748471,0.717195072,0.716304729,0.719174774,0.725003656,0.737355931,0.762105719,0.824883868,0.898265248,0.909383978,0.886588528,0.845693143,0.791108914
guinea,9,3,0.733416364,0.704329186,0.678414028,0.662439366,0.659462721,0.675508996,0.711640407,0.701573176,0.703848007,0.700595069,0.698044221,0.70748471,0.717195072,0.716304729,0.719174774,0.725003656,0.737355931,0.762105719,0.824883868,0.898265248,0.909383978,0.886588528,0.845693143,0.791108914
guinea,10,1,0.774016437,0.743319067,0.715969312,0.699110333,0.695968908,0.712903465,0.751035019,0.740410491,0.742811251,0.739378239,0.736686182,0.746649273,0.756897176,0.755957546,0.758986469,0.765138023,0.778174089,0.804293963,0.870547351,0.947990939,0.959725174,0.935667825,0.892508575,0.834902702
guinea,10,2,0.774016437,0.743319067,0.715969312,0.699110333,0.695968908,0.712903465,0.751035019,0.740410491,0.742811251,0.739378239,0.736686182,0.746649273,0.756897176,0.755957546,0.758986469,0.765138023,0.778174089,0.804293963,0.870547351,0.947990939,0.959725174,0.935667825,0.892508575,0.834902702
guinea,10,3,0.774016437,0.743319067,0.715969312,0.699110333,0.695968908,0.712903465,0.751035019,0.740410491,0.742811251,0.739378239,0.736686182,0.746649273,0.756897176,0.755957546,0.758986469,0.765138023,0.778174089,0.804293963,0.870547351,0.947990939,0.959725174,0.935667825,0.892508575,0.834902702
guinea,11,1,0.806498004,0.774512421,0.746014933,0.728448469,0.725175214,0.742820429,0.782552171,0.771481786,0.773983294,0.770406215,0.767601186,0.777982378,0.788660334,0.787681273,0.790837304,0.797247008,0.810830132,0.838046125,0.907079834,0.987773338,1,0.974933086,0.92996266,0.869939358
guinea,11,2,0.806498004,0.774512421,0.746014933,0.728448469,0.725175214,0.742820429,0.782552171,0.771481786,0.773983294,0.770406215,0.767601186,0.777982378,0.788660334,0.787681273,0.790837304,0.797247008,0.810830132,0.838046125,0.907079834,0.987773338,1,0.974933086,0.92996266,0.869939358
guinea,11,3,0.806498004,0.774512421,0.746014933,0.728448469,0.725175214,0.742820429,0.782552171,0.771481786,0.773983294,0.770406215,0.767601186,0.777982378,0.788660334,0.787681273,0.790837304,0.797247008,0.810830132,0.838046125,0.907079834,0.987773338,1,0.974933086,0.92996266,0.869939358
guinea,12,1,0.770465059,0.739908536,0.712684267,0.695902642,0.692775631,0.709632488,0.747589084,0.737013305,0.739403049,0.735985789,0.733306084,0.743223462,0.753424345,0.752489026,0.755504052,0.761627381,0.774603634,0.800603664,0.866553065,0.943641322,0.955321717,0.93137475,0.888413525,0.831071962
guinea,12,2,0.770465059,0.739908536,0.712684267,0.695902642,0.692775631,0.709632488,0.747589084,0.737013305,0.739403049,0.735985789,0.733306084,0.743223462,0.753424345,0.752489026,0.755504052,0.761627381,0.774603634,0.800603664,0.866553065,0.943641322,0.955321717,0.93137475,0.888413525,0.831071962
guinea,12,3,0.770465059,0.739908536,0.712684267,0.695902642,0.692775631,0.709632488,0.747589084,0.737013305,0.739403049,0.735985789,0.733306084,0.743223462,0.753424345,0.752489026,0.755504052,0.761627381,0.774603634,0.800603664,0.866553065,0.943641322,0.955321717,0.93137475,0.888413525,0.831071962
