,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,low,low,low,low,low,low,low,low,low,low,low,low,full,full,full,full,full,full,full,full,full,full,full,full
Kouravel_IPP,0.160294703,0.154320988,0.160294703,0.158436214,0.160294703,0.180041152,0.292712067,0.390282756,0.388888889,0.390282756,0.223251029,0.188172043,0.114496217,0.110229277,0.114496217,0.113168724,0.114496217,0.128600823,0.209080048,0.278773397,0.277777778,0.278773397,0.159465021,0.134408602,0.23,0.22,0.23,0.23,0.23,0.26,0.42,0.56,0.56,0.56,0.32,0.27
Lafou,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Morisakano,0.517473118,0.447916667,0.432795699,0.427777778,0.423387097,0.641666667,0.564516129,0.639784946,0.641666667,0.639784946,0.641666667,0.620967742,0.369623656,0.319940476,0.309139785,0.305555556,0.302419355,0.458333333,0.403225806,0.456989247,0.458333333,0.456989247,0.458333333,0.443548387,0.74,0.64,0.62,0.61,0.6,0.92,0.81,0.91,0.92,0.91,0.92,0.89
Nzébéla,0.243926722,0.192901235,0.209080048,0.216049383,0.243926722,0.324074074,0.487853445,0.662086818,0.648148148,0.662086818,0.360082305,0.313620072,0.174233373,0.137786596,0.149342891,0.154320988,0.174233373,0.231481481,0.348466746,0.472919156,0.462962963,0.472919156,0.257201646,0.224014337,0.35,0.28,0.3,0.31,0.35,0.46,0.7,0.95,0.93,0.95,0.51,0.45
OFSHORE_WIND_GUI,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Poudaldé,0.4390681,0.358796296,0.324074074,0.291666667,0.282258065,0.356481481,0.491338112,0.564516129,0.561728395,0.564516129,0.507716049,0.292712067,0.313620072,0.256283069,0.231481481,0.208333333,0.201612903,0.25462963,0.350955795,0.403225806,0.401234568,0.403225806,0.362654321,0.209080048,0.63,0.51,0.46,0.42,0.4,0.51,0.7,0.81,0.8,0.81,0.73,0.42
PV_CAND_2024_Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PV_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sambangalou_GUI_IPP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Souapiti_IPP,0.428614098,0.421296296,0.405615293,0.397530864,0.411887694,0.483950617,0.401433692,0.401433692,0.401851852,0.428614098,0.419135802,0.497610514,0.306152927,0.300925926,0.289725209,0.283950617,0.294205496,0.345679012,0.286738351,0.286738351,0.287037037,0.306152927,0.299382716,0.355436081,0.61,0.6,0.58,0.57,0.59,0.69,0.57,0.57,0.57,0.61,0.6,0.71
Storage_CAND_2027_Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Storage_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TeneI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tinkisso,0.564516129,0.347222222,0,0,0,0.648148148,0.627240143,0.627240143,0.648148148,0.627240143,0.648148148,0.627240143,0.403225806,0.248015873,0,0,0,0.462962963,0.448028674,0.448028674,0.462962963,0.448028674,0.462962963,0.448028674,0.81,0.5,0,0,0,0.93,0.9,0.9,0.93,0.9,0.93,0.9
Tiopo,0.64516129,0.64484127,0.64516129,0.592592593,0.573476703,0.648148148,0.609318996,0.64516129,0.648148148,0.64516129,0.648148148,0.367383513,0.460829493,0.460600907,0.460829493,0.423280423,0.409626216,0.462962963,0.435227855,0.460829493,0.462962963,0.460829493,0.462962963,0.262416795,0.92,0.92,0.92,0.85,0.82,0.93,0.87,0.92,0.93,0.92,0.93,0.52
WIND_CAND_GUI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
