Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit,Error
PV_CAND_2024_Guinea,2024,2050,5,30000,0,0,1,1,0,0,17000,0,0,0.97,25,23.24315584,30000,0,6,4,,3,0,1,0,,,1,1,81144.21316
PV_CAND_2030_Guinea,2030,2051,5,30000,0,0,1,1,0,0,17000,0,0,0.97,25,1000,30000,0,6,4,,3,0,1,0,,,1,1,82127.97
Karpowership_GU,2021,2050,5,115,0.85,9.575795629,1,1,0,0.2,17000,10,0,0,0,115,115,0,10,7,,1,9.575795629,0,115,,,0,1,21471.20159
Kipé_IPP,2016,2066,5,50,0.5,9.575795629,1,1,0,0.2,17000,10,0,0,0,50,50,0,10,7,,1,9.575795629,0,50,,,0,1,21286.85159
G-Energie_IPP,2015,2065,5,42.5,0.5,10.5881489,1,1,0,0.2,8000,10,0,0,0,42.5,42.5,0,10,11,7,1,10.6,0,42.5,,,0,1,12275.38815
Kaloum5,2005,2055,5,30,0.06,9.575795629,1,1,0,0.2,17000,10,0,0,0,30,30,0,10,7,,1,9.575795629,0,30,,,0,1,21204.41159
Kaloum3,1997,2047,5,24,0.06,9.575795629,1,1,0,0.2,17000,10,0,0,0,24,24,0,10,7,,1,9.575795629,0,24,,,0,1,21170.41159
Kaloum1_IPP,2015,2065,5,22,0.5,9.575795629,1,1,0,0.2,17000,10,0,0,0,22,22,0,10,7,,1,9.575795629,0,22,,,0,1,21200.85159
Kaloum2_IPP,2016,2066,5,22,0.5,9.575795629,1,1,0,0.2,17000,10,0,0,0,22,22,0,10,7,,1,9.575795629,0,22,,,0,1,21202.85159
TeneI,2042,2092,5,76.4,0,0,1,1,0,0.10,39529,0,0,1.98,50,76.4,76.4,0,4,3,,3,0,0,76.4,,,1,1,43961.07225
Tiopo,2043,2093,5,105,0,0,1,1,0,0.20,36875,0,0,2.46,50,120,105,0,4,3,,3,0,0,120,,,1,1,41440.65833
Storage_CAND_2027_Guinea,2027,2050,5,30000,0,0,1,1,0,0.5,13873.86,0,0,0.4,20,19.45709629,30000,0,17,10,,3,0,0,0,,,0,1,78028.2171
Storage_CAND_2030_Guinea,2030,2050,5,30000,0,0,1,1,0,0.5,13873.86,0,0,0.4,20,1000,30000,0,17,10,,3,0,0,0,,,0,1,79011.76
