,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SierraLeone,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Liberia,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Liberia,Coal,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Senegal,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Togo,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Benin,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Togo,Gas,1.00E-18,11.2055,12.50125,13.797,15.09275,16.3885,17.68425,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98,18.98
Benin,Gas,1.00E-18,8.1468,10.41722167,12.68764333,14.958065,17.22848667,19.49890833,21.76933,23.161148,24.552966,25.944784,27.336602,28.72842,30.120238,31.512056,32.903874,34.295692,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751,35.68751
Burkina,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
IvoryCoast,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Ghana,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,30,40,50,60,70,80,90,100,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Guinea,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
GuineaBissau,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Liberia,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Mali,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Niger,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
SierraLeone,LNG,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Niger,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18,1.00E-18
Mauritania,Gas,1.00E-18,1.00E-18,1.00E-18,1.00E-18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
