Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,VRETech,UnitSize,pvwsto,stowpv,RE_Flag,CapacityCredit
Fomi,2030,2080,5,90,0,0,1,1,0,0.1,71340,0,0,3.567,50,90,90,0,4,3,,1,0,0,90,,,1,1
Koukoutamba,2030,2080,5,294,0,0,1,1,0,0.1,68020,0,0,3.401,50,280,280,0,4,3,,1,0,0,280,,,1,1
Grand Chutes,1954,2060,5,28,0,0,1,1,0,0.1,20000,0,0,2.5,0,28,28,0,4,3,,1,0,0,28,,,1,1
Donkea,1970,2060,5,15,0,0,1,1,0,0.1,20000,0,0,2.5,0,15,15,0,4,3,,1,0,0,15,,,1,1
Baneah,1989,2060,5,5,0,0,1,1,0,0.1,20000,0,0,2.5,0,5,5,0,4,3,,1,0,0,5,,,1,1
Garafiri,1999,2069,5,75,0,0,1,1,0,0.1,20000,0,0,2.5,0,75,75,0,4,3,,1,0,0,75,,,1,1
Kaleta,2015,2085,5,240,0,0,1,1,0,0.1,43840,0,0,2.192,0,240,240,0,4,3,,1,0,0,240,,,1,1
Souapiti,2021,2091,5,475,0,0,1,1,0,0.1,68320,0,0,3.416,50,475,475,0,4,3,,1,0,0,475,,,1,1
Karpowership_IPP,2021,2050,5,115,0.85,9.575795629,1,1,0,0.2,0,250,0,0,0,115,115,0,10,7,,1,9.575795629,0,115,,,0,1
Kipe_IPP,2016,2066,5,50,0.5,9.575795629,1,1,0,0.2,0,50,0,0,0,50,50,0,10,7,,1,9.575795629,0,50,,,0,1
GDE_IPP,2015,2065,5,40,0.5,10.5881489,1,1,0,0.2,0,280,0,0,0,42.5,42.5,0,10,7,,1,10.6,0,42.5,,,0,1
Kaloum5,2005,2055,5,30,0.06,9.575795629,1,1,0,0.2,17000,7,0,2.6,0,30,30,0,10,7,,1,9.575795629,0,30,,,0,1
Kaloum3_IPP,1997,2047,5,24,0.06,9.575795629,1,1,0,0.2,0,100,0,0,0,24,24,0,10,7,,1,9.575795629,0,24,,,0,1
Kaloum1_IPP,2015,2065,5,22,0.5,9.575795629,1,1,0,0.2,0,50,0,0,0,22,22,0,10,7,,1,9.575795629,0,22,,,0,1
Kaloum2_IPP,2016,2066,5,22,0.5,9.575795629,1,1,0,0.2,0,50,0,0,0,22,22,0,10,7,,1,9.575795629,0,22,,,0,1
Te_IPP,2020,2050,5,50,0.5,10.5881489,1,1,0,0.2,0,100,0,0,0,50,50,0,10,7,,1,9,0,50,,,0,1
