,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Guinea,3,3,0.624183007,0.604302832,0.553921569,0.555010893,0.534586057,0.529139434,0.41748366,0.409586057,0.376633987,0.381808279,0.376361656,0.375272331,0.398148148,0.397603486,0.376361656,0.12745098,0.25462963,0.419389978,0.594498911,0.677559913,0.670479303,0.659313725,0.658769063,0.650054466
Guinea,3,4,0.663943355,0.645152505,0.62254902,0.62037037,0.630446623,0.635620915,0.669117647,0.524237473,0.524782135,0.50708061,0.506808279,0.508442266,0.503267974,0.504084967,0.486111111,0.524509804,0.562091503,0.579793028,0.715958606,0.775326797,0.77124183,0.769335512,0.730936819,0.70288671
Guinea,4,1,0.663126362,0.638616558,0.621732026,0.611655773,0.62254902,0.633442266,0.679466231,0.668845316,0.610021786,0.430827887,0.431100218,0.442265795,0.444989107,0.43164488,0.445533769,0.432461874,0.489106754,0.625272331,0.641067538,0.738562092,0.748093682,0.748638344,0.70043573,0.562363834
Guinea,4,2,0.63671024,0.641339869,0.626906318,0.630174292,0.630174292,0.630991285,0.652777778,0.445533769,0.385076253,0.376361656,0.382897603,0.38453159,0.36546841,0.379901961,0.373910675,0.510348584,0.541122004,0.577069717,0.638344227,0.734204793,0.731753813,0.685729847,0.685457516,0.66040305
Guinea,4,3,0.652233115,0.666666667,0.602941176,0.602941176,0.602941176,0.460511983,0.416394336,0.384803922,0.382352941,0.38916122,0.411220044,0.416394336,0.411764706,0.409041394,0.413671024,0.411764706,0.419389978,0.599400871,0.63916122,0.713235294,0.720588235,0.699618736,0.675653595,0.656318083
Guinea,4,4,0.673747277,0.644607843,0.681100218,0.618191721,0.632897603,0.631263617,0.543572985,0.506535948,0.441448802,0.425925926,0.426198257,0.414760349,0.440904139,0.411764706,0.418845316,0.51879085,0.582244009,0.601034858,0.619825708,0.73583878,0.728485839,0.728213508,0.692538126,0.697167756
Guinea,5,1,0.654411765,0.638616558,0.631263617,0.66040305,0.629901961,0.648965142,0.694989107,0.651143791,0.61546841,0.587962963,0.433278867,0.449618736,0.452614379,0.449346405,0.445533769,0.445261438,0.445261438,0.513071895,0.67456427,0.723311547,0.717320261,0.726034858,0.681917211,0.688997821
Guinea,5,2,0.680010893,0.696895425,0.685457516,0.657135076,0.629901961,0.671023965,0.644063181,0.51879085,0.545479303,0.533224401,0.256808279,0.226034858,0.237472767,0.237472767,0.236928105,0.480392157,0.632625272,0.545751634,0.649509804,0.721132898,0.726851852,0.711601307,0.70288671,0.694172113
Guinea,5,3,0.636437908,0.636437908,0.575163399,0.625272331,0.626906318,0.622276688,0.455882353,0.366557734,0.34204793,0.35620915,0.322712418,0.328431373,0.328431373,0.328431373,0.322984749,0.434095861,0.515795207,0.506535948,0.602941176,0.65087146,0.668572985,0.65795207,0.631263617,0.598311547
Guinea,5,4,0.672930283,0.670751634,0.651688453,0.638344227,0.636165577,0.64624183,0.475490196,0.413943355,0.375272331,0.381263617,0.375,0.372004357,0.364379085,0.37254902,0.485294118,0.50953159,0.551742919,0.599673203,0.627178649,0.6958061,0.717320261,0.69335512,0.691176471,0.689814815
Guinea,6,1,0.700980392,0.677287582,0.670751634,0.660130719,0.653050109,0.662581699,0.681917211,0.612472767,0.486928105,0.386437908,0.385893246,0.364923747,0.510076253,0.595315904,0.537854031,0.49537037,0.49291939,0.505446623,0.630174292,0.731481481,0.732570806,0.746459695,0.724400871,0.706427015
Guinea,6,2,0.624074074,0.625953159,0.621187364,0.617647059,0.620043573,0.651198257,0.650408497,0.643518519,0.534586057,0.623638344,0.517156863,0.484477124,0.515659041,0.593409586,0.616149237,0.540577342,0.601579521,0.588235294,0.629084967,0.727124183,0.732026144,0.720043573,0.720043573,0.671840959
Guinea,6,3,0.292755991,0.133442266,0.209422658,0.111655773,0.319172113,0.421568627,0.450708061,0.448801743,0.49291939,0.475490196,0.492647059,0.409313725,0.427832244,0.439814815,0.462690632,0.371459695,0.406590414,0.416122004,0.631535948,0.672385621,0.701525054,0.709150327,0.704248366,0.675381264
Guinea,6,4,0.583605664,0.580337691,0.578159041,0.57788671,0.579520697,0.58959695,0.559095861,0.482843137,0.510076253,0.515795207,0.358660131,0.35375817,0.367647059,0.47630719,0.466503268,0.458061002,0.510348584,0.498910675,0.585511983,0.660130719,0.668300654,0.654411765,0.615740741,0.583333333
Guinea,7,1,0.639978214,0.624183007,0.629901961,0.622276688,0.622821351,0.617374728,0.617102397,0.613562092,0.664488017,0.658496732,0.652233115,0.588779956,0.588779956,0.581971678,0.616830065,0.621459695,0.642429194,0.65087146,0.68164488,0.810457516,0.818627451,0.818627451,0.767973856,0.686819172
Guinea,7,2,0.636982571,0.596405229,0.571623094,0.574891068,0.570261438,0.589052288,0.571350763,0.606481481,0.605664488,0.619281046,0.629901961,0.587690632,0.561819172,0.589052288,0.546023965,0.574618736,0.564542484,0.606753813,0.658769063,0.750272331,0.758714597,0.753267974,0.672930283,0.614106754
Guinea,7,3,0.580065359,0.545751634,0.537854031,0.531862745,0.520697168,0.529411765,0.529684096,0.54248366,0.547930283,0.524509804,0.505991285,0.504357298,0.532407407,0.555010893,0.557189542,0.532407407,0.52709695,0.499046841,0.132897603,0.669934641,0.425108932,0.613834423,0.662854031,0.59204793
Guinea,7,4,0.661492375,0.630718954,0.630446623,0.685729847,0.618191721,0.647875817,0.631535948,0.615740741,0.565305011,0.591857298,0.567538126,0.577342048,0.563316993,0.60961329,0.580610022,0.595043573,0.500953159,0.658905229,0.770152505,0.811002179,0.792211329,0.729030501,0.625544662,0.6083878
Guinea,8,1,0.675925926,0.667211329,0.626633987,0.604302832,0.611928105,0.615740741,0.640795207,0.664488017,0.673747277,0.686546841,0.635348584,0.616557734,0.640522876,0.62412854,0.618191721,0.588507625,0.614242919,0.613153595,0.692538126,0.847222222,0.856481481,0.868736383,0.817810458,0.742102397
Guinea,8,2,0.620098039,0.606481481,0.590141612,0.579248366,0.571078431,0.554738562,0.584694989,0.587962963,0.582380174,0.587145969,0.584422658,0.546840959,0.563180828,0.574618736,0.599400871,0.611928105,0.606753813,0.585239651,0.617647059,0.802015251,0.810457516,0.793300654,0.736111111,0.697440087
Guinea,8,3,0.62745098,0.616557734,0.611111111,0.588779956,0.586873638,0.584150327,0.577478214,0.633714597,0.671840959,0.612472767,0.634259259,0.598583878,0.586873638,0.585239651,0.581971678,0.571895425,0.573801743,0.587118736,0.65087146,0.757625272,0.785130719,0.79003268,0.719771242,0.677287582
Guinea,8,4,0.619553377,0.61328976,0.53540305,0.541938998,0.524782135,0.533224401,0.539215686,0.562908497,0.582788671,0.585784314,0.572167756,0.518518519,0.54003268,0.529411765,0.545206972,0.544389978,0.577069717,0.577614379,0.79003268,0.68164488,0.734204793,0.709422658,0.661492375,0.607298475
Guinea,9,1,0.16625817,0.401007625,0.548202614,0.587145969,0.588235294,0.623910675,0.641067538,0.663671024,0.666394336,0.667211329,0.67211329,0.640795207,0.642973856,0.632625272,0.633986928,0.643246187,0.637527233,0.653050109,0.541394336,0.515522876,0.714869281,0.763888889,0.732026144,0.681917211
Guinea,9,2,0.638344227,0.624727669,0.604302832,0.587962963,0.589324619,0.598311547,0.595860566,0.606753813,0.617102397,0.611928105,0.619281046,0.616285403,0.599673203,0.546160131,0.637799564,0.644335512,0.676742919,0.793845316,0.795206972,0.791394336,0.916666667,0.831427015,0.835239651,0.778867102
Guinea,9,3,0.609477124,0.514433551,0.473856209,0.427287582,0.50708061,0.551198257,0.580882353,0.598583878,0.589869281,0.568491285,0.585784314,0.55541939,0.566448802,0.600898693,0.588507625,0.591367102,0.511437908,0.083469499,0.642973856,0.781045752,0.799836601,0.781045752,0.712418301,0.68164488
Guinea,9,4,0.589052288,0.581427015,0.576252723,0.562636166,0.577069717,0.591230937,0.593409586,0.60375817,0.635620915,0.62745098,0.610566449,0.602396514,0.602396514,0.572440087,0.585784314,0.593954248,0.608932462,0.6083878,0.690359477,0.744553377,0.820533769,0.80664488,0.716775599,0.643246187
Guinea,10,1,0.711873638,0.711873638,0.687091503,0.674019608,0.638616558,0.237336601,0.421568627,0.524782135,0.65332244,0.654139434,0.616557734,0.616013072,0.593681917,0.62962963,0.647058824,0.651960784,0.629901961,0.656590414,0.804738562,0.880174292,0.866557734,0.857843137,0.820261438,0.721132898
Guinea,10,2,0.755718954,0.703976035,0.70043573,0.683278867,0.701252723,0.706971678,0.733932462,0.694444444,0.682189542,0.662581699,0.672657952,0.656590414,0.654684096,0.662854031,0.697167756,0.661764706,0.690359477,0.747821351,0.828976035,0.907679739,0.925108932,0.912309368,0.850217865,0.682734205
Guinea,10,3,0.630991285,0.615740741,0.574346405,0.595860566,0.601388889,0.602859477,0.665849673,0.640686275,0.687363834,0.670751634,0.612472767,0.60375817,0.598311547,0.6083878,0.61328976,0.65577342,0.642701525,0.629084967,0.769063181,0.879357298,0.898965142,0.855392157,0.791938998,0.750816993
Guinea,10,4,0.643518519,0.691993464,0.684368192,0.683006536,0.638071895,0.309640523,0.497004357,0.595315904,0.559368192,0.548747277,0.556917211,0.551742919,0.581427015,0.614379085,0.600762527,0.653867102,0.650326797,0.656862745,0.787581699,0.857298475,0.883169935,0.850490196,0.818627451,0.741285403
Guinea,11,1,0.808551198,0.765795207,0.730119826,0.727396514,0.726851852,0.76416122,0.687636166,0.645152505,0.624319172,0.635620915,0.646650327,0.65087146,0.631263617,0.672930283,0.763616558,0.699346405,0.706427015,0.695533769,0.837418301,0.889705882,0.936002179,0.916122004,0.883442266,0.805283224
Guinea,11,2,0.776143791,0.730936819,0.710239651,0.708333333,0.707244009,0.735566449,0.789760349,0.709150327,0.685185185,0.676742919,0.643518519,0.49291939,0.524782135,0.512254902,0.537581699,0.533769063,0.597494553,0.708877996,0.823801743,0.894607843,0.915305011,0.875272331,0.843137255,0.79711329
Guinea,11,3,0.671568627,0.625544662,0.58959695,0.589052288,0.58959695,0.606753813,0.638071895,0.575980392,0.434368192,0.527777778,0.584150327,0.583333333,0.560457516,0.574346405,0.590413943,0.552287582,0.516339869,0.635076253,0.715686275,0.750953159,0.78880719,0.806372549,0.781590414,0.728213508
Guinea,11,4,0.741830065,0.725762527,0.709422658,0.704793028,0.70996732,0.710239651,0.761165577,0.690904139,0.624455338,0.659858388,0.576252723,0.6083878,0.611383442,0.613834423,0.580065359,0.601034858,0.720315904,0.712418301,0.819989107,0.882897603,0.892973856,0.869008715,0.813180828,0.718137255
Guinea,12,1,0.759259259,0.729847495,0.72412854,0.725217865,0.70288671,0.729030501,0.767429194,0.697167756,0.592592593,0.550925926,0.537581699,0.598856209,0.618191721,0.614106754,0.606481481,0.640795207,0.733115468,0.74754902,0.892701525,0.969771242,0.979575163,0.958333333,0.885893246,0.760620915
Guinea,12,2,0.65795207,0.627723312,0.627178649,0.632625272,0.632625272,0.644335512,0.644335512,0.583061002,0.553104575,0.571078431,0.565631808,0.446895425,0.451525054,0.35961329,0.455201525,0.476988017,0.593954248,0.661220044,0.819444444,0.93627451,0.942265795,0.952478214,0.87962963,0.819989107
Guinea,12,3,0.736383442,0.703431373,0.6791939,0.666122004,0.659858388,0.664215686,0.66748366,0.558006536,0.56372549,0.545479303,0.546840959,0.545206972,0.546296296,0.463235294,0.451525054,0.464188453,0.591639434,0.658088235,0.755991285,0.88916122,0.881263617,0.887254902,0.462418301,0.462962963
Guinea,12,4,0.728213508,0.615740741,0.582325708,0.581563181,0.585375817,0.600081699,0.613970588,0.559095861,0.437636166,0.42796841,0.429057734,0.4208878,0.434368192,0.466367102,0.524237473,0.508986928,0.537854031,0.659041394,0.835784314,0.921568627,0.918572985,0.911220044,0.813453159,0.75245098
