Plants,StYr,RetrYr,Zone,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,Type,fuel1,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize,Error,HydroCapacityFactor,HydroCapacityFactorQ1,HydroCapacityFactorQ2,HydroCapacityFactorQ3,HydroCapacityFactorQ4
Kilubi_HY_ZAR,1954,2060,13,10.8,0,0,1,1,0,0.27,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50606.62,0.54,,,,
Koni_HY_ZAR,1950,2060,13,42.12,0,0,1,1,0,0.39,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50634.06,0.78,,,,
MobayiMbongo_HY_ZAR,1990,2060,11,11.36,0,0,1,1,0,0.215,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50641.125,0.43,,,,
Mwadingusha_HY_ZAR,1954,2060,13,67.8,0,0,1,1,0,0.44,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50663.79,0.88,,,,
Nseke_HY_ZAR,1957,2060,13,260,0,0,1,1,0,0.41,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50858.96,0.82,,,,
Nzilo_HY_ZAR,1954,2060,13,108,0,0,1,1,0,0.31,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50703.86,0.62,,,,
Nzoro_HY_ZAR,2024,2060,11,108.4,0,0,1,1,0,0.193435172,46500,0.55,0,4.248837209,50,108.4,108.4,0,12,3,,3,0,0,0,0,50995.19227,0.38687345,,,,
Ruzizi12Tshopo_HY_ZAR,1972,2060,11,40,0,0,1,1,0,0.31,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50651.86,0.62,,,,
Nzongo_HY_ZAR,1965,2060,11,75,0,0,1,1,0,0.435,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50679.985,0.87,,,,
Muanda_TH_ZAR,2000,2050,11,4.8,0.06,9.990938997,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12132.65094,,,,,
Muela_HY_LSO,2000,2060,2,74,0,0,1,1,0,0.396,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50704.946,0.792,0.786,0.944,0.82,0.617
Mzuzu_Luwinga_ICE_MWI,2000,2060,12,4.5,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,10,11,,1,0,0,0,0,50695.76434,,,,,
Lilongwe,2000,2060,12,5.4,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,10,11,,1,0,0,0,0,50696.66434,,,,,
CahoraBassa_HY_MOZ,2000,2060,4,700,0,0,1,1,0,0.4,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51332.95,0.8,,,,
Existing_HY_MOZ,2000,2060,4,117,0,0,1,1,0,0.406440138,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50749.95644,0.812882758,,,,
Aggreko_TH_MOZ,2000,2018,4,55,0.06,9.990938997,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12143.85094,,,,,
Beloluane_TH_MOZ,2016,2066,4,0,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,14.32126767,0.4,0,0,21161.74254,,,,,
LuisCabral_TH_MOZ,2000,2050,4,50,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21163.02127,,,,,
Karpower_TH_MOZ,2000,2050,4,47,0.06,13.62126767,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12171.48127,,,,,
RessanoGarciaEDM/Sasol_TH_MOZ,2015,2065,4,170,0.06,9.990938997,1,1,0,0.4,8000,6.4,0,0,30,,,0,1,2,7,1,10.690939,0.5,0,0,12325.04188,,,,,
RessanoGarciaGigawatt_TH_MOZ,2016,2066,4,120,0.2,9.990938997,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,10.690939,0.5,0,0,21274.58188,,,,,
Temane_TH_MOZ,2000,2055,4,1.86,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,1,2,7,1,11.11544727,0.45,0,0,12132.70089,,,,,
Temane2_TH_MOZ,2014,2064,4,9.2,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,1,2,7,1,11.11544727,0.45,0,0,12163.04089,,,,,
Ruacana_HY_NAM,1975,2060,7,347,0,0,1,1,0,0.175,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50957.725,0.35,,,,
Anixas_TH_NAM,2011,2061,7,22.5,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12168.77545,,,,,
Paratus_TH_NAM,1976,2017,7,25.6,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12092.87545,,,,,
VanEck_TH_NAM,1972,2040,7,33,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,33,49109.8138,,,,,
ExistingHydro1985_HY_ZAF,1985,2060,1,44.1,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50658.835,0.37,,,,
DrakensbergPH_HY_ZAF,1985,2060,1,1000,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,17,3,,1,0,0,0,0,51620.35,,,,,
Gariep_HY_ZAF,1971,2060,1,360,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50960.735,0.37,,,,
Ingula_HY_ZAF,2017,2060,1,1324,,0,1,1,0,0.8,46500,0.55,0,0,50,0,0,0,17,3,,1,0,0,0,0,51976.35,,,,,
ExistingHydro2015_HY_ZAF,2015,2060,1,19,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50663.735,0.37,,,,
PalmietPH_HY_ZAF,1988,2060,1,400,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,17,3,,1,0,0,0,0,51023.35,,,,,
SreenbrasPH_HY_ZAF,1988,2060,1,180,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,17,3,,1,0,0,0,0,50803.35,,,,,
Vanderkloof_HY_ZAF,1977,2060,1,240,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50846.735,0.37,,,,
Acacia_TH_ZAF,1976,2026,1,171,0.2,11.26101378,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21230.66101,,,,,
Ankerlig(Atlantis)_TH_ZAF,2007,2057,1,1327,0.2,9.39286647,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,22446.79287,,,,,
Avon_TH_ZAF,2015,2065,1,837.5,0.2,13.62107811,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21977.52108,,,,,
Dedisa_TH_ZAF,2015,2065,1,335,0.2,13.62107811,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21475.02108,,,,,
Gourikwa_TH_ZAF,2007,2057,1,740,0.2,9.39286647,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21859.79287,,,,,
PortRexGas_TH_ZAF,1976,2026,1,171,0.2,11.26101378,1,1,0,0.2,17000,4,0,0,30,,,0,1,7,,1,0,0,0,0,21230.66101,,,,,
Sasolburg_TH_ZAF,2012,2062,1,174.6,0.06,9.990938997,1,1,0,0.4,8000,6.4,0,0,30,,,0,1,2,7,1,10.690939,0.05,0,0,12320.19188,,,,,
Secunda(SasolSynthetic)_TH_ZAF,2010,2060,1,150,0.2,11.49796803,1,1,0,0.2,17000,4,0,0,30,,,0,1,2,7,1,12.19796803,0.05,0,0,21292.14594,,,,,
Arnot1_TH_ZAF,1975,2027,1,1116,0.5,9.584325504,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,372,50174.97433,,,,,
Athlone_TH_ZAF,1962,2019,1,180,0.5,10.10657267,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,180,49218.49657,,,,,
Bloemfontein_TH_ZAF,1965,2015,1,103,0.5,10.10657267,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,103,49140.49657,,,,,
Camden_TH_ZAF,1967,2025,1,1481,0.5,10.21557163,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,185.125,50530.60557,,,,,
Duvha_TH_ZAF,1980,2033,1,2875,0.5,9.074399958,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,479.1666667,51944.4644,,,,,
Grootvlei_TH_ZAF,1969,2026,1,1120,0.5,10.37101361,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,186.6666667,50172.76101,,,,,
Hendrina_TH_ZAF,1976,2025,1,1638,0.5,9.976721742,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,163.8,50696.36672,,,,,
KelvinA_TH_ZAF,1957,2027,1,180,0.5,12.82112056,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,180,49224.21112,,,,,
KelvinB_TH_ZAF,1964,2027,1,420,0.5,12.32541227,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,420,49470.71541,,,,,
Kendal_TH_ZAF,1985,2042,1,3840,0.5,9.665837766,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,640,52924.05584,,,,,
Khanyisa_TH_ZAF,2021,2071,1,450,0.5,9.749245662,0.33,0.33,0,0.05,45000,0.13,0,0,30,0,0,0,13,1,,1,0,0.05,0,150,49599.13925,,,,,
KomatiI_TH_ZAF,1966,2020,1,500,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,500,49544.7638,,,,,
KomatiII_TH_ZAF,1966,2020,1,500,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,500,49544.7638,,,,,
Kriel_TH_ZAF,1979,2028,1,2850,0.5,9.246902652,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,950,51913.6369,,,,,
Kusile_I_TH_ZAF,2020,2070,1,3200,0.5,9.0990432,0.33,0.33,0,0.05,45000,0.13,0,0,30,0,0,0,13,1,,1,0,0.05,0,800,52346.48904,,,,,
Lethabo_TH_ZAF,1990,2038,1,3558,0.5,9.027009108,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,593,52642.41701,,,,,
MajubaI_TH_ZAF,1990,2051,1,1865.4,0.5,9.665837766,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,621.8,50963.45584,,,,,
MajubaII_TH_ZAF,1985,2051,1,2008.5,0.5,9.050704533,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,669.5,51100.9407,,,,,
Matimba_TH_ZAF,1987,2039,1,3690,0.5,9.584325504,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,615,52772.97433,,,,,
Matla_TH_ZAF,1979,2031,1,3450,0.5,9.074399958,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,575,52516.4644,,,,,
Medupi_TH_ZAF,2015,2065,1,4320,0.5,9.0990432,0.33,0.33,0,0.05,45000,0.13,0,0,30,0,0,0,13,1,,1,0,0.05,0,800,53456.48904,,,,,
PretoriaWest_TH_ZAF,1952,2019,1,180,0.5,13.09693531,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,180,49211.48694,,,,,
Rooiwal_TH_ZAF,1963,2019,1,300,0.5,12.32541227,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,300,49341.71541,,,,,
Secunda(SasolChemical)_TH_ZAF,2010,2060,1,130,0.5,12.08277112,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,130,49259.47277,,,,,
Tutuka_TH_ZAF,1985,2030,1,3510,0.5,8.979618258,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.05,0,610,52581.36962,,,,,
Koeberg_NU_ZAF,1985,2045,1,1800,0.7,10.53119469,0.1,0.1,0,0,100000,2.3,0,0,50,,,0,13,8,,1,0,0.6,0,1800,105917.3312,,,,,
Edwaleni1_HY_SWZ,2000,2060,3,10,0,0,1,1,0,0.152,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50641.702,0.34,,,,
Edwaleni2_HY_SWZ,2000,2060,3,5,0,0,1,1,0,0.152,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50636.702,0.34,,,,
Ezulwini_HY_SWZ,2000,2060,3,20,0,0,1,1,0,0.1,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50651.65,0.2,,,,
Maguduza_HY_SWZ,2000,2060,3,5.6,0,0,1,1,0,0.1835,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50637.3335,0.367,,,,
Maguga_HY_SWZ,2000,2060,3,19.8,0,0,1,1,0,0.1755,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50651.5255,0.351,,,,
EdwaleniThermal_TH_SWZ,2000,2050,3,9,0.06,11.73397446,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12130.59397,,,,,
Tanwat_Bio_TZA,2011,2051,10,2.7,0.3,10.8998955,1,1,0,0.8,48000,3,0,0,30,,,0,13,12,,1,0,0,0,2.7,52147.6999,,,,,
TPC_BIO_TZA,2010,2051,10,7.5,0.3,10.8998955,0.33,0.33,0,0.8,48000,3,0,0,30,,,0,13,12,,1,0,0,0,7.5,52150.1599,,,,,
Kidatu,1975,2055,10,204,0,0,1,1,0,0.249969645,1600,0.5,0,0,50,,,0,4,3,,1,0,0,0,0,5904.74997,0.517279971,0.574164851,0.512416556,0.473323387,0.513989594
Hale,2025,2075,10,21,0,0,1,1,0,0.142502136,16900,0.003,0,1,50,,,0,12,3,,2,0,0,0,0,21101.1455,0.23,0.22963688,0.269269445,0.212242387,0.217767645
EAPower&Mapembasi_HY_TZA,2016,2060,10,0,0,0,1,1,0,0.215276497,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50654.76528,0.435529945,0.496385599,0.436293559,0.381132587,0.484232319
Kihansi,2000,2060,10,180,0,0,1,1,0,0.220125362,2300,0.003,0,0,50,,,0,12,3,,1,0,0,0,0,6618.223125,0.442572419,0.61837835,0.449288132,0.283689267,0.496546623
Mtera,1988,2060,10,80,0,0,1,1,0,0.246315531,4100,0.5,0,0,50,,,0,4,3,,1,0,0,0,0,8298.746316,0.5,0.439612543,0.487125478,0.588568979,0.484697983
Mwenga_HY_TZA,2012,2060,10,3,0,0,1,1,0,0.243835605,2300,0.5,0,0,50,,,0,12,3,,1,0,0,0,0,6453.743836,0.48767122,0.737445418,0.528766956,0.289463859,0.433581157
Nyumba_Ya_Mungu,1968,2018,10,8,0,0,1,1,0,0.193646727,15800,0.5,0,0,50,,,0,4,3,,1,0,0,0,0,19864.69365,0.51,0.634541617,0.581827394,0.495277869,0.576813358
New_Pangani_Falls,1995,2060,10,68,0,0,1,1,0,0.210540475,3400,0.003,0,0,50,,,0,12,3,,1,0,0,0,0,7601.21354,0.4,0.361345296,0.569384692,0.364596148,0.367965478
Kinyerezi_I,2015,2035,10,135,0.2,9.3,0.2,0.2,0,0.2,6300,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,10543.65,,,,,
Nyakato,2013,2032,10,60,0.06,10.8,0.3,0.3,0,0.4,13300,4.5,0,0,30,,,0,10,7,,1,0,0,0,0,17479.36,,,,,
Songas,2004,2024,10,178,0.2,9.6,0.1,0.1,0,0.2,13300,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,17564.75,,,,,
Mtwara,2018,2035,10,19,0.2,8.34,0.3,0.3,0,0.2,8200,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,12329.89,,,,,
Somanga,2010,2030,10,7.4,0.2,8.34,0.3,0.3,0,0.2,4.5,4,0,0,30,,,0,1,2,,1,0,0.05,0,0,4109.29,,,,,
Ubongo_I,2007,2027,10,98,0.2,8.978,0.3,0.3,0,0.2,5900,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,10090.528,,,,,
Tegeta,2009,2029,10,42,0.06,8.34,0.09,0.09,0,0.4,6900,4.5,0,0,30,,,0,1,2,,1,0,0.06,0,0,11037.54,,,,,
TegetaIPTL_TH_TZA,2002,2027,10,23.92,0.06,12.321621,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12132.10162,,,,,
Ubungo_II,2012,2055,10,126,0.2,10.232,0.1,0.1,0,0.2,5700,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,9952.382,,,,,
Ubungo_III,2022,2055,10,112,0.2,10.232,0.1,0.1,0,0.2,5700,4.5,0,0,30,,,0,1,2,,1,0,0.05,0,0,9948.382,,,,,
ChishimbaFalls_HY_ZMB,2004,2060,8,6,0,0,1,1,0,0.107375,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50646.65738,0.21475,0.213,0.235,0.186,0.225
ItheziThezi_HY_ZMB,2016,2060,8,120,0,0,1,1,0,0.290144597,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50772.84014,0.582891933,0.643257642,0.643257642,0.514873887,0.514873887
KafueGorge_HY_ZMB,1977,2060,8,990,0,0,1,1,0,0.345925003,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51603.89593,0.691856919,0.671255463,0.695346198,0.752149829,0.695819662
KaribaNB_HY_ZMB,1976,2060,8,720,0,0,1,1,0,0.252621343,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51332.80262,0.552426857,0.492294815,0.577958761,0.514992983,0.581416352
KaribaNBE_HY_ZMB,2015,2060,8,360,0,0,1,1,0,0.252621343,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51011.80262,0.552426857,0.492294815,0.577958761,0.514992983,0.581416352
Lunzua_HY_ZMB,2000,2060,8,14.8,0,0,1,1,0,0.1175,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50651.4675,0.235,0.228,0.25,0.234,0.228
CaculoCabaca_HY_AGO,2027,2067,9,2172,0,0,1,1,0,0.24,46500,0.55,0,4.5,50,2172,2172,0,12,3,,2,0,0,0,0,57193.29,0.48,,,,
Lusiwasi_HY_ZMB,1967,2021,8,12,0,0,1,1,0,0.079895463,46500.00049,0.550002913,0,0,50,,,0,12,3,,1,0,0,0,0,50576.63039,0.159799268,0.177997632,0.211322155,0.979832572,0.15352596
LusiwasiUpper_HY_ZMB,2017,2060,8,15,0,0,1,1,0,0.079875,46500.00015,0.550001468,0,0,50,,,0,12,3,,1,0,0,0,0,50668.63003,0.15975,0.178,0.21,0.98,0.153
Lunsemfwa+Mulungushi_HY_ZMB,1982,2060,8,56,0,0,1,1,0,0.278070484,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50674.82807,0.55614968,0.567594269,0.567594269,0.54957494,0.54957494
MusondaFalls_HY_ZMB,1972,2060,8,10,0,0,1,1,0,0.180625,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50618.73063,0.36125,0.377,0.383,0.297,0.388
VictoriaFalls_HY_ZMB,1968,2060,8,108,0,0,1,1,0,0.436146831,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,50712.98615,0.872293662,0.98412575,1,0.749224648,0.755846854
MaambaCoalI_TH_ZMB,2016,2066,8,300,0.5,9.221311593,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,300,49445.66131,,,,,
KaribaSouth1_HY_ZWE,1962,2060,5,750,0,0,1,1,0,0.275342466,46500,0.55,0,0,50,,,0,12,3,,1,0,0,0,0,51345.82534,0.556849316,0.76,0.38,0.38,0.76
Bulawayo_TH_ZWE,1999,2055,5,90,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,90,49206.8138,,,,,
DemaEmergency_TH_ZWE,2017,2020,5,200,0.06,11.373804,1,1,0,0.4,8000,6.4,0,0,30,,,0,10,7,,1,0,0,0,0,12310.2338,,,,,
Harare1_TH_ZWE,2000,2055,5,32,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,32,49149.8138,,,,,
Harare2_TH_ZWE,1970,2018,5,18,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,18,49068.8138,,,,,
Harare3_TH_ZWE,2000,2055,5,30,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,30,49147.8138,,,,,
HwangeI_TH_ZWE,1987,2037,5,347,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,347,49433.8138,,,,,
HwangeII_TH_ZWE,2020,2070,5,320,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,320,49472.8138,,,,,
Munyati_TH_ZWE,1957,2007,5,100,0.5,11.373804,0.33,0.33,0,0.05,45000,0.13,0,0,30,,,0,13,1,,1,0,0.1,0,100,49126.8138,,,,,
AH_Cambambe_C2,2016,2060,9,700,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,0,0,0,12,3,,1,0,0,0,0,51353.67183,0.35,,,,
SoyoII_TH_AGO,2055,2105,9,750,0.2,6.4,1,1,0,0.2,17000,4,0,1.245080501,30,750,5000,0,2,2,7,3,7.1,0.05,0,0,27734.19508,,,,,
AH_Lauca,2017,2060,9,2004,0,0,1,1,0,0.225,46500,0.55,0,0,50,0,0,0,12,3,,1,0,0,0,334,52658.775,0.35,,,,
Ah_Lauca_ECO,2023,2060,9,0,0,0,1,1,0,0.225,46500,0.55,0,0,50,0,0,0,12,3,,1,0,0,0,0,50660.775,0.35,,,,
CT_Soyo,2017,2073,9,500,0.2,9,1,1,0,0.2,17000,4,0,0,30,0,0,0,2,2,11,1,9.7,0.05,0,0,21670.15,,,,,
CF_Biopio,2022,2073,9,144.9,0,0,1,1,0,0,15000,0,0,0,25,0,0,0,6,4,,1,0,0,1,0,19287.9,,,,,
AngolaCCGTNG_TH_AGO,2055,2105,9,0,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.245080501,30,400,0,0,2,14,7,3,7.1,0.05,0,0,11245.81508,,,,,
AngolaDiesel_TH_AGO,2024,2054,9,0,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0.933810376,30,0,0,0,10,7,,3,0,0.06,0,0,12157.26926,,,,,
Cutato1-3_HY_AGO,2055,2060,9,300,0,0,1,1,0,0.121826136,46500,0.55,0,4.248837209,50,300,300,0,12,3,,3,0,0,0,0,51598.92066,0.38,,,,
Calengue(Catumbela)_HY_AGO,2055,2060,9,180,0,0,1,1,0,0.3415,46500,0.55,0,4.248837209,50,180,180,0,12,3,,3,0,0,0,0,51239.14034,0.683,,,,
Lomaum2_HY_AGO,2055,2060,9,160,0,0,1,1,0,0.121826136,46500,0.55,0,4.248837209,50,160,160,0,12,3,,3,0,0,0,0,51178.92066,0.38,,,,
Cafula(Keve)_HY_AGO,2055,2060,9,400,0,0,1,1,0,0.272,46500,0.55,0,5.240232558,50,400,400,0,12,3,,3,0,0,0,0,51900.06223,0.544,,,,
Quilengues_HY_AGO,2040,2060,9,210,0,0,1,1,0,0.121826136,46500,0.55,0,5.86744186,50,210,210,0,12,3,,3,0,0,0,0,51315.53927,0.38,,,,
