Plants,Zone,Type,fuel1,StYr,RetrYr,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize
Chizuma_HY_MWI,Malawi,STOHY,Water,2055,2060,40.4,0,0,1,1,0,0.325077306,39715.55114,0.55000235,0,3.445,50,40.4,40.4,0,,3,0,0,0,0
CIF_TH_AGO,Angola,GT,Gas,2000,2019,50,,13.1746563,,,,,,,,,,,,0,7,1,13.8746563,0.25,0,0
Committed1_PV_AGO,Angola,PV,PV,2024,2060,171.1,,,,,,,15000,,,,,400,171.1,0,,2,0,0,1,0
Committed2_PV_AGO,Angola,PV,PV,2025,2060,43.7,,,,,,,15000,,,,,400,43.7,0,,2,0,0,1,0
Committed3_PV_AGO,Angola,PV,PV,2026,2060,658,,,,,,,15000,,,,,400,658,0,,2,0,0,1,0
Committed_Storage1-1_BWA,Bostwana,STORAGE,Battery,2030,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
Committed_Storage1-2_BWA,Bostwana,STORAGE,Battery,2030,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
Committed_Storage1-3_BWA,Bostwana,STORAGE,Battery,2035,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
Committed_Wind1-1_BWA,Bostwana,WIND,OnshoreWind,2027,2057,0,,0,,,,,,,,,,0,0,0,,2,0,0,1,0
Committed_Wind1-2_BWA,Bostwana,WIND,OnshoreWind,2025,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,1,0
Committed_Wind1-3_BWA,Bostwana,WIND,OnshoreWind,2028,2058,0,,0,,,,,,,,,,50,0,0,,2,0,0,1,0
Committed_Wind1-4_BWA,Bostwana,WIND,OnshoreWind,2031,2061,0,,0,,,,,,,,,,0,0,0,,2,0,0,1,0
Committed_Wind1-5_BWA,Bostwana,WIND,OnshoreWind,2035,2065,0,,0,,,,,,,,,,50,0,0,,2,0,0,1,0
CT_PV_Diesel_Hybrid,Angola,PV,PV,2017,2051,30,,,,,,,15000,,,0,30,,,0,11,1,10.42,0,1,30
New_PV_AGO,Angola,PV,PV,2027,2060,8000,,,,,,,15000,,,,,600,8000,0,,3,0,0,1,0
PV_Caraculo_OffGrid,Angola,PV,PV,2022,2073,25,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
CommittedCSP1_NAM,Namibia,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.85,30,0,0,0,,2,0,0,0,0
Committed_PV1-1_BWA,Bostwana,PV,PV,2026,2060,235,,,,,,,15000,,,,,58.75,235,0,,3,0,0,1,0
Committed_PV1-2_BWA,Bostwana,PV,PV,2030,2060,300,,,,,,,15000,,,,,75,300,0,,3,0,0,1,0
Committed_PV1-3_BWA,Bostwana,PV,PV,2035,2060,0,,,,,,,15000,,,,,0,0,0,,3,0,0,1,0
New_PV_BWA,Bostwana,PV,PV,2035,2060,8000,,,,,,,15000,,,,,600,8000,0,,3,0,0,1,0
CommittedStorage2-2_NAM,Namibia,STORAGE,Battery,2027,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
CommittedStorage2-3_NAM,Namibia,STORAGE,Battery,2032,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
CommittedStorage2-4_NAM,Namibia,STORAGE,Battery,2036,2055,0,,0,,,,,,,,,,0,0,0,,2,0,0,0,0
CommittedWind1-4_NAM,Namibia,WIND,OnshoreWind,2034,2064,0,,0,,,,,,,,1.75,,0,0,0,,2,0,0,1,0
CommittedWind1-5_NAM,Namibia,WIND,OnshoreWind,2036,2066,0,,0,,,,,,,,1.75,,0,0,0,,2,0,0,1,0
CT_Biocom,Angola,ST,Biomass,2009,2051,20,0.3,10.8998955,1,1,0,0.8,48000,3,0,0,30,,,0,,1,0,0,0,20
CT_Malembo,Angola,GT,Gas,2012,2055,105,,11.49838981,,,,,,,,,,,,0,7,1,12.19838981,0.25,0,0
CT_OffGrid_Diesel,Angola,ICE,Diesel,2013,2063,371.55,0.06,10.42,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0
CT_OnGrid_Diesel,Angola,ICE,Diesel,2000,2050,343.46,0.06,13.62,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0
NewPV_1_BWA,Bostwana,PV,PV,2024,2060,100,,,,,,,15000,,,,,100,100,0,,2,0,0,1,0
CT_Soyo,Angola,CCGT,Gas,2017,2073,500,,9,,,,,17000,,,0,,0,0,0,11,1,9.7,0.05,0,0
CTMJICA1_TH_MOZ,Mozambique,GT,Gas,2018,2068,106,,10.425987,,,,,,,,0,,0,0,0,7,1,11.125987,0.5,0,0
CTMJICA2_TH_MOZ,Mozambique,GT,Gas,2026,2076,29,,9,,,,,,,,1.016815742,,29,29,0,7,3,9.7,0.05,0,0
Cutato1-3_HY_AGO,Angola,ROR,Water,2055,2060,300,,,,,,0.121826136,,,,4.248837209,,300,300,0,,3,0,0,0,0
Dedisa_TH_ZAF,South_Africa,GT,HFO,2015,2065,335,,13.62107811,,,,,,,,0,,,,0,,1,0,0,0,0
Dedza_WIND_MWI,Malawi,WIND,OnshoreWind,2027,2057,0,,0,,,,,,,,,,0,86,0,,3,0,0,1,0
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,,11.373804,,,,,,,,0,,,,0,,1,0,0,0,0
Devil'sGorgeNorth_HY_ZMB,Zambia,ROR,Water,2032,2060,600,,,,,,0.278070484,,,,4.248837209,,600,600,0,,3,0,0,0,0
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ROR,Water,2032,2070,600,,,,,,0.275342466,,,,4.248837209,,600,600,0,,3,0,0,0,0
Diaz_Wind_NAM,Namibia,WIND,OnshoreWind,2027,2057,44,,0,,,,,,,,1.8,,44,44,0,,2,0,0,1,0
DrakensbergPH_HY_ZAF,South_Africa,STORAGE,Water,1985,2060,1000,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,,1,0,0,0,0
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2033,2875,,9.074399958,,,,,,,,0,,,,0,,1,0,0.05,0,479.1666667
Duynefontein_NU_ZAF,South_Africa,ST,Uranium,2032,2072,2500,0.7,9.2886066,0.1,0.1,0,0,100000,2.3,0,6.295957066,50,2500,2500,0,,3,0,0.6,0,0
EAPower&Mapembasi_HY_TZA,Tanzania,ROR,Water,2016,2060,0,,,,,,0.215276497,46500,0.55,,0,,,,0,,1,0,0,0,0
Edwaleni1_HY_SWZ,Eswatini,ROR,Water,2000,2060,10,,,,,,0.152,,,,0,,,,0,,1,0,0,0,0
Edwaleni2_HY_SWZ,Eswatini,ROR,Water,2000,2060,5,,,,,,0.152,,,,0,,,,0,,1,0,0,0,0
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9,,11.73397446,,,,,,,,0,,,,0,,1,0,0,0,0
CommittedSolar_REN_ZAR,DRC,PV,PV,2025,2060,200,,,,,,,15000,,,,,200,200,0,,2,0,0,1,0
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2060,28,0.3,10,1,1,0,0.01,100000,10,0,7.2,30,28,28,0,,3,0,0,0,0
New_PV_DRC,DRC,PV,PV,2026,2060,4000,,,,,,,15000,,,,,300,4000,0,,3,0,0,1,0
LubumbashiSolar_REN_ZAR,DRC_South,PV,PV,2025,2060,100,,,,,,,15000,,,,,100,100,0,,2,0,0,1,0
Existing_AusWind_NAM,Namibia,WIND,OnshoreWind,2020,2055,5,,0,,,,,,,,0,,0,0,0,,1,0,0,1,0
Existing_HY_MOZ,Mozambique,ROR,Water,2000,2060,117,,,,,,0.406440138,,,,0,,,,0,,1,0,0,0,0
ExistingCSP(CSP)_REN_ZAF,South_Africa,CSP,CSP,2005,2045,300,0,0,1,1,0,0.8,22000,3,0,0,30,,,0,,1,0,0,0,0
ExistingHydro1985_HY_ZAF,South_Africa,ROR,Water,1985,2060,44.1,,,,,,0.185,,,,0,,,,0,,1,0,0,0,0
ExistingHydro2015_HY_ZAF,South_Africa,ROR,Water,2015,2060,19,,,,,,0.185,,,,0,,,,0,,1,0,0,0,0
ExistingSmallHydro2000_HY_AGO,Angola,ROR,Water,2000,2060,16,,,,,,0.121826136,,,,0,,,,0,,1,0,0,0,0
ExistingSmallHydro2012_HY_AGO,Angola,ROR,Water,2012,2060,135.4,,,,,,0.121826136,,,,0,,,,0,,1,0,0,0,0
New_PV_DRCSouth,DRC_South,PV,PV,2026,2060,4000,,,,,,,15000,,,,,300,4000,0,,3,0,0,1,0
ExistingWind_REN_ZAF,South_Africa,WIND,OnshoreWind,2015,2045,2516,,0,,,,,,,,0,,,,0,,1,0,0,1,0
Ezulwini_HY_SWZ,Eswatini,ROR,Water,2000,2060,20,,,,,,0.1,,,,0,,,,0,,1,0,0,0,0
Francistown_TH_BWA,Bostwana,ICE,HFO,2000,2026,73,,10.41544727,,,,,,,,0,,,,0,,1,0,0,0,0
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2020,2060,30,,,,,,0.275342466,,,,0,,0,0,0,,1,0,0,0,0
Gariep_HY_ZAF,South_Africa,ROR,Water,1971,2060,360,,,,,,0.185,,,,0,,,,0,,1,0,0,0,0
GasTurbine_TH_AGO,Angola,GT,Gas,2055,2105,2500,,9,,,,,,,,1.016815742,,500,2000,0,7,3,9.7,0.05,0,0
GasTurbine_TH_LSO,Lesotho,GT,LNG,2027,2077,500,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,500,2000,0,7,3,9.7,0.05,0,0
GasTurbine_TH_SWL,Eswatini,GT,LNG,2027,2077,500,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,400,2000,0,7,3,9.7,0.05,0,0
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
GecaminesCoal(500)_TH_AGO,Angola,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.1,0,0
GenericDieselCan_BWA,Bostwana,ICE,HFO,2024,2054,500,,10.42,,,,,,,,0.933810376,,500,500,0,,3,0,0.06,0,0
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500,,10.42,,,,,,,,0.933810376,,500,500,0,,3,0,0.06,0,0
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,200,,10.42,,,,,,,,0.933810376,,200,200,0,,3,0,0.06,0,0
GenericDieselCan_NAM,Namibia,ICE,HFO,2024,2054,500,,10.42,,,,,,,,0.933810376,,500,500,0,,3,0,0.1,0,0
GenericDieselCan_SWL,Eswatini,ICE,HFO,2024,2054,200,,10.42,,,,,,,,0.933810376,,200,200,0,,3,0,0.06,0,0
GenericDieselCan_TZA,Tanzania,ICE,HFO,2024,2054,0,,10.42,,,,,,,,0.933810376,,0,0,0,,3,0,0.06,0,0
GenericDieselCan_ZAF,South_Africa,ICE,HFO,2024,2054,2000,,10.42,,,,,,,,0.933810376,,2000,2000,0,,3,0,0.06,0,0
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,200,,10.42,,,,,,,,0.830053667,,100,500,0,,3,0,0.06,0,0
Genga_HY_AGO,Angola,ROR,Water,2055,2060,900,,,,,,0.121826136,,,,4.248837209,,900,900,0,,3,0,0,0,0
GenTanzaniaCoastalCoal_TH_TZA,Tanzania,ST,Coal,2025,2075,0,,9.73,,,,,,,,2.186,,0,0,0,,3,0,0.05,0,0
Golomoti_BESS,Malawi,STORAGE,Battery,2022,2060,5,,0,,,,,,,,0,,0,0,0,,1,0,0,0,0
EEC_Solar_PV,Eswatini,PV,PV,2021,2060,10,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
Gourikwa_TH_ZAF,South_Africa,GT,HFO,2007,2057,740,,9.39286647,,,,,,,,0,,,,0,,1,0,0,0,0
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2026,1120,,10.37101361,,,,,,,,0,,,,0,,1,0,0.05,0,186.6666667
Hale,Tanzania,ROR,Water,2025,2075,21,,,,,,0.142502136,16900,0.003,,1,,,,0,,2,0,0,0,0
Hamilton_Falls_HY_MWI,Malawi,ROR,Water,2055,2060,87,,,,,,0.325077306,,,,3.536,,87,87,0,,3,0,0,0,0
Harare1_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,32,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,32
Harare2_TH_ZWE,Zimbabwe,ST,Coal,1970,2018,18,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,18
Harare3_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,30,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,30
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2025,1638,,9.976721742,,,,,,,,0,,,,0,,1,0,0.05,0,163.8
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600,,9.22225941,,,,,,,,0,,0,0,0,,1,0,0.05,0,300
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,347,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,347
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,320
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110,,9.748974861,,,,,,,,0,,0,0,0,,1,0,0,0,0
Inga1_HY_ZAR,DRC,ROR,Water,1974,2060,351,,,,,,0.385,,,,0,,,,0,,1,0,0,0,0
Inga2_HY_ZAR,DRC,ROR,Water,1982,2060,1424,,,,,,0.435,,,,0,,,,0,,1,0,0,0,0
Inga3BC_ext_HY_ZAR,DRC,ROR,Water,2035,2085,2800,,,,,,0.45,,,,2.805581395,,1400,2800,0,,3,0,0,0,0
Inga3BC_HY_ZAR,DRC,ROR,Water,2032,2082,2000,,,,,,0.45,,,,2.797488372,,1000,2000,0,,3,0,0,0,0
Ingula_HY_ZAF,South_Africa,STORAGE,Water,2017,2060,1324,,0,1,1,0,0.8,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0
IPP_Wind_NAM,Namibia,WIND,OnshoreWind,2027,2057,50,,0,,,,,,,,1.75,,50,50,0,,2,0,0,1,0
Iringa_Ibosa,Tanzania,ROR,Water,2028,2060,36,,,,,,0.295,4090,0.5,,4.4434,,36,36,0,,3,0,0,0,0
Iringa_Nginayo,Tanzania,ROR,Water,2030,2060,52,,,,,,0.29,4090,0.5,,3.1369,,52,52,0,,3,0,0,0,0
ItheziThezi_HY_ZMB,Zambia,ROR,Water,2016,2060,120,,,,,,0.290144597,,,,0,,,,0,,1,0,0,0,0
JambaMina_HY_AGO,Angola,ROR,Water,2055,2060,180,,,,,,0.121826136,,,,4.248837209,,180,180,0,,3,0,0,0,0
JambaOma_HY_AGO,Angola,ROR,Water,2055,2060,75,,,,,,0.121826136,,,,4.248837209,,75,75,0,,3,0,0,0,0
JNHPP_1,Tanzania,STOHY,Water,2024,2060,940,0,0,1,1,0,0.25,1640,0.5,0,1.348,50,940,940,0,,2,0,0,0,0
JNHPP_2,Tanzania,STOHY,Water,2025,2060,1175,0,0,1,1,0,0.25,1640,0.5,0,1.348,50,1175,1175,0,,2,0,0,0,0
JohannesburgLandfillGas_TH_ZAF,South_Africa,GT,Gas,2000,2050,18,0.2,10,0.33,0.33,0,0.2,23000,5,0,0,30,,,0,7,1,10.7,0.2,0,18
KafueGorge_HY_ZMB,Zambia,ROR,Water,1977,2060,990,,,,,,0.345925003,,,,0,,,,0,,1,0,0,0,0
KafueGorgeLower_HY_ZMB,Zambia,ROR,Water,2021,2060,750,,,,,,0.345925003,,,,0,,0,0,0,,1,0,0,0,0
Kakono,Tanzania,ROR,Water,2030,2060,80,,,,,,0.375,4090,0.5,,4.1899,,80,80,0,,3,0,0,0,0
KalungwishiI_HY_ZMB,Zambia,ROR,Water,2030,2060,101,,,,,,0.278070484,,,,4.248837209,,101,101,0,,3,0,0,0,0
Kam'mwamba_C_MWI,Malawi,ST,Coal,2055,2060,0,,9.853126851,,,,,,,,2.84,,0,50,0,,3,0,0.05,0,0
Kanengo,Malawi,ICE,Diesel,2000,2060,15.5,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0
Kapichira_HY_MWI,Malawi,STOHY,Water,2013,2060,64.8,0,0,1,1,0,0.325,40737.54,0.55,0,0,50,0,0,0,,1,0,0,0,0
Kapichira_parts_HY_MWI,Malawi,STOHY,Water,2013,2060,64.8,0,0,1,1,0,0.325,40737.54,0.55,0,0,50,0,0,0,,1,0,0,0,0
KaribaNB_HY_ZMB,Zambia,ROR,Water,1976,2060,720,,,,,,0.252621343,,,,0,,,,0,,1,0,0,0,0
KaribaNBE_HY_ZMB,Zambia,ROR,Water,2015,2060,360,,,,,,0.252621343,,,,0,,,,0,,1,0,0,0,0
KaribaSouth1_HY_ZWE,Zimbabwe,ROR,Water,1962,2060,750,,,,,,0.275342466,,,,0,,,,0,,1,0,0,0,0
KaribaSouthExtension_HY_ZWE,Zimbabwe,ROR,Water,2017,2060,300,,,,,,0.275342466,,,,0,,0,0,0,,1,0,0,0,0
Karpower_TH_MOZ,Mozambique,ICE,HFO,2000,2050,47,,13.62126767,,,,,,,,0,,,,0,,1,0,0,0,0
Kasitu_GT_MWI,Malawi,ST,Geothermal,2055,2060,4.9,0,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,4.9,4.9,0,,3,0,0,0,0
KelvinA_TH_ZAF,South_Africa,ST,Coal,1957,2027,180,,12.82112056,,,,,,,,0,,,,0,,1,0,0.05,0,180
KelvinB_TH_ZAF,South_Africa,ST,Coal,1964,2027,420,,12.32541227,,,,,,,,0,,,,0,,1,0,0.05,0,420
Kendal_TH_ZAF,South_Africa,ST,Coal,1985,2042,3840,,9.665837766,,,,,,,,0,,,,0,,1,0,0.05,0,640
New_PV_SWZ,Eswatini,PV,PV,2026,2060,1000,,,,,,,15000,,,,,75,1000,0,,3,0,0,1,0
Khanyisa_TH_ZAF,South_Africa,ST,Coal,2021,2071,450,,9.749245662,,,,,,,,0,,0,0,0,,1,0,0.05,0,150
Kholombizo_HY_MWI,Malawi,STOHY,Water,2055,2060,213,0,0,1,1,0,0.325077306,39715.55114,0.55000235,0,3.445,50,213,213,0,,3,0,0,0,0
Kidatu,Tanzania,STOHY,Water,1975,2055,204,0,0,1,1,0,0.249969645,1600,0.5,0,0,50,,,0,,1,0,0,0,0
Kidunda,Tanzania,ROR,Water,2028,2060,20,,,,,,0.25,16910,0.003,,5.2,,20,20,0,,3,0,0,0,0
Kiejo_Mbaka_I,Tanzania,ST,Geothermal,2030,2055,60,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,60,60,0,,3,0,0,0,0
Kiejo_Mbaka_II,Tanzania,ST,Geothermal,2030,2055,20,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,20,20,0,,3,0,0,0,0
Kihansi,Tanzania,ROR,Water,2000,2060,180,,,,,,0.220125362,2300,0.003,,0,,,,0,,1,0,0,0,0
Kikonge,Tanzania,STOHY,Water,2032,2060,300,0,0,1,1,0,0.215276497,1640,0.5,0,3.211,50,300,300,0,,3,0,0,0,0
Kilubi_HY_ZAR,DRC_South,ROR,Water,1954,2060,10.8,,,,,,0.27,,,,0,,,,0,,1,0,0,0,0
Kinyerezi_I,Tanzania,GT,Gas,2015,2035,135,,9.3,0.2,0.2,,,6300,,,,,,,0,,1,0,0.05,0,0
Kinyerezi_I_Ext,Tanzania,GT,Gas,2022,2047,185,,9.3,0.2,0.2,,,6300,,,,,0,0,0,,1,0,0.05,0,0
Kinyerezi_II,Tanzania,CCGT,Gas,2018,2043,230,,6.82,,,,,7800,4,,0,,0,0,0,,1,0,0.05,0,0
Kinyerezi_IV,Tanzania,CCGT,Gas,2029,2079,330,,,,,,,,,,1.213,,330,330,0,,3,0,0.05,0,0
