,Q1,Q2,Q3,Q4
Secunda(SasolChemical)_TH_ZAF,0.85,0.85,0.85,0.85
Tutuka_TH_ZAF,0.85,0.85,0.85,0.85
Koeberg_NU_ZAF,0.85,0.85,0.85,0.85
Edwaleni1_HY_SWZ,0.34,0.34,0.34,0.34
Edwaleni2_HY_SWZ,0.34,0.34,0.34,0.34
Ezulwini_HY_SWZ,0.2,0.2,0.2,0.2
Maguduza_HY_SWZ,0.367,0.367,0.367,0.367
Maguga_HY_SWZ,0.351,0.351,0.351,0.351
EdwaleniThermal_TH_SWZ,0.85,0.85,0.85,0.85
Tanwat_Bio_TZA,0.85,0.85,0.85,0.85
TPC_BIO_TZA,0.85,0.85,0.85,0.85
Kidatu,0.574164851,0.512416556,0.473323387,0.513989594
Hale,0.22963688,0.269269445,0.212242387,0.217767645
EAPower&Mapembasi_HY_TZA,0.496385599,0.436293559,0.381132587,0.484232319
Kihansi,0.61837835,0.449288132,0.283689267,0.496546623
Mtera,0.439612543,0.487125478,0.588568979,0.484697983
Mwenga_HY_TZA,0.737445418,0.528766956,0.289463859,0.433581157
Nyumba_Ya_Mungu,0.634541617,0.581827394,0.495277869,0.576813358
New_Pangani_Falls,0.361345296,0.569384692,0.364596148,0.367965478
Kinyerezi_I,0.85,0.85,0.85,0.85
Nyakato,0.85,0.85,0.85,0.85
Songas,0.85,0.85,0.85,0.85
Mtwara,0.85,0.85,0.85,0.85
Somanga,0.85,0.85,0.85,0.85
Ubongo_I,0.85,0.85,0.85,0.85
Tegeta,0.85,0.85,0.85,0.85
TegetaIPTL_TH_TZA,0.85,0.85,0.85,0.85
Ubungo_II,0.85,0.85,0.85,0.85
Ubungo_III,0.85,0.85,0.85,0.85
ChishimbaFalls_HY_ZMB,0.213,0.235,0.186,0.225
ItheziThezi_HY_ZMB,0.643257642,0.643257642,0.514873887,0.514873887
KafueGorge_HY_ZMB,0.671255463,0.695346198,0.752149829,0.695819662
KaribaNB_HY_ZMB,0.492294815,0.577958761,0.514992983,0.581416352
KaribaNBE_HY_ZMB,0.492294815,0.577958761,0.514992983,0.581416352
Lunzua_HY_ZMB,0.228,0.25,0.234,0.228
CaculoCabaca_HY_AGO,0.48,0.48,0.48,0.48
Lusiwasi_HY_ZMB,0.177997632,0.211322155,0.979832572,0.15352596
LusiwasiUpper_HY_ZMB,0.178,0.21,0.98,0.153
Lunsemfwa+Mulungushi_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
MusondaFalls_HY_ZMB,0.377,0.383,0.297,0.388
VictoriaFalls_HY_ZMB,0.98412575,1.0,0.749224648,0.755846854
MaambaCoalI_TH_ZMB,0.85,0.85,0.85,0.85
KaribaSouth1_HY_ZWE,0.76,0.38,0.38,0.76
Bulawayo_TH_ZWE,0.85,0.85,0.85,0.85
DemaEmergency_TH_ZWE,0.85,0.85,0.85,0.85
Harare1_TH_ZWE,0.85,0.85,0.85,0.85
Harare2_TH_ZWE,0.85,0.85,0.85,0.85
Harare3_TH_ZWE,0.85,0.85,0.85,0.85
HwangeI_TH_ZWE,0.85,0.85,0.85,0.85
HwangeII_TH_ZWE,0.85,0.85,0.85,0.85
Munyati_TH_ZWE,0.85,0.85,0.85,0.85
AH_Cambambe_C2,0.35,0.35,0.35,0.35
SoyoII_TH_AGO,0.85,0.85,0.85,0.85
AH_Lauca,0.35,0.35,0.35,0.35
Ah_Lauca_ECO,0.35,0.35,0.35,0.35
CT_Soyo,0.85,0.85,0.85,0.85
CF_Biopio,1.0,1.0,1.0,1.0
AngolaCCGTNG_TH_AGO,0.85,0.85,0.85,0.85
AngolaDiesel_TH_AGO,0.85,0.85,0.85,0.85
Cutato1-3_HY_AGO,0.38,0.38,0.38,0.38
Calengue(Catumbela)_HY_AGO,0.683,0.683,0.683,0.683
Lomaum2_HY_AGO,0.38,0.38,0.38,0.38
Cafula(Keve)_HY_AGO,0.544,0.544,0.544,0.544
Quilengues_HY_AGO,0.38,0.38,0.38,0.38
NewPV_1_BWA,1.0,1.0,1.0,1.0
MorupuleBupgrade_TH_BWA,0.85,0.85,0.85,0.85
Baynes(Angola)_HY_AGO,0.38,0.38,0.38,0.38
TumulodoCacador_HY_AGO,0.695,0.695,0.695,0.695
Zenzo_HY_AGO,0.665,0.665,0.665,0.665
Inga3BC_HY_ZAR,0.9,0.9,0.9,0.9
BotswanaSolarCSP_REN_BWA,1.0,1.0,1.0,1.0
BotswanaCoal_TH_BWA,0.85,0.85,0.85,0.85
LesothoLetsengWind_REN_LSO,0.85,0.85,0.85,0.85
Monont'sa_HY_LSO,0.85,0.85,0.85,0.85
Muela2_HY_LSO,0.786,0.944,0.82,0.617
Oxbow_HY_LSO,0.557,0.557,0.557,0.557
Kanengo,0.85,0.85,0.85,0.85
Mapanga_ICE_MWI,0.85,0.85,0.85,0.85
Aggreko_IPP_ICE_MWI,0.85,0.85,0.85,0.85
"Tedzani_I,_II,_III_HY_MWI",0.61976749,0.684349392,0.689222195,0.615215736
NzongoII_HY_ZAR,0.87,0.87,0.87,0.87
"Nkula_(A,B)_+_upgrade_HY_MWI",0.61976749,0.684349392,0.689222195,0.615215736
Wovwe_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Kapichira_parts_HY_MWI,0.62,0.68,0.68,0.62
Kapichira_HY_MWI,0.62,0.68,0.68,0.62
Tedzani_IV_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Hamilton_Falls_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
CommittedSolar_REN_ZAR,1.0,1.0,1.0,1.0
Wovwe_additional_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Mbongozi_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Lower_Fufu_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Lower_Songwe_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
MozCCCGTNG_TH_MOZ,0.85,0.85,0.85,0.85
MozCEnginesNG_TH_MOZ,0.85,0.85,0.85,0.85
Massingir_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
MozNCCGTNG_TH_MOZ,0.85,0.85,0.85,0.85
MozCoal_TH_MOZ,0.85,0.85,0.85,0.85
MozENRC_TH_MOZ,0.85,0.85,0.85,0.85
Ncondezi_TH_MOZ,0.85,0.85,0.85,0.85
MozNEnginesNG_TH_MOZ,0.85,0.85,0.85,0.85
LubumbashiSolar_REN_ZAR,1.0,1.0,1.0,1.0
Busanga_HY_ZAR,0.38687345,0.38687345,0.38687345,0.38687345
Ruzizi3_HY_ZAR,0.62,0.62,0.62,0.62
Lurio_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
Sombwe_HY_ZAR,0.38687345,0.38687345,0.38687345,0.38687345
WanieRukula_HY_ZAR,0.38687345,0.38687345,0.38687345,0.38687345
GecaminesCoal(500)_TH_AGO,0.85,0.85,0.85,0.85
LowerMaguduza_HY_SWZ,0.367,0.367,0.367,0.367
Tsate_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
Quedas&Ocua_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
MozSEnginesNG_TH_MOZ,0.85,0.85,0.85,0.85
LesothoSolar_REN_LSO,1.0,1.0,1.0,1.0
Kholombizo_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Chizuma_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Kuvaninga_TH_MOZ,0.85,0.85,0.85,0.85
ZambiaCoal_TH_ZMB,0.85,0.85,0.85,0.85
Tete_TH_MOZ,0.85,0.85,0.85,0.85
MozCahoraBassaNorte_HY_MOZ,0.8,0.8,0.8,0.8
IndolaHFO_TH_ZMB,0.85,0.85,0.85,0.85
CandidateHydro_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
MocubaSolarPV_REN_MOZ,1.0,1.0,1.0,1.0
MetoroSolarPV_REN_MOZ,1.0,1.0,1.0,1.0
Luchenene_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
MoambaMajor_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
MphandaNkuwa_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
Lupata_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
MupataGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76
MupataGorgeNorth_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
MumbotutaFalls_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
ZambiaOCGTDiesel_TH_ZMB,0.85,0.85,0.85,0.85
Boroma_HY_MOZ,0.812882758,0.812882758,0.812882758,0.812882758
NacalaJICA_TH_MOZ,0.85,0.85,0.85,0.85
CandidateCoal_TH_ZWE,0.85,0.85,0.85,0.85
Chisumbanje_BIO_ZWE,0.85,0.85,0.85,0.85
ZimbabweNG_TH_ZWE,0.85,0.85,0.85,0.85
CTMJICA1_TH_MOZ,0.85,0.85,0.85,0.85
CTMJICA2_TH_MOZ,0.85,0.85,0.85,0.85
MozMGTPEDMSasolGT_TH_MOZ,0.85,0.85,0.85,0.85
GenTanzaniaCoastalCoal_TH_TZA,0.85,0.85,0.85,0.85
Mnyera_Taveta,0.823963845,0.957722833,0.471769324,0.428636128
Kakono,0.777546296,0.916323267,0.91938458,0.726336572
ZPCSolarCSP_TH_ZWE,1.0,1.0,1.0,1.0
SANuclear_NU_ZAF,0.85,0.85,0.85,0.85
SACCGTNG_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Large)_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Medium)_TH_ZAF,0.85,0.85,0.85,0.85
SAOCGTNG_TH_ZAF,0.85,0.85,0.85,0.85
SACSP_REN_ZAF,1.0,1.0,1.0,1.0
SACCGTNGcan_TH_ZAF,0.85,0.85,0.85,0.85
SACoal(Medium)can_TH_ZAF,0.85,0.85,0.85,0.85
MagugaII_HY_SWZ,0.427,0.427,0.427,0.427
Kikonge,0.737445418,0.528766956,0.289463859,0.433581157
SwazilandBiomass_BIO_SWZ,0.85,0.85,0.85,0.85
Lubhuku_TH_SWZ,0.85,0.85,0.85,0.85
TanzaniaBiomass_BIO_TZA,0.85,0.85,0.85,0.85
Kinyerezi_I_Ext,0.85,0.85,0.85,0.85
Kiejo_Mbaka_I,0.85,0.85,0.85,0.85
Kinyerezi_II,0.85,0.85,0.85,0.85
Kinyezeri_III_PH_I,0.85,0.85,0.85,0.85
Malagarasi,0.514432922,0.81581581,0.169265115,0.191223833
Masigira,0.831371626,0.83772336,0.495121592,0.423728814
Mpanga,0.932291667,1.0,0.533854167,0.485167572
Iringa_Nginayo,0.842236467,0.774866159,0.391895262,0.319322742
Iringa_Ibosa,0.933641975,0.917227922,0.334641769,0.186191626
TanzaniaSolarPV_REN_TZA,1.0,1.0,1.0,1.0
Singida_II,0.85,0.85,0.85,0.85
Ruhudji,1.0,0.924495581,0.318673589,0.362279168
Rumakali,0.823963845,0.957722833,0.471769324,0.428636128
Mnyera_Kwanini,0.677726337,0.791531339,0.389995974,0.348165769
Songwe_Sofre,0.67675399,0.786577927,0.387725345,0.352377166
JNHPP_1,0.485399723,1.0,0.347966565,0.264273526
Kinyezeri_III_PH_II,0.85,0.85,0.85,0.85
Rusumo_HY_TZA,0.426573937,0.374933212,0.327538142,0.359628336
JNHPP_2,0.485399723,1.0,0.347966565,0.264273526
Taveta_HY_TZA,0.67675399,0.786577927,0.387725345,0.352377166
Songwe_Manolo,1.0,0.923352984,0.211955242,0.281296443
Upper_Kihansi,0.238376675,0.355584132,0.216783842,0.1589963
LusiwasiLower_HY_ZMB,0.178,0.21,0.98,0.153
Devil'sGorgeNorth_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
KafueGorgeLower_HY_ZMB,0.671255463,0.695346198,0.752149829,0.695819662
KalungwishiI_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
Baynes(Namibia)_HY_NAM,0.35,0.35,0.35,0.35
NamibiaCCGTNG_TH_NAM,0.85,0.85,0.85,0.85
NamibiaCoal_TH_NAM,0.85,0.85,0.85,0.85
NamibiaOCGTNG_TH_NAM,0.85,0.85,0.85,0.85
LusiwasiLowerExts_HY_ZMB,0.178,0.21,0.98,0.153
MaambaCoalII_TH_ZMB,0.85,0.85,0.85,0.85
MambilimbaFallsI_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
BatokaGorgeNorth_HY_ZMB,0.567594269,0.567594269,0.54957494,0.54957494
Devil'sGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76
BatokaGorgeSouth_HY_ZWE,0.76,0.38,0.38,0.76
Gairezi_HY_ZWE,0.76,0.38,0.38,0.76
Hwange3Extension_TH_ZWE,0.85,0.85,0.85,0.85
Ruzizi4_HY_ZAR,0.62,0.62,0.62,0.62
KaribaSouthExtension_HY_ZWE,0.76,0.38,0.38,0.76
SouthernEnergy_TH_ZWE,0.85,0.85,0.85,0.85
SAGenericBiomass_BIO_ZAF,0.85,0.85,0.85,0.85
SAGenericSolarPV(Large)22_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)23_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)24_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)25_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)26_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)27_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericWind21_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind22_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind23_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind24_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind25_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind26_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind27_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind28_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind29_REN_ZAF,0.85,0.85,0.85,0.85
SAGenericWind30_REN_ZAF,0.85,0.85,0.85,0.85
ExistingWind_REN_ZAF,0.85,0.85,0.85,0.85
ExistingSolarPV(PV)_REN_ZAF,1.0,1.0,1.0,1.0
ExistingCSP(CSP)_REN_ZAF,1.0,1.0,1.0,1.0
JohannesburgLandfillGas_TH_ZAF,0.85,0.85,0.85,0.85
MkuzeBiomass_BIO_ZAF,0.85,0.85,0.85,0.85
NgodwanaEnergyProject_BIO_ZAF,0.85,0.85,0.85,0.85
NamPowerWindFarm_2031,0.85,0.85,0.85,0.85
SolarRound(PV)_ZMB,1.0,1.0,1.0,1.0
Sto_ZAF,0.85,0.85,0.85,0.85
Sto_LSO,0.85,0.85,0.85,0.85
Sto_SWZ,0.85,0.85,0.85,0.85
Sto_MOZ,0.85,0.85,0.85,0.85
Sto_SWE,0.85,0.85,0.85,0.85
Sto_BWA,0.85,0.85,0.85,0.85
Sto_NAM,0.85,0.85,0.85,0.85
Sto_ZMB,0.85,0.85,0.85,0.85
Sto_AGO,0.85,0.85,0.85,0.85
Sto_TZA,0.85,0.85,0.85,0.85
Sto_DRC,0.85,0.85,0.85,0.85
Chasombo_HY_MWI,0.61976749,0.684349392,0.689222195,0.615215736
Sto_DRCSouth,0.85,0.85,0.85,0.85
New_CSP_ZAF,1.0,1.0,1.0,1.0
New_CSP_LSO,1.0,1.0,1.0,1.0
New_CSP_SWZ,1.0,1.0,1.0,1.0
New_CSP_BWA,1.0,1.0,1.0,1.0
New_CSP_NAM,1.0,1.0,1.0,1.0
New_CSP_ZMB,1.0,1.0,1.0,1.0
New_CSP_AGO,1.0,1.0,1.0,1.0
New_CSP_TZA,1.0,1.0,1.0,1.0
Salima_PV_MWI,1.0,1.0,1.0,1.0
New_PV_ZAF,1.0,1.0,1.0,1.0
New_PV_LSO,1.0,1.0,1.0,1.0
New_PV_SWZ,1.0,1.0,1.0,1.0
New_PV_MOZ,1.0,1.0,1.0,1.0
New_PV_ZWE_2026,1.0,1.0,1.0,1.0
New_PV_BWA,1.0,1.0,1.0,1.0
New_PV_NAM_2026,1.0,1.0,1.0,1.0
New_PV_ZMB_2026,1.0,1.0,1.0,1.0
New_PV_AGO,1.0,1.0,1.0,1.0
Kishapu_I,1.0,1.0,1.0,1.0
New_PV_DRC,1.0,1.0,1.0,1.0
PV_2027_MWI,1.0,1.0,1.0,1.0
New_PV_DRCSouth,1.0,1.0,1.0,1.0
New_OnshoreWind_ZAF,0.85,0.85,0.85,0.85
New_OnshoreWind_LSO,0.85,0.85,0.85,0.85
New_OnshoreWind_SWZ,0.85,0.85,0.85,0.85
New_OnshoreWind_MOZ,0.85,0.85,0.85,0.85
New_OnshoreWind_ZWE,0.85,0.85,0.85,0.85
New_OnshoreWind_BWA,0.85,0.85,0.85,0.85
New_OnshoreWind_NAM_2027,0.85,0.85,0.85,0.85
New_OnshoreWind_ZMB,0.85,0.85,0.85,0.85
New_OnshoreWind_AGO,0.85,0.85,0.85,0.85
Wind_Tanzania,0.85,0.85,0.85,0.85
New_OnshoreWind_DRC_2026,0.85,0.85,0.85,0.85
Golomoti_PV_MWI,1.0,1.0,1.0,1.0
New_OnshoreWind_DRCSouth_2026,0.85,0.85,0.85,0.85
CT_OnGrid_Diesel,0.85,0.85,0.85,0.85
Agg_THICE1_ZAR,0.85,0.85,0.85,0.85
Agg_THICE2_ZAR,0.85,0.85,0.85,0.85
CT_OffGrid_Diesel,0.85,0.85,0.85,0.85
PowerAfrica_TH_BWA,0.85,0.85,0.85,0.85
SA_CahoraBassa29_HY_MOZ,0.8,0.8,0.8,0.8
MozMGTPEDMSasolCTTemane_TH_MOZ,0.85,0.85,0.85,0.85
SA_CahoraBassa30_HY_MOZ,0.8,0.8,0.8,0.8
Maragra_biomass_MOZ,0.85,0.85,0.85,0.85
Inga3BC_ext_HY_ZAR,0.9,0.9,0.9,0.9
Arnot2_TH_ZAF,0.85,0.85,0.85,0.85
Duynefontein_NU_ZAF,0.85,0.85,0.85,0.85
Existing _PV_NAM,1.0,1.0,1.0,1.0
Otikojoto_Biomass_NAM,0.85,0.85,0.85,0.85
New_CBM_Bot_gas_2031,0.85,0.85,0.85,0.85
SACoal(Medium)new_TH_ZAF,0.85,0.85,0.85,0.85
NewCCGTNG_TH_SWZ,0.85,0.85,0.85,0.85
Diaz_Wind_NAM,0.85,0.85,0.85,0.85
Omburru_Wind_Nam,1.0,1.0,1.0,1.0
IPP_Wind_NAM,0.85,0.85,0.85,0.85
CommittedCSP1_NAM,1.0,1.0,1.0,1.0
RoshPinah_PV_NAM,1.0,1.0,1.0,1.0
CommittedWind1-4_NAM,0.85,0.85,0.85,0.85
CommittedWind1-5_NAM,0.85,0.85,0.85,0.85
Khan_PV_NAM,1.0,1.0,1.0,1.0
CommittedPV2-2_NAM,1.0,1.0,1.0,1.0
CommittedPV2-3_NAM,1.0,1.0,1.0,1.0
CommittedPV2-4_NAM,1.0,1.0,1.0,1.0
Lithops_BESS_NAM,0.85,0.85,0.85,0.85
Omburru_BESS_NAM,0.85,0.85,0.85,0.85
CommittedStorage2-2_NAM,0.85,0.85,0.85,0.85
CommittedStorage2-3_NAM,0.85,0.85,0.85,0.85
CommittedStorage2-4_NAM,0.85,0.85,0.85,0.85
New_Coal_1_BWA,0.85,0.85,0.85,0.85
New_Coal_2_BWA,0.85,0.85,0.85,0.85
Committed_PV1-1_BWA,1.0,1.0,1.0,1.0
Committed_PV1-2_BWA,1.0,1.0,1.0,1.0
Committed_PV1-3_BWA,1.0,1.0,1.0,1.0
Committed_Wind1-1_BWA,0.85,0.85,0.85,0.85
Committed_Wind1-2_BWA,0.85,0.85,0.85,0.85
Committed_Wind1-3_BWA,0.85,0.85,0.85,0.85
Committed_Wind1-4_BWA,0.85,0.85,0.85,0.85
Committed_Wind1-5_BWA,0.85,0.85,0.85,0.85
NEWSto_BWA,0.85,0.85,0.85,0.85
Committed_Storage1-1_BWA,0.85,0.85,0.85,0.85
Committed_Storage1-2_BWA,0.85,0.85,0.85,0.85
Committed_Storage1-3_BWA,0.85,0.85,0.85,0.85
Existing_AusWind_NAM,0.85,0.85,0.85,0.85
New_OffshoreWind_ZAF,0.85,0.85,0.85,0.85
New_OffshoreWind_MOZ,0.85,0.85,0.85,0.85
New_OffshoreWind_NAM,0.85,0.85,0.85,0.85
New_OffshoreWind_AGO,0.85,0.85,0.85,0.85
New_OffshoreWind_TZA,0.85,0.85,0.85,0.85
AggDiesel_TH_MOZ,0.85,0.85,0.85,0.85
NewCCGTNG_TH_AGO,0.85,0.85,0.85,0.85
GenericDieselCan_ZAF,0.85,0.85,0.85,0.85
GenericDieselCan_NAM,0.85,0.85,0.85,0.85
GenericDieselCan_BWA,0.85,0.85,0.85,0.85
GenericDieselCan_TZA,0.85,0.85,0.85,0.85
GenericDieselCan_DRC,0.85,0.85,0.85,0.85
GenericDieselCan_SWL,0.85,0.85,0.85,0.85
GenericDieselCan_LSO,0.85,0.85,0.85,0.85
GenericDieselCan_ZMB,0.85,0.85,0.85,0.85
NewCCGTNG_TH_LSO,0.85,0.85,0.85,0.85
GasTurbine_TH_AGO,0.85,0.85,0.85,0.85
GasTurbine_TH_SWL,0.85,0.85,0.85,0.85
GasTurbine_TH_LSO,0.85,0.85,0.85,0.85
GecaminesCoal(100)_TH_AGO,0.85,0.85,0.85,0.85
Mzimba_I_WIND_MWI,0.85,0.85,0.85,0.85
Mzimba_II_WIND_MWI,0.85,0.85,0.85,0.85
Dedza_WIND_MWI,0.85,0.85,0.85,0.85
Chitipa_WIND_MWI,0.85,0.85,0.85,0.85
Kasitu_GT_MWI,0.85,0.85,0.85,0.85
Chiweta_GT_MWI,0.85,0.85,0.85,0.85
Kam'mwamba_C_MWI,0.85,0.85,0.85,0.85
Rukuru_C_MWI,0.85,0.85,0.85,0.85
Mota_Engil_C_MWI,0.85,0.85,0.85,0.85
Bagasse_co-generation_BM_MWI,0.85,0.85,0.85,0.85
Waste_to_energy_(Blantyre)_BM_MWI,0.85,0.85,0.85,0.85
Ethanol_project_BM_MWI,0.85,0.85,0.85,0.85
Near_Salima_Nanjoka_LNG_MWI,0.85,0.85,0.85,0.85
Li-ion_storage_A_MWI,0.85,0.85,0.85,0.85
Golomoti_BESS,0.85,0.85,0.85,0.85
Li-ion_storage_C_MWI,0.85,0.85,0.85,0.85
Sto_MWI_2027,0.85,0.85,0.85,0.85
SolarRound(PV)New_ZMB,1.0,1.0,1.0,1.0
NewSolar2025_PV_ZMB,1.0,1.0,1.0,1.0
ChishimbaFallsExt_HY_ZMB,0.213,0.235,0.186,0.225
