g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Baynes(Namibia)_HY_NAM,Namibia,ReservoirHydro,Water,2034,2112,430,3,,,,,,,,,,,,430,,,,,0,
Arnot2_TH_ZAF,South_Africa,ST,Coal,1971,2033,390,1,,,,,,,,,,,,,,,,,0,
Arnot3_TH_ZAF,South_Africa,ST,Coal,1972,2033,396,1,,,,,,,,,,,,,,,,,0,
Arnot4_TH_ZAF,South_Africa,ST,Coal,1973,2033,396,1,,,,,,,,,,,,,,,,,0,
Arnot5_TH_ZAF,South_Africa,ST,Coal,1974,2033,400,1,,,,,,,,,,,,,,,,,0,
Arnot6_TH_ZAF,South_Africa,ST,Coal,1975,2033,400,1,,,,,,,,,,,,,,,,,0,
Busanga_HY_DRCSouth,DRC_South,ReservoirHydro,Water,2022,2060,240,1,,,,,,,,,,,,,,,,,0,
COMBI_Diesel_AGO_CE,Angola_Central,ICE,Diesel,2016,2046,88.7,1,,,,,,,,,,,,,,,,,0,
COMBI_Diesel_OFF_AGO_CE,Angola_Central,ICE,Diesel,2017,2049,7.25,1,,,,,,,,,,,,,,,,,0,
Bailundo_PV_AGO_CE,Angola_Central,PV,Solar,2025,2050,7,1,,,,,,,,,,,,,,,,,1,
CaculoCabaca_HY_AGO_NO,Angola_North,ReservoirHydro,Water,2027,2107,2172,2,,,,,,,,,,,,2172,,,,,0,
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,1,,,,,,,,,,,,,,,,,0,
BatokaGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2115,1200,3,,,,,,,,,,,,1200,,,,,0,
Cedar_Muloza_HY_MWI,Malawi,ROR,Water,2022,2102,3.3,1,,,,,,,,,,,,,,,,,0,
CF_Bafia_Farta_PV_AGO_CE,Angola_Central,PV,Solar,2022,2052,76,1,,,,,,,,,,,,,,,,,1,
AH_COMBI_HY_AGO_CE,Angola_Central,ReservoirHydro,Water,2012,2092,32,1,,,,,,,,,,,,,,,,,0,
CF_Biopio_PV_AGO_CE,Angola_Central,PV,Solar,2022,2052,145,1,,,,,,,,,,,,,,,,,1,
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,6,1,,,,,,,,,,,,,,,,,0,
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2106,9,2,,,,,,,,,,,,9,,,,,0,
CTMJICA1_TH_MOZ,Mozambique_South,OCGT,Gas,2018,2068,106,1,,,,,,,,,,,,,,7,9,,0,
Biomass_Candidate_TZA,Tanzania,ST,Biomass,2025,2060,32,3,,,,,,,,,,,,32,,,,,0,
Existing_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,85,1,,,,,,,,,,,,,,,,,0,
Luapula_HY_ZMB,Zambia,ROR,Water,2033,2110,1200,3,,,,,,,,,,,,300,,,,,0,
Luapula_PV_ZMB,Zambia,PV,Solar,2026,2056,50,2,,,,,,,,,,,,50,,,,,1,
CandidateHydro_HY_ZMB,Zambia,ReservoirHydro,Water,2036,2109,315,0,,,,,,,,,,,,315,,,0,0,0,
AH_Matala_HY_AGO_SO,Angola_South,ROR,Water,1959,2060,41,1,,,,,,,,,,,,,,,,,0,
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73,1,,,,,,,,,,,,,,,,,0,
GasPower_TH_MWI,Malawi,OCGT,Gas,2027,2077,50,3,,,,,,,,,,,,50,,,,,0,
Chasombo_HY_MWI,Malawi,ReservoirHydro,Water,2033,2060,40,3,,,,,,,,,,,,40,,,,,0,
MorupuleA_TH_BWA,Botswana,ST,Coal,1989,2028,132,1,,,,,,,,,,,,,,,,,0,
MorupuleB_TH_BWA,Botswana,ST,Coal,2012,2055,390,1,,,,,,,,,,,,,,,,,0,
MorupuleBupgrade_TH_BWA,Botswana,ST,Coal,2022,2052,130,1,,,,,,,,,,,,,,,,,0,
Orapa1and2_TH_BWA,Botswana,OCGT,HFO,2000,2031,90,1,,,,,,,,,,,,,,,,,0,
SelibePhikwe_PV1-1_BWA,Botswana,PV,Solar,2025,2056,100,1,,,,,,,,,,,,,,,,,1,
Cuito_PV_AGO_SO,Angola_South,PV,Solar,2025,2055,11,1,,,,,,,,,,,,,,,,,1,
Quilemba_PV_AGO_SO,Angola_South,PV,Solar,2027,2057,25,2,,,,,,,,,,,,25,,,,,1,
Cunene_PV_AGO_SO,Angola_South,PV,Solar,2027,2057,8,2,,,,,,,,,,,,8,,,,,1,
Cuango_PV_AGO_EA,Angola_East,PV,Solar,2028,2057,11.5,2,,,,,,,,,,,,11.5,,,,,1,
CafunfoHybrid_PV_AGO_EA,Angola_East,PV,Solar,2028,2058,41.4,2,,,,,,,,,,,,41.4,,,,,1,
Lau_PV_AGO_EA,Angola_East,PV,Solar,2028,2057,32.2,2,,,,,,,,,,,,32.2,,,,,1,
CambuloHybrid_PV_AGO_EA,Angola_East,PV,Solar,2028,2057,36.8,2,,,,,,,,,,,,36.8,,,,,1,
Inga1_HY_DRC,DRC,ReservoirHydro,Water,1974,2060,227,1,,,,,,,,,,,,,,,,,0,
CommittedWind1-5_NAM,Namibia,OnshoreWind,Wind,2036,2066,0,2,,,,,,,,,,,,0,,,,,1,
CT_COMBI_Diesel_TH_AGO_SO,Angola_South,ICE,Diesel,2012,2055,384.07,1,,,,,,,,,,,,,,7,12.19838981,,0,
CT_PV_Diesel_Hybrid_AGO_SO,Angola_South,PV,Solar,2017,2051,36.6,1,,,,,,,,,,,,,,12,10.42,,1,
Avon_TH_ZAF,South_Africa,OCGT,Diesel,2015,2065,837,1,,,,,,,,,,,,,,,,,0,
Chitipa_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,,,,,,,,,,,,0,,,,,1,
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12,3,,,,,,,,,,,,12,,,,,0,
Chizuma_HY_MWI,Malawi,ROR,Water,2055,2060,40,0,,,,,,,,,,,,40,,,0,0,0,
Diaz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,44,2,,,,,,,,,,,,44,,,,,1,
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,1,,,,,,,,,,,,,,,,,0,
Edwaleni1_4_HY_SWZ,Eswatini,ROR,Water,1964,2050,10,1,,,,,,,,,,,,,,,,,0,
Solar_PV_BWA,Botswana,PV,Solar,2020,2050,10,1,,,,,,,,,,,,,,,,,1,
Mmashoro_TH_BWA,Botswana,OCGT,Gas,2028,2058,10,2,,,,,,,,,,,,10,,,,,0,
Jwaneng_PV1-1_BWA,Botswana,PV,Solar,2027,2056,100,2,,,,,,,,,,,,100,,,,,1,
Committed_Wind1-1_BWA,Botswana,OnshoreWind,Wind,2027,2057,0,2,,,,,,,,,,,,0,,,,,1,
Committed_PV1-3_BWA,Botswana,PV,Solar,2035,2060,1000,0,,,,,,,,,,,,40,,,,,1,
Corumana_HY_MOZ,Mozambique_Central,ReservoirHydro,Water,2000,2060,16.6,1,,,,,,,,,,,,,,,,,0,
ExistingSolar_REN_MOZ,Mozambique_North,PV,Solar,2019,2060,20,1,,,,,,,,,,,,,,,,,1,
Dedza_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0,3,,,,,,,,,,,,0,,,,,1,
Existing_PV_NAM,Namibia,PV,Solar,2015,2060,127,1,,,,,,,,,,,,,,,,,1,
Existing_AusWind_NAM,Namibia,OnshoreWind,Wind,2020,2055,5,1,,,,,,,,,,,,,,,,,1,
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,1480,1,,,,,,,,,,,,,,,,,0,
Dedisa_TH_ZAF,South_Africa,OCGT,Diesel,2015,2065,335,1,,,,,,,,,,,,,,,,,0,
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2032,2875,1,,,,,,,,,,,,,,,,,0,
AH_HIDROCHICAPA_OFF_AGO_EA,Angola_East,ROR,Water,2000,2060,16,1,,,,,,,,,,,,,,,,,0,
AH_TCHIUMBEDALA_OFF_AGO_EA,Angola_East,ROR,Water,2017,2097,12.42,1,,,,,,,,,,,,,,,,,0,
COMBI_Diesel_OFF_AGO_EA,Angola_East,ICE,Diesel,2011,2053,80.05,1,,,,,,,,,,,,,,,,,0,
ExistingSmallHydro2012_HY_AGO,Angola,ReservoirHydro,Water,2012,2060,136,0,,,,,,,,,,,,,,,0,0,0,
BokpoortCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2016,2041,50,1,,,,,,,,,,,,,,,,,0,
IlangaCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,,,,,,,,,,,,,,,,0,
KathuSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,,,,,,,,,,,,,,,,0,
KaxuSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2015,2040,100,1,,,,,,,,,,,,,,,,,0,
KhiSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2016,2041,50,1,,,,,,,,,,,,,,,,,0,
RedStoneSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,,,,,,,,,,,,,,,,0,
XinaSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2017,2042,100,1,,,,,,,,,,,,,,,,,0,
Collywobbles_HY_ZAF,South_Africa,ReservoirHydro,Water,1985,2060,42,1,,,,,,,,,,,,,,,,,0,
Devil'sGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2037,2112,600,3,,,,,,,,,,,,600,,,,,0,
Committed_Wind1-2_BWA,Botswana,OnshoreWind,Wind,2035,2065,100,3,,,,,,,,,,,,0,,,,,1,
Bethlem_HY_ZAF,South_Africa,ROR,Water,2020,2090,2.1,1,,,,,,,,,,,,,,,,,0,
Kruisvallei_HY_ZAF,South_Africa,ROR,Water,2020,2090,4.3,1,,,,,,,,,,,,,,,,,0,
Stortemelk_HY_ZAF,South_Africa,ROR,Water,2018,2088,4.3,1,,,,,,,,,,,,,,,,,0,
Neusberg_HY_ZAF,South_Africa,ROR,Water,2015,2060,10,1,,,,,,,,,,,,,,,,,0,
Edwaleni5_HY_SWZ,Eswatini,ROR,Water,1964,2050,5,1,,,,,,,,,,,,,,,,,0,
Kuvaninga_TH_MOZ,Mozambique_South,OCGT,Gas,2017,2067,40,1,,,,,,,,,,,,,,7,9,,0,
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,Solar,2017,2060,2673.1,1,,,,,,,,,,,,,,,,,1,
Thyolo_HY_MWI,Malawi,ReservoirHydro,Water,2035,2098,20,3,,,,,,,,,,,,20,,,,,0,
Dwambazi_HY_MWI,Malawi,ReservoirHydro,Water,2033,2093,22,3,,,,,,,,,,,,22,,,,,0,
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2062,28,3,,,,,,,,,,,,28,,,,,0,
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9,0,,,,,,,,,,,,,,,,,0,
GasTurbine_TH_LSO,Lesotho,OCGT,Gas,2027,2077,500,0,,,,,,,,,,,,75,,7,9.7,0.05,0,
GasTurbine_TH_SWZ,Eswatini,OCGT,Gas,2027,2077,500,0,,,,,,,,,,,,80,,7,9.7,0.05,0,
Golomoti_PV_MWI,Malawi,PV,Solar,2022,2060,20,1,,,,,,,,,,,,,,,,,1,
ExistingWind_REN_ZAF,South_Africa,OnshoreWind,Wind,2015,2045,3644,1,,,,,,,,,,,,,,,,,1,
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,300,0,,,,,,,,,,,,0,,,0,0.05,0,
Gariep_HY_ZAF,South_Africa,ReservoirHydro,Water,1971,2060,360,1,,,,,,,,,,,,,,,,,0,
LavumisaSolar_PV_SWZ,Eswatini,PV,Solar,2021,2051,10,1,,,,,,,,,,,,,,,,,1,
Gourikwa_TH_ZAF,South_Africa,OCGT,Diesel,2007,2057,740,1,,,,,,,,,,,,,,,,,0,
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110,1,,,,,,,,,,,,,,,,,0,
Inga2_HY_DRC,DRC,ReservoirHydro,Water,1982,2060,835,1,,,,,,,,,,,,,,,,,0,
Kilubi_HY_DRCSouth,DRC_South,ROR,Water,1954,2060,3,1,,,,,,,,,,,,,,,,,0,
Generic_PV_NAM,Namibia,PV,Solar,2029,2054,300,0,,,,,,,,,,,,25,,,,,1,
IPP_Luderitz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50,2,,,,,,,,,,,,50,,,,,1,
ItheziThezi_HY_ZMB,Zambia,ReservoirHydro,Water,2016,2060,120,1,,,,,,,,,,,,,,,,,0,
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2030,570,1,,,,,,,,,,,,,,,,,0,
KafueGorge_HY_ZMB,Zambia,ReservoirHydro,Water,1977,2060,990,1,,,,,,,,,,,,,,,,,0,
KafueGorgeLower_HY_ZMB,Zambia,ReservoirHydro,Water,2023,2060,750,1,,,,,,,,,,,,,,,,,0,
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500,0,,,,,,,,,,,,500,,,0,0.06,0,
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,200,0,,,,,,,,,,,,200,,,0,0.06,0,
KanengoI_TH_MWI,Malawi,ICE,Diesel,2000,2050,8,1,,,,,,,,,,,,,,,,,0,
KanengoII_TH_MWI,Malawi,ICE,Diesel,2000,2050,7,1,,,,,,,,,,,,,,,,,0,
Kapichira_HY_MWI,Malawi,ROR,Water,2013,2093,129.6,1,,,,,,,,,,,,,,,,,0,
KaribaNB_HY_ZMB,Zambia,ReservoirHydro,Water,1976,2060,1080,1,,,,,,,,,,,,,,,,,0,
KaribaNBE_HY_ZMB,Zambia,ReservoirHydro,Water,2015,2060,360,1,,,,,,,,,,,,,,,,,0,
GenericDieselCan_SWZ,Eswatini,ICE,HFO,2024,2054,60,0,,,,,,,,,,,,60,,,0,0.06,0,
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2030,1158,1,,,,,,,,,,,,,,,,,0,
JohannesburgLandfillGas_TH_ZAF,South_Africa,OCGT,Diesel,2000,2050,18,1,,,,,,,,,,,,,,7,10.7,,0,
KelvinA_TH_ZAF,South_Africa,ST,Coal,1957,2012,180,1,,,,,,,,,,,,,,,,,0,
Khan_PV_NAM,Namibia,PV,Solar,2027,2060,25,2,,,,,,,,,,,,25,,,,,1,
KelvinB_TH_ZAF,South_Africa,ST,Coal,1964,2025,389,1,,,,,,,,,,,,,,,,,0,
Koni_HY_DRCSouth,DRC_South,ROR,Water,1950,2060,42,1,,,,,,,,,,,,,,,,,0,
Tazama_Gas_ZMB,Zambia,OCGT,Gas,2035,2065,400,3,,,,,,,,,,,,200,,,,,0,
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,100,0,,,,,,,,,,,,100,,,0,0.06,0,
Kendal_TH_ZAF,South_Africa,ST,Coal,1985,2042,3869,1,,,,,,,,,,,,,,,,,0,
Koeberg_NU_ZAF,South_Africa,Nuclear,Uranium,1985,2045,1860,1,,,,,,,,,,,,,,,,,0,
KomatiI_TH_ZAF,South_Africa,ST,Coal,1966,2022,500,1,,,,,,,,,,,,,,,,,0,
Muanda_TH_DRC,DRC,ICE,HFO,2000,2050,4.8,1,,,,,,,,,,,,,,,,,0,
KomatiII_TH_ZAF,South_Africa,ST,Coal,1966,2022,500,1,,,,,,,,,,,,,,,,,0,
Kriel_TH_ZAF,South_Africa,ST,Coal,1979,2032,2850,1,,,,,,,,,,,,,,,,,0,
Kusile_I_TH_ZAF,South_Africa,ST,Coal,2020,2070,1440,1,,,,,,,,,,,,,,,,,0,
Kusile_II_TH_ZAF,South_Africa,ST,Coal,2023,2073,1440,1,,,,,,,,,,,,,,,,,0,
LesothoSolar_REN_LSO,Lesotho,PV,Solar,2023,2053,28,1,,,,,,,,,,,,,,,,,1,
Lethabo_TH_ZAF,South_Africa,ST,Coal,1990,2038,3559,1,,,,,,,,,,,,,,,,,0,
Likoma_TH_MWI,Malawi,ST,HFO,2019,2054,0.4,1,,,,,,,,,,,,,,,,,0,
Chizumulu_TH_MWI,Malawi,ST,HFO,2019,2054,0.7,1,,,,,,,,,,,,,,,,,0,
Lilongwe_TH_MWI,Malawi,OCGT,Diesel,2000,2050,5,1,,,,,,,,,,,,,,,,,0,
Hamilton_Falls_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,87,0,,,,,,,,,,,,87,,,0,0,0,
CandidateHydro_TZA,Tanzania,ROR,Water,2030,2110,5000,0,,,,,,,,,,,,100,,,,,0,
Inga3BC_HY_DRC,DRC,ReservoirHydro,Water,2037,2085,3500,2,,,,,,,,,,,,1400,,,0,0,0,
Ezulwini_HY_SWZ,Eswatini,ROR,Water,2000,2080,20,1,,,,,,,,,,,,,,,,,0,
Maguduza_HY_SWZ,Eswatini,ROR,Water,2000,2080,5.6,1,,,,,,,,,,,,,,,,,0,
SSEG_Rooftop_PV_SWZ,Eswatini,PV,Solar,2022,2045,15,1,,,,,,,,,,,,,,,,,1,
LuandaOCGT_TH_AGO,Angola,OCGT,Gas,1980,2019,125,0,,,,,,,,,,,,,,7,14.32126767,0.25,0,
Iringa_Ibosa_HY_TZA,Tanzania,ROR,Water,2035,2108,36,3,,,,,,,,,,,,36,,,,,0,
Mwadingusha_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1954,2060,0,1,,,,,,,,,,,,,,,,,0,
Iringa_Nginayo_HY_TZA,Tanzania,ROR,Water,2035,2110,52,3,,,,,,,,,,,,52,,,,,0,
Lunsemfwa+Mulungushi_HY_ZMB,Zambia,ReservoirHydro,Water,1982,2060,56,1,,,,,,,,,,,,,,,,,0,
Lunzua_HY_ZMB,Zambia,ROR,Water,2000,2060,15,1,,,,,,,,,,,,,,,,,0,
Lusiwasi_HY_ZMB,Zambia,ReservoirHydro,Water,1967,2021,12,1,,,,,,,,,,,,,,,,,0,
LuisCabral_TH_MOZ,Mozambique_South,OCGT,HFO,2000,2050,14,1,,,,,,,,,,,,,,,,,0,
Kakono_HY_TZA,Tanzania,ROR,Water,2031,2110,87,0,,,,,,,,,,,,87,,,,,0,
LusiwasiUpper_HY_ZMB,Zambia,ReservoirHydro,Water,2017,2060,15,1,,,,,,,,,,,,,,,,,0,
MaambaCoalI_TH_ZMB,Zambia,ST,Coal,2016,2066,300,1,,,,,,,,,,,,,,,,,0,
KalungwishiI_HY_ZMB,Zambia,ReservoirHydro,Water,2033,2110,101,3,,,,,,,,,,,,101,,,,,0,
Kam'mwamba_C_MWI,Malawi,ST,Coal,2055,2060,400,0,,,,,,,,,,,,0,,,0,0.05,0,
Maguga_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2080,19.8,1,,,,,,,,,,,,,,,,,0,
USL_biomass_SWZ,Eswatini,ST,Bagasse,2011,2050,40,1,,,,,,,,,,,,,,,,,0,
USL_hydro_SWA,Eswatini,ROR,Water,2011,2061,1,0,,,,,,,,,,,,,,,,,0,
LowerMaguduza_HY_SWZ,Eswatini,ROR,Water,2027,2107,13.5,2,,,,,,,,,,,,13,,,,,0,
Kasitu_GT_MWI,Malawi,ST,Geothermal,2055,2060,6,3,,,,,,,,,,,,6,,,,,0,
MajubaI_TH_ZAF,South_Africa,ST,Coal,1990,2051,1825,1,,,,,,,,,,,,,,,,,0,
MajubaII_TH_ZAF,South_Africa,ST,Coal,1985,2051,1981,1,,,,,,,,,,,,,,,,,0,
Kholombizo_HY_MWI,Malawi,ReservoirHydro,Water,2033,2093,213,0,,,,,,,,,,,,213,,,0,0,0,
Mapanga_ICE_MWI,Malawi,ICE,Diesel,2000,2060,16,1,,,,,,,,,,,,,,,,,0,
Matimba_TH_ZAF,South_Africa,ST,Coal,1987,2039,3695,1,,,,,,,,,,,,,,,,,0,
Matla_TH_ZAF,South_Africa,ST,Coal,1979,2031,3450,1,,,,,,,,,,,,,,,,,0,
Kibo_Mining_TH_TZA,Tanzania,ST,Coal,2060,2060,300,0,,,,,,,,,,,,300,,,,,,
MCT_Morro_Bento_TH_AGO,Angola,ICE,Diesel,2012,2062,25,0,,,,,,,,,,,,,,,0,0,0,
Medupi_TH_ZAF,South_Africa,ST,Coal,2015,2065,4320,1,,,,,,,,,,,,,,,,,0,
MkuzeBiomass_BIO_ZAF,South_Africa,ST,Biomass,2000,2055,16,1,,,,,,,,,,,,,,,,,0,
Committed_Wind1-3_BWA,Botswana,OnshoreWind,Wind,2028,2058,0,2,,,,,,,,,,,,50,,,,,1,
Committed_Wind1-4_BWA,Botswana,OnshoreWind,Wind,2031,2061,0,2,,,,,,,,,,,,0,,,,,1,
Committed_Wind1-5_BWA,Botswana,OnshoreWind,Wind,2035,2065,0,2,,,,,,,,,,,,50,,,,,1,
Kidunda_HY_TZA,Tanzania,ROR,Water,2028,2108,20,0,,,,,,,,,,,,20,,,,,0,
Mpatamanga_Opt_HY_MWI,Malawi,ReservoirHydro,Water,2033,2101,358,2,,,,,,,,,,,,359,,,,,0,
Nseke_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1957,2060,260,1,,,,,,,,,,,,,,,,,0,
Muela_HY_LSO,Lesotho,ReservoirHydro,Water,2000,2080,74,1,,,,,,,,,,,,,,,,,0,
Kiejo_Mbaka_I_TH_TZA,Tanzania,ST,Geothermal,2035,2060,60,3,,,,,,,,,,,,60,,,,,0,
Mulanje_Ruo_Ndiza_HY_MWI,Malawi,ReservoirHydro,Water,2020,2100,8.25,1,,,,,,,,,,,,,,,,,0,
Kiejo_Mbaka_II_TH_TZA,Tanzania,ST,Geothermal,2035,2060,20,3,,,,,,,,,,,,20,,,,,0,
Kikonge_HY_TZA,Tanzania,ReservoirHydro,Water,2032,2112,300,3,,,,,,,,,,,,300,,,,,0,
Kinyerezi_IV_TH_TZA,Tanzania,CCGT,Gas,2030,2060,330,3,,,,,,,,,,,,30,,,,,0,
MusondaFalls_HY_ZMB,Zambia,ReservoirHydro,Water,1972,2060,10,1,,,,,,,,,,,,,,,,,0,
Nzilo_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1954,2060,100,1,,,,,,,,,,,,,,,,,0,
Kinyezeri_III_PH_I_TH_TZA,Tanzania,OCGT,Gas,2030,2060,300,3,,,,,,,,,,,,30,,,,,0,
Kinyezeri_III_PH_II_TH_TZA,Tanzania,CCGT,Gas,2030,2060,300,3,,,,,,,,,,,,30,,,,,0,
Mzuzu_Luwinga_ICE_MWI,Malawi,ICE,Diesel,2000,2050,5,1,,,,,,,,,,,,,,,,,0,
Kisaki_TH_TZA,Tanzania,ST,Geothermal,2035,2060,300,3,,,,,,,,,,,,300,,,,,0,
Kiwaba_Nzogi_WIND_AGO_NO,Angola_North,OnshoreWind,Wind,2033,2063,106,3,,,,,,,,,,,,50,,,,,1,
Kiwira_I_TH_TZA,Tanzania,ST,Coal,2060,2060,200,0,,,,,,,,,,,,,,,,,,
Kiwira_II_TH_TZA,Tanzania,ST,Coal,2060,2060,200,0,,,,,,,,,,,,,,,,,,
Kiwira_III_TH_TZA,Tanzania,ST,Coal,2060,2060,600,0,,,,,,,,,,,,,,,,,,
Kudu_Gas_TH_NAM,Namibia,CCGT,Gas,2034,2064,475,3,,,,,,,,,,,,475,,,,,0,
LesothoLetsengWind_REN_LSO,Lesotho,OnshoreWind,Wind,2028,2055,35,3,,,,,,,,,,,,35,,,,,1,
MetoroSolarPV_REN_MOZ,Mozambique_North,PV,Solar,2023,2060,30,1,,,,,,,,,,,,,,,,,1,
LobitoI_TH_AGO_CE,Angola_Central,CCGT,Gas,2030,2082,500,3,,,,,,,,,,,,200,,,,,0,
Lower_Fufu_HY_MWI,Malawi,ReservoirHydro,Water,2033,2093,261,3,,,,,,,,,,,,261,,,,,0,
Lower_Songwe_HY_MWI,Malawi,ReservoirHydro,Water,2035,2060,90,3,,,,,,,,,,,,90,,,,,0,
UsuthuSwamil_BIO_SWZ,Eswatini,ST,Woodchip,2031,2061,20,0,,,,,,,,,,,,35,,,,,0,
Balekane_Solar_SWZ,Eswatini,PV,Solar,2030,2056,15,2,,,,,,,,,,,,75,,,,,1,
Ngwenya_Solar_SWZ,Eswatini,PV,Solar,2027,2056,15,2,,,,,,,,,,,,75,,,,,1,
Luchenene_HY_ZMB,Zambia,ReservoirHydro,Water,2034,2110,30,3,,,,,,,,,,,,30,,,,,0,
MocubaSolarPV_REN_MOZ,Mozambique_North,PV,Solar,2019,2060,30,1,,,,,,,,,,,,,,,,,1,
LusiwasiLower_HY_ZMB,Zambia,ReservoirHydro,Water,2034,2108,86,3,,,,,,,,,,,,86,,,,,0,
