g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
New_BESS_LSO,Lesotho,Storage,Battery,,3,2027,2060,,60,,10,240,,,,,,,,,,,,,,,,,,,,,,
New_BESS_MOZ_CE,Mozambique,Storage,Battery,,3,2027,2060,,4000,,100,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_MOZ_NO,Mozambique,Storage,Battery,,3,2027,2060,,2000,,100,8000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_MOZ_SO,Mozambique,Storage,Battery,,3,2027,2060,,4000,,100,16000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_MWI,Malawi,Storage,Battery,,3,2027,2060,,50,,15,200,,,,,,,,,,,,,,,,,,,,,,
New_BESS_NAM,Namibia,Storage,Battery,,3,2030,2060,,300,,30,1200,,,,,,,,,,,,,,,,,,,,,,
New_BESS_2031_SWZ,Eswatini,Storage,Battery,,3,2031,2060,,70,,10,280,,,,,,,,,,,,,,,,,,,,,,
New_BESS_SWZ,Eswatini,Storage,Battery,,3,2027,2060,,30,,15,120,,,,,,,,,,,,,,,,,,,,,,
New_BESS_TZA,Tanzania,Storage,Battery,,3,2027,2060,,50,,15,200,,,,,,,,,,,,,,,,,,,,,,
New_BESS_ZAF,South_Africa,Storage,Battery,,2,2030,2050,,200,,100,800,,,,,,,,,,,,,,,,,,,,,,
New_BESS_ZMB,Zambia,Storage,Battery,,3,2029,2060,,2000,,50,8000,,,,,,,,,,,,,,,,,,,,,,
New_BESS_ZWE,Zimbabwe,Storage,Battery,,3,2028,2060,,500,,30,2000,,,,,,,,,,,,,,,,,,,,,,
NEWSto_BWA,Botswana,Storage,Battery,,2,2026,2046,,50,,50,200,,,,,,,,,,,,,,,,,,,,,,
Omburru_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,58,,58,75,,,,,,,,,,,,,,,,,,,,,,
PalmietPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,400,,,2800,,,,,,,,,,,,,,,,,,,,,,
SreenbrasPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,180,,,1260,,,,,,,,,,,,,,,,,,,,,,
BESS_TZA_Candidate,Tanzania,Storage,Battery,,3,2031,2060,,400,,40,1600,,,,,,,,,,,,,,,,,,,,,,
Sto_MWI_2030,Malawi,Storage,Battery,,3,2030,2060,,100,,30,120,,,,,,,,,,,,,,,,,,,,,,
NewPSP_ZWE,Zimbabwe,Storage,Water,,3,2040,2060,,2000,,2000,24000,,,,,,,,,,,,,,,,,,,,,,
NewPSP_ZMB,Zambia,Storage,Water,,3,2040,2060,,2000,,2000,24000,,,,,,,,,,,,,,,,,,,,,,
NewPSP_MOZ,Mozambique,Storage,Water,,3,2040,2060,,2000,,2000,32000,,,,,,,,,,,,,,,,,,,,,,
NewPSP_DRC,DRC,Storage,Water,,3,2040,2060,,2000,,2000,36000,,,,,,,,,,,,,,,,,,,,,,
