z,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Eswatini,ReservoirHydro,Water,0,1,1,0,,42000,0.55,0,3.4,30
Lesotho,ReservoirHydro,Water,0,1,1,0,,44800,0.55,0,3,30
Malawi,ReservoirHydro,Water,0,1,1,0,,46000,0.55,0,3.15,30
Mozambique_Central,ReservoirHydro,Water,0,1,1,0,,44800,0.55,0,3.5,30
Namibia,ReservoirHydro,Water,0,1,1,0,,42000,0.55,0,3.5,30
Tanzania,ReservoirHydro,Water,0,1,1,0,,44000,0.55,0,2.8,30
Zambia,ReservoirHydro,Water,0,1,1,0,,44000,0.55,0,2.6,30
Zimbabwe,ReservoirHydro,Water,0,1,1,0,,44000,0.55,0,2.2,30
South_Africa,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Angola_East,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Angola_Central,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Angola_North,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Angola_South,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Botswana,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Eswatini,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
DRC,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
DRC_South,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Lesotho,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Malawi,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_North,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_Central,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Mozambique_South,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Namibia,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Tanzania,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Zambia,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
Zimbabwe,Storage,Battery,0,1,1,0,0.9,13860,0,0,0.2,20
South_Africa,ST,Biomass,10,1,1,0,0.01,48000,3,0,1.5,30
Angola_East,ST,Biomass,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_Central,ST,Biomass,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_South,ST,Biomass,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_North,ST,Biomass,10,1,1,0,0.01,55200,3,0,1.83,30
Botswana,ST,Biomass,10,1,1,0,0.01,50400,3,0,1.58,30
DRC,ST,Biomass,10,1,1,0,0.01,60000,3,0,2.03,30
DRC_South,ST,Biomass,10,1,1,0,0.01,60000,3,0,2.03,30
Eswatini,ST,Biomass,10,1,1,0,0.01,50400,3,0,1.65,30
Lesotho,ST,Biomass,10,1,1,0,0.01,53760,3,0,1.77,30
Malawi,ST,Biomass,10,1,1,0,0.01,55200,3,0,1.8,30
Mozambique_South,ST,Biomass,10,1,1,0,0.01,53760,3,0,1.73,30
Mozambique_Central,ST,Biomass,10,1,1,0,0.01,53760,3,0,1.73,30
Mozambique_North,ST,Biomass,10,1,1,0,0.01,53760,3,0,1.73,30
Namibia,ST,Biomass,10,1,1,0,0.01,50400,3,0,1.61,30
Tanzania,ST,Biomass,10,1,1,0,0.01,52800,3,0,1.68,30
Zambia,ST,Biomass,10,1,1,0,0.01,52800,3,0,1.73,30
Zimbabwe,ST,Biomass,10,1,1,0,0.01,52800,3,0,1.77,30
South_Africa,PV,Solar,0,1,1,0,0,15000,0,0,0.8,25
Angola_East,PV,Solar,0,1,1,0,0,17250,0,0,0.98,25
Angola_Central,PV,Solar,0,1,1,0,0,17250,0,0,0.98,25
Angola_South,PV,Solar,0,1,1,0,0,17250,0,0,0.98,25
Angola_North,PV,Solar,0,1,1,0,0,17250,0,0,0.98,25
Botswana,PV,Solar,0,1,1,0,0,15750,0,0,0.84,25
DRC,PV,Solar,0,1,1,0,0,18750,0,0,1.08,25
DRC_South,PV,Solar,0,1,1,0,0,18750,0,0,1.08,25
Eswatini,PV,Solar,0,1,1,0,0,15740,0,0,0.88,25
Lesotho,PV,Solar,0,1,1,0,0,16800,0,0,0.94,25
Malawi,PV,Solar,0,1,1,0,0,17250,0,0,0.96,25
Mozambique_Central,PV,Solar,0,1,1,0,0,16800,0,0,0.92,25
Mozambique_South,PV,Solar,0,1,1,0,0,16800,0,0,0.92,25
Mozambique_North,PV,Solar,0,1,1,0,0,16800,0,0,0.92,25
Namibia,PV,Solar,0,1,1,0,0,15750,0,0,0.86,25
Tanzania,PV,Solar,0,1,1,0,0,16500,0,0,0.9,25
Zambia,PV,Solar,0,1,1,0,0,16500,0,0,0.92,25
Zimbabwe,PV,Solar,0,1,1,0,0,16500,0,0,0.94,25
South_Africa,OnshoreWind,Wind,0,1,1,0,0,40000,0,0,1.3,30
Angola_East,OnshoreWind,Wind,0,1,1,0,0,46000,0,0,1.59,30
Angola_South,OnshoreWind,Wind,0,1,1,0,0,46000,0,0,1.59,30
Angola_North,OnshoreWind,Wind,0,1,1,0,0,46000,0,0,1.59,30
Angola_Central,OnshoreWind,Wind,0,1,1,0,0,46000,0,0,1.59,30
Botswana,OnshoreWind,Wind,0,1,1,0,0,42000,0,0,1.37,30
DRC,OnshoreWind,Wind,0,1,1,0,0,50000,0,0,1.76,30
DRC_South,OnshoreWind,Wind,0,1,1,0,0,50000,0,0,1.76,30
Eswatini,OnshoreWind,Wind,0,1,1,0,0,42000,0,0,1.43,30
Lesotho,OnshoreWind,Wind,0,1,1,0,0,44800,0,0,1.53,30
Malawi,OnshoreWind,Wind,0,1,1,0,0,46000,0,0,1.56,30
Mozambique_Central,OnshoreWind,Wind,0,1,1,0,0,44800,0,0,1.5,30
Mozambique_North,OnshoreWind,Wind,0,1,1,0,0,44800,0,0,1.5,30
Mozambique_South,OnshoreWind,Wind,0,1,1,0,0,44800,0,0,1.5,30
Namibia,OnshoreWind,Wind,0,1,1,0,0,42000,0,0,1.39,30
Tanzania,OnshoreWind,Wind,0,1,1,0,0,44000,0,0,1.46,30
Zambia,OnshoreWind,Wind,0,1,1,0,0,44000,0,0,1.5,30
Zimbabwe,OnshoreWind,Wind,0,1,1,0,0,44000,0,0,1.53,30
Tanzania,ST,Geothermal,0,0.03,0.03,0.02,0.05,137500,5,0,4,30
Malawi,ST,Geothermal,0,0.03,0.03,0.02,0.05,150000,5,0,5.5,30
Zambia,ST,Geothermal,0,0.03,0.03,0.02,0.05,143750,5,0,5,30
DRC,ST,Geothermal,0,0.03,0.03,0.02,0.05,168750,5,0,6,30
South_Africa,ST,Nuclear,10.4,0.05,0.05,0,0.2,150000,3.5,0,4,50
South_Africa,ST,Biogas,10,1,1,0,0.01,48000,3,0,1.5,30
Botswana,ST,Biogas,10,1,1,0,0.01,50400,3,0,1.58,30
Namibia,ST,Biogas,10,1,1,0,0.01,50400,3,0,1.61,30
Eswatini,ST,Biogas,10,1,1,0,0.01,50400,3,0,1.65,30
Zimbabwe,ST,Biogas,10,1,1,0,0.01,52800,3,0,1.77,30
Zambia,ST,Biogas,10,1,1,0,0.01,52800,3,0,1.73,30
Tanzania,ST,Biogas,10,1,1,0,0.01,52800,3,0,1.68,30
Mozambique_South,ST,Biogas,10,1,1,0,0.01,53760,3,0,1.73,30
Mozambique_Central,ST,Biogas,10,1,1,0,0.01,53760,3,0,1.73,30
Mozambique_North,ST,Biogas,10,1,1,0,0.01,53760,3,0,1.73,30
Lesotho,ST,Biogas,10,1,1,0,0.01,53760,3,0,1.77,30
Malawi,ST,Biogas,10,1,1,0,0.01,55200,3,0,1.8,30
Angola_East,ST,Biogas,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_Central,ST,Biogas,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_South,ST,Biogas,10,1,1,0,0.01,55200,3,0,1.83,30
Angola_North,ST,Biogas,10,1,1,0,0.01,55200,3,0,1.83,30
DRC,ST,Biogas,10,1,1,0,0.01,60000,3,0,2.03,30
DRC_South,ST,Biogas,10,1,1,0,0.01,60000,3,0,2.03,30
,,,,,,,,,,,,
,,,,,,,,,,, ,
