z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
Malawi,Peak,386.74,396.9173684,407.0947368,417.2721053,427.4494737,442.5062646,457.7974947,487.5543319,519.2453634,552.996312,588.9410723,627.222242,667.9916878,711.4111475,757.6528721,806.9003087,859.3488288,915.2065027,974.6949254,1038.050096,1105.523352,1177.38237,1253.912224,1335.416518,1422.218592,1514.6628,1613.115882,1717.968415,1829.636362,1948.562725,2075.219302,2210.108557,2353.765613,2506.760378,2669.699802,2843.23029,3028.040258,3224.862875,3434.478962,3657.720095,3895.471901,4148.677574
DRC_South,Peak,2010,2087.734807,2165.469613,2243.20442,2320.939227,2407.558011,2497.508287,2647.358784,2806.200311,2974.57233,3153.04667,3342.22947,3542.763238,3755.329032,3980.648774,4219.487701,4472.656963,4741.016381,5025.477363,5327.006005,5646.626366,5985.423948,6344.549384,6725.222347,7128.735688,7556.45983,8009.847419,8490.438265,8999.86456,9539.856434,10112.24782,10718.98269,11362.12165,12043.84895,12766.47989,13532.46868,14344.4168,15205.08181,16117.38672,17084.42992,18109.49572,19196.06546
South_Africa,Energy,210648,215421.5416,219727.3587,224688.334,228057.8423,232433.3021,236829.3969,245118.4258,253697.5707,262576.9857,271767.1802,281279.0315,291123.7976,301313.1305,311859.0901,322774.1582,334071.2537,345763.7476,357865.4788,370390.7706,383354.4475,396771.8532,410658.868,425031.9284,439908.0459,455304.8275,471240.4965,487733.9139,504804.6009,522472.7619,540759.3086,559685.8844,579274.8903,599549.5115,620533.7444,642252.4254,664731.2603,687996.8544,712076.7443,736999.4304,762794.4104,789492.2148
Lesotho,Energy,1043,1077,1109,1143,1171,1204,1237,1270,1305,1342,1378,1415,1454.154373,1494.392183,1535.743412,1578.238867,1621.910212,1666.789983,1712.91162,1760.309485,1809.018894,1859.076137,1910.518512,1963.384345,2017.713024,2073.54503,2130.921959,2189.886561,2250.482769,2312.755731,2376.751843,2442.518788,2510.105566,2579.562533,2650.941439,2724.295466,2799.679268,2877.14901,2956.762412,3038.578792,3122.659107,3209.066003
Eswatini,Energy,1352,1391.629175,1428.493524,1479.182004,1516.046353,1560.283572,1607.285617,1652.444444,1700.368098,1750.134969,1799.90184,1852.433538,1906.182799,1961.491621,2018.405255,2076.970266,2137.23457,2199.247471,2263.059707,2328.723486,2396.292532,2465.822127,2537.369156,2610.992157,2686.751366,2764.708765,2844.928136,2927.475111,3012.417227,3099.823979,3189.766881,3282.31952,3377.557619,3475.559098,3576.404137,3680.175244,3786.957321,3896.837731,4009.906375,4126.255761,4245.98108,4369.180289
Zimbabwe,Energy,11302.30181,11795.41443,12272.29419,12800.12182,13256.79015,13783.09713,14326.95395,14875.34915,15457.65001,16059.88359,16682.9153,17332.99363,18013.14789,18719.99171,19454.57238,20217.97832,21011.34065,21835.83486,22692.68259,23583.15339,24508.56666,25470.29356,26469.75903,27508.44397,28587.88736,29709.68859,30875.50978,32087.07831,33346.18932,34654.70839,36014.57433,37427.80201,38896.48536,40422.80048,42009.00888,43657.46079,45370.59868,47150.96085,49001.1852,50924.01318,52922.29376,54998.98775
Botswana,Energy,4154.781697,4342.093871,4518.938742,4717.276214,4890.920477,5088.866595,5294.390086,5502.045108,5722.274162,5950.468952,6186.755396,6433.429491,6691.398263,6959.711112,7238.782816,7529.044786,7830.94573,8144.952351,8471.550064,8811.243749,9164.55853,9532.040588,9914.258006,10311.80164,10725.28606,11155.35044,11602.65962,12067.90508,12551.80603,13055.11053,13578.59662,14123.07354,14689.38299,15278.40042,15891.03637,16528.23791,17190.99006,17880.31737,18597.28543,19343.00261,20118.62169,20925.34167
Namibia,Energy,4290.801597,4355.145617,4408.710882,4485.453734,4524.933747,4582.988204,4642.598351,4696.193935,4754.709153,4813.367579,4871.675289,4931.614306,4993.300995,5055.759288,5118.998834,5183.029408,5247.860903,5313.503337,5379.966854,5447.261724,5515.398347,5584.387251,5654.239097,5724.964679,5796.574926,5869.080904,5942.493817,6016.825009,6092.085967,6168.288321,6245.443845,6323.564463,6402.662246,6482.749417,6563.838352,6645.941581,6729.071792,6813.24183,6898.464701,6984.753577,7072.121789,7160.582839
Zambia,Energy,13925,14390,14834,15337,15725,16197,16679,17151,17655,18169,18695,19241,19808.16861,20392.0557,20993.15408,21611.97109,22249.02902,22904.86556,23580.03425,24275.10495,24990.6643,25727.31626,26485.68257,27266.40332,28070.13743,28897.56329,29749.37924,30626.30425,31529.07845,32458.46381,33415.24474,34400.22878,35414.24728,36458.15609,37532.83629,38639.19494,39778.16581,40950.71022,42157.81783,43400.50745,44679.82794,45996.85906
Angola,Energy,16110.71032,16637.87143,17137.94521,17697.40276,18132.88367,18664.21208,19205.95866,19740.41252,20310.28826,20895.79131,21494.83803,22118.88844,22757.77774,23415.12093,24091.45103,24787.31648,25503.28154,26239.92677,26997.8495,27777.66433,28580.00358,29405.51787,30254.87659,31128.76846,32027.90212,32953.00665,33904.83221,34884.15061,35891.75597,36928.46534,37995.11936,39092.58297,40221.74608,41383.52432,42578.85975,43808.72163,45074.10725,46376.04269,47715.58367,49093.81638,50511.85844,51970.85968
Tanzania,Energy,11592.56034,12153.14517,12714.70771,13326.08802,13861.48677,14482.72189,15125.09559,15777.2005,16472.8972,17195.30646,17946.53118,18734.00833,19562.52506,20427.68318,21331.10316,22274.47714,23259.57209,24288.23315,25362.38702,26484.04565,27655.30995,28878.37373,30155.52785,31489.16447,32881.78154,34335.98748,35854.50609,37440.18161,39095.98406,40825.01485,42630.5125,44515.85878,46484.58503,48540.37875,50687.09052,52928.74121,55269.52953,57713.83986,60266.2505,62931.54221,65714.70719,68620.95842
DRC,Energy,6849.151164,7123.117211,7408.041899,7704.363575,8012.538118,8333.039643,8666.361228,9013.015678,9373.536305,9748.477757,10138.41687,10543.95354,10965.71168,11404.34015,11860.51375,12334.9343,12828.33168,13341.46494,13875.12354,14430.12848,15007.33362,15607.62696,16231.93204,16881.20932,17556.4577,18258.716,18989.06464,19748.62722,20538.57231,21360.11521,22214.51981,23103.1006,24027.22462,24988.31361,25987.84615,27027.36,28108.45439,29232.79257,30402.10427,31618.18844,32882.91598,34198.23261
Malawi,Energy,2437.048989,2526.620253,2620.695451,2722.29503,2803.134155,2901.873789,3002.150833,3197.290637,3405.114529,3626.446973,3862.166026,4113.206818,4380.565261,4665.302003,4968.546633,5291.502164,5635.449805,6001.754042,6391.868055,6807.339479,7249.816545,7721.05462,8222.923171,8757.413177,9326.645033,9932.87696,10578.51396,11266.11737,11998.415,12778.31197,13608.90225,14493.4809,15435.55716,16438.86837,17507.39482,18645.37548,19857.32489,21148.051,22522.67432,23986.64815,25545.78028,27206.256
DRC_South,Energy,11315,11775.6481,12231.0014,12729.77211,13152.29761,13646.83248,14154.07487,14946.70306,15783.71843,16667.60667,17600.99264,18586.64823,19627.50053,20726.64056,21887.33243,23113.02305,24407.35234,25774.16407,27217.51725,28741.69822,30351.23332,32050.90239,33845.75292,35741.11508,37742.61753,39856.20411,42088.15154,44445.08803,46934.01296,49562.31768,52337.80747,55268.72469,58363.77327,61632.14458,65083.54467,68728.22317,72577.00367,76641.31588,80933.22957,85465.49042,90251.55789,95305.64513
Mozambique,Peak,1136.59284,1179.082292,1221.571744,1264.061196,1317.173011,1370.510616,1425.719193,1481.554999,1540.787573,1602.124385,1665.649609,1731.964328,1799.858757,1870.414704,1943.736503,2019.932576,2099.115598,2181.40266,2266.915443,2355.780397,2448.12893,2544.097604,2643.828326,2747.468576,2855.171609,2967.09669,3083.409326,3204.281513,3329.89199,3460.426501,3596.078073,3737.047298,3883.542632,4035.780706,4193.986636,4358.394369,4529.247022,4706.797238,4891.307571,5083.05086,5282.310644,5489.381576
Mozambique,Energy,7201.633733,7519.650271,7828.827681,8170.623189,8470.628001,8813.632404,9168.698553,9527.783235,9908.713958,10303.18315,10711.723,11138.20383,11584.48985,12048.65766,12531.42378,13033.53339,13555.76154,14098.91436,14663.83025,15251.3812,15862.47418,16498.05245,17159.0971,17846.62852,18561.70797,19305.43925,20078.97039,20883.49541,21720.25618,22590.5443,23495.70316,24437.12998,25416.27792,26434.65839,27493.84338,28595.46784,29741.23223,30932.90516,32172.32608,33461.40818,34802.14127,36196.59491
Mozal,Peak,950,950,950,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
Mozal,Energy,8322,8322,8322,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
