z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Zambia,Energy,13925,14420.07436,14932.75005,15463.65286,16013.43081,16582.75498,17172.32027,17782.84634,18415.07838,19069.78812,19747.7747,20449.86567,21176.91803,21929.81922,22709.48825,23516.87678,24352.97033,25218.78944,26115.39094,27043.86925,28005.35766,29001.02979,30032.10097,31099.82974,32205.51938,33350.51951,34536.22773
Angola,Energy,16110.71032,16671.97468,17252.79235,17853.84453,18475.83614,19119.49668,19785.58103,20474.87041,21188.17323,21926.32607,22690.19465,23480.67486,24298.69379,25145.21083,26021.21881,26927.74512,27865.85296,28836.64257,29841.25252,30880.86103,31956.68739,33069.99335,34222.08462,35414.31241,36648.07498,37924.81934,39246.04287
Tanzania,Energy,11592.56034,12209.98799,12860.30027,13545.24861,14266.67777,15026.53074,15826.85399,16669.80301,17557.64806,18492.78035,19477.71842,20515.11496,21607.76394,22758.60816,23970.74712,25247.44543,26592.14155,28008.45711,29500.2066,31071.40769,32726.29201,34469.31659,36305.17586,38238.81423,40275.43951,42420.53683,44679.88349
DRC,Energy,6849.151164,7177.91042,7522.45012,7883.527725,8261.937056,8658.510034,9074.118515,9509.676204,9966.140661,10444.51541,10945.85215,11471.25305,12021.8732,12598.92311,13203.67142,13837.44765,14501.64514,15197.7241,15927.21486,16691.72117,17492.92379,18332.58413,19212.54817,20134.75048,21101.2185,22114.07699,23175.55268
Malawi,Energy,2437.048989,2538.140006,2643.42437,2753.076026,2867.276133,2986.213364,3110.084221,3239.093354,3373.453903,3513.38785,3659.126385,3810.910288,3968.990326,4133.627668,4305.094317,4483.673559,4669.660432,4863.362209,5065.098913,5275.20384,5494.024111,5721.921246,5959.271763,6206.467796,6463.917746,6732.046954,7011.298408
DRC_South,Energy,11315,11819.52267,12346.54142,12897.05932,13472.12417,14072.83049,14700.32161,15355.79183,16040.4887,16755.71541,17502.83324,18283.26418,19098.49364,19950.07322,20839.62375,21768.83829,22739.48544,23753.4126,24812.5496,25918.91229,27074.60639,28281.83156,29542.88548,30860.16833,32236.18729,33673.56133,35175.02621
Mozambique_Central,Energy,1878.944846,1969.64171,2064.716521,2164.380603,2268.855481,2378.373373,2493.177704,2613.523652,2739.678712,2871.92329,3010.551327,3155.870954,3308.205175,3467.892584,3635.288122,3810.763859,3994.709829,4187.53489,4389.667637,4601.557352,4823.675007,5056.514303,5300.592777,5556.452944,5824.663509,6105.820625,6400.549225
Mozambique_South,Energy,4156.307162,4356.932543,4567.242132,4787.703388,5018.806331,5261.064637,5515.016777,5781.227213,6060.287655,6352.818374,6659.469581,6980.922873,7317.89275,7671.128198,8041.414358,8429.57427,8836.470701,9263.008066,9710.134433,10178.84364,10670.17748,11185.22807,11725.14019,12291.11394,12884.40729,13506.33898,14158.29137
Mozambique_North,Energy,1166.381725,1222.683093,1281.702133,1343.570029,1408.424295,1476.409083,1547.675504,1622.381962,1700.694509,1782.787211,1868.842536,1959.05176,2053.615393,2152.743623,2256.656783,2365.585841,2479.772917,2599.471815,2724.948591,2856.482145,2994.364836,3138.90314,3290.418322,3449.247159,3615.742679,3790.274956,3973.231925
Mozal,Energy,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322
