Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q3,d3,0.44,0.44,0.39,0.39,0.39,0.44,0.61,0.85,0.75,0.85,0.85,0.93,0.86,0.85,0.78,0.78,0.97,0.99,0.78,0.75,0.72,0.73,0.61,0.44,0.985074627,0.985074627,0.921259843,0.975,0.975,1.03125,1.070175439,1.175115207,1,1.02,1.003937008,0.978947368,0.955555556,1.036585366,0.947368421,0.970954357,1.106463878,1.212244898,0.979079498,0.982532751,1.038461538,1.037914692,0.983870968
Angola,Q3,d4,0.45,0.45,0.46,0.39,0.39,0.39,0.46,0.68,0.72,0.74,0.77,0.92,0.77,0.74,0.82,0.82,0.82,0.82,0.72,0.72,0.59,0.59,0.61,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q4,d1,0.45,0.43,0.37,0.37,0.37,0.45,0.58,0.76,0.76,0.81,0.81,0.9,0.88,0.81,0.77,0.77,0.81,0.94,0.71,0.76,0.71,0.67,0.58,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q4,d2,0.45,0.45,0.37,0.37,0.37,0.45,0.61,0.71,0.76,0.67,0.81,0.9,0.88,0.81,0.77,0.77,0.67,0.81,0.71,0.76,0.67,0.67,0.58,0.45,,,,,,,,,,,,,,,,,,,,,,,
Angola,Q4,d3,0.37,0.45,0.46,0.37,0.37,0.41,0.46,0.45,0.6,0.72,0.76,0.73,0.76,0.73,0.72,0.66,0.72,0.72,0.66,0.57,0.6,0.6,0.66,0.45,0.834586466,1.062992126,1.179487179,1.009090909,1.009090909,0.92481203,0.788571429,0.630841121,0.803571429,0.981818182,0.93442623,0.829545455,0.88372093,0.897540984,0.955752212,0.872246696,0.939130435,0.840466926,0.925233645,0.780821918,0.895522388,0.913705584,1.151162791
Angola,Q4,d4,0.43,0.39,0.43,0.36,0.36,0.43,0.56,0.67,0.72,0.72,0.82,0.84,0.82,0.82,0.72,0.73,0.82,0.82,0.72,0.67,0.63,0.63,0.56,0.43,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q1,d1,0.62,0.61,0.6,0.6,0.6,0.62,0.72,0.78,0.83,0.88,0.88,0.88,0.89,0.88,0.85,0.85,0.88,0.9,0.86,0.83,0.78,0.75,0.72,0.62,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q1,d2,0.59,0.59,0.59,0.58,0.58,0.59,0.67,0.76,0.78,0.83,0.83,0.84,0.84,0.83,0.83,0.8,0.83,0.83,0.78,0.76,0.71,0.71,0.67,0.59,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q1,d3,0.6,0.6,0.56,0.56,0.56,0.56,0.56,0.62,0.72,0.8,0.82,0.82,0.82,0.8,0.77,0.77,0.77,0.77,0.72,0.68,0.68,0.68,0.64,0.6,0.989010989,0.994475138,0.943820225,0.949152542,0.949152542,0.923076923,0.8,0.805194805,0.888888889,0.93385214,0.957198444,0.94980695,0.946153846,0.93385214,0.916666667,0.927710843,0.898832685,0.891891892,0.870967742,0.853556485,0.910714286,0.923076923,0.914285714
Botswana,Q1,d4,0.61,0.61,0.59,0.59,0.59,0.61,0.71,0.77,0.82,0.86,0.86,0.87,0.87,0.86,0.84,0.84,0.86,0.86,0.84,0.8,0.75,0.75,0.71,0.61,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q2,d1,0.64,0.64,0.63,0.63,0.63,0.64,0.75,0.86,0.9,0.94,0.93,0.94,0.94,0.93,0.91,0.91,0.94,1,0.93,0.91,0.86,0.82,0.75,0.63,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q2,d2,0.63,0.62,0.63,0.6,0.6,0.63,0.73,0.83,0.85,0.89,0.89,0.9,0.9,0.89,0.87,0.87,0.91,0.92,0.87,0.85,0.8,0.77,0.73,0.63,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q2,d3,0.63,0.63,0.59,0.59,0.59,0.59,0.61,0.71,0.78,0.88,0.88,0.89,0.88,0.86,0.83,0.83,0.83,0.83,0.8,0.78,0.74,0.74,0.71,0.63,0.989528796,0.994736842,0.946524064,0.961956522,0.961956522,0.926701571,0.813333333,0.838582677,0.883018868,0.956521739,0.96,0.963898917,0.953068592,0.941605839,0.925650558,0.925650558,0.895683453,0.85862069,0.882352941,0.879699248,0.884462151,0.925,0.959459459
Botswana,Q2,d4,0.64,0.64,0.61,0.61,0.61,0.64,0.77,0.85,0.9,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.93,0.98,0.92,0.9,0.85,0.81,0.74,0.64,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q3,d1,0.64,0.64,0.63,0.63,0.63,0.64,0.75,0.85,0.9,0.95,0.93,0.93,0.93,0.93,0.91,0.9,0.95,1,0.93,0.9,0.85,0.82,0.75,0.63,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q3,d2,0.64,0.64,0.62,0.62,0.62,0.64,0.74,0.85,0.89,0.92,0.93,0.93,0.93,0.92,0.91,0.9,0.93,0.98,0.91,0.89,0.85,0.81,0.74,0.62,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q3,d3,0.63,0.63,0.61,0.61,0.61,0.63,0.74,0.84,0.86,0.9,0.9,0.91,0.91,0.9,0.88,0.88,0.91,0.94,0.88,0.86,0.81,0.79,0.73,0.63,0.994736842,0.994736842,0.994565217,1,1,1.016129032,1.067307692,1.06779661,1.011764706,0.996309963,0.996309963,1,1.007380074,1.003717472,1.003802281,1.011494253,1.014869888,1.010752688,1.015384615,1.011764706,1.004132231,1.008510638,1
Botswana,Q3,d4,0.62,0.62,0.59,0.58,0.58,0.58,0.59,0.66,0.76,0.84,0.85,0.87,0.85,0.84,0.81,0.81,0.81,0.81,0.76,0.76,0.72,0.72,0.7,0.62,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q4,d1,0.62,0.61,0.59,0.59,0.59,0.62,0.71,0.8,0.83,0.87,0.87,0.88,0.87,0.87,0.84,0.84,0.87,0.89,0.84,0.83,0.77,0.75,0.71,0.62,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q4,d2,0.61,0.61,0.59,0.59,0.59,0.61,0.68,0.76,0.82,0.87,0.86,0.87,0.87,0.86,0.84,0.84,0.87,0.86,0.84,0.79,0.74,0.74,0.71,0.61,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Q4,d3,0.59,0.57,0.54,0.54,0.54,0.53,0.54,0.61,0.67,0.75,0.81,0.82,0.81,0.78,0.75,0.73,0.75,0.75,0.73,0.7,0.67,0.67,0.63,0.57,0.972527473,0.944751381,0.915254237,0.920454545,0.920454545,0.873626374,0.786407767,0.792207792,0.827160494,0.875486381,0.952941176,0.94980695,0.945525292,0.917647059,0.896414343,0.883064516,0.87890625,0.875486381,0.890243902,0.886075949,0.909502262,0.917808219,0.90430622
Botswana,Q4,d4,0.59,0.59,0.59,0.58,0.58,0.59,0.67,0.75,0.78,0.83,0.82,0.84,0.83,0.82,0.83,0.8,0.82,0.82,0.78,0.75,0.7,0.7,0.67,0.59,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q1,d1,0.58,0.58,0.58,0.56,0.56,0.58,0.69,0.81,0.86,0.95,0.95,1,0.98,0.95,0.95,0.92,0.95,0.95,0.86,0.81,0.72,0.72,0.69,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q1,d2,0.58,0.58,0.58,0.56,0.56,0.58,0.69,0.82,0.86,0.95,0.95,1,0.98,0.95,0.95,0.92,0.95,0.95,0.86,0.82,0.73,0.73,0.69,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q1,d3,0.58,0.58,0.51,0.51,0.51,0.51,0.51,0.59,0.72,0.88,0.92,0.92,0.92,0.88,0.81,0.81,0.81,0.81,0.72,0.69,0.69,0.69,0.62,0.58,1,1.005780347,0.889534884,0.910714286,0.910714286,0.879310345,0.739130435,0.740585774,0.837209302,0.923076923,0.965034965,0.923076923,0.93877551,0.923076923,0.861702128,0.880434783,0.84965035,0.84965035,0.84375,0.848360656,0.958333333,0.958333333,0.898550725
DRC,Q1,d4,0.58,0.57,0.56,0.56,0.56,0.58,0.69,0.76,0.86,0.96,0.96,0.99,0.98,0.96,0.92,0.92,0.96,0.96,0.84,0.81,0.71,0.71,0.69,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q2,d1,0.58,0.57,0.58,0.55,0.55,0.58,0.7,0.81,0.85,0.96,0.96,1,0.99,0.96,0.91,0.91,0.96,0.94,0.91,0.85,0.75,0.71,0.7,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q2,d2,0.58,0.57,0.58,0.55,0.55,0.58,0.7,0.81,0.85,0.97,0.97,1,0.97,0.97,0.9,0.9,0.92,0.95,0.9,0.85,0.75,0.71,0.7,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q2,d3,0.57,0.58,0.51,0.51,0.51,0.51,0.56,0.64,0.71,0.87,0.9,0.92,0.9,0.85,0.81,0.81,0.81,0.81,0.75,0.71,0.7,0.7,0.64,0.58,0.982758621,1.011627907,0.889534884,0.921686747,0.921686747,0.879310345,0.807692308,0.8,0.835294118,0.903114187,0.934256055,0.923076923,0.915254237,0.894736842,0.893382353,0.893382353,0.855633803,0.864768683,0.824175824,0.835294118,0.921052632,0.985915493,0.927536232
DRC,Q2,d4,0.58,0.58,0.56,0.56,0.56,0.58,0.68,0.78,0.85,0.96,0.96,0.99,0.99,0.92,0.91,0.91,0.96,0.92,0.92,0.85,0.78,0.71,0.67,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q3,d1,0.58,0.58,0.57,0.57,0.57,0.58,0.65,0.8,0.86,0.97,0.97,1,0.94,0.96,0.94,0.89,0.97,0.92,0.94,0.9,0.77,0.71,0.69,0.58,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q3,d2,0.58,0.58,0.56,0.56,0.56,0.58,0.67,0.77,0.85,0.92,0.96,0.99,0.99,0.92,0.91,0.91,0.96,0.92,0.91,0.85,0.77,0.71,0.67,0.56,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q3,d3,0.58,0.58,0.56,0.56,0.56,0.58,0.68,0.81,0.85,0.97,0.97,1,0.97,0.97,0.9,0.9,0.92,0.92,0.9,0.85,0.75,0.71,0.68,0.58,1.023529412,0.994285714,1.024390244,1.024390244,1.024390244,1.041916168,1.114754098,1.125,1.053719008,1.062043796,1.017482517,1.038062284,1.017482517,1.065934066,1.015037594,1.034482759,1.00729927,1.041509434,1.0546875,1.036585366,1.004464286,1.004716981,1.014925373
DRC,Q3,d4,0.54,0.59,0.51,0.51,0.51,0.51,0.51,0.59,0.71,0.85,0.93,0.9,0.93,0.85,0.81,0.81,0.81,0.81,0.71,0.71,0.7,0.7,0.65,0.59,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q4,d1,0.59,0.57,0.56,0.56,0.56,0.59,0.7,0.81,0.86,0.96,0.96,1,0.99,0.96,0.93,0.93,0.96,0.92,0.84,0.86,0.75,0.71,0.7,0.59,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q4,d2,0.59,0.59,0.56,0.56,0.56,0.59,0.64,0.75,0.86,0.96,0.96,1,0.99,0.96,0.92,0.92,0.96,0.96,0.84,0.81,0.71,0.71,0.7,0.59,,,,,,,,,,,,,,,,,,,,,,,
DRC,Q4,d3,0.56,0.51,0.47,0.46,0.46,0.47,0.47,0.58,0.64,0.76,0.88,0.84,0.88,0.8,0.76,0.71,0.76,0.76,0.71,0.7,0.64,0.64,0.59,0.51,0.954545455,0.879310345,0.829411765,0.821428571,0.821428571,0.801136364,0.694581281,0.731092437,0.744186047,0.794425087,0.919860627,0.84,0.891891892,0.836236934,0.814285714,0.768953069,0.794425087,0.80565371,0.838582677,0.843373494,0.880733945,0.897196262,0.846889952
DRC,Q4,d4,0.58,0.58,0.58,0.56,0.56,0.58,0.69,0.82,0.86,0.95,0.95,1,0.98,0.95,0.95,0.92,0.95,0.95,0.86,0.82,0.72,0.72,0.69,0.58,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q1,d1,0.34,0.32,0.3,0.3,0.3,0.34,0.48,0.56,0.59,0.56,0.56,0.55,0.66,0.56,0.53,0.53,0.56,0.69,0.67,0.59,0.56,0.57,0.48,0.34,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q1,d2,0.27,0.25,0.27,0.24,0.24,0.27,0.36,0.4,0.43,0.42,0.42,0.41,0.41,0.42,0.42,0.4,0.42,0.42,0.43,0.4,0.4,0.4,0.36,0.27,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q1,d3,0.28,0.28,0.27,0.24,0.24,0.24,0.27,0.36,0.43,0.45,0.43,0.43,0.43,0.45,0.44,0.44,0.44,0.44,0.43,0.39,0.39,0.39,0.37,0.28,0.893617021,0.965517241,0.952941176,0.87804878,0.87804878,0.765957447,0.623076923,0.734693878,0.826923077,0.894039735,0.854304636,0.87755102,0.816455696,0.894039735,0.910344828,0.923076923,0.874172185,0.804878049,0.754385965,0.774834437,0.790540541,0.785234899,0.853846154
Lesotho,Q1,d4,0.33,0.3,0.28,0.28,0.28,0.33,0.46,0.51,0.54,0.53,0.53,0.51,0.51,0.53,0.5,0.5,0.53,0.53,0.61,0.52,0.52,0.52,0.46,0.33,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q2,d1,0.4,0.4,0.4,0.4,0.4,0.4,0.63,0.8,0.81,0.77,0.78,0.7,0.77,0.78,0.7,0.78,0.77,1,0.78,0.78,0.8,0.78,0.63,0.4,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q2,d2,0.37,0.34,0.37,0.31,0.31,0.37,0.54,0.61,0.67,0.61,0.61,0.6,0.64,0.61,0.63,0.63,0.72,0.71,0.63,0.67,0.64,0.63,0.54,0.37,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q2,d3,0.35,0.39,0.34,0.34,0.34,0.34,0.32,0.57,0.64,0.65,0.66,0.62,0.66,0.69,0.64,0.64,0.64,0.64,0.66,0.64,0.55,0.55,0.57,0.39,0.875,1,0.918918919,0.971428571,0.971428571,0.85,0.53038674,0.788018433,0.842105263,0.919811321,0.929577465,0.934673367,0.942857143,0.962790698,0.936585366,0.901408451,0.860986547,0.719101124,0.912442396,0.853333333,0.75,0.760368664,0.95
Lesotho,Q2,d4,0.43,0.43,0.34,0.34,0.34,0.43,0.64,0.76,0.8,0.74,0.74,0.69,0.69,0.76,0.72,0.72,0.74,0.96,0.76,0.8,0.76,0.76,0.63,0.43,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q3,d1,0.4,0.4,0.39,0.39,0.39,0.4,0.62,0.79,0.8,0.78,0.78,0.7,0.7,0.78,0.69,0.77,0.78,0.99,0.78,0.77,0.79,0.78,0.62,0.39,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q3,d2,0.42,0.42,0.36,0.36,0.36,0.42,0.63,0.76,0.8,0.75,0.73,0.69,0.69,0.75,0.72,0.69,0.73,0.95,0.72,0.8,0.76,0.77,0.63,0.36,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q3,d3,0.39,0.39,0.32,0.32,0.32,0.39,0.57,0.64,0.7,0.63,0.63,0.61,0.68,0.63,0.66,0.66,0.72,0.83,0.66,0.7,0.69,0.67,0.58,0.39,0.991525424,1.00862069,0.880733945,0.932038835,0.932038835,1.063636364,1.075471698,0.955223881,0.963302752,0.88317757,0.926470588,0.92893401,1.0625,0.88317757,1,0.975369458,1.038461538,0.992031873,0.951923077,0.976744186,1.009756098,0.980487805,0.988636364
Lesotho,Q3,d4,0.36,0.34,0.34,0.28,0.28,0.28,0.34,0.46,0.58,0.61,0.53,0.58,0.53,0.61,0.57,0.57,0.57,0.57,0.58,0.58,0.5,0.5,0.51,0.34,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q4,d1,0.33,0.31,0.28,0.28,0.28,0.33,0.47,0.54,0.55,0.53,0.53,0.51,0.52,0.53,0.5,0.5,0.53,0.64,0.62,0.55,0.53,0.54,0.47,0.33,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q4,d2,0.33,0.33,0.27,0.27,0.27,0.33,0.45,0.51,0.54,0.53,0.52,0.49,0.5,0.52,0.48,0.48,0.53,0.52,0.59,0.52,0.52,0.52,0.45,0.33,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Q4,d3,0.26,0.29,0.26,0.25,0.25,0.25,0.26,0.31,0.42,0.47,0.49,0.54,0.49,0.48,0.47,0.48,0.47,0.47,0.48,0.42,0.42,0.42,0.39,0.29,0.838709677,0.97752809,0.951219512,0.961538462,0.961538462,0.806451613,0.609375,0.64137931,0.834437086,0.952702703,1,1.157142857,1.035211268,0.979591837,1.007142857,1.051094891,0.952702703,0.892405063,0.883435583,0.857142857,0.875,0.868965517,0.9140625
Lesotho,Q4,d4,0.27,0.25,0.27,0.23,0.23,0.27,0.36,0.4,0.42,0.42,0.42,0.4,0.4,0.42,0.42,0.39,0.42,0.42,0.42,0.4,0.39,0.39,0.36,0.27,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q1,d1,0.48,0.47,0.48,0.45,0.45,0.48,0.58,0.69,0.78,0.94,0.92,1,0.98,0.92,0.94,0.85,0.92,0.94,0.78,0.69,0.61,0.61,0.58,0.48,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q1,d2,0.48,0.47,0.48,0.45,0.45,0.48,0.58,0.69,0.77,0.93,0.92,1,0.98,0.92,0.93,0.84,0.92,0.92,0.77,0.69,0.61,0.61,0.58,0.48,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q1,d3,0.48,0.48,0.45,0.44,0.44,0.44,0.45,0.53,0.61,0.77,0.82,0.82,0.82,0.77,0.67,0.67,0.67,0.67,0.61,0.57,0.57,0.57,0.55,0.48,1.006993007,1.028571429,0.957446809,0.977777778,0.977777778,0.923076923,0.780346821,0.791044776,0.802631579,0.843065693,0.907749077,0.839590444,0.851211073,0.852398524,0.761363636,0.817073171,0.741697417,0.736263736,0.813333333,0.838235294,0.944751381,0.944751381,0.953757225
Malawi,Q1,d4,0.47,0.46,0.45,0.45,0.45,0.47,0.57,0.63,0.73,0.87,0.87,0.93,0.93,0.87,0.77,0.77,0.87,0.87,0.7,0.66,0.59,0.59,0.57,0.47,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q2,d1,0.47,0.46,0.47,0.45,0.45,0.47,0.56,0.65,0.7,0.83,0.83,0.92,0.9,0.83,0.74,0.74,0.83,0.87,0.74,0.7,0.61,0.59,0.56,0.47,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q2,d2,0.47,0.46,0.47,0.45,0.45,0.47,0.56,0.65,0.69,0.82,0.82,0.89,0.87,0.82,0.72,0.72,0.78,0.86,0.72,0.69,0.61,0.58,0.56,0.47,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q2,d3,0.45,0.47,0.44,0.44,0.44,0.44,0.45,0.54,0.58,0.7,0.71,0.73,0.71,0.68,0.64,0.64,0.64,0.64,0.61,0.58,0.55,0.55,0.54,0.47,0.964285714,1.02173913,0.956521739,0.985074627,0.985074627,0.942857143,0.813253012,0.848167539,0.848780488,0.867768595,0.880165289,0.829545455,0.819230769,0.860759494,0.888888889,0.888888889,0.806722689,0.764940239,0.839449541,0.848780488,0.901639344,0.942857143,0.97005988
Malawi,Q2,d4,0.46,0.46,0.44,0.44,0.44,0.46,0.54,0.61,0.66,0.77,0.77,0.83,0.83,0.72,0.7,0.7,0.77,0.78,0.72,0.66,0.61,0.58,0.55,0.46,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q3,d1,0.48,0.46,0.45,0.45,0.45,0.48,0.57,0.66,0.71,0.85,0.85,0.93,0.92,0.85,0.76,0.76,0.85,0.9,0.7,0.71,0.62,0.59,0.57,0.48,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q3,d2,0.46,0.46,0.45,0.45,0.45,0.46,0.55,0.61,0.67,0.72,0.77,0.83,0.83,0.72,0.7,0.7,0.77,0.78,0.7,0.67,0.61,0.58,0.55,0.45,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q3,d3,0.47,0.47,0.45,0.45,0.45,0.47,0.55,0.64,0.68,0.81,0.81,0.88,0.86,0.81,0.71,0.71,0.76,0.82,0.71,0.68,0.6,0.58,0.56,0.47,1.007142857,1.014388489,1,1.007462687,1.007462687,1.02173913,1.050955414,1.072625698,1.035532995,1.065789474,1.021008403,1.043478261,1.027888446,1.065789474,1.009478673,1.009478673,1.004405286,1.055793991,1.070351759,1.035532995,1.005586592,1.005780347,1.005988024
Malawi,Q3,d4,0.46,0.47,0.45,0.44,0.44,0.44,0.45,0.52,0.59,0.71,0.76,0.77,0.76,0.71,0.65,0.65,0.65,0.65,0.59,0.59,0.56,0.56,0.55,0.47,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q4,d1,0.48,0.47,0.48,0.45,0.45,0.48,0.58,0.69,0.78,0.94,0.92,1,0.99,0.91,0.94,0.85,0.92,0.94,0.78,0.69,0.62,0.62,0.58,0.48,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q4,d2,0.48,0.48,0.45,0.45,0.45,0.48,0.55,0.62,0.73,0.89,0.88,0.95,0.94,0.88,0.78,0.78,0.89,0.88,0.71,0.66,0.59,0.59,0.57,0.48,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Q4,d3,0.45,0.45,0.43,0.42,0.42,0.43,0.43,0.48,0.55,0.63,0.77,0.73,0.77,0.66,0.63,0.6,0.63,0.63,0.6,0.57,0.55,0.55,0.52,0.45,0.9375,0.950704225,0.914893617,0.933333333,0.933333333,0.895833333,0.754385965,0.72,0.723684211,0.684782609,0.846153846,0.742372881,0.793814433,0.727941176,0.713207547,0.728744939,0.689781022,0.687272727,0.796460177,0.838235294,0.906593407,0.906593407,0.901734104
Malawi,Q4,d4,0.48,0.47,0.48,0.45,0.45,0.48,0.58,0.69,0.77,0.93,0.93,1,0.98,0.93,0.93,0.84,0.93,0.93,0.77,0.69,0.61,0.61,0.58,0.48,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q1,d1,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.85,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q1,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.98,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q1,d3,0.72,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.91,0.93,0.93,0.93,0.91,0.88,0.88,0.88,0.88,0.83,0.8,0.8,0.8,0.78,0.72,1,1.028571429,0.985915493,0.985507246,0.985507246,0.944444444,0.875,0.885057471,0.905454545,0.947916667,0.96875,0.948979592,0.95221843,0.947916667,0.932862191,0.949640288,0.916666667,0.904109589,0.892473118,0.909090909,0.956175299,0.963855422,0.975
Mozambique,Q1,d4,0.72,0.7,0.69,0.69,0.69,0.72,0.8,0.85,0.91,0.96,0.96,0.98,0.97,0.96,0.92,0.92,0.96,0.96,0.93,0.88,0.83,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q2,d1,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.89,0.9,0.96,0.96,0.98,0.97,0.94,0.93,0.93,0.97,1,0.93,0.9,0.85,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q2,d2,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.9,0.96,0.96,0.98,0.98,0.96,0.93,0.93,0.97,0.99,0.93,0.9,0.85,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q2,d3,0.7,0.72,0.68,0.68,0.68,0.68,0.69,0.79,0.83,0.91,0.93,0.93,0.93,0.9,0.88,0.88,0.88,0.88,0.85,0.83,0.8,0.8,0.79,0.72,0.972222222,1.009345794,0.971428571,0.985507246,0.985507246,0.944444444,0.869747899,0.901140684,0.925650558,0.947916667,0.96875,0.948979592,0.95221843,0.950704225,0.946236559,0.946236559,0.910344828,0.882943144,0.910714286,0.925650558,0.9375,0.963855422,0.9875
