zone,tech,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Botswana,CCGT,LNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ICE,Diesel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,Nuclear,Uranium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ST,Biomass,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ST,Geothermal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ROR,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,Storage,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,ReservoirHydro,Water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,PV,Solar,1.000 ,0.945,0.891,0.836,0.782,0.727,0.672,0.617,0.609,0.600,0.592,0.583,0.575,0.566,0.558,0.550,0.542,0.534,0.525,0.517,0.508,0.500,0.492,0.483,0.475,0.466,0.458,0.449
Botswana,OnshoreWind,Wind,1.000 ,0.947,0.895,0.842,0.789,0.737,0.684,0.632,0.624,0.618,0.611,0.603,0.596,0.588,0.582,0.575,0.567,0.560,0.553,0.546,0.539,0.532,0.524,0.517,0.511,0.503,0.496,0.488
Botswana,OffshoreWind,Wind,1.000 ,0.953,0.905,0.857,0.809,0.762,0.714,0.667,0.657,0.648,0.637,0.628,0.618,0.609,0.600,0.590,0.580,0.570,0.561,0.551,0.542,0.532,0.522,0.513,0.503,0.494,0.484,0.475
Botswana,Storage,Battery,1.000 ,0.906,0.811,0.758,0.705,0.654,0.601,0.549,0.542,0.535,0.528,0.521,0.514,0.507,0.501,0.494,0.486,0.480,0.473,0.467,0.459,0.452,0.446,0.439,0.432,0.425,0.418,0.412
Botswana,CSPPlant,CSP,1.000,0.944,0.887,0.831,0.775,0.719,0.663,0.653,0.643,0.633,0.622,0.612,0.602,0.592,0.582,0.571,0.562,0.551,0.542,0.531,0.522,0.511,0.501,0.491,0.480,0.471,0.460,0.379
DRC,ST,Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DRC,OCGT,HFO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
