country,fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Mozambique,Coal,0,0,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194,2.517178245,2.413564295,2.309950346,2.206336396,2.102722447,1.999108497,1.895494548,1.791880598,1.688266649,1.584652699
Mozambique,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Zimbabwe,Coal,0,0,5.364937997,4.221298741,3.90703735,6.042188302,5.830142892,5.627378956,5.433490235,5.24808825,5.070801526,4.901274848,4.739168552,4.584157837,4.435932123,4.294194421,4.158660744,4.029059534,3.90513112,3.786627198,3.67331033,3.564953475,3.461339525,3.357725576,3.254111626,3.150497677,3.046883727,2.943269778,2.839655828,2.736041879,2.632427929,2.52881398,2.42520003
Zimbabwe,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Botswana,Coal,0,0,4.524390666,3.38075141,3.06649002,5.201640971,4.989595561,4.786831625,4.592942904,4.407540919,4.230254195,4.060727518,3.898621221,3.743610507,3.595384792,3.45364709,3.318113413,3.188512203,3.064583789,2.946079867,2.832763,2.724406144,2.620792194,2.517178245,2.413564295,2.309950346,2.206336396,2.102722447,1.999108497,1.895494548,1.791880598,1.688266649,1.584652699
Botswana,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Namibia,Gas,0,0,9.229753854,13.32136627,13.69721434,12.21196253,12.08691327,11.96322619,11.84356694,11.72515413,11.6079849,11.492056,11.37736385,11.2639045,11.15167372,11.04066694,10.93087932,10.82230571,10.71494073,10.60877872,10.50381378,10.40003979,10.29745039,10.19486099,10.09227159,9.989682187,9.887092788,9.784503388,9.681913989,9.579324589,9.476735189,9.37414579,9.27155639
Namibia,LNG,0,0,9.229753854,13.32136627,13.69721434,12.21196253,12.08691327,11.96322619,11.84356694,11.72515413,11.6079849,11.492056,11.37736385,11.2639045,11.15167372,11.04066694,10.93087932,10.82230571,10.71494073,10.60877872,10.50381378,10.40003979,10.29745039,10.19486099,10.09227159,9.989682187,9.887092788,9.784503388,9.681913989,9.579324589,9.476735189,9.37414579,9.27155639
Namibia,Coal,0,0,4.944664331,3.801025075,3.486763685,5.621914637,5.409869226,5.207105291,5.01321657,4.827814584,4.65052786,4.481001183,4.318894887,4.163884172,4.015658457,3.873920755,3.738387078,3.608785868,3.484857454,3.366353532,3.253036665,3.144679809,3.04106586,2.93745191,2.833837961,2.730224011,2.626610062,2.522996112,2.419382163,2.315768213,2.212154264,2.108540314,2.004926365
Namibia,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Zambia,Coal,0,0,5.364937997,4.221298741,3.90703735,6.042188302,5.830142892,5.627378956,5.433490235,5.24808825,5.070801526,4.901274848,4.739168552,4.584157837,4.435932123,4.294194421,4.158660744,4.029059534,3.90513112,3.786627198,3.67331033,3.564953475,3.461339525,3.357725576,3.254111626,3.150497677,3.046883727,2.943269778,2.839655828,2.736041879,2.632427929,2.52881398,2.42520003
Zambia,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Angola,Gas,0,0,3.93,4.03,4.13,4.23,4.33,4.43,4.53,4.63,4.73,4.83,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
Angola,LNG,0,0,9.229753854,13.32136627,13.69721434,12.21196253,12.08691327,11.96322619,11.84356694,11.72515413,11.6079849,11.492056,11.37736385,11.2639045,11.15167372,11.04066694,10.93087932,10.82230571,10.71494073,10.60877872,10.50381378,10.40003979,10.29745039,10.19486099,10.09227159,9.989682187,9.887092788,9.784503388,9.681913989,9.579324589,9.476735189,9.37414579,9.27155639
Angola,Coal,0,0,4.944664331,3.801025075,3.486763685,5.621914637,5.409869226,5.207105291,5.01321657,4.827814584,4.65052786,4.481001183,4.318894887,4.163884172,4.015658457,3.873920755,3.738387078,3.608785868,3.484857454,3.366353532,3.253036665,3.144679809,3.04106586,2.93745191,2.833837961,2.730224011,2.626610062,2.522996112,2.419382163,2.315768213,2.212154264,2.108540314,2.004926365
Angola,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Tanzania,Gas,0,0,7.56848616,10.56900193,10.84462385,9.75543919,9.663736396,9.573032542,9.485282421,9.398446363,9.31252226,9.227507736,9.143400154,9.060196635,8.977894061,8.89648909,8.815978165,8.736357522,8.657623203,8.579771062,8.502796773,8.426695843,8.351463617,8.27623139,8.200999164,8.125766937,8.050534711,7.975302485,7.900070258,7.824838032,7.749605806,7.674373579,7.599141353
Tanzania,LNG,0,0,7.56848616,10.56900193,10.84462385,9.75543919,9.663736396,9.573032542,9.485282421,9.398446363,9.31252226,9.227507736,9.143400154,9.060196635,8.977894061,8.89648909,8.815978165,8.736357522,8.657623203,8.579771062,8.502796773,8.426695843,8.351463617,8.27623139,8.200999164,8.125766937,8.050534711,7.975302485,7.900070258,7.824838032,7.749605806,7.674373579,7.599141353
Tanzania,Coal,0,0,5.575074829,4.431435574,4.117174183,6.252325135,6.040279724,5.837515789,5.643627068,5.458225082,5.280938358,5.111411681,4.949305385,4.79429467,4.646068955,4.504331253,4.368797576,4.239196366,4.115267953,3.99676403,3.883447163,3.775090307,3.671476358,3.567862408,3.464248459,3.360634509,3.25702056,3.15340661,3.049792661,2.946178711,2.842564762,2.738950812,2.635336863
Tanzania,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
DRC,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Malawi,Coal,0,0,5.785211662,4.641572406,4.327311016,6.462461968,6.250416557,6.047652622,5.8537639,5.668361915,5.491075191,5.321548514,5.159442217,5.004431503,4.856205788,4.714468086,4.578934409,4.449333199,4.325404785,4.206900863,4.093583996,3.98522714,3.881613191,3.777999241,3.674385292,3.570771342,3.467157393,3.363543443,3.259929494,3.156315544,3.052701595,2.949087645,2.845473695
Malawi,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
DRC_South,Uranium,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
South_Africa,Diesel,0,0,10.25592582,15.18936702,15.66939496,13.77245197,13.61274079,13.45476938,13.30194223,13.15070704,13.00106013,12.85299735,12.70651412,12.56160542,12.41826582,12.2764895,12.13627027,11.99760158,11.86047651,11.72488787,11.5908281,11.4582894,11.32726364,11.19623788,11.06521213,10.93418637,10.80316061,10.67213485,10.5411091,10.41008334,10.27905758,10.14803183,10.01700607
Lesotho,Diesel,0,0,10.26518918,15.19863038,15.67865832,13.78171533,13.62200415,13.46403274,13.31120559,13.1599704,13.01032349,12.86226071,12.71577748,12.57086878,12.42752918,12.28575286,12.14553363,12.00686494,11.86973987,11.73415123,11.60009146,11.46755276,11.336527,11.20550124,11.07447549,10.94344973,10.81242397,10.68139821,10.55037246,10.4193467,10.28832094,10.15729519,10.02626943
Eswatini,Diesel,0,0,9.968761664,14.90220286,15.3822308,13.48528782,13.32557663,13.16760522,13.01477808,12.86354288,12.71389597,12.56583319,12.41934996,12.27444126,12.13110166,11.98932535,11.84910612,11.71043742,11.57331236,11.43772371,11.30366394,11.17112524,11.04009948,10.90907372,10.77804797,10.64702221,10.51599645,10.3849707,10.25394494,10.12291918,9.991893426,9.860867669,9.729841912
Mozambique,Diesel,0,0,10.07065862,15.00409982,15.48412776,13.58718477,13.42747359,13.26950218,13.11667504,12.96543984,12.81579293,12.66773015,12.52124692,12.37633822,12.23299862,12.09122231,11.95100308,11.81233438,11.67520931,11.53962067,11.4055609,11.2730222,11.14199644,11.01097068,10.87994493,10.74891917,10.61789341,10.48686766,10.3558419,10.22481614,10.09379039,9.962764628,9.831738871
Zimbabwe,Diesel,0,0,11.31194885,16.24539005,16.72541799,14.828475,14.66876382,14.51079241,14.35796526,14.20673007,14.05708316,13.90902038,13.76253715,13.61762845,13.47428885,13.33251253,13.1922933,13.05362461,12.91649954,12.7809109,12.64685113,12.51431243,12.38328667,12.25226091,12.12123516,11.9902094,11.85918364,11.72815788,11.59713213,11.46610637,11.33508061,11.20405486,11.0730291
Botswana,Diesel,0,0,10.94141445,15.87485565,16.35488359,14.45794061,14.29822942,14.14025801,13.98743087,13.83619568,13.68654876,13.53848598,13.39200275,13.24709405,13.10375445,12.96197814,12.82175891,12.68309021,12.54596515,12.4103765,12.27631674,12.14377803,12.01275227,11.88172652,11.75070076,11.619675,11.48864924,11.35762349,11.22659773,11.09557197,10.96454622,10.83352046,10.7024947
Namibia,Diesel,0,0,10.07065862,15.00409982,15.48412776,13.58718477,13.42747359,13.26950218,13.11667504,12.96543984,12.81579293,12.66773015,12.52124692,12.37633822,12.23299862,12.09122231,11.95100308,11.81233438,11.67520931,11.53962067,11.4055609,11.2730222,11.14199644,11.01097068,10.87994493,10.74891917,10.61789341,10.48686766,10.3558419,10.22481614,10.09379039,9.962764628,9.831738871
Zambia,Diesel,0,0,12.95465134,17.88809254,18.36812048,16.47117749,16.31146631,16.1534949,16.00066776,15.84943256,15.69978565,15.55172287,15.40523964,15.26033094,15.11699134,14.97521503,14.8349958,14.6963271,14.55920203,14.42361339,14.28955362,14.15701492,14.02598916,13.8949634,13.76393765,13.63291189,13.50188613,13.37086038,13.23983462,13.10880886,12.9777831,12.84675735,12.71573159
Angola,Diesel,0,0,9.823635692,14.75707689,15.23710483,13.34016184,13.18045066,13.02247925,12.8696521,12.71841691,12.56877,12.42070722,12.27422399,12.12931529,11.98597569,11.84419938,11.70398014,11.56531145,11.42818638,11.29259774,11.15853797,11.02599927,10.89497351,10.76394775,10.632922,10.50189624,10.37087048,10.23984473,10.10881897,9.977793211,9.846767454,9.715741697,9.58471594
Tanzania,Diesel,0,0,9.823635692,14.75707689,15.23710483,13.34016184,13.18045066,13.02247925,12.8696521,12.71841691,12.56877,12.42070722,12.27422399,12.12931529,11.98597569,11.84419938,11.70398014,11.56531145,11.42818638,11.29259774,11.15853797,11.02599927,10.89497351,10.76394775,10.632922,10.50189624,10.37087048,10.23984473,10.10881897,9.977793211,9.846767454,9.715741697,9.58471594
DRC,Diesel,0,0,10.07065862,15.00409982,15.48412776,13.58718477,13.42747359,13.26950218,13.11667504,12.96543984,12.81579293,12.66773015,12.52124692,12.37633822,12.23299862,12.09122231,11.95100308,11.81233438,11.67520931,11.53962067,11.4055609,11.2730222,11.14199644,11.01097068,10.87994493,10.74891917,10.61789341,10.48686766,10.3558419,10.22481614,10.09379039,9.962764628,9.831738871
Malawi,Diesel,0,0,12.19505583,17.12849703,17.60852497,15.71158198,15.5518708,15.39389938,15.24107224,15.08983705,14.94019014,14.79212736,14.64564413,14.50073543,14.35739583,14.21561951,14.07540028,13.93673158,13.79960652,13.66401787,13.52995811,13.3974194,13.26639365,13.13536789,13.00434213,12.87331638,12.74229062,12.61126486,12.48023911,12.34921335,12.21818759,12.08716184,11.95613608
DRC_South,Diesel,0,0,11.46016261,16.39360381,16.87363175,14.97668876,14.81697758,14.65900616,14.50617902,14.35494383,14.20529692,14.05723414,13.91075091,13.76584221,13.62250261,13.48072629,13.34050706,13.20183836,13.0647133,12.92912465,12.79506489,12.66252618,12.53150043,12.40047467,12.26944891,12.13842316,12.0073974,11.87637164,11.74534589,11.61432013,11.48329437,11.35226862,11.22124286
Namibia,Biomass,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Malawi,Biomass,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Malawi,Gas,0,0,10.56848616,13.56900193,13.84462385,12.75543919,12.6637364,12.57303254,12.48528242,12.39844636,12.31252226,12.22750774,12.14340015,12.06019663,11.97789406,11.89648909,11.81597816,11.73635752,11.6576232,11.57977106,11.50279677,11.42669584,11.35146362,11.27623139,11.20099916,11.12576694,11.05053471,10.97530248,10.90007026,10.82483803,10.74960581,10.67437358,10.59914135
