zone,iso_a3,level,code,name,coverage
NEPS_HERAT,AFG,adm1,AF.HR,Hirat,0.982
KGZ_S,KGZ,adm1,KG.BA,Batken,0.995
KGZ_S,KGZ,adm1,KG.DA,Jalal-Abad,0.992
KGZ_S,KGZ,adm1,KG.OH,Osh,0.997
TAJ_S,TJK,adm1,TJ.BK,Badakhshan Autonomous Mountainous Region,0.998
TAJ_S,TJK,adm1,TJ.RR,Cities and districts of the republican subordination,0.979
TAJ_S,TJK,adm1,TJ.DU,Dushanbe,1.000
TAJ_S,TJK,adm1,TJ.KL,Khatlon Province,0.997
KGZ_N,KGZ,adm1,KG.CU,Chuy,0.995
KGZ_N,KGZ,adm1,KG.NA,Naryn,0.990
KGZ_N,KGZ,adm1,KG.TL,Talas,0.987
KGZ_N,KGZ,adm1,KG.YK,Ysyk-Kol,0.999
NEPS_AFG,AFG,adm1,AF.BL,Baghlan,0.991
NEPS_AFG,AFG,adm1,AF.BM,Bamyan,0.980
NEPS_AFG,AFG,adm1,AF.DK,Daykundi,0.997
NEPS_AFG,AFG,adm1,AF.GZ,Ghazni,1.000
NEPS_AFG,AFG,adm1,AF.HM,Hilmand,0.976
NEPS_AFG,AFG,adm1,AF.KB,Kabul,1.000
NEPS_AFG,AFG,adm1,AF.KD,Kandahar,0.999
NEPS_AFG,AFG,adm1,AF.KP,Kapisa,1.000
NEPS_AFG,AFG,adm1,AF.KT,Khost,0.997
NEPS_AFG,AFG,adm1,AF.KR,Kunar,0.996
NEPS_AFG,AFG,adm1,AF.LA,Laghman,1.000
NEPS_AFG,AFG,adm1,AF.LW,Logar,1.000
NEPS_AFG,AFG,adm1,AF.NG,Nangarhar,0.997
NEPS_AFG,AFG,adm1,AF.NR,Nuristan,0.992
NEPS_AFG,AFG,adm1,AF.PK,Paktika,0.998
NEPS_AFG,AFG,adm1,AF.PT,Paktya,1.000
NEPS_AFG,AFG,adm1,AF.PJ,Panjsher,0.988
NEPS_AFG,AFG,adm1,AF.PV,Parwan,1.000
NEPS_AFG,AFG,adm1,AF.OZ,Uruzgan,1.000
NEPS_AFG,AFG,adm1,AF.VR,Wardak,1.000
NEPS_AFG,AFG,adm1,AF.ZB,Zabul,1.000
PAK_N,PAK,adm1,PK.JK,Azad Jammu and Kashmir,0.997
PAK_N,PAK,adm1,PK.IS,Federal Capital Territory,1.000
PAK_N,PAK,adm1,PK.NA,Gilgit Baltistan,0.999
PAK_N,PAK,adm1,PK.NW,Khyber Pakhtunkhwa,0.998
PAK_N,PAK,adm1,PK.TA,Khyber Pakhtunkhwa,0.996
PAK_N,PAK,adm1,PK.PB,Punjab,0.996
PAK_S,PAK,adm1,PK.BA,Balochistan,0.996
PAK_S,PAK,adm2,PK.SD.BD,Badin,0.975
PAK_S,PAK,adm2,PK.SD.DD,Dadu,0.975
PAK_S,PAK,adm2,PK.SD.GH,Ghotki,0.975
PAK_S,PAK,adm2,PK.SD.HY,Hyderabad,0.975
PAK_S,PAK,adm2,PK.SD.JB,Jacobabad,0.975
PAK_S,PAK,adm2,PK.SD.JS,Jamshoro,0.975
PAK_S,PAK,adm2,PK.SD.KM,Kashmore,0.975
PAK_S,PAK,adm2,PK.SD.KP,Khairpur,0.975
PAK_S,PAK,adm2,PK.SD.LA,Larkana,0.975
PAK_S,PAK,adm2,PK.SD.ML,Malir,0.975
PAK_S,PAK,adm2,PK.SD.MP,Mirpur Khas,0.975
PAK_S,PAK,adm2,PK.SD.MT,Matiari,0.975
PAK_S,PAK,adm2,PK.SD.NF,Naushahro Feroze,0.975
PAK_S,PAK,adm2,PK.SD.QS,Qambar Shahdadkot,0.975
PAK_S,PAK,adm2,PK.SD.SB,Shaheed Benazirabad,0.975
PAK_S,PAK,adm2,PK.SD.SG,Sanghar,0.975
PAK_S,PAK,adm2,PK.SD.SK,Sukkur,0.975
PAK_S,PAK,adm2,PK.SD.SP,Shikarpur,0.975
PAK_S,PAK,adm2,PK.SD.SW,Sujawal,0.975
PAK_S,PAK,adm2,PK.SD.TK,Tando Muhammad Khan,0.975
PAK_S,PAK,adm2,PK.SD.TP,Tharparkar,0.975
PAK_S,PAK,adm2,PK.SD.TT,Thatta,0.975
PAK_S,PAK,adm2,PK.SD.TY,Tando Allah Yar,0.975
PAK_S,PAK,adm2,PK.SD.UK,Umerkot,0.975
UZB,UZB,adm1,UZ.AN,Andijan,0.994
UZB,UZB,adm1,UZ.BU,Bukhara,0.999
UZB,UZB,adm1,UZ.FA,Fergana,0.988
UZB,UZB,adm1,UZ.JI,Jizzakh,0.998
UZB,UZB,adm1,UZ.QR,Karakalpakstan,0.999
UZB,UZB,adm1,UZ.QA,Kashkadarya,0.998
UZB,UZB,adm1,UZ.KH,Khorezm,0.994
UZB,UZB,adm1,UZ.NG,Namangan,0.995
UZB,UZB,adm1,UZ.NW,Navoiy,1.000
UZB,UZB,adm1,UZ.SA,Samarkand,0.999
UZB,UZB,adm1,UZ.SI,Sirdarya,0.997
UZB,UZB,adm1,UZ.SU,Surkhandarya,0.996
UZB,UZB,adm1,UZ.TA,Tashkent,0.994
UZB,UZB,adm1,UZ.TK,Tashkent city,1.000
TUR,TKM,adm1,TM.AL,Ahal,0.999
TUR,TKM,adm1,TM.BA,Balkan,0.998
TUR,TKM,adm1,TM.LE,Chardzhou,0.999
TUR,TKM,adm1,TM.MA,Mary,0.999
TUR,TKM,adm1,TM.DA,Tashauz,0.999
KAZ_S,KAZ,adm1,KZ.AA,Almatinskaya,0.987
KAZ_S,KAZ,adm1,KZ.AC,Almaty City area,1.000
KAZ_S,KAZ,adm1,KZ.ZM,Jambylslkaya,0.983
KAZ_S,KAZ,adm1,KZ.QO,Kyzylordinskaya,0.960
KAZ_S,KAZ,adm1,KZ.SK,Yujno-kazachstanskaya,0.993
KAZ_N,KAZ,adm1,KZ.AM,Akmolinskaya,1.000
KAZ_N,KAZ,adm1,KZ.AT,Aktyubinskaya,0.991
KAZ_N,KAZ,adm1,KZ.QG,Karagandinskaya,0.997
KAZ_N,KAZ,adm1,KZ.QS,Kustanayskaya,0.999
KAZ_N,KAZ,adm1,KZ.PA,Pavlodarskaya,0.999
KAZ_N,KAZ,adm1,KZ.NK,Severo-kazachstanskaya,0.999
KAZ_N,KAZ,adm1,KZ.EK,Vostochno-kazachstanskaya,0.997
