g,Q1,Q2,Q3,Q4,Q5
PETROPAVLOVSK-2_CHP_2023,0.85,0.85,0.85,0.85,1
RAIWIND _JPGL_ICE_2023,0.85,0.85,0.85,0.85,1
RAIWIND _SEPCOL_ICE_2023,0.85,0.85,0.85,0.85,1
ROUSCH_CCGT_2029,0.85,0.85,0.85,0.85,1
SYRDARYA_ST_2023,0.85,0.85,0.85,0.85,1
TAKAKHIL_ICE_2030,0.85,0.85,0.85,0.85,1
TAKHIATASH_ST_2023,0.85,0.85,0.85,0.85,1
TAKHIATASH_ST_2027,0.85,0.85,0.85,0.85,1
TAKHIATASH_ST_2029,0.85,0.85,0.85,0.85,1
TCHIMKENT-3_CHP_2023,0.85,0.85,0.85,0.85,1
TURKMENBASHI-1_ST_2024,0.85,0.85,0.85,0.85,1
TURKMENBASHI-1_ST_2026,0.85,0.85,0.85,0.85,1
UCH_CCGT_2030,0.85,0.85,0.85,0.85,1
UST-KAMENOGORSK _TETS_CHP_2023,0.85,0.85,0.85,0.85,1
YAVAN_CHP_2023,0.85,0.85,0.85,0.85,1
ZHAMBYL_ST_2023,0.85,0.85,0.85,0.85,1
EKIBASTUZ-1_ST_2023,0.85,0.85,0.85,0.85,1
EKIBASTUZ-1_ST_2024,0.85,0.85,0.85,0.85,1
EKIBASTUZ-2_ST_2030,0.85,0.85,0.85,0.85,1
ABADAN _CITY-2_GT_2031,0.85,0.85,0.85,0.85,1
ABADAN _CITY-2_CCGT_2031,0.85,0.85,0.85,0.85,1
AHAL_GT_2031,0.85,0.85,0.85,0.85,1
UZB_HY_2031,0.4183636736,0.5183636736,0.5183636736,0.4183636736,0.5183636736
ANDIJAN-1_HY_2031,0.3829717428,0.5183636736,0.5183636736,0.4395126959,0.5183636736
ANGREN_ST_2031,0.85,0.85,0.85,0.85,1
ASHGABAT_GT_2031,0.85,0.85,0.85,0.85,1
ASTANA-2_CHP_2031,0.85,0.85,0.85,0.85,1
AVAZA_GT_2031,0.85,0.85,0.85,0.85,1
BAIPAZA_HY_2031,0.3890791476,0.4890791476,0.3890791476,0.3890791476,0.4890791476
BALKANABAD-2_GT_2031,0.85,0.4407619437,0.85,0.85,1
BALKHASH _ULKEN_CHP_NEW_2031,0.85,0.5566210046,0.85,0.85,1
CHARVAK_HY_2031,0.468290587,0.8719069363,0.6222788847,0.468290587,0.468290587
DASHOGUZ _VELAYAT_CHP_2031,0.85,0.553135348,0.85,0.85,1
DERWEZE_GT_2031,0.85,0.553135348,0.85,0.85,1
DUSHANBE-2_CHP_2031,0.85,0.553135348,0.85,0.85,1
DUSHANBE-2_CHP_NEW_2031,0.85,0.553135348,0.85,0.85,1
EKIBASTUZ-2_ST_2031,0.85,0.553135348,0.85,0.85,1
EKIBASTUZ-2_ST_NEW_2031,0.85,0.553135348,0.85,0.85,1
GAZALKENT_HY_2031,0.3829717428,0.553135348,0.5183636736,0.3395126959,0.5183636736
KAMBARATA-2_HY_2031,0.4905208333,0.553135348,0.5512436456,0.5578688525,0.5458253205
KAMBARATA-2_HY_NEW_2031,0.4896111111,0.553135348,0.4896111111,0.4896111111,0.4578204391
KARAGANDA _TPS-3_CHP_2031,0.85,0.553135348,0.85,0.85,1
KHODZHIKENT_HY_2031,0.4829717428,0.553135348,0.553135348,0.4395126959,0.553135348
KURPSAI_HY_2031,0.7569315219,0.493135348,0.2708597733,0.4961364661,0.7712497493
LEBAP_GT_2031,0.85,0.553135348,0.85,0.85,1
MARY_GT_2031,0.85,0.553135348,0.85,0.85,1
MOYNAK_HY_2031,0.2288029101,0.553135348,0.3323001209,0.1517425539,0.3243716931
NAVOI_ST_NEW_2031,0.85,0.553135348,0.85,0.85,1
NAVOI_CCGT_2031,0.85,0.553135348,0.85,0.85,1
PAVLODAR-1_CHP_2031,0.85,0.553135348,0.85,0.85,1
PAVLODAR-3_CHP_2031,0.85,0.85,0.85,0.85,1
PETROPAVLOVSK-2_CHP_2031,0.85,0.85,0.85,0.85,1
SANGTUDA-1_HY_2031,0.3407619437,0.4407619437,0.3407619437,0.3407619437,0.4407619437
SANGTUDA-2_HY_2031,0.4566210046,0.5566210046,0.4566210046,0.4566210046,0.5566210046
SHAMALDYSAI_HY_2031,0.7573611111,0.5042571721,0.3325912309,0.5358208106,0.6961408691
SHARDARINSKYA_HY_2031,0.6970127866,0.7900782809,0.3954313207,0.2600995316,0.720549281
SHULBINSKAYA_HY_2031,0.3594295382,0.4565052847,0.3924890364,0.4029292122,0.434901917
TAKHIATASH_ST_NEW_2031,0.85,0.85,0.85,0.85,1
TASHKENT_CHP_2031,0.85,0.85,0.85,0.85,1
TASH-KUMYR_HY_2031,0.6740792181,0.5398557984,0.3338731542,0.5223588342,0.7857593384
TOKTOGUL_HY_2031,0.7396787158,0.4943731867,0.4372505553,0.4943731867,0.756651221
TOLIMARJON_ST_2031,0.85,0.85,0.85,0.85,1
TOLIMARJON_CCGT_2031,0.85,0.85,0.85,0.85,1
TURKMENBASHI _REFINERY_GT_2031,0.85,0.85,0.85,0.85,1
TYUYAMUYUNSKAYA_HY_2031,0.4829717428,0.4901146355,0.5183636736,0.4395126959,0.5183636736
UST-KAMENOGORSK _HPP_HY_2031,0.3594295382,0.4565052847,0.3924890364,0.4029292122,0.434901917
UST-KAMENOGORSK _TETS_CHP_2031,0.85,0.85,0.85,0.85,1
WATAN_GT_2031,0.85,0.85,0.85,0.85,1
ZHAMBYL_ST_2031,0.85,0.85,0.85,0.85,1
ALLAI _KHWAR_HY_2031,0.2695281151,0.2860437912,0.5864709185,0.4985160307,0.358831482
PAK_N_HY_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.4158732297
HAVELI _HAVELI BAHADUR _SHAH_CCGT_2031,0.85,0.85,0.85,0.85,1
BALLOKI _RLNG_CCGT_2031,0.85,0.85,0.85,0.85,1
BALLOKI _RLNG_CCGT_NEW_2031,0.85,0.85,0.85,0.85,1
BHIKKI _RENTAL_GT_2031,0.85,0.85,0.85,0.85,1
BHIKKI _RLNG_CCGT_2031,0.85,0.85,0.85,0.85,1
BHIKKI _RLNG_CCGT_NEW_2031,0.85,0.85,0.85,0.85,1
BIN _QASIM_CCGT_2031,0.85,0.85,0.85,0.85,1
PAK_N_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3458343346
CHASHMA _(CHASNUPP)_ST_2031,0.85,0.85,0.85,0.85,1
CHASHMA_HY_2031,0.3947471817,0.4189358144,0.8589372658,0.7301197431,0.3944209934
DAHARKI _FOUNDATION_CCGT_2031,0.85,0.85,0.85,0.85,1
DASU _DHP-1_HY_NEW_2031,0.3926269576,0.4166856709,0.8543238333,0.7261982015,0.3823382022
DIAMER _BASHA_HY_NEW_2031,0.2961837448,0.3143327783,0.6444713673,0.5478179698,0.3008232786
DUBER _KHWAR_HY_2031,0.3257500477,0.3457107938,0.7088052007,0.6025034559,0.4064038865
GHAZI-BAROTHA_HY_2031,0.326340715,0.3463376549,0.7100904438,0.6035959471,0.3238651555
GUDDU_CCGT_2031,0.85,0.85,0.85,0.85,1
GULPUR_HY_NEW_2031,0.3102495785,0.3292605137,0.6750774597,0.5738339703,0.3932881048
HALMORE _POWER_CCGT_2031,0.85,0.85,0.85,0.85,1
HUB _RIVER_ST_2031,0.85,0.85,0.85,0.85,1
KAJAKI I_HY,0.3569938871,0.6421359223,0.5790134844,0.2314590076,0.4524005753
JAMSHORO_ST_2031,0.85,0.85,0.85,0.85,1
KARACHI _COASTAL_ST_NEW_2031,0.85,0.85,0.85,0.85,1
KORANGI _CREEK_CCGT_2031,0.85,0.85,0.85,0.85,1
LAKHRA_ST_2031,0.85,0.85,0.85,0.85,1
LAL _PIR_ST_2031,0.85,0.85,0.85,0.85,1
MANGLA_HY_2031,0.3972529011,0.421595075,0.8643895043,0.7347542923,0.4669063009
MUZAFFARGARH_ST_2031,0.85,0.85,0.85,0.85,1
NANDIPUR_CCGT_2031,0.85,0.85,0.85,0.85,1
ORIENT _POWER_CCGT_2031,0.85,0.85,0.85,0.85,1
PAK _GEN_ST_2031,0.85,0.85,0.85,0.85,1
PATRIND_HY_2031,0.2925909286,0.3105198078,0.6366536961,0.5411727393,0.3783461704
PORT _PORT QASIM _THERMAL_ST_NEW_2031,0.85,0.85,0.85,0.85,1
QADIRPUR_CCGT_2031,0.85,0.85,0.85,0.85,1
QUAID-E-AZAM _SOLAR_PV_2031,1,1,1,1,1
SABA_ST_2031,0.85,0.85,0.85,0.85,1
SAHIWAL_CCGT_2031,0.85,0.85,0.85,0.85,1
SAPPHIRE _ELECTRIC_CCGT_2031,0.85,0.85,0.85,0.85,1
TARBELA_HY_2031,0.3020163883,0.3205228244,0.657162718,0.5586059587,0.3863215594
THAR _THAR BLOCK-II _ENGRO_ST_NEW_2031,0.85,0.85,0.85,0.85,1
UCH_CCGT_2031,0.85,0.85,0.85,0.85,1
WARSAK_HY_2031,0.2515356797,0.2669488466,0.5473208652,0.465237434,0.3436071136
THAR _THAR BLOCK-II _HUB_ST_NEW_2031,0.85,0.85,0.85,0.85,1
GRANGE _POWER_CCGT_NEW_2031,0.85,0.85,0.85,0.85,1
JAMSHORO_ST_NEW_2031,0.85,0.85,0.85,0.85,1
BIN _BIN QASIM _SIDDIQSONS_ST_NEW_2031,0.85,0.85,0.85,0.85,1
THAR _BLOCK-I_ST_NEW_2031,0.85,0.85,0.85,0.85,1
OSH_CHP_NEW_2031,0.85,0.85,0.85,0.85,1
TARBELA-V_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3223320689
MANGLA_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3369410896
BUNJI_HY_NEW_2031,0.2419824548,0.2568102357,0.5265338367,0.4475679015,0.2518144643
SEHRA_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3347400465
KAROT-JHELUM_HY_NEW_2031,0.3058905163,0.3246343445,0.6655925004,0.5657715002,0.3102851626
AZAD-PATTAN_HY_NEW_2031,0.3226343094,0.3424041347,0.7020256114,0.5967406229,0.3218577146
CHAKOTHI-HATIAN_HY_NEW_2031,0.3344557176,0.3549499146,0.7277480194,0.6186053605,0.3253633391
KOHALA-JHELUM_HY_NEW_2031,0.3175864435,0.3370469544,0.6910418722,0.5874041496,0.3205640814
KAIGAH_HY_NEW_2031,0.2753552572,0.2922279987,0.5991502984,0.5092938441,0.2848300006
MAHL_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3412299572
KARRANG_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3369410896
RAJDHANI_HY_NEW_2031,0.3648187288,0.3871734577,0.7938154241,0.6747644288,0.367929966
KALAM-ASRTI_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3369410896
SHOGOSIN_HY_NEW_2031,0.3850417707,0.4086356921,0.8378190932,0.7121687292,0.3743413982
TAUNSA_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3369410896
SHARMAI_HY_NEW_2031,0.3154893491,0.3348213579,0.6864787679,0.5835253885,0.3118717021
ASRIT-KEDAM_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.3368219568
MADYAN_HY_NEW_2031,0.2919746434,0.3098657589,0.6353127103,0.5400328654,0.2883793872
SHUROB_HY_NEW_2031,0.3361667259,0.2764681949,0.5878055523,0.2977635507,0.3364136055
BAGHDARA_HY_NEW_2031,0.2686054784,0.3021681611,0.7539366369,0.5590891105,0.2957536328
DASHTIJUM_HY_NEW_2031,0.3377714433,0.2777879368,0.5906114868,0.2991849476,0.3542786801
KOKEMEREN-1_HY_NEW_2031,0.4450684822,0.3375510293,0.1716025483,0.3115541436,0.467542904
KOKEMEREN-2_HY_NEW_2031,0.4450684822,0.3375510293,0.1716025483,0.3115541436,0.5073656388
KAMBARATA-1_HY_NEW_2031,0.3461481809,0.3461481809,0.3461481809,0.3461481809,0.3461481809
FAN-YAGNOB_ST_NEW_2031,0.85,0.85,0.85,0.85,1
BUKHTARMASKAYA_HY_2031,0.3594295382,0.4565052847,0.3924890364,0.4029292122,0.3723900461
FARKHAD_HY_2031,0.4183636736,0.6583636736,0.6583636736,0.5183636736,0.5583636736
GOLOVNAYA_HY_2031,0.5136986301,0.6136986301,0.5136986301,0.5136986301,0.5136986301
KAIRAKKUM_HY_2031,0.7719069363,0.8719069363,0.7719069363,0.7719069363,0.8719069363
TASHKENT_ST_2023,0.85,0.85,0.85,0.85,1
NOVO-ANGREN_ST_2030,0.85,0.85,0.85,0.85,1
NOVO-ANGREN_ST_2031,0.85,0.85,0.85,0.85,1
KARACHI _KARACHI NPP _(KANUPP)_ST_2023,0.85,0.85,0.85,0.85,1
KESC _SITE_ICE_2031,0.85,0.85,0.85,0.85,1
KORANGI_ICE_2030,0.85,0.85,0.85,0.85,1
KABANBAI _BATYR_PV_2031,1,1,1,1,1
KARAGANDA _HPS-1_ST_2031,0.85,0.85,0.85,0.85,1
FAISALABAD_GT_2023,0.85,0.85,0.85,0.85,1
NAGHLU_HY_2031,0.1998348704,0.1361388889,0.3877555556,0.2141944444,0.2344809398
SUKI _KANARI_HY_NEW_2031,0.2419136346,0.2567371984,0.5263840896,0.4474406125,0.2462734586
KOTLI_HY_NEW_2031,0.3295984769,0.3497950404,0.7171790647,0.6096214652,0.322087058
LOWER _PALAS_HY_NEW_2031,0.2702524908,0.2868125539,0.5880471002,0.4998558274,0.2670171396
LOWER _LOWER SPAT _GAH_HY_NEW_2031,0.2807742543,0.2979790518,0.6109415887,0.5193167575,0.2894153059
AKHROI _DAM_HY_NEW_2031,0.249222708,0.2644941446,0.5422880297,0.4609593886,0.266153264
MUNDA _DAM_HY_NEW_2031,0.3369410896,0.357587581,0.7331559836,0.6232022753,0.4389501528
AYNI _(ZARAFSHAN)_HY_NEW_2031,0.3592713222,0.2954697364,0.6282051782,0.318228713,0.4578449649
APPOLO _SOLAR_PV_2031,1,1,1,1,1
BEST _GREEN_PV_2031,1,1,1,1,1
Crest _Solar_PV_2031,1,1,1,1,1
UCH-KURGANSK_HY_2020,0.9182638889,0.9182638889,0.9182638889,0.7640976017,0.8118538987
SAHIWAL _PROJECT_ST_NEW_2031,0.85,0.85,0.85,0.85,1
KEYAL _KHWAR_HY_NEW_2031,0.2265989529,0.2404840902,0.493060607,0.4191147573,0.2350227471
THAR _THAR BLOCK-II _THAL_ST_NEW_2031,0.85,0.85,0.85,0.85,1
FANDARYA_HY_NEW_2031,0.2813536154,0.2313891297,0.4919618883,0.2492122065,0.3039145976
Sanobad_HY_NEW_2031,0.9871794872,0.9934846574,1,0.9871794872,0.8849987802
NUREK-2_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
YAVAN_HY_NEW_2031,0.3230048916,0.2656437191,0.5647913789,0.2861053043,0.3779272159
Jumar_HY_NEW_2031,0.4047301425,0.3328557031,0.707692364,0.3584943869,0.4084686914
Moskov_HY_NEW_2031,0.68,0.8029508197,0.93,0.68,0.6348203719
Kokcha_HY_NEW_2031,0.4290307101,0.3528408281,0.7501832098,0.3800188946,0.4227237682
Sangvor __HY_NEW_2031,0.3863324176,0.653339273,0.929246357,0.3863324176,0.3910569027
Oburdon _Oburdon  __HY_NEW_2031,0.3880355881,0.3191258692,0.6785010401,0.343706993,0.3991070361
Sangiston _Sangiston  __HY_NEW_2031,0.4170415706,0.342980793,0.7292195564,0.3693993762,0.4151788072
Garms _Garms  __HY_NEW_2031,0.46,0.7009836066,0.95,0.46,0.4596731474
Urfatin _Urfatin  __HY_NEW_2031,0.4049336081,0.6655917637,0.9349385246,0.4049336081,0.3870123846
Shtien _Shtien  __HY_NEW_2031,0.4578754579,0.6980954916,0.9463228597,0.4578754579,0.441654249
Surobi-2_HY_NEW_2031,0.2884456558,0.3244874003,0.8096251385,0.6003854652,0.2891557967
Kunar-A_HY_NEW_2031,0.3524376002,0.3964752401,0.9892412492,0.7335815545,0.3425926856
Kukcha_HY_NEW_2031,0.2930615719,0.3296800825,0.822581346,0.6099932681,0.2923359743
Gulbahar_HY_NEW_2031,0.2884456558,0.3244874003,0.8096251385,0.6003854652,0.2884456558
Capar_HY_NEW_2031,0.2883451871,0.3243743779,0.8093431374,0.6001763446,0.3522273435
Kunar-B_HY_NEW_2031,0.2884456558,0.3244874003,0.8096251385,0.6003854652,0.3508726883
UCH-KURGANSK_HY_NEW_2031,0.7035792042,0.5336120036,0.2712750716,0.4925152536,0.645066514
NARYN_HY_NEW_2031,0.6942213671,0.5265147867,0.267667023,0.4859646371,0.6371483442
Hodjikent_PSH_2_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.3232467184
HPP_in_Pskem_1_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.3232467184
HPP_in_Pskem_2_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.3232467184
HPP_in_Pskem_3_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.3232467184
HPP_in_Pskem_4_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.4042856848
HPP_in_Pskem_5_HY_NEW_2031,0.3232467184,0.2976213909,0.594874934,0.3063446819,0.4042856848
HAVELI _HAVELI BAHADUR _SHAH_CCGT_NEW_2031,0.85,0.85,0.85,0.85,1
CHASHMA _(CHASNUPP)_ST_NEW_2031,0.85,0.85,0.85,0.85,1
GOLEN _GOL_HY_NEW_2031,0.2856814988,0.3031869939,0.6216193474,0.5283931392,0.270803532
NEELUM-JHELUM_HY_NEW_2031,0.3691674981,0.3917887033,0.8032779868,0.6828078612,0.3669429509
TARBELA-IV_HY_NEW_2031,0.1889747146,0.2005543792,0.4111933719,0.3495254089,0.2144721342
NUREK_1_HY_2022,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_2_HY_2019,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_3_HY_2023,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_4_HY_2024,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_5_HY_2020,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_6_HY_2025,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_7_HY_2021,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_8_HY_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_9_HY_2026,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_NUREK1-_REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_NUREK2-_REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_NUREK3-_REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_NUREK4-_REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_NUREK5-_REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_6-REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_7-REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
NUREK_9-REHAB_HY_NEW_2031,0.453135348,0.553135348,0.453135348,0.453135348,0.553135348
ROGUN_1_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
ROGUN_2_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
ROGUN_3_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
ROGUN_4_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
ROGUN_5_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
ROGUN_6_HY_NEW_2031,0.4833622685,0.4000170765,0.594703159,0.4284067623,0.4089988426
PAK_S_WT_2031,1,1,1,1,1
FWEL_WT_2031,1,1,1,1,1
JHAMPIR _TRICON_WT_NEW_2031,1,1,1,1,1
KAZ_N_ST_Coal_cand,0.85,0.85,0.85,0.85,1
KAZ_N_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
KAZ_N_CHP_Coal_cand,0.85,0.85,0.85,0.85,1
KAZ_N_GT_Gas_cand,0.85,0.85,0.85,0.85,1
KAZ_N_HY_Water_cand,0.4402552559,0.4489727287,0.4405762097,0.1898611547,0.5263698319
KAZ_N_PV_Solar_cand,1,1,1,1,1
KAZ_N_WT_Wind_cand,1,1,1,1,1
KAZ_N_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
KAZ_N_ST_UR_cand,0.85,0.85,0.85,0.85,1
KAZ_S_ST_Coal_cand,0.85,0.85,0.85,0.85,1
KAZ_S_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
KAZ_S_CHP_Gas_cand,0.85,0.85,0.85,0.85,1
KAZ_S_GT_Gas_cand,0.85,0.85,0.85,0.85,1
KAZ_S_HY_Water_cand,0.4402552559,0.4489727287,0.4405762097,0.1898611547,0.5263698319
KAZ_S_PV_Solar_cand,1,1,1,1,1
KAZ_S_WT_Wind_cand,1,1,1,1,1
KAZ_S_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
KAZ_S_ST_UR_cand,0.85,0.85,0.85,0.85,1
KGZ_N_ST_Coal_cand,1,1,1,1,1
KGZ_N_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_N_CHP_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_N_GT_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_N_PV_Solar_cand,1,1,1,1,1
KGZ_N_WT_Wind_cand,1,1,1,1,1
KGZ_N_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
KGZ_S_ST_Coal_cand,1,1,1,1,1
KGZ_S_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_S_CHP_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_S_GT_Gas_cand,0.85,0.85,0.85,0.85,1
KGZ_S_PV_Solar_cand,1,1,1,1,1
KGZ_S_WT_Wind_cand,1,1,1,1,1
KGZ_S_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
NEPS_AFG_ST_Coal_cand,0.85,0.85,0.85,0.85,1
NEPS_AFG_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_AFG_GT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_AFG_PV_Solar_cand,1,1,1,1,1
NEPS_AFG_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
NEPS_TAJ_ST_Coal_cand,0.85,0.85,0.85,0.85,1
NEPS_TAJ_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_TAJ_GT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_TAJ_PV_Solar_cand,1,1,1,1,1
NEPS_TAJ_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
NEPS_TKM_ST_Coal_cand,0.85,0.85,0.85,0.85,1
NEPS_TKM_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_TKM_GT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_TKM_PV_Solar_cand,1,1,1,1,1
NEPS_TKM_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
NEPS_UZB_ST_Coal_cand,0.85,0.85,0.85,0.85,1
NEPS_UZB_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_UZB_GT_Gas_cand,0.85,0.85,0.85,0.85,1
NEPS_UZB_PV_Solar_cand,1,1,1,1,1
NEPS_UZB_ICE_HFO_cand,0.85,0.85,0.85,0.85,1
PAK_KAR_ST_Coal_cand,0.85,0.85,0.85,0.85,1
PAK_KAR_CCGT_Gas_cand,0.85,0.85,0.85,0.85,1
PAK_KAR_GT_Gas_cand,0.85,0.85,0.85,0.85,1
