z,tech,q,d,t1,t2,t3,t4,t5,t6,t7
KGZ_N,PV,Q1,d1,0,0.0088301508,0.3111337467,0.5502031284,0.2624865436,0.0040134577,0
KGZ_N,PV,Q2,d1,0,0.0088301508,0.3047803183,0.5458145082,0.3089849805,0.0040134577,0
KGZ_N,PV,Q3,d1,0,0.0193601641,0.3111337467,0.5173271198,0.2765117616,0.0119052747,0
KGZ_N,PV,Q4,d1,0,0.001620782,0.2773423934,0.5502031284,0.2363836916,0,0
KGZ_N,PV,Q5,d1,0.044559,0.2412985139,0.0496532125,0,0.2804936375,0,0.130370625
KGZ_N,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
KGZ_N,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
KGZ_N,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
KGZ_N,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
KGZ_N,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
KGZ_S,PV,Q1,d1,0,0.0088301508,0.3111337467,0.5502031284,0.2624865436,0.0040134577,0
KGZ_S,PV,Q2,d1,0,0.0088301508,0.3047803183,0.5458145082,0.3089849805,0.0040134577,0
KGZ_S,PV,Q3,d1,0,0.0193601641,0.3111337467,0.5173271198,0.2765117616,0.0119052747,0
KGZ_S,PV,Q4,d1,0,0.001620782,0.2773423934,0.5502031284,0.2363836916,0,0
KGZ_S,PV,Q5,d1,0.044559,0.2412985139,0.0496532125,0,0.2804936375,0,0.130370625
KGZ_S,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
KGZ_S,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
KGZ_S,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
KGZ_S,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
KGZ_S,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
NEPS_AFG,PV,Q1,d1,0,0.0530020697,0.4017153111,0.3147871917,0.0167179433,0,0
NEPS_AFG,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
NEPS_AFG,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
NEPS_AFG,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
NEPS_AFG,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
NEPS_AFG,WT,Q1,d1,0.3328147864,0.3280572469,0.3159276094,0.3193960421,0.3391386533,0.3360186298,0
NEPS_AFG,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
NEPS_AFG,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
NEPS_AFG,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
NEPS_AFG,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
NEPS_TAJ,PV,Q1,d1,0,0.0530020697,0.4017153111,0.3147871917,0.0167179433,0,0
NEPS_TAJ,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
NEPS_TAJ,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
NEPS_TAJ,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
NEPS_TAJ,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
NEPS_TAJ,WT,Q1,d1,0.3328147864,0.3280572469,0.3159276094,0.3193960421,0.3391386533,0.3360186298,0
NEPS_TAJ,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
NEPS_TAJ,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
NEPS_TAJ,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
NEPS_TAJ,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
NEPS_TKM,PV,Q1,d1,0,0.0530020697,0.4017153111,0.3147871917,0.0167179433,0,0
NEPS_TKM,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
NEPS_TKM,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
NEPS_TKM,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
NEPS_TKM,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
NEPS_TKM,WT,Q1,d1,0.3328147864,0.3280572469,0.3159276094,0.3193960421,0.3391386533,0.3360186298,0
NEPS_TKM,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
NEPS_TKM,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
NEPS_TKM,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
NEPS_TKM,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
NEPS_UZB,PV,Q1,d1,0,0.0530020697,0.4017153111,0.3147871917,0.0167179433,0,0
NEPS_UZB,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
NEPS_UZB,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
NEPS_UZB,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
NEPS_UZB,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
NEPS_UZB,WT,Q1,d1,0.3328147864,0.3280572469,0.3159276094,0.3193960421,0.3391386533,0.3360186298,0
NEPS_UZB,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
NEPS_UZB,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
NEPS_UZB,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
NEPS_UZB,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
PAK_KAR,PV,Q1,d1,0,0.1413744484,0.473247613,0.5179731626,0.0646110436,0,0
PAK_KAR,PV,Q2,d1,0,0.1413744484,0.576477485,0.523952597,0.0910378381,0,0
PAK_KAR,PV,Q3,d1,0,0.1306582493,0.473247613,0.4289371871,0.0858235124,0,0
PAK_KAR,PV,Q4,d1,0,0.1653262172,0.6494453934,0.5179731626,0.049677751,0,0
PAK_KAR,PV,Q5,d1,0,0.0036721667,0.00041155,0,0.2199044875,0,0.0183148393
PAK_KAR,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
PAK_KAR,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
PAK_KAR,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
PAK_KAR,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
PAK_KAR,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
PAK_N,PV,Q1,d1,0,0.1413744484,0.473247613,0.5179731626,0.0646110436,0,0
PAK_N,PV,Q2,d1,0,0.1413744484,0.576477485,0.523952597,0.0910378381,0,0
PAK_N,PV,Q3,d1,0,0.1306582493,0.473247613,0.4289371871,0.0858235124,0,0
PAK_N,PV,Q4,d1,0,0.1653262172,0.6494453934,0.5179731626,0.049677751,0,0
PAK_N,PV,Q5,d1,0,0.0036721667,0.00041155,0,0.2199044875,0,0.0183148393
PAK_N,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
PAK_N,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
PAK_N,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
PAK_N,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
PAK_N,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
PAK_S,PV,Q1,d1,0,0.1413744484,0.473247613,0.5179731626,0.0646110436,0,0
PAK_S,PV,Q2,d1,0,0.1413744484,0.576477485,0.523952597,0.0910378381,0,0
PAK_S,PV,Q3,d1,0,0.1306582493,0.473247613,0.4289371871,0.0858235124,0,0
PAK_S,PV,Q4,d1,0,0.1653262172,0.6494453934,0.5179731626,0.049677751,0,0
PAK_S,PV,Q5,d1,0,0.0036721667,0.00041155,0,0.2199044875,0,0.0183148393
PAK_S,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
PAK_S,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
PAK_S,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
PAK_S,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
PAK_S,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
TAJ_N,PV,Q1,d1,0,0.1492559443,0.6471387238,0.3669298921,0.0167179433,0,0
TAJ_N,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
TAJ_N,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
TAJ_N,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
TAJ_N,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
TAJ_N,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
TAJ_N,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
TAJ_N,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
TAJ_N,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
TAJ_N,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
TAJ_S,PV,Q1,d1,0,0.1492559443,0.6471387238,0.3669298921,0.0167179433,0,0
TAJ_S,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
TAJ_S,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
TAJ_S,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
TAJ_S,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
TAJ_S,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
TAJ_S,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
TAJ_S,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
TAJ_S,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
TAJ_S,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
TUR,PV,Q1,d1,0,0.2899569352,0.7236448084,0.4237157705,0.0170499227,0,0
TUR,PV,Q2,d1,0,0.2899569352,0.7112268019,0.4751229399,0.0439179037,0,0
TUR,PV,Q3,d1,1.41065e-05,0.3256005219,0.7236448084,0.4924330017,0.0549637678,0,0
TUR,PV,Q4,d1,0,0.2954611754,0.7293520874,0.4237157705,0.0104533607,0,0
TUR,PV,Q5,d1,0,0,0.009657525,0,0.21341035,0,0
TUR,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
TUR,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
TUR,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
TUR,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
TUR,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
UZB,PV,Q1,d1,0,0.1492559443,0.6471387238,0.3669298921,0.0167179433,0,0
UZB,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
UZB,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
UZB,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
UZB,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
UZB,WT,Q1,d1,0.3328147864,0.3277129311,0.3293086691,0.3213311206,0.3391386533,0.334468267,0
UZB,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
UZB,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
UZB,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
UZB,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
NEPS_HERAT,PV,Q1,d1,0,0.0530020697,0.4017153111,0.3147871917,0.0167179433,0,0
NEPS_HERAT,PV,Q2,d1,0,0.1492559443,0.5521565546,0.4639351462,0.0736901158,0,0
NEPS_HERAT,PV,Q3,d1,0,0.2122270712,0.6471387238,0.5634520618,0.1106725303,0,0
NEPS_HERAT,PV,Q4,d1,0,0.1229864934,0.5171372473,0.3669298921,0.0177012633,0,0
NEPS_HERAT,PV,Q5,d1,0,0,0,0,0.2969468,0,0.0003665357
NEPS_HERAT,WT,Q1,d1,0.3328147864,0.3280572469,0.3159276094,0.3193960421,0.3391386533,0.3360186298,0
NEPS_HERAT,WT,Q2,d1,0.3414891393,0.3277129311,0.3189238911,0.321159961,0.3349157844,0.334468267,0
NEPS_HERAT,WT,Q3,d1,0.3539926571,0.3202720417,0.3293086691,0.3302589868,0.3365956654,0.3342684957,0
NEPS_HERAT,WT,Q4,d1,0.3493416683,0.3227124844,0.3175447698,0.3213311206,0.3425103107,0.3326307337,0
NEPS_HERAT,WT,Q5,d1,0.3383338469,0.3682212406,0.33907123,0.352410324,0.34237478,0.3467542699,0.3071637721
