country,zone,attribute,resolution,year,TEST
DRC,Drc_E,Spinning Reserve: GWh,,2026,144.9
DRC,Drc_E,Total Demand: GWh,,2026,697.5
DRC,Drc_E,Unmet country planning reserve costs: $/MWh,,,2.3
DRC,Drc_E,Unmet country planning reserve costs: $m,,2026,1.6
DRC,Drc_E,Unmet country spinning reserve costs: $/MWh,,,10.1
DRC,Drc_E,Unmet country spinning reserve costs: $m,,2026,7.1
DRC,Drc_E,Unmet demand costs: $/MWh,,,190.9
DRC,Drc_E,Unmet demand costs: $m,,2026,133.2
DRC,Drc_E,Unmet demand: GWh,,2026,133.2
DRC,Drc_E,Variable O&M: $/MWh,,,2.0
DRC,Drc_E,Variable O&M: $m,,2026,1.4
Djibouti,Djibouti,Annual Energy Exchanges: GWh,Ethiopia,2026,0.2
Djibouti,Djibouti,Capacity: MW,Battery,2026,5.0
Djibouti,Djibouti,Capacity: MW,Diesel,2026,98.4
Djibouti,Djibouti,Capacity: MW,Onshore Wind,2026,60.0
Djibouti,Djibouti,Capacity: MW,PV,2026,50.0
Djibouti,Djibouti,Demand: GWh,,2026,857.7
Djibouti,Djibouti,Emissions: MtCO2,,2026,0.0
Djibouti,Djibouti,Energy: GWh,Battery,2026,9.5
Djibouti,Djibouti,Energy: GWh,Diesel,2026,58.3
Djibouti,Djibouti,Energy: GWh,Onshore Wind,2026,28.6
Djibouti,Djibouti,Energy: GWh,PV,2026,51.0
Djibouti,Djibouti,Exports exchange: GWh,,2026,0.2
Djibouti,Djibouti,Fixed O&M: $/MWh,,,1.2
Djibouti,Djibouti,Fixed O&M: $m,,2026,1.0
Djibouti,Djibouti,Fuel costs: $/MWh,,,10.4
Djibouti,Djibouti,Fuel costs: $m,,2026,8.9
Djibouti,Djibouti,Generation: GWh,,2026,147.4
Djibouti,Djibouti,Import costs with internal zones: $/MWh,,,65.1
Djibouti,Djibouti,Import costs with internal zones: $m,,2026,55.9
Djibouti,Djibouti,Imports exchange: GWh,,2026,760.0
Djibouti,Djibouti,Investment costs: $/MWh,,,3.5
Djibouti,Djibouti,Investment costs: $m,,2026,3.0
Djibouti,Djibouti,Net interchange Ratio: GWh,,2026,0.9
Djibouti,Djibouti,Net interchange: GWh,,2026,759.9
Djibouti,Djibouti,New Capacity: MW,Battery,2026,5.0
Djibouti,Djibouti,New Capacity: MW,PV,2026,50.0
Djibouti,Djibouti,Price: $/MWh,,2026,82.5
Djibouti,Djibouti,Spinning Reserve: GWh,,2026,183.5
Djibouti,Djibouti,Total Demand: GWh,,2026,857.7
Djibouti,Djibouti,Trade shared benefits: $/MWh,,,-32.6
Djibouti,Djibouti,Transmission Capacity: MW,Ethiopia,2026,95.0
Djibouti,Djibouti,Variable O&M: $/MWh,,,6.8
Djibouti,Djibouti,Variable O&M: $m,,2026,5.8
Egypt,Egypt,Annual Energy Exchanges: GWh,Libya,2026,1331.5
Egypt,Egypt,Annual Energy Exchanges: GWh,Sudan,2026,1818.9
Egypt,Egypt,Capacity: MW,Diesel,2026,972.0
Egypt,Egypt,Capacity: MW,Gas,2026,45160.0
Egypt,Egypt,Capacity: MW,Onshore Wind,2026,4172.0
Egypt,Egypt,Capacity: MW,PV,2026,2187.0
Egypt,Egypt,Capacity: MW,ROR,2026,182.0
Egypt,Egypt,Capacity: MW,Reservoir,2026,2650.0
Egypt,Egypt,Capacity: MW,Solar,2026,20.0
Egypt,Egypt,Demand: GWh,,2026,222409.0
Egypt,Egypt,Emissions: MtCO2,,2026,67.6
Egypt,Egypt,Energy: GWh,Gas,2026,196334.0
Egypt,Egypt,Energy: GWh,Onshore Wind,2026,11053.5
Egypt,Egypt,Energy: GWh,PV,2026,3370.1
Egypt,Egypt,Energy: GWh,ROR,2026,1204.9
Egypt,Egypt,Energy: GWh,Reservoir,2026,12767.7
Egypt,Egypt,Energy: GWh,Solar,2026,166.4
Egypt,Egypt,Export revenues with internal zones: $/MWh,,,-1.2
Egypt,Egypt,Exports exchange: GWh,,2026,3150.3
Egypt,Egypt,Fixed O&M: $/MWh,,,6.8
Egypt,Egypt,Fixed O&M: $m,,2026,1521.5
Egypt,Egypt,Fuel costs: $/MWh,,,60.4
Egypt,Egypt,Fuel costs: $m,,2026,13424.4
Egypt,Egypt,Generation: GWh,,2026,224896.5
Egypt,Egypt,Import costs with internal zones: $/MWh,,,0.3
Egypt,Egypt,Import costs with internal zones: $m,,2026,57.4
Egypt,Egypt,Imports exchange: GWh,,2026,697.7
Egypt,Egypt,Investment costs: $/MWh,,,1.3
Egypt,Egypt,Investment costs: $m,,2026,283.5
Egypt,Egypt,New Capacity: MW,Onshore Wind,2026,2800.0
Egypt,Egypt,New Capacity: MW,PV,2026,700.0
Egypt,Egypt,Price: $/MWh,,2026,82.2
Egypt,Egypt,Spinning Reserve: GWh,,2026,8733.5
Egypt,Egypt,Total Demand: GWh,,2026,222409.0
Egypt,Egypt,Trade shared benefits: $/MWh,,,-1.7
Egypt,Egypt,Transmission Capacity: MW,Libya,2026,180.0
Egypt,Egypt,Transmission Capacity: MW,Sudan,2026,300.0
Egypt,Egypt,Variable O&M: $/MWh,,,2.7
Egypt,Egypt,Variable O&M: $m,,2026,600.2
Ethiopia,Ethiopia,Annual Energy Exchanges: GWh,Djibouti,2026,760.0
Ethiopia,Ethiopia,Annual Energy Exchanges: GWh,Kenya,2026,1839.6
Ethiopia,Ethiopia,Annual Energy Exchanges: GWh,Sudan,2026,2102.4
Ethiopia,Ethiopia,Capacity: MW,Biomass,2026,196.0
Ethiopia,Ethiopia,Capacity: MW,Diesel,2026,82.0
Ethiopia,Ethiopia,Capacity: MW,Geothermal,2026,170.0
Ethiopia,Ethiopia,Capacity: MW,Onshore Wind,2026,324.0
Ethiopia,Ethiopia,Capacity: MW,PV,2026,250.0
Ethiopia,Ethiopia,Capacity: MW,ROR,2026,490.0
Ethiopia,Ethiopia,Capacity: MW,Reservoir,2026,8374.0
Ethiopia,Ethiopia,Demand: GWh,,2026,22096.0
Ethiopia,Ethiopia,Energy: GWh,Onshore Wind,2026,321.1
Ethiopia,Ethiopia,Energy: GWh,PV,2026,152.2
Ethiopia,Ethiopia,Energy: GWh,ROR,2026,904.1
Ethiopia,Ethiopia,Energy: GWh,Reservoir,2026,25420.4
Ethiopia,Ethiopia,Exports exchange: GWh,,2026,4702.0
Ethiopia,Ethiopia,Fixed O&M: $/MWh,,,9.6
Ethiopia,Ethiopia,Fixed O&M: $m,,2026,212.0
Ethiopia,Ethiopia,Generation: GWh,,2026,26797.9
Ethiopia,Ethiopia,Imports exchange: GWh,,2026,0.2
Ethiopia,Ethiopia,Investment costs: $/MWh,,,15.3
Ethiopia,Ethiopia,Investment costs: $m,,2026,337.0
Ethiopia,Ethiopia,New Capacity: MW,Biomass,2026,171.0
Ethiopia,Ethiopia,New Capacity: MW,Geothermal,2026,170.0
Ethiopia,Ethiopia,New Capacity: MW,PV,2026,250.0
Ethiopia,Ethiopia,New Capacity: MW,Reservoir,2026,3760.0
Ethiopia,Ethiopia,Spinning Reserve: GWh,,2026,3750.2
Ethiopia,Ethiopia,Total Demand: GWh,,2026,22096.0
Ethiopia,Ethiopia,Trade shared benefits: $/MWh,,,-11.5
Ethiopia,Ethiopia,Transmission Capacity: MW,Djibouti,2026,95.0
Ethiopia,Ethiopia,Transmission Capacity: MW,Kenya,2026,210.0
Ethiopia,Ethiopia,Transmission Capacity: MW,Sudan,2026,240.0
Kenya,Kenya,Annual Energy Exchanges: GWh,Tanzania,2026,7493.7
Kenya,Kenya,Annual Energy Exchanges: GWh,Uganda,2026,457.3
Kenya,Kenya,Capacity: MW,Biomass,2026,44.0
Kenya,Kenya,Capacity: MW,Diesel,2026,772.0
Kenya,Kenya,Capacity: MW,Geothermal,2026,1792.7
Kenya,Kenya,Capacity: MW,Onshore Wind,2026,426.0
Kenya,Kenya,Capacity: MW,PV,2026,170.0
Kenya,Kenya,Capacity: MW,ROR,2026,810.0
Kenya,Kenya,Capacity: MW,Solar,2026,98.0
Kenya,Kenya,Demand: GWh,,2026,14780.0
Kenya,Kenya,Energy: GWh,Biomass,2026,79.8
Kenya,Kenya,Energy: GWh,Geothermal,2026,14748.9
Kenya,Kenya,Energy: GWh,Onshore Wind,2026,2018.1
Kenya,Kenya,Energy: GWh,PV,2026,301.2
Kenya,Kenya,Energy: GWh,ROR,2026,2976.8
Kenya,Kenya,Energy: GWh,Solar,2026,858.5
Kenya,Kenya,Export revenues with internal zones: $/MWh,,,-20.3
Kenya,Kenya,Exports exchange: GWh,,2026,7951.0
Kenya,Kenya,Fixed O&M: $/MWh,,,16.7
Kenya,Kenya,Fixed O&M: $m,,2026,246.7
Kenya,Kenya,Fuel costs: $/MWh,,,0.3
Kenya,Kenya,Fuel costs: $m,,2026,5.0
Kenya,Kenya,Generation: GWh,,2026,20983.3
Kenya,Kenya,Import costs with internal zones: $/MWh,,,4.3
Kenya,Kenya,Import costs with internal zones: $m,,2026,63.6
Kenya,Kenya,Imports exchange: GWh,,2026,1839.6
Kenya,Kenya,Investment costs: $/MWh,,,10.7
Kenya,Kenya,Investment costs: $m,,2026,158.7
Kenya,Kenya,New Capacity: MW,Geothermal,2026,967.7
Kenya,Kenya,New Capacity: MW,Solar,2026,98.0
Kenya,Kenya,Price: $/MWh,,2026,35.0
Kenya,Kenya,Spinning Reserve: GWh,,2026,2095.7
Kenya,Kenya,Total Demand: GWh,,2026,14780.0
Kenya,Kenya,Trade shared benefits: $/MWh,,,-3.0
Kenya,Kenya,Transmission Capacity: MW,Ethiopia,2026,210.0
Kenya,Kenya,Transmission Capacity: MW,Tanzania,2026,1500.0
Kenya,Kenya,Transmission Capacity: MW,Uganda,2026,70.0
Kenya,Kenya,Unmet country spinning reserve costs: $/MWh,,,0.0
Kenya,Kenya,Unmet country spinning reserve costs: $m,,2026,0.3
Kenya,Kenya,Variable O&M: $/MWh,,,0.2
Kenya,Kenya,Variable O&M: $m,,2026,2.4
Libya,Libya,Annual Energy Exchanges: GWh,Egypt,2026,0.0
Libya,Libya,Capacity: MW,Gas,2026,7104.0
Libya,Libya,Capacity: MW,Onshore Wind,2026,28.0
Libya,Libya,Capacity: MW,PV,2026,15.0
Libya,Libya,Demand: GWh,,2026,43450.8
Libya,Libya,Emissions: MtCO2,,2026,17.9
Libya,Libya,Energy: GWh,Gas,2026,39000.3
Libya,Libya,Energy: GWh,Onshore Wind,2026,91.6
Libya,Libya,Energy: GWh,PV,2026,49.1
Libya,Libya,Exports exchange: GWh,,2026,0.0
Libya,Libya,Fixed O&M: $/MWh,,,1.6
Libya,Libya,Fixed O&M: $m,,2026,69.5
Libya,Libya,Fuel costs: $/MWh,,,81.7
Libya,Libya,Fuel costs: $m,,2026,3550.6
Libya,Libya,Generation: GWh,,2026,39141.0
Libya,Libya,Import costs with internal zones: $/MWh,,,12.1
Libya,Libya,Import costs with internal zones: $m,,2026,525.4
Libya,Libya,Imports exchange: GWh,,2026,1331.5
Libya,Libya,Investment costs: $/MWh,,,0.1
Libya,Libya,Investment costs: $m,,2026,3.1
Libya,Libya,Net interchange Ratio: GWh,,2026,0.0
Libya,Libya,Net interchange: GWh,,2026,1331.5
Libya,Libya,New Capacity: MW,Onshore Wind,2026,28.0
Libya,Libya,New Capacity: MW,PV,2026,15.0
Libya,Libya,Price: $/MWh,,2026,526.3
Libya,Libya,Spinning Reserve: GWh,,2026,6757.0
Libya,Libya,Total Demand: GWh,,2026,43450.8
Libya,Libya,Trade shared benefits: $/MWh,,,-4.8
Libya,Libya,Transmission Capacity: MW,Egypt,2026,180.0
Libya,Libya,Unmet country planning reserve costs: $/MWh,,,6.0
Libya,Libya,Unmet country planning reserve costs: $m,,2026,260.1
Libya,Libya,Unmet country spinning reserve costs: $/MWh,,,3.3
Libya,Libya,Unmet country spinning reserve costs: $m,,2026,141.4
Libya,Libya,Unmet demand costs: $/MWh,,,70.1
Libya,Libya,Unmet demand costs: $m,,2026,3044.9
Libya,Libya,Unmet demand: GWh,,2026,3044.9
Libya,Libya,Variable O&M: $/MWh,,,6.4
Libya,Libya,Variable O&M: $m,,2026,278.5
Rwanda,Rwanda,Annual Energy Exchanges: GWh,Uganda,2026,0.0
Rwanda,Rwanda,Capacity: MW,Diesel,2026,28.8
Rwanda,Rwanda,Capacity: MW,Methane,2026,179.8
Rwanda,Rwanda,Capacity: MW,PV,2026,62.0
Rwanda,Rwanda,Capacity: MW,Peat,2026,85.0
Rwanda,Rwanda,Capacity: MW,ROR,2026,58.4
Rwanda,Rwanda,Capacity: MW,Reservoir,2026,51.2
Rwanda,Rwanda,Demand: GWh,,2026,1966.0
Rwanda,Rwanda,Energy: GWh,Methane,2026,290.5
Rwanda,Rwanda,Energy: GWh,PV,2026,120.8
Rwanda,Rwanda,Energy: GWh,Peat,2026,64.7
Rwanda,Rwanda,Energy: GWh,ROR,2026,243.3
Rwanda,Rwanda,Energy: GWh,Reservoir,2026,190.8
Rwanda,Rwanda,Exports exchange: GWh,,2026,0.0
Rwanda,Rwanda,Fixed O&M: $/MWh,,,8.2
Rwanda,Rwanda,Fixed O&M: $m,,2026,16.2
Rwanda,Rwanda,Fuel costs: $/MWh,,,10.0
Rwanda,Rwanda,Fuel costs: $m,,2026,19.7
Rwanda,Rwanda,Generation: GWh,,2026,910.2
Rwanda,Rwanda,Import costs with internal zones: $/MWh,,,21.4
Rwanda,Rwanda,Import costs with internal zones: $m,,2026,42.1
Rwanda,Rwanda,Imports exchange: GWh,,2026,1111.4
Rwanda,Rwanda,Investment costs: $/MWh,,,5.0
Rwanda,Rwanda,Investment costs: $m,,2026,9.8
Rwanda,Rwanda,Net interchange Ratio: GWh,,2026,0.6
Rwanda,Rwanda,Net interchange: GWh,,2026,1111.4
Rwanda,Rwanda,New Capacity: MW,Methane,2026,100.0
Rwanda,Rwanda,New Capacity: MW,PV,2026,50.0
Rwanda,Rwanda,Price: $/MWh,,2026,51.0
Rwanda,Rwanda,Spinning Reserve: GWh,,2026,631.3
Rwanda,Rwanda,Spinning reserve costs: $/MWh,,,0.8
Rwanda,Rwanda,Spinning reserve costs: $m,,2026,1.6
Rwanda,Rwanda,Total Demand: GWh,,2026,1966.0
Rwanda,Rwanda,Trade shared benefits: $/MWh,,,-0.5
Rwanda,Rwanda,Transmission Capacity: MW,Uganda,2026,342.0
Rwanda,Rwanda,Variable O&M: $/MWh,,,0.8
Rwanda,Rwanda,Variable O&M: $m,,2026,1.7
Somalia,Mogadishu,Demand: GWh,,2026,136.0
Somalia,Mogadishu,Price: $/MWh,,2026,1000.0
Somalia,Mogadishu,Total Demand: GWh,,2026,136.0
Somalia,Mogadishu,Unmet country planning reserve costs: $/MWh,,,11.3
Somalia,Mogadishu,Unmet country planning reserve costs: $m,,2026,1.5
Somalia,Mogadishu,Unmet country spinning reserve costs: $/MWh,,,29.5
Somalia,Mogadishu,Unmet country spinning reserve costs: $m,,2026,4.0
Somalia,Mogadishu,Unmet demand costs: $/MWh,,,1000.0
Somalia,Mogadishu,Unmet demand costs: $m,,2026,136.0
Somalia,Mogadishu,Unmet demand: GWh,,2026,136.0
Somalia,SomaliaROC,Demand: GWh,,2026,128.0
Somalia,SomaliaROC,Price: $/MWh,,2026,1000.0
Somalia,SomaliaROC,Total Demand: GWh,,2026,128.0
Somalia,SomaliaROC,Unmet country planning reserve costs: $/MWh,,,11.3
Somalia,SomaliaROC,Unmet country planning reserve costs: $m,,2026,1.5
Somalia,SomaliaROC,Unmet country spinning reserve costs: $/MWh,,,29.5
Somalia,SomaliaROC,Unmet country spinning reserve costs: $m,,2026,3.8
Somalia,SomaliaROC,Unmet demand costs: $/MWh,,,1000.0
Somalia,SomaliaROC,Unmet demand costs: $m,,2026,128.0
Somalia,SomaliaROC,Unmet demand: GWh,,2026,128.0
Somalia,Somaliland,Demand: GWh,,2026,138.0
Somalia,Somaliland,Price: $/MWh,,2026,1000.0
Somalia,Somaliland,Total Demand: GWh,,2026,138.0
Somalia,Somaliland,Unmet country planning reserve costs: $/MWh,,,11.3
Somalia,Somaliland,Unmet country planning reserve costs: $m,,2026,1.6
Somalia,Somaliland,Unmet country spinning reserve costs: $/MWh,,,29.5
Somalia,Somaliland,Unmet country spinning reserve costs: $m,,2026,4.1
Somalia,Somaliland,Unmet demand costs: $/MWh,,,1000.0
Somalia,Somaliland,Unmet demand costs: $m,,2026,138.0
Somalia,Somaliland,Unmet demand: GWh,,2026,138.0
SouthSudan,SouthSudan,Capacity: MW,Diesel,2026,91.0
SouthSudan,SouthSudan,Demand: GWh,,2026,3377.0
SouthSudan,SouthSudan,Emissions: MtCO2,,2026,0.4
SouthSudan,SouthSudan,Energy: GWh,Diesel,2026,670.1
SouthSudan,SouthSudan,Fixed O&M: $/MWh,,,0.5
SouthSudan,SouthSudan,Fixed O&M: $m,,2026,1.8
SouthSudan,SouthSudan,Fuel costs: $/MWh,,,47.1
SouthSudan,SouthSudan,Fuel costs: $m,,2026,159.1
SouthSudan,SouthSudan,Generation: GWh,,2026,670.1
SouthSudan,SouthSudan,Import costs with internal zones: $/MWh,,,29.0
SouthSudan,SouthSudan,Import costs with internal zones: $m,,2026,97.8
SouthSudan,SouthSudan,Imports exchange: GWh,,2026,97.8
SouthSudan,SouthSudan,Net interchange Ratio: GWh,,2026,0.0
SouthSudan,SouthSudan,Net interchange: GWh,,2026,97.8
SouthSudan,SouthSudan,Price: $/MWh,,2026,1000.0
SouthSudan,SouthSudan,Spinning Reserve: GWh,,2026,105.7
SouthSudan,SouthSudan,Total Demand: GWh,,2026,3377.0
SouthSudan,SouthSudan,Trade shared benefits: $/MWh,,,-12.7
SouthSudan,SouthSudan,Transmission Capacity: MW,Sudan,2026,12.0
SouthSudan,SouthSudan,Unmet country planning reserve costs: $/MWh,,,10.5
SouthSudan,SouthSudan,Unmet country planning reserve costs: $m,,2026,35.5
SouthSudan,SouthSudan,Unmet demand costs: $/MWh,,,774.0
SouthSudan,SouthSudan,Unmet demand costs: $m,,2026,2613.9
SouthSudan,SouthSudan,Unmet demand: GWh,,2026,2613.9
SouthSudan,SouthSudan,Variable O&M: $/MWh,,,9.2
SouthSudan,SouthSudan,Variable O&M: $m,,2026,31.2
Sudan,Sudan,Annual Energy Exchanges: GWh,Egypt,2026,697.7
Sudan,Sudan,Annual Energy Exchanges: GWh,SouthSudan,2026,97.8
Sudan,Sudan,Capacity: MW,Coal,2026,500.0
Sudan,Sudan,Capacity: MW,Diesel,2026,1215.0
Sudan,Sudan,Capacity: MW,Gas,2026,212.0
Sudan,Sudan,Capacity: MW,Reservoir,2026,2082.0
Sudan,Sudan,Demand: GWh,,2026,26120.6
Sudan,Sudan,Emissions: MtCO2,,2026,8.3
Sudan,Sudan,Energy: GWh,Coal,2026,3903.3
Sudan,Sudan,Energy: GWh,Diesel,2026,4235.1
Sudan,Sudan,Energy: GWh,Gas,2026,881.2
Sudan,Sudan,Energy: GWh,Reservoir,2026,13848.3
Sudan,Sudan,Export revenues with internal zones: $/MWh,,,-1.3
Sudan,Sudan,Exports exchange: GWh,,2026,795.5
Sudan,Sudan,Fixed O&M: $/MWh,,,2.5
Sudan,Sudan,Fixed O&M: $m,,2026,64.6
Sudan,Sudan,Fuel costs: $/MWh,,,24.4
Sudan,Sudan,Fuel costs: $m,,2026,638.2
Sudan,Sudan,Generation: GWh,,2026,22867.9
Sudan,Sudan,Import costs with internal zones: $/MWh,,,32.3
Sudan,Sudan,Import costs with internal zones: $m,,2026,844.6
Sudan,Sudan,Imports exchange: GWh,,2026,3921.3
Sudan,Sudan,Investment costs: $/MWh,,,3.7
Sudan,Sudan,Investment costs: $m,,2026,95.6
Sudan,Sudan,Net interchange Ratio: GWh,,2026,0.1
Sudan,Sudan,Net interchange: GWh,,2026,3125.7
Sudan,Sudan,New Capacity: MW,Coal,2026,20.0
Sudan,Sudan,New Capacity: MW,Gas,2026,37.0
Sudan,Sudan,New Capacity: MW,Reservoir,2026,434.0
Sudan,Sudan,Price: $/MWh,,2026,248.8
Sudan,Sudan,Spinning Reserve: GWh,,2026,4807.8
Sudan,Sudan,Total Demand: GWh,,2026,26120.6
Sudan,Sudan,Trade shared benefits: $/MWh,,,-15.7
Sudan,Sudan,Transmission Capacity: MW,Egypt,2026,300.0
Sudan,Sudan,Transmission Capacity: MW,Ethiopia,2026,240.0
Sudan,Sudan,Transmission Capacity: MW,SouthSudan,2026,12.0
Sudan,Sudan,Unmet country planning reserve costs: $/MWh,,,3.9
Sudan,Sudan,Unmet country planning reserve costs: $m,,2026,102.6
Sudan,Sudan,Unmet country spinning reserve costs: $/MWh,,,4.5
Sudan,Sudan,Unmet country spinning reserve costs: $m,,2026,118.8
Sudan,Sudan,Unmet demand costs: $/MWh,,,12.4
Sudan,Sudan,Unmet demand costs: $m,,2026,323.0
Sudan,Sudan,Unmet demand: GWh,,2026,323.0
Sudan,Sudan,Variable O&M: $/MWh,,,2.3
Sudan,Sudan,Variable O&M: $m,,2026,60.3
System,System,Export revenues with internal zones: $/MWh,,,-1.8
System,System,Export revenues with internal zones: $m,,,-646.8
System,System,Fixed O&M: $/MWh,,,6.2
System,System,Fixed O&M: $m,,,2245.2
System,System,Fuel costs: $/MWh,,,49.6
System,System,Fuel costs: $m,,,17955.4
System,System,Import costs with internal zones: $/MWh,,,5.6
System,System,Import costs with internal zones: $m,,,2034.4
System,System,Investment costs: $/MWh,,,2.8
System,System,Investment costs: $m,,,999.2
System,System,NPV of system cost: $/MWh,,,83.3
System,System,NPV of system cost: $m,,,30139.4
System,System,Spinning reserve costs: $m,,,1.6
System,System,Trade shared benefits: $/MWh,,,-3.8
System,System,Trade shared benefits: $m,,,-1387.7
System,System,Unmet country planning reserve costs: $/MWh,,,1.1
System,System,Unmet country planning reserve costs: $m,,,413.7
System,System,Unmet country spinning reserve costs: $/MWh,,,0.8
System,System,Unmet country spinning reserve costs: $m,,,279.4
System,System,Unmet demand costs: $/MWh,,,20.0
System,System,Unmet demand costs: $m,,,7249.0
System,System,Variable O&M: $/MWh,,,2.8
System,System,Variable O&M: $m,,,995.8
Tanzania,Tanzania,Annual Energy Exchanges: GWh,Uganda,2026,403.3
Tanzania,Tanzania,Capacity: MW,Biomass,2026,11.0
Tanzania,Tanzania,Capacity: MW,Diesel,2026,130.0
Tanzania,Tanzania,Capacity: MW,Gas,2026,1200.0
Tanzania,Tanzania,Capacity: MW,Onshore Wind,2026,360.5
Tanzania,Tanzania,Capacity: MW,PV,2026,105.0
Tanzania,Tanzania,Capacity: MW,ROR,2026,309.0
Tanzania,Tanzania,Capacity: MW,Reservoir,2026,1902.2
Tanzania,Tanzania,Demand: GWh,,2026,17003.0
Tanzania,Tanzania,Emissions: MtCO2,,2026,0.3
Tanzania,Tanzania,Energy: GWh,Biomass,2026,61.5
Tanzania,Tanzania,Energy: GWh,Gas,2026,623.3
Tanzania,Tanzania,Energy: GWh,Onshore Wind,2026,1280.8
Tanzania,Tanzania,Energy: GWh,PV,2026,220.8
Tanzania,Tanzania,Energy: GWh,ROR,2026,1170.9
Tanzania,Tanzania,Energy: GWh,Reservoir,2026,6833.6
Tanzania,Tanzania,Export revenues with internal zones: $/MWh,,,-0.2
Tanzania,Tanzania,Exports exchange: GWh,,2026,403.3
Tanzania,Tanzania,Fixed O&M: $/MWh,,,2.0
Tanzania,Tanzania,Fixed O&M: $m,,2026,34.1
Tanzania,Tanzania,Fuel costs: $/MWh,,,3.1
Tanzania,Tanzania,Fuel costs: $m,,2026,52.5
Tanzania,Tanzania,Generation: GWh,,2026,10191.0
Tanzania,Tanzania,Import costs with internal zones: $/MWh,,,18.9
Tanzania,Tanzania,Import costs with internal zones: $m,,2026,321.5
Tanzania,Tanzania,Imports exchange: GWh,,2026,7595.1
Tanzania,Tanzania,Investment costs: $/MWh,,,5.5
Tanzania,Tanzania,Investment costs: $m,,2026,93.6
Tanzania,Tanzania,Net interchange Ratio: GWh,,2026,0.4
Tanzania,Tanzania,Net interchange: GWh,,2026,7191.7
Tanzania,Tanzania,New Capacity: MW,Onshore Wind,2026,358.5
Tanzania,Tanzania,New Capacity: MW,PV,2026,98.0
Tanzania,Tanzania,New Capacity: MW,Reservoir,2026,670.2
Tanzania,Tanzania,Price: $/MWh,,2026,38.2
Tanzania,Tanzania,Spinning Reserve: GWh,,2026,3426.5
Tanzania,Tanzania,Total Demand: GWh,,2026,17003.0
Tanzania,Tanzania,Trade shared benefits: $/MWh,,,-0.7
Tanzania,Tanzania,Transmission Capacity: MW,Kenya,2026,1500.0
Tanzania,Tanzania,Transmission Capacity: MW,Uganda,2026,70.0
Tanzania,Tanzania,Variable O&M: $/MWh,,,0.4
Tanzania,Tanzania,Variable O&M: $m,,2026,6.3
Uganda,Uganda,Annual Energy Exchanges: GWh,Rwanda,2026,1111.4
Uganda,Uganda,Annual Energy Exchanges: GWh,Tanzania,2026,101.4
Uganda,Uganda,Capacity: MW,Biomass,2026,149.4
Uganda,Uganda,Capacity: MW,Diesel,2026,100.0
Uganda,Uganda,Capacity: MW,PV,2026,95.7
Uganda,Uganda,Capacity: MW,ROR,2026,1342.1
Uganda,Uganda,Capacity: MW,Reservoir,2026,380.0
Uganda,Uganda,Demand: GWh,,2026,7076.0
Uganda,Uganda,Energy: GWh,Biomass,2026,472.3
Uganda,Uganda,Energy: GWh,PV,2026,208.6
Uganda,Uganda,Energy: GWh,ROR,2026,5658.3
Uganda,Uganda,Energy: GWh,Reservoir,2026,1131.9
Uganda,Uganda,Export revenues with internal zones: $/MWh,,,-7.1
Uganda,Uganda,Exports exchange: GWh,,2026,1212.8
