Variable,country,zone,generator,fuel,year,TEST
Capacity: MW,Egypt,Egypt,EL-Basateen_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,East-Cario_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,El-Atf_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,El-Masaeed_GT,Gas,2026,30.0
Capacity: MW,Egypt,Egypt,El-Tibeen_ST,Gas,2026,700.0
Capacity: MW,Egypt,Egypt,Engie-Orasco-Toyota_WI,Onshore Wind,2026,500.0
Capacity: MW,Egypt,Egypt,Esna_HY,ROR,2026,86.0
Capacity: MW,Egypt,Egypt,Gabal-El-Zeit_WI,Onshore Wind,2026,580.0
Capacity: MW,Egypt,Egypt,Gerga_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,Giza-1_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Giza-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Giza-3_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Heliopoles_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,High-Dam_HY,Reservoir,2026,2100.0
Capacity: MW,Egypt,Egypt,Hurgha-da-Ext_GT,Gas,2026,288.0
Capacity: MW,Egypt,Egypt,Kom-Ombo_PV,PV,2026,22.0
Capacity: MW,Egypt,Egypt,Kuriemat-1_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Kuriemat-1_ST,Gas,2026,627.0
Capacity: MW,Egypt,Egypt,Kuriemat-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Kuriemat-2_ST,Gas,2026,627.0
Capacity: MW,Egypt,Egypt,Kuriemat_CSP,Solar,2026,20.0
Capacity: MW,Egypt,Egypt,Masdar_WI,Onshore Wind,2026,200.0
Capacity: MW,Egypt,Egypt,Naga-Hamadi_HY,ROR,2026,64.0
Capacity: MW,Egypt,Egypt,New-Assiut_GT,Gas,2026,100.0
Capacity: MW,Egypt,Egypt,New-Capital-1_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,New-Capital-2_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,New-Capital-3_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,New-Capital-4_CCGT,Gas,2026,1200.0
Capacity: MW,Egypt,Egypt,New-Gas-Damietta_GT,Gas,2026,500.0
Capacity: MW,Egypt,Egypt,New-Mahmoudeya_GT,Gas,2026,336.0
Capacity: MW,Egypt,Egypt,New-Shabab-1_CCGT,Gas,2026,500.0
Capacity: MW,Egypt,Egypt,New-Shabab-2_CCGT,Gas,2026,500.0
Capacity: MW,Egypt,Egypt,New-Shabab-3_CCGT,Gas,2026,500.0
Capacity: MW,Egypt,Egypt,Nubaria-1_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Nubaria-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Nubaria-3_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Oyon-Mousa_ST,Gas,2026,640.0
Capacity: MW,Egypt,Egypt,Port-Said-East_ST,Gas,2026,683.0
Capacity: MW,Egypt,Egypt,Port-Said_GT,Diesel,2026,84.0
Capacity: MW,Egypt,Egypt,Ras-Gharib_WI,Onshore Wind,2026,250.0
Capacity: MW,Egypt,Egypt,Red-Assiut_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,Samalout_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,Sharm-El-Sheikh-Ext_GT,Diesel,2026,288.0
Capacity: MW,Egypt,Egypt,Sharm-El-Sheikh_GT,Gas,2026,39.0
Capacity: MW,Egypt,Egypt,Sidi-Kirir-1-2_ST,Gas,2026,640.0
Capacity: MW,Egypt,Egypt,Sidi-Kirir-3-4_ST,Gas,2026,682.0
Capacity: MW,Egypt,Egypt,Sidi-Kirir_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Siemens-Gamesa_WI,Onshore Wind,2026,500.0
Capacity: MW,Egypt,Egypt,South-Helwan-1_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,South-Helwan-2_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,South-Helwan-3_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Suez-Gulf_ST,Gas,2026,683.0
Capacity: MW,Egypt,Egypt,Suez_ST,Gas,2026,650.0
Capacity: MW,Egypt,Egypt,Talkha-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,Walideya_ST,Diesel,2026,600.0
Capacity: MW,Egypt,Egypt,West-Assiut-1_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,West-Assiut-2_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,West-Damietta-Ext_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,West-Damietta_CCGT,Gas,2026,750.0
Capacity: MW,Egypt,Egypt,West-Malawy_GT,Gas,2026,50.0
Capacity: MW,Egypt,Egypt,Zafarana_WI,Onshore Wind,2026,542.0
Capacity: MW,Ethiopia,Ethiopia,Aba_Samuel,ROR,2026,6.0
Capacity: MW,Ethiopia,Ethiopia,Adama_I,Onshore Wind,2026,51.0
Capacity: MW,Ethiopia,Ethiopia,Adama_II,Onshore Wind,2026,153.0
Capacity: MW,Ethiopia,Ethiopia,Addis_Ababa_EFW,Biomass,2026,25.0
Capacity: MW,Ethiopia,Ethiopia,Aluto_Langano_II,Geothermal,2026,70.0
Capacity: MW,Ethiopia,Ethiopia,Ashegoda,Onshore Wind,2026,120.0
Capacity: MW,Ethiopia,Ethiopia,Awash7,Diesel,2026,30.0
Capacity: MW,Ethiopia,Ethiopia,Awash_II,ROR,2026,32.0
Capacity: MW,Ethiopia,Ethiopia,Awash_III,ROR,2026,32.0
Capacity: MW,Ethiopia,Ethiopia,Beles,Biomass,2026,60.0
Capacity: MW,Ethiopia,Ethiopia,Beles_HEP,Reservoir,2026,460.0
Capacity: MW,Ethiopia,Ethiopia,Corbetti_I,Geothermal,2026,50.0
Capacity: MW,Ethiopia,Ethiopia,Dicheto_solar,PV,2026,125.0
Capacity: MW,Ethiopia,Ethiopia,Dire_Dawa,Diesel,2026,38.0
Capacity: MW,Ethiopia,Ethiopia,GERD_1_HEP,Reservoir,2026,250.0
Capacity: MW,Ethiopia,Ethiopia,GERD_2_HEP,Reservoir,2026,500.0
Capacity: MW,Ethiopia,Ethiopia,GERD_3_HEP,Reservoir,2026,1600.0
Capacity: MW,Ethiopia,Ethiopia,GERD_3a_HEP,Reservoir,2026,400.0
Capacity: MW,Ethiopia,Ethiopia,Gad-I_solar,PV,2026,125.0
Capacity: MW,Ethiopia,Ethiopia,Genale_Dawa_III,Reservoir,2026,254.0
Capacity: MW,Ethiopia,Ethiopia,Gibe_I,Reservoir,2026,210.0
Capacity: MW,Ethiopia,Ethiopia,Gibe_II,ROR,2026,420.0
Capacity: MW,Ethiopia,Ethiopia,Gibe_III,Reservoir,2026,1870.0
Capacity: MW,Ethiopia,Ethiopia,Kality,Diesel,2026,14.0
Capacity: MW,Ethiopia,Ethiopia,Koka_HEP,Reservoir,2026,43.0
Capacity: MW,Ethiopia,Ethiopia,Koysha_(Gibe_IV),Reservoir,2026,2160.0
Capacity: MW,Ethiopia,Ethiopia,Maleka_Wakana_HEP,Reservoir,2026,153.0
Capacity: MW,Ethiopia,Ethiopia,Neshe,Reservoir,2026,97.0
Capacity: MW,Ethiopia,Ethiopia,Omo_Kuraz_BIO,Biomass,2026,111.0
Capacity: MW,Ethiopia,Ethiopia,Sor_1_HEP,Reservoir,2026,5.0
Capacity: MW,Ethiopia,Ethiopia,Tekeze_I,Reservoir,2026,300.0
Capacity: MW,Ethiopia,Ethiopia,Tis_Abey_ll,Reservoir,2026,72.0
Capacity: MW,Ethiopia,Ethiopia,Tulu_Moye_I,Geothermal,2026,50.0
Capacity: MW,Kenya,Kenya,Alten_Kesses_1_Kenya_Ltd,PV,2026,40.0
Capacity: MW,Kenya,Kenya,Baringo_Silali__-_Korosi_I,Geothermal,2026,100.0
Capacity: MW,Kenya,Kenya,Baringo_Silali__-_Paka_I,Geothermal,2026,100.0
Capacity: MW,Kenya,Kenya,Eldosol-Cedate,PV,2026,40.0
Capacity: MW,Kenya,Kenya,ExistingSmallHydro,ROR,2026,24.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2021,Solar,2026,42.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2022,Solar,2026,15.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2023,Solar,2026,12.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2024,Solar,2026,10.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2025,Solar,2026,13.0
Capacity: MW,Kenya,Kenya,Generic_Rooftop_2026,Solar,2026,6.0
Capacity: MW,Kenya,Kenya,Gitaru,ROR,2026,216.0
Capacity: MW,Kenya,Kenya,Gulf_Energy_,Diesel,2026,80.0
Capacity: MW,Kenya,Kenya,Iberafrica_I_&II,Diesel,2026,127.0
Capacity: MW,Kenya,Kenya,Kamburu,ROR,2026,90.0
Capacity: MW,Kenya,Kenya,Kiambere,ROR,2026,164.0
Capacity: MW,Kenya,Kenya,Kindaruma,ROR,2026,71.0
Capacity: MW,Kenya,Kenya,Kipeto_Wind_-_I,Onshore Wind,2026,100.0
Capacity: MW,Kenya,Kenya,Kipevu_III_Diesel,Diesel,2026,115.0
Capacity: MW,Kenya,Kenya,Kipevu_I_Diesel,Diesel,2026,60.0
Capacity: MW,Kenya,Kenya,Kwale_Co-Generation_TAnaBiomass,Biomass,2026,18.0
Capacity: MW,Kenya,Kenya,Lake_Turkana_Wind_Power,Onshore Wind,2026,300.0
Capacity: MW,Kenya,Kenya,Malindi_Solar-_Vateki,PV,2026,40.0
Capacity: MW,Kenya,Kenya,Masinga,ROR,2026,40.0
Capacity: MW,Kenya,Kenya,Menengai_I_Quantum,Geothermal,2026,26.67
Capacity: MW,Kenya,Kenya,Menengai_I_Sosian,Geothermal,2026,35.0
Capacity: MW,Kenya,Kenya,Muhoroni,Diesel,2026,56.0
Capacity: MW,Kenya,Kenya,Mumias_(Biomass),Biomass,2026,26.0
Capacity: MW,Kenya,Kenya,Ngong_Hills_Wind,Onshore Wind,2026,26.0
Capacity: MW,Kenya,Kenya,Olkaria_1_B_(Rehabilitated),Geothermal,2026,63.0
Capacity: MW,Kenya,Kenya,Olkaria_1_Unit_6,Geothermal,2026,83.0
Capacity: MW,Kenya,Kenya,Olkaria_7,Geothermal,2026,140.0
Capacity: MW,Kenya,Kenya,Olkaria_8,Geothermal,2026,140.0
Capacity: MW,Kenya,Kenya,Olkaria_Brine,Geothermal,2026,100.0
Capacity: MW,Kenya,Kenya,Olkaria_II,Geothermal,2026,101.0
Capacity: MW,Kenya,Kenya,Olkaria_IV,Geothermal,2026,140.0
Capacity: MW,Kenya,Kenya,Olkaria_I_,Geothermal,2026,44.0
Capacity: MW,Kenya,Kenya,Olkaria_I_units_4_&_5,Geothermal,2026,140.0
Capacity: MW,Kenya,Kenya,Olkaria_Mobile_Wellheads___Eburru,Geothermal,2026,91.0
Capacity: MW,Kenya,Kenya,Olkaria_Topping,Geothermal,2026,40.0
Capacity: MW,Kenya,Kenya,Olkaria_VI,Geothermal,2026,140.0
Capacity: MW,Kenya,Kenya,Olkaria_V_,Geothermal,2026,158.0
Capacity: MW,Kenya,Kenya,Orpower_4_(I),Geothermal,2026,64.0
Capacity: MW,Kenya,Kenya,Orpower_4_(II),Geothermal,2026,40.0
Capacity: MW,Kenya,Kenya,Orpower_4_(III),Geothermal,2026,18.0
Capacity: MW,Kenya,Kenya,Orpower_4_(IV),Geothermal,2026,29.0
Capacity: MW,Kenya,Kenya,REA_Garissa_Solar,PV,2026,50.0
Capacity: MW,Kenya,Kenya,Rabai_Power,Diesel,2026,90.0
Capacity: MW,Kenya,Kenya,Sangoro,ROR,2026,20.0
Capacity: MW,Kenya,Kenya,Sondu,ROR,2026,60.0
Capacity: MW,Kenya,Kenya,Tana,ROR,2026,20.0
Capacity: MW,Kenya,Kenya,Thika_Power,Diesel,2026,87.0
Capacity: MW,Kenya,Kenya,Triumph_Diesel,Diesel,2026,83.0
Capacity: MW,Kenya,Kenya,Tsavo,Diesel,2026,74.0
Capacity: MW,Kenya,Kenya,Turkwel,ROR,2026,105.0
Capacity: MW,Libya,Libya,CC_EX_GAS_ALC_07_LIB,Gas,2026,1215.0
Capacity: MW,Libya,Libya,CC_EX_GAS_ALC_10_LIB,Gas,2026,710.0
Capacity: MW,Libya,Libya,CC_EX_GAS_ALC_11_LIB,Gas,2026,920.0
Capacity: MW,Libya,Libya,CC_EX_GAS_ALC_15_LIB,Gas,2026,410.0
Capacity: MW,Libya,Libya,GT_EX_GAS_ALC_10_LIB,Gas,2026,1370.0
Capacity: MW,Libya,Libya,GT_EX_GAS_ALC_15_LIB,Gas,2026,231.0
Capacity: MW,Libya,Libya,GT_EX_GAS_ALC_16_LIB,Gas,2026,1512.0
Capacity: MW,Libya,Libya,GT_EX_GAS_ALC_17_LIB,Gas,2026,736.0
Capacity: MW,Libya,Libya,PV_CM_SPV_ALC_19_LIB,PV,2026,15.0
Capacity: MW,Libya,Libya,WI_CM_WND_ALC_18_LIB,Onshore Wind,2026,28.0
Capacity: MW,Rwanda,Rwanda,Agatobwe,ROR,2026,0.39
Capacity: MW,Rwanda,Rwanda,Cyimbili,ROR,2026,0.3
Capacity: MW,Rwanda,Rwanda,Gaseke,ROR,2026,0.5
Capacity: MW,Rwanda,Rwanda,Gashashi,ROR,2026,0.28
Capacity: MW,Rwanda,Rwanda,Giciye_I,ROR,2026,4.0
Capacity: MW,Rwanda,Rwanda,Giciye_II,ROR,2026,4.0
Capacity: MW,Rwanda,Rwanda,Giciye_III,ROR,2026,9.8
Capacity: MW,Rwanda,Rwanda,GigaWatt,PV,2026,8.5
Capacity: MW,Rwanda,Rwanda,Gihira,ROR,2026,1.8
Capacity: MW,Rwanda,Rwanda,Gisenyi,ROR,2026,1.7
Capacity: MW,Rwanda,Rwanda,Gishoma,Peat,2026,15.0
Capacity: MW,Rwanda,Rwanda,Hakan,Peat,2026,70.0
Capacity: MW,Rwanda,Rwanda,Jabana_1,Diesel,2026,7.8
Capacity: MW,Rwanda,Rwanda,Jabana_2,Diesel,2026,21.0
Capacity: MW,Rwanda,Rwanda,Jali,PV,2026,0.25
Capacity: MW,Rwanda,Rwanda,Janja,ROR,2026,0.2
Capacity: MW,Rwanda,Rwanda,KP1,Methane,2026,3.6
Capacity: MW,Rwanda,Rwanda,Kavumu-Mwange,ROR,2026,0.33
Capacity: MW,Rwanda,Rwanda,Keya,ROR,2026,2.2
Capacity: MW,Rwanda,Rwanda,Kigasa,ROR,2026,0.27
Capacity: MW,Rwanda,Rwanda,Kivuwatt_Phase_I,Methane,2026,26.19
Capacity: MW,Rwanda,Rwanda,Mazimeru,ROR,2026,0.5
Capacity: MW,Rwanda,Rwanda,Methane_generic,Methane,2026,100.0
Capacity: MW,Rwanda,Rwanda,Mukungu_MHPP,ROR,2026,0.02
Capacity: MW,Rwanda,Rwanda,Mukungwa_I,Reservoir,2026,12.0
Capacity: MW,Rwanda,Rwanda,Mukungwa_II,ROR,2026,3.6
Capacity: MW,Rwanda,Rwanda,Murunda,ROR,2026,0.1
Capacity: MW,Rwanda,Rwanda,Musarara,ROR,2026,0.4
Capacity: MW,Rwanda,Rwanda,Mutobo,ROR,2026,0.2
Capacity: MW,Rwanda,Rwanda,Nasho_Solar,PV,2026,3.3
Capacity: MW,Rwanda,Rwanda,Nkora,ROR,2026,0.68
Capacity: MW,Rwanda,Rwanda,Nshili_I,ROR,2026,0.4
Capacity: MW,Rwanda,Rwanda,Ntaruka,Reservoir,2026,11.25
Capacity: MW,Rwanda,Rwanda,Ntaruka_A,ROR,2026,2.0
Capacity: MW,Rwanda,Rwanda,Nyabahanga_I,ROR,2026,0.2
Capacity: MW,Rwanda,Rwanda,Nyabarongo_I,Reservoir,2026,28.0
Capacity: MW,Rwanda,Rwanda,Nyamyotsi_I,ROR,2026,0.1
Capacity: MW,Rwanda,Rwanda,Nyamyotsi_II,ROR,2026,0.1
Capacity: MW,Rwanda,Rwanda,Nyirabuhombohombo,ROR,2026,0.65
Capacity: MW,Rwanda,Rwanda,Nyirantaruko,ROR,2026,1.84
Capacity: MW,Rwanda,Rwanda,PV_generic,PV,2026,50.0
Capacity: MW,Rwanda,Rwanda,Rubagabaga,ROR,2026,0.45
Capacity: MW,Rwanda,Rwanda,Rugezi,ROR,2026,2.6
Capacity: MW,Rwanda,Rwanda,Rukarara_I,ROR,2026,9.0
Capacity: MW,Rwanda,Rwanda,Rukarara_II,ROR,2026,2.2
Capacity: MW,Rwanda,Rwanda,Rukarara_V_Mushishito,ROR,2026,5.0
Capacity: MW,Rwanda,Rwanda,Rwaza_Muko,ROR,2026,2.6
Capacity: MW,Rwanda,Rwanda,SPLK,Methane,2026,50.0
Capacity: MW,SouthSudan,SouthSudan,Bor,Diesel,2026,2.0
Capacity: MW,SouthSudan,SouthSudan,Juba,Diesel,2026,75.0
Capacity: MW,SouthSudan,SouthSudan,Kapoeta,Diesel,2026,1.0
Capacity: MW,SouthSudan,SouthSudan,Malakal,Diesel,2026,5.0
Capacity: MW,SouthSudan,SouthSudan,Maridi,Diesel,2026,1.0
Capacity: MW,SouthSudan,SouthSudan,Rumbek,Diesel,2026,2.0
Capacity: MW,SouthSudan,SouthSudan,Wau,Diesel,2026,2.0
Capacity: MW,SouthSudan,SouthSudan,Yambio,Diesel,2026,2.0
Capacity: MW,SouthSudan,SouthSudan,Yei,Diesel,2026,1.0
Capacity: MW,Sudan,Sudan,CC_LF_03_SUD,Diesel,2026,458.0
Capacity: MW,Sudan,Sudan,DG_DS_20_SUD,Gas,2026,37.0
Capacity: MW,Sudan,Sudan,DG_HF_04_SUD,Diesel,2026,332.0
Capacity: MW,Sudan,Sudan,DG_HF_10_SUD,Diesel,2026,105.0
Capacity: MW,Sudan,Sudan,GT_DS_16_SUD,Gas,2026,175.0
Capacity: MW,Sudan,Sudan,HYD_STOHY_16_SUD,Reservoir,2026,335.0
Capacity: MW,Sudan,Sudan,HYD_STOHY_25_SUD,Reservoir,2026,434.0
Capacity: MW,Sudan,Sudan,HYD_STOHY_79_SUD,Reservoir,2026,313.0
Capacity: MW,Sudan,Sudan,HYD_STOHY_Nile_09_SUD,Reservoir,2026,1000.0
Capacity: MW,Sudan,Sudan,SC_CO_09_SUD,Coal,2026,480.0
Capacity: MW,Sudan,Sudan,SC_CO_25_SUD,Coal,2026,20.0
Capacity: MW,Sudan,Sudan,ST_HF_15_SUD,Diesel,2026,320.0
Capacity: MW,Tanzania,Tanzania,Diesel_TZA,Diesel,2026,60.0
Capacity: MW,Tanzania,Tanzania,FuelOil_TZA,Diesel,2026,70.0
Capacity: MW,Tanzania,Tanzania,Hale,ROR,2026,21.0
Capacity: MW,Tanzania,Tanzania,JNHPP_1,Reservoir,2026,940.0
Capacity: MW,Tanzania,Tanzania,JNHPP_2,Reservoir,2026,655.22
Capacity: MW,Tanzania,Tanzania,Kidatu,Reservoir,2026,204.0
Capacity: MW,Tanzania,Tanzania,Kihansi,ROR,2026,180.0
Capacity: MW,Tanzania,Tanzania,Kinyerezi_I,Gas,2026,150.0
Capacity: MW,Tanzania,Tanzania,Kinyerezi_II,Gas,2026,248.0
Capacity: MW,Tanzania,Tanzania,Kinyerezi_I_Ext,Gas,2026,185.0
Capacity: MW,Tanzania,Tanzania,Kishapu_II,PV,2026,50.0
Capacity: MW,Tanzania,Tanzania,Mtera,Reservoir,2026,80.0
Capacity: MW,Tanzania,Tanzania,Mtwara,Gas,2026,31.0
Capacity: MW,Tanzania,Tanzania,New_OnshoreWind_TZA,Onshore Wind,2026,208.45
Capacity: MW,Tanzania,Tanzania,New_Pangani_Falls,ROR,2026,68.0
Capacity: MW,Tanzania,Tanzania,Nyumba_Ya_Mungu,Reservoir,2026,8.0
Capacity: MW,Tanzania,Tanzania,SingidaWind2_REN_TZA,Onshore Wind,2026,75.0
Capacity: MW,Tanzania,Tanzania,Singida_II,Onshore Wind,2026,75.0
Capacity: MW,Tanzania,Tanzania,SmallHydro_2026,Reservoir,2026,15.0
Capacity: MW,Tanzania,Tanzania,SmallHydro_TZA,ROR,2026,40.0
Capacity: MW,Tanzania,Tanzania,SmallPV_2026,PV,2026,48.0
Capacity: MW,Tanzania,Tanzania,Small_PV,PV,2026,7.0
Capacity: MW,Tanzania,Tanzania,Small_Wind,Onshore Wind,2026,2.0
Capacity: MW,Tanzania,Tanzania,Somanga,Gas,2026,8.0
Capacity: MW,Tanzania,Tanzania,Songas,Gas,2026,189.0
Capacity: MW,Tanzania,Tanzania,TPC_Bio,Biomass,2026,9.0
Capacity: MW,Tanzania,Tanzania,Tanwat_Bio,Biomass,2026,2.0
Capacity: MW,Tanzania,Tanzania,Tegeta,Gas,2026,45.0
Capacity: MW,Tanzania,Tanzania,Ubongo_I,Gas,2026,102.0
Capacity: MW,Tanzania,Tanzania,Ubungo_II,Gas,2026,129.0
Capacity: MW,Tanzania,Tanzania,Ubungo_III,Gas,2026,113.0
Capacity: MW,Uganda,Uganda,Access_Uganda_Solar_Limited,PV,2026,10.0
Capacity: MW,Uganda,Uganda,Achwa1_HPP,ROR,2026,46.2
