z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,,,
Angola_South,Energy,963.4204771,994.9447115,1024.849124,1058.304685,1084.346443,1116.119882,1148.516328,1180.476669,1214.555238,1249.56832,1285.391314,1322.709529,1360.915109,1400.224232,1440.668772,1482.281526,1525.096236,1569.147621,1614.4714,1661.104327,1709.084214,1758.449969,1809.24162,1861.500354,1915.268547,1970.589798,2027.508966,2086.072206,2146.327007,2208.322227,2272.108138,2337.736462,,,
Tanzania,Energy,11592.56034,12153.14517,12714.70771,13326.08802,13861.48677,14482.72189,15125.09559,15777.2005,16472.8972,17195.30646,17946.53118,18734.00833,19562.52506,20427.68318,21331.10316,22274.47714,23259.57209,24288.23315,25362.38702,26484.04565,27655.30995,28878.37373,30155.52785,31489.16447,32881.78154,34335.98748,35854.50609,37440.18161,39095.98406,40825.01485,42630.5125,44515.85878,,,
DRC,Energy,6849.151164,7123.117211,7408.041899,7704.363575,8012.538118,8333.039643,8666.361228,9013.015678,9373.536305,9748.477757,10138.41687,10543.95354,10965.71168,11404.34015,11860.51375,12334.9343,12828.33168,13341.46494,13875.12354,14430.12848,15007.33362,15607.62696,16231.93204,16881.20932,17556.4577,18258.716,18989.06464,19748.62722,20538.57231,21360.11521,22214.51981,23103.1006,,,
Malawi,Energy,2437.048989,2526.620253,2620.695451,2722.29503,2803.134155,2901.873789,3002.150833,3101.68922,3208.113661,3317.213994,3429.418469,3546.183594,3668.456221,3794.944816,3925.794745,4061.156387,4201.185307,4346.042433,4495.894242,4650.912949,4811.276712,4977.169827,5148.782946,5326.313296,5509.964904,5699.94883,5896.483414,6099.794522,6310.11581,6527.688988,6752.764103,6985.599821,,,
DRC_South,Energy,11315,11775.6481,12231.0014,12729.77211,13152.29761,13646.83248,14154.07487,14662.37623,15203.50538,15761.57791,16337.65278,16937.0248,17563.95654,18214.09445,18888.29751,19587.45651,20312.4952,21064.37153,21844.0789,22652.6475,23491.14564,24360.68118,25262.40296,26197.5024,27167.21497,28172.82189,29215.65182,30297.08257,31418.54299,32581.51477,33787.53448,35038.19557,,,
Mozambique_Central,Peak,286.7823877,297.5032246,308.2240616,318.9448985,332.3459447,345.8039616,359.7340578,373.8224148,388.7678363,404.244194,420.2727267,437.005098,454.136058,471.9385658,490.4389468,509.6645578,529.6438285,550.4063033,571.9826842,594.4048769,617.706038,641.9206241,667.0844416,693.2347017,720.4100735,748.6507423,777.9984685,808.4966498,840.190385,873.1265408,907.353821,942.9228388,,,
Mozambique_South,Peak,521.5428124,541.03974,560.5366676,580.0335952,604.4047547,628.8795213,654.2128117,679.8339157,707.013678,735.1590017,764.3085114,794.738023,825.8924085,858.2680717,891.912888,926.8766083,963.2109354,1000.969598,1040.208432,1080.98546,1123.360981,1167.397658,1213.160608,1260.717504,1310.138669,1361.497185,1414.868997,1470.333028,1527.971295,1587.869029,1650.114804,1714.800665,,,
Mozambique_North,Peak,328.2676399,340.5393273,352.8110148,365.0827023,380.4223117,395.8271331,411.7723235,427.8986685,445.0060587,462.7211893,481.068371,500.221207,519.8302905,540.2080665,561.3846682,583.3914099,606.2608341,630.0267586,654.724327,680.3900603,707.0619114,734.7793214,763.5832765,793.5163704,824.6228663,856.9487625,890.5418603,925.4518354,961.7303103,999.4309313,1038.609448,1079.323794,,,
Mozal,Peak,950,950,950,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,,,
Mozambique_Central,Energy,1878.944846,1961.917065,2042.583109,2131.759389,2210.032253,2299.52394,2392.162602,2485.84972,2585.236588,2688.155715,2794.745951,2906.017086,3022.455501,3143.559371,3269.51564,3400.518728,3536.770852,3678.482335,3825.871918,3979.167111,4138.604545,4304.430323,4476.900416,4656.281049,4842.84911,5036.892588,5238.711009,5448.615899,5666.931267,5893.994104,6130.154904,6375.778205,,,
Mozambique_South,Energy,4156.307162,4339.845296,4518.282069,4715.543853,4888.686808,5086.646287,5291.567008,5498.806961,5718.655005,5946.316559,6182.098768,6428.235324,6685.802128,6953.689119,7232.309826,7522.094317,7823.489901,8136.961821,8462.993947,8802.089535,9154.772027,9521.58581,9903.097105,10299.89481,10712.59143,11141.82398,11588.25505,12052.57373,12535.49676,13037.76956,13560.16745,14103.49681,,,
Mozambique_North,Energy,1166.381725,1217.88791,1267.962503,1323.319947,1371.90894,1427.462177,1484.968943,1543.126554,1604.822365,1668.710876,1734.878281,1803.95142,1876.232221,1951.40917,2029.598314,2110.920344,2195.500787,2283.470204,2374.964384,2470.124554,2569.097608,2672.036317,2779.099579,2890.452657,3006.267434,3126.722681,3252.004335,3382.30578,3517.828148,3658.780632,3805.380806,3957.854962,,,
Mozal,Energy,8322,8322,8322,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,,,
