z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Zambia,Energy,13925,14268.80164,14621.09157,14982.07938,15351.9798,15731.0129,16119.40413,16517.38457,16925.19095,17343.06587,17771.25793,18210.02185,18659.61864,19120.31577,19592.38728,20076.11402,20571.78374,21079.69131,21600.13888,22133.43605,22679.90007,23239.85604,23813.63704,24401.58443,25004.04796,25621.38603,26253.96589
Angola,Energy,16110.71032,16500.47724,16899.6738,17308.52814,17727.2739,18156.15039,18595.40271,19045.28187,19506.04496,19977.95532,20461.28262,20956.30307,21463.29956,21982.56184,22514.38665,23059.07791,23616.9469,24188.31244,24773.50104,25372.84712,25986.69321,26615.39009,27259.29705,27918.78208,28594.22205,29286.00295,29994.52014
Tanzania,Energy,11592.56034,12021.32954,12465.95746,12927.03064,13405.15734,13900.96831,14415.11764,14948.2836,15501.16954,16074.50485,16669.04587,17285.57693,17924.91137,18587.8926,19275.39525,19988.32627,20727.62618,21494.27026,22289.26989,23113.67383,23968.56967,24855.08518,25774.38987,26727.6965,27716.26268,28741.39255,29804.43848
DRC,Energy,6849.151164,7077.456203,7313.371409,7557.150456,7809.055471,8069.35732,8338.335897,8616.280427,8903.489774,9200.272766,9506.948525,9823.846809,10151.30837,10489.68531,10839.34149,11200.65287,11574.00797,11959.80824,12358.46851,12770.41746,13196.09804,13635.96798,14090.50024,14560.18358,15045.52303,15547.04047,16065.27515
Malawi,Energy,2437.048989,2507.251084,2579.475434,2653.780292,2730.22559,2808.872986,2889.785913,2973.029634,3058.671289,3146.779954,3237.426693,3330.68462,3426.628952,3525.337075,3626.888603,3731.365444,3838.851864,3949.434558,4063.202718,4180.248106,4300.665125,4424.550899,4552.005351,4683.13128,4818.034447,4956.82366,5099.610862
DRC_South,Energy,11315,11665.36297,12026.57473,12398.97123,12782.89879,13178.71446,13586.78636,14007.49398,14441.22859,14888.39356,15349.40476,15824.69093,16314.69408,16819.86991,17340.68825,17877.63345,18431.20488,19001.91735,19590.30162,20196.90491,20822.29134,21467.04253,22131.7581,22817.05624,23523.57426,24251.96925,25002.91859
Mozambique_Central,Energy,1878.944846,1941.928779,2007.023991,2074.301254,2143.833711,2215.696959,2289.969128,2366.730968,2446.065934,2528.06028,2612.803151,2700.386679,2790.906087,2884.459787,2981.149492,3081.080324,3184.360928,3291.103591,3401.424364,3515.443191,3633.284031,3755.075003,3880.948519,4011.041429,4145.495171,4284.455925,4428.074769
Mozambique_South,Energy,4156.307162,4295.630343,4439.623764,4588.443975,4742.252773,4901.217382,5065.510629,5235.311135,5410.803507,5592.178542,5779.633433,5973.371981,6173.604822,6380.549648,6594.431453,6815.482769,7043.943926,7280.063307,7524.097625,7776.312193,8036.981223,8306.388114,8584.825769,8872.596906,9170.014392,9477.401582,9795.092669
Mozambique_North,Energy,1166.381725,1205.479897,1245.888675,1287.651992,1330.815254,1375.425387,1421.530891,1469.181895,1518.430203,1569.329359,1621.934701,1676.303421,1732.49463,1790.56942,1850.590929,1912.624413,1976.737316,2042.999342,2111.48253,2182.261338,2255.412715,2331.016192,2409.153967,2489.91099,2573.375062,2659.636925,2748.790364
Mozal,Energy,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322,8322
