gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Kavumu-Mwange,Rwanda,ReservoirHydro,Water,2023,2055,0.33,1,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0.33,0.33,0,0,0,0,0,0
Ntaruka_A,Rwanda,ReservoirHydro,Water,2023,2055,2,1,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,2.1,2.1,0,0,0,0.1,0,0
Jabana_1,Rwanda,ICE,Diesel,2004,2055,7.8,1,0,10.42,1,1,0,0.2,8000,6.4,5,1.68,30,0,0,0,0,0,0,0,0
Jabana_2,Rwanda,ICE,HFO,2009,2055,21,1,0,10.42,1,1,0,0.2,8000,6.4,5,1.68,30,0,0,0,0,0,0,0,0
SO_Energy,Rwanda,ICE,Diesel,2017,2055,0,1,0,10.42,1,1,0,0.2,8000,6.4,5,1.68,30,0,0,0,0,0,0,0,0
Gishoma,Rwanda,ST,Peat,2016,2055,15,1,0,9.4,1,1,0,0.2,60000,2,5,2,30,0,0,0,0,0,0,0,0
Hakan,Rwanda,ST,Peat,2021,2055,70,1,0,9.4,1,1,0,0.2,60000,2,5,2,30,0,0,0,0,0,0,0,0
Kivuwatt_Phase_I,Rwanda,OCGT,Gas,2016,2055,26.19,1,0,9.45,1,1,0,0.2,20000,4,5,0.8,30,0,0,0,0,0,0,0,0
KP1,Rwanda,OCGT,Gas,2009,2055,3.6,1,0,9.4,1,1,0,0.2,60000,2,5,2,30,0,0,0,0,0,0,0,0
SPLK,Rwanda,Methane,Methane,2023,2055,50,1,0,8.3,1,1,0,0.2,10000,10,5,1.68,30,28,28,0,0,0,0.05,0,0
Jali,Rwanda,PV,Solar,2007,2055,0.25,1,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,0,0,0,1,0
GigaWatt,Rwanda,PV,Solar,2013,2055,8.5,1,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,0,0,0,1,0
Nasho_Solar,Rwanda,PV,Solar,2017,2055,3.3,1,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,0,0,0,1,0
Kivuwatt Phase_2 extension,Rwanda,ICE,Diesel,2030,2055,9,2,0,9.45,1,1,0,0.2,20000,4,5,0.8,30,0,0,0,0,0,0,0,0
SPLK Phase_2 extension,Rwanda,ICE,Diesel,2030,2055,28,2,0,8.3,1,1,0,0.2,10000,10,5,1.68,30,28,28,0,0,0,0.05,0,0
Izuba CB Energy Rwanda,Rwanda,ROR,Water,2025,2055,4.13,2,0,0,1,1,0,0.4,75000,0.5,5,2.5,50,0,0,0,,0,0,0,0
Nyirahindwe 1,Rwanda,ROR,Water,2025,2055,0.909,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,0.91,0.91,0,0,0,0,0,0
Nyirahindwe 2,Rwanda,ROR,Water,2027,2055,0.359,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,0.36,0.36,0,0,0,0,0,0
Muvumba Multipurpose Dam,Rwanda,ROR,Water,2027,2055,1,2,0,0,1,1,0,0.4,75000,0.5,5,2.5,50,0,0,0,,0,0,0,0
Ngororero,Rwanda,ROR,Water,2027,2055,2.7,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,2.7,2.7,0,0,0,0,0,0
Nyundo,Rwanda,ROR,Water,2027,2055,4.5,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,4.5,4.5,0,0,0,0,0,0
Rwondo,Rwanda,ROR,Water,2027,2055,2.3,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,2.3,2.3,0,0,0,0,0,0
Base 1,Rwanda,ROR,Water,2027,2055,2.9,2,0,0,1,1,0,0.4,75000,0.5,5,2.5,50,0,0,0,,0,0,0,0
Kore,Rwanda,ROR,Water,2025,2055,1.3,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,1.3,1.3,0,0,0,0,0,0
Rucanzogera,Rwanda,ROR,Water,2028,2055,1.9,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,1.9,1.9,0,0,0,0,0,0
Rukore,Rwanda,ROR,Water,2028,2055,2,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,2,2,0,0,0,0,0,0
Bihongore,Rwanda,ROR,Water,2030,2055,4.22,2,0,0,1,1,0,0.4,40000,0.5,5,2.8,50,4.22,4.22,0,0,0,0.05,0,0
Rukarara VI,Rwanda,ReservoirHydro,Water,2027,2055,9.76,2,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,0,0,0,,0,0,0,0
Nyabarongo II,Rwanda,ReservoirHydro,Water,2027,2055,43.5,2,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,43,43,0,0,0,0.06,0,0
Rusizi III,Rwanda,ReservoirHydro,Water,2031,2055,68,2,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,48,48,0,0,0,0,0,0
Rusizi IV,Rwanda,ReservoirHydro,Water,2030,2055,95.9,2,0,0,1,1,0,0.4,50000,0.5,5,3.3,50,200,200,0,0,0,0,0,0
PV_generic,Rwanda,PV,Solar,2026,2055,100000,3,0,0,1,1,0,0,75540,0,0,1.14,25,200,3900.75,0,,0,0,1,0
ReservoirHydro_generic,Rwanda,ReservoirHydro,Water,2026,2055,100000,3,0,0,1,1,0,0.4,90000,0.5,5,3,50,200,266,0,,0,0,0,0
ROR_generic,Rwanda,ROR,Water,2026,2055,100000,3,0,0,1,1,0,0.4,75000,0.5,5,2.5,50,0,0,0,,0,0,0,0
Wind_generic,Rwanda,OnshoreWind,Wind,2026,2055,100000,3,0,0,1,1,0,0,35846,0,0,1.31,30,0,0,0,,0,0,1,0
OCGT_generic,Rwanda,OCGT,Gas,2026,2055,100000,3,0,10.9,1,1,0,0.2,24000,4,5,0.8,30,200,10000,0,,0,0,0,0
CCGT_generic,Rwanda,CCGT,Gas,2026,2055,100000,3,0.15,7.7,1,1,0,0.2,30000,2,5,1.01,30,200,10000,0,,0,0,0,0
Biomass_generic,Rwanda,BiomassPlant,Biomass,2026,2055,100000,3,0,15,1,1,0,0.05,100000,2.5,5,2.5,30,4.22,211,0,,0,0,0,0
Diesel_generic,Rwanda,ICE,Diesel,2026,2055,100000,3,0,10.42,1,1,0,0.2,33000,6.4,5,1.09,30,200,10000,0,,0,0,0,0
BESS_generic,Rwanda,Storage,Battery,2026,2055,100000,3,0,0,1,1,0,0.5,40000,0,5,0.3,20,200,10000,0,,0,0,0,0
PSH_generic,Rwanda,Storage,Pumped,2026,2055,100000,3,0,0,1,1,0,0.4,50000,0,5,2.9,50,48,48,0,,0,0,0,0
Peat_generic,Rwanda,ST,Peat,2026,2055,100000,3,0,10.2,1,1,0,0.2,112000,2,5,3.74,30,200,10000,0,,0,0,0,0
Methane_generic,Rwanda,Methane,Methane,2026,2055,100000,3,0,8.3,1,1,0,0.2,10000,10,5,1.68,30,56,56,0,,0,0,0,0
