gen,Q1,Q2,Q3,Q4
Generic_GasCT_2,0.9,0.9,0.9,0.9
Generic_LFO_1,0.855,0.855,0.855,0.855
Generic_LFO_2,0.855,0.855,0.855,0.855
Gad-II solar,1,1,1,1
Generic_Solar_1,0.9409,0.9409,0.9409,0.9409
Adigala,1,1,1,1
Aleltu East HEP,0.488623485,0.508928185,0.486218165,0.451844187
Aleltu West HEP,0.463819572,0.483093548,0.461536352,0.428907295
Assosa Bambasi,0.457997163,0.482783504,0.480771731,0.44995382
Ayisha-IA,1,1,1,1
Ayisha-IB,1,1,1,1
Ayisha-III A,1,1,1,1
Ayisha-IIIB,1,1,1,1
Baro 1,0.457997163,0.482783504,0.480771731,0.44995382
Baro 2 HEP,0.444539381,0.46301217,0.442351071,0.411078348
Beko Abo,0.457997163,0.482783504,0.480771731,0.44995382
Birbir,0.457997163,0.482783504,0.480771731,0.44995382
Birbir R,0.457997163,0.482783504,0.480771731,0.44995382
Dabus HEP,0.495886602,0.51649312,0.493445528,0.4585606
Deday,0.16,0.16,0.16,0.16
Geba 1,0.457997163,0.482783504,0.480771731,0.44995382
Geba 2,0.457997163,0.482783504,0.480771731,0.44995382
Genale V,0.660478226,0.687924333,0.657226926,0.610763208
Genale VI,0.716193596,0.745954949,0.712668028,0.662284812
Genji (linked with Baro & II),0.457997163,0.482783504,0.480771731,0.44995382
Gode,1,1,1,1
Gojeb,0.457997163,0.482783504,0.480771731,0.44995382
Halele,0.457997163,0.482783504,0.480771731,0.44995382
Humera solar,1,1,1,1
Karadobi,0.457997163,0.482783504,0.480771731,0.44995382
KebriBeyah,1,1,1,1
Kesem BIO,0.984,0.984,0.984,0.984
Lower Dabus,0.457997163,0.482783504,0.480771731,0.44995382
Lower Didessa,0.457997163,0.482783504,0.480771731,0.44995382
May Mekdan,1,1,1,1
Mekele WF,1,1,1,1
Meki Solar,1,1,1,1
Melkasedi Solar,1,1,1,1
Meshenti Solar,1,1,1,1
Metehara solar,1,1,1,1
Metema solar,1,1,1,1
Sela Dingay,1,1,1,1
Sor_2_HEP,0.887569128,0.924451974,0.883199939,0.820760695
Sure,1,1,1,1
Tams,0.457997163,0.482783504,0.480771731,0.44995382
Tekeze II,0.457997163,0.482783504,0.480771731,0.44995382
Tulu Guled,1,1,1,1
Upper Dabus,0.457997163,0.482783504,0.480771731,0.44995382
Upper Mendaya,0.457997163,0.482783504,0.480771731,0.44995382
Wabi,0.457997163,0.482783504,0.480771731,0.44995382
Wabi Shebele,0.457997163,0.482783504,0.480771731,0.44995382
Welenchiti solar,1,1,1,1
Werabesa,0.457997163,0.482783504,0.480771731,0.44995382
Wereta Solar,1,1,1,1
Wolkayit BIO,0.984,0.984,0.984,0.984
Yirgalem Solar,1,1,1,1
Beles,0.984,0.984,0.984,0.984
Omo_Kuraz BIO,0.984,0.984,0.984,0.984
Generic_Coal_6_Ethiopia,0.8281,0.8281,0.8281,0.8281
Generic_Wind_1,0.9409,0.9409,0.9409,0.9409
Aluto Langano,0.92684,0.92684,0.92684,0.92684
Aluto Langano I (Rehabilitation),0.9,0.9,0.9,0.9
Aluto Langano II,0.92684,0.92684,0.92684,0.92684
Asela-I,1,1,1,1
Asela-II (Iteya),0.9409,0.9409,0.9409,0.9409
Assela,0.9409,0.9409,0.9409,0.9409
Ayisha-I,0.9409,0.9409,0.9409,0.9409
Ayisha-II,0.92684,0.92684,0.92684,0.92684
Corbetti I,0.92684,0.92684,0.92684,0.92684
Corbetti II,0.9,0.9,0.9,0.9
Dabus Wind,0.9409,0.9409,0.9409,0.9409
Dawa,0.9409,0.9409,0.9409,0.9409
Debre Birhan,0.9409,0.9409,0.9409,0.9409
Dechatu,0.9409,0.9409,0.9409,0.9409
Dicheto solar,1,1,1,1
Gad-I solar,1,1,1,1
GERD 3 HEP,0.243703285,0.25383035,0.24250362,0.225359435
GERD 4 HEP,0.243703285,0.25383035,0.24250362,0.225359435
GERD 5 HEP,0.354477505,0.369207782,0.352732538,0.327795542
Humera,0.9409,0.9409,0.9409,0.9409
HumeraSS4_WeransoMekeleSS3_Wolenchiti,0.9409,0.9409,0.9409,0.9409
Koysha (Gibe IV),0.457997163,0.482783504,0.480771731,0.44995382
Mekele,0.9409,0.9409,0.9409,0.9409
Replacement Diesel,0.838356164,0.838356164,0.838356164,0.838356164
Replacement Koka HEP,0.358622745,0.373525278,0.356857373,0.331628765
Tulu Moye I,0.9,0.9,0.9,0.9
Tulu Moye II,0.9,0.9,0.9,0.9
Tulumoya_Abaya,0.92684,0.92684,0.92684,0.92684
Weranso solar,0.9409,0.9409,0.9409,0.9409
Wolenchiti,0.9409,0.9409,0.9409,0.9409
YedaI,0.457997163,0.482783504,0.480771731,0.44995382
YedaII (linked with YedaI),0.457997163,0.482783504,0.480771731,0.44995382
Aba Samuel,0.314112176,0.324362412,0.328340224,0.315781441
Adama I,0.938777204,0.938777204,0.938777204,0.938777204
Adama II,0.938777204,0.938777204,0.938777204,0.938777204
Addis Ababa EFW,0.95448,0.95448,0.95448,0.95448
Ashegoda,0.938777204,0.938777204,0.938777204,0.938777204
Awash II,0.314112176,0.324362412,0.328340224,0.315781441
Awash III,0.314112176,0.324362412,0.328340224,0.315781441
Awash7,0.326858937,0.340595239,0.333121823,0.326903849
Beles HEP,0.672135996,0.684444471,0.589769565,0.581142177
Dire Dawa,0.838356164,0.838356164,0.838356164,0.838356164
Finchaa,0.457997163,0.482783504,0.480771731,0.44995382
Genale Dawa III,0.457997163,0.482783504,0.480771731,0.44995382
GERD 1 HEP,0.389925255,0.40612856,0.388005791,0.360575096
GERD 2 HEP,0.243703285,0.25383035,0.24250362,0.225359435
GERD 3a HEP,0.457997163,0.482783504,0.480771731,0.44995382
Gibe I,0.457997163,0.482783504,0.480771731,0.44995382
Gibe II,0.314112176,0.324362412,0.328340224,0.315781441
Gibe III,0.457997163,0.482783504,0.480771731,0.44995382
Kality,0.838356164,0.838356164,0.838356164,0.838356164
Koka HEP,0.213359888,0.223513897,0.214916159,0.226197374
Maleka Wakana HEP,0.284466909,0.289561949,0.250490848,0.292503792
Neshe,0.457997163,0.482783504,0.480771731,0.44995382
Sor_1_HEP,0.689076395,0.717710896,0.685684316,0.637208757
Tekeze I,0.457997163,0.482783504,0.480771731,0.44995382
Tis Abay I HEP,0.353413889,0.368099968,0.351674158,0.326811986
Tis Abey ll,0.457997163,0.482783504,0.480771731,0.44995382
Biomass_2024,0.65,0.65,0.65,0.65
Biomass_2025,0.65,0.65,0.65,0.65
Cummins Cogeneration Kenya Limited,0.65,0.65,0.65,0.65
Generic Biomass,0.65,0.65,0.65,0.65
Municipal Waste to Energy ,0.65,0.65,0.65,0.65
Roadtech Solutions,0.65,0.65,0.65,0.65
Small Biomass (Thika Way + West Kenya Sugar Company + Viability Africa + VR Holding + Biogas Holding),0.65,0.65,0.65,0.65
Tana Biomass Limited (Biogas- Solar Hybrid) ,0.65,0.65,0.65,0.65
Dongo Kundu,0.93,0.93,0.93,0.93
Generic_GENC_Natural Gas - CCGT,0.89,0.89,0.89,0.89
Wajir,0.93,0.93,0.93,0.93
CCGT_GENC_CCS,0.89,0.89,0.89,0.89
Kitui,0.87,0.87,0.87,0.87
Lamu Coal Power Station,0.87,0.87,0.87,0.87
AGIL Longonot Stage 1,0.94,0.94,0.94,0.94
AGIL Longonot Stage 2,0.94,0.94,0.94,0.94
AGIL Longonot Stage 3,0.94,0.94,0.94,0.94
AGIL Longonot Stage 4,0.94,0.94,0.94,0.94
Baringo Silali  - Korosi I,0.94,0.94,0.94,0.94
Baringo Silali  - Paka I,0.94,0.94,0.94,0.94
Baringo Silali  - Silali I,0.94,0.94,0.94,0.94
Eburru 2,0.94,0.94,0.94,0.94
Generic_GENC_Geothermal,0.94,0.94,0.94,0.94
Marine Power Akiira   Stage 1,0.94,0.94,0.94,0.94
Marine Power Akiira Stage 2,0.94,0.94,0.94,0.94
Menengai I ,0.94,0.94,0.94,0.94
Menengai I Phase I Stage I - Orpower22,0.94,0.94,0.94,0.94
Menengai III ,0.94,0.94,0.94,0.94
Menengai Istage2,0.94,0.94,0.94,0.94
Menengai IV - Stage 3,0.94,0.94,0.94,0.94
MenengaiV,0.94,0.94,0.94,0.94
Olkaria 7,0.94,0.94,0.94,0.94
Olkaria 8,0.94,0.94,0.94,0.94
Olkaria 9 & other fields,0.94,0.94,0.94,0.94
Olkaria Brine,0.94,0.94,0.94,0.94
Olkaria III units 1-9,0.94,0.94,0.94,0.94
Olkaria Topping,0.94,0.94,0.94,0.94
Olkaria VI,0.94,0.94,0.94,0.94
Olsuswa Unit 1,0.94,0.94,0.94,0.94
Suswa I,0.94,0.94,0.94,0.94
Suswa II,0.94,0.94,0.94,0.94
Suswa III,0.94,0.94,0.94,0.94
Embakasi,0.89,0.89,0.89,0.89
Generic_GENC_Natural Gas - OGCT,0.89,0.89,0.89,0.89
Generic_LNG_Gas_Turbine,0.9,0.9,0.9,0.9
LNG Gas Turbine,0.93,0.93,0.93,0.93
GenericHFO,0.92,0.92,0.92,0.92
Nuclear_Kenya,0.89,0.89,0.89,0.89
OCGT_GENC_CCS,0.89,0.89,0.89,0.89
Greenmillenia Energy Ltd,0.985,0.985,0.985,0.985
Hanan Arya Energy,0.985,0.985,0.985,0.985
Kenergy,0.985,0.985,0.985,0.985
Kopere Solar Park,0.985,0.985,0.985,0.985
Makindu- Rareh (Dafre),0.985,0.985,0.985,0.985
SevenForksSolarPower,0.985,0.985,0.985,0.985
Sunpower Kenya (Makindu-Kibwezi I),0.985,0.985,0.985,0.985
Generic Small Hydro,0.485445205,0.499952435,0.516726915,0.526969178
Gitaru_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Kamburu_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Karura,0.296296296,0.323919753,0.301697531,0.325308642
Kiambere_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Kindaruma_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Masinga_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Sangoro_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Sondu_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Tana_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Turkwel_Rehab,0.485445205,0.499952435,0.516726915,0.526969178
Generic Large Hydro,0.485445205,0.499952435,0.516726915,0.526969178
High Grand Falls - I,0.265080552,0.273002321,0.282162136,0.287754991
High Grand Falls - II,0.265080552,0.273002321,0.282162136,0.287754991
BESS_4,0.975,0.975,0.975,0.975
Generic_GENC_BESS,0.97,0.97,0.97,0.97
Pumped Hydro,0.97,0.97,0.97,0.97
Aperture Green_GENC_KEN,0.97,0.97,0.97,0.97
Bahari Phase I,0.97,0.97,0.97,0.97
Bahari Phase II,0.97,0.97,0.97,0.97
Generic_GENC_Wind_High,0.97,0.97,0.97,0.97
Generic_GENC_Wind_Low_1,0.97,0.97,0.97,0.97
Generic_GENC_Wind_Low_2,0.97,0.97,0.97,0.97
Kajiado Wind ,0.97,0.97,0.97,0.97
Limuru Wind,0.97,0.97,0.97,0.97
Malindi,0.97,0.97,0.97,0.97
Marsabit Phase I,0.97,0.97,0.97,0.97
Marsabit Phase II,0.97,0.97,0.97,0.97
Meru I,0.97,0.97,0.97,0.97
Ngong - 1 - Phase 3,0.97,0.97,0.97,0.97
Prunus Wind,0.97,0.97,0.97,0.97
OSWD_GENC_OffshoreWind_KEN,0.97,0.97,0.97,0.97
Menengai I Quantum,0.94,0.94,0.94,0.94
Menengai I Sosian,0.94,0.94,0.94,0.94
Olkaria 1 B (Rehabilitated),0.94,0.94,0.94,0.94
Olkaria 1 Unit 6,0.94,0.94,0.94,0.94
Ergon Solair (Kisumu SolarOne Ltd),0.985,0.985,0.985,0.985
Marco Borero,0.985,0.985,0.985,0.985
Radiant- Selenkei,0.985,0.985,0.985,0.985
Small Hydro_2021,0.485445205,0.499952435,0.516726915,0.526969178
Small Hydro_2022,0.485445205,0.499952435,0.516726915,0.526969178
Small Hydro_2023,0.485445205,0.499952435,0.516726915,0.526969178
Small Hydro_2024,0.485445205,0.499952435,0.516726915,0.526969178
Small Hydro_2025,0.485445205,0.499952435,0.516726915,0.526969178
Small Hydro_2026,0.485445205,0.499952435,0.516726915,0.526969178
Generic_Rooftop_2021,0.985,0.985,0.985,0.985
Generic_Rooftop_2022,0.985,0.985,0.985,0.985
Generic_Rooftop_2023,0.985,0.985,0.985,0.985
Generic_Rooftop_2024,0.985,0.985,0.985,0.985
Generic_Rooftop_2025,0.985,0.985,0.985,0.985
Generic_Rooftop_2026,0.985,0.985,0.985,0.985
Generic_Rooftop_2027,0.985,0.985,0.985,0.985
Generic_Rooftop_2028,0.985,0.985,0.985,0.985
Generic_Rooftop_2029,0.985,0.985,0.985,0.985
Generic_Rooftop_2030,0.985,0.985,0.985,0.985
Generic_Rooftop_2031,0.985,0.985,0.985,0.985
Generic_Rooftop_2032,0.985,0.985,0.985,0.985
Generic_Rooftop_2033,0.985,0.985,0.985,0.985
Generic_Rooftop_2034,0.985,0.985,0.985,0.985
Generic_Rooftop_2035,0.985,0.985,0.985,0.985
Generic_Rooftop_2036,0.985,0.985,0.985,0.985
Generic_Rooftop_2037,0.985,0.985,0.985,0.985
Generic_Rooftop_2038,0.985,0.985,0.985,0.985
Generic_Rooftop_2039,0.985,0.985,0.985,0.985
Generic_Rooftop_2040,0.985,0.985,0.985,0.985
BESS_1_2_3,0.975,0.975,0.975,0.975
Chania green,0.97,0.97,0.97,0.97
Kwale Co-Generation_TAnaBiomass,0.65,0.65,0.65,0.65
Mumias (Biomass),0.65,0.65,0.65,0.65
Olkaria I ,0.94,0.94,0.94,0.94
Olkaria I units 4 & 5,0.94,0.94,0.94,0.94
Olkaria II,0.94,0.94,0.94,0.94
Olkaria IV,0.94,0.94,0.94,0.94
Olkaria Mobile Wellheads + Eburru,0.94,0.94,0.94,0.94
Olkaria V ,0.94,0.94,0.94,0.94
Orpower 4 (I),0.94,0.94,0.94,0.94
Orpower 4 (II),0.94,0.94,0.94,0.94
Orpower 4 (III),0.94,0.94,0.94,0.94
Orpower 4 (IV),0.94,0.94,0.94,0.94
Tsavo,0.89,0.89,0.89,0.89
Gulf Energy ,0.92,0.92,0.92,0.92
Iberafrica I &II,0.82,0.82,0.82,0.82
