Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2038,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2039,4.0
Capacity: MW,Armenia,Armenia,Armenia_Wind_Exist,Onshore Wind,2040,4.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2025,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2026,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2027,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2028,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2029,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2030,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2031,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2032,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2033,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2034,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2035,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2036,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2037,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2038,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2039,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT1,Gas,2040,228.6
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2025,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2026,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2027,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2028,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2029,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2030,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2031,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2032,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2033,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2034,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2035,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2036,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2037,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2038,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2039,250.0
Capacity: MW,Armenia,Armenia,Armenia_Yerevan_CCGT2,Gas,2040,250.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2025,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2026,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2027,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2028,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2029,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2030,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2031,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2032,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2033,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2034,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2035,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2036,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2037,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2038,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2039,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_AGG_SmallPV,PV,2040,8.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2030,48.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2031,96.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2032,144.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2033,192.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2034,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2035,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2036,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2037,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2038,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2039,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Absheron-Garadagh_OnshoreWind,Onshore Wind,2040,240.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2025,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2026,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2027,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2028,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2029,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2030,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2031,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2032,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2033,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2034,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2035,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Astara_CCGT,Gas,2036,87.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2025,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2026,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2027,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2028,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2029,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2030,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT,Gas,2031,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2025,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2026,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2027,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2028,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2029,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2030,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_1,Gas,2031,53.5
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2025,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2026,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2027,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2028,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2029,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2030,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2031,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2032,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2033,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2034,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2035,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2036,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Baku_CCGT_2,Gas,2037,104.4
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2025,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2026,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2027,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2028,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2029,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2030,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2031,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2032,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2033,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2034,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2035,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2036,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2037,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2038,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2039,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Balakhani_BiomassPlant,Biomass,2040,37.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2030,89.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2031,178.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2032,267.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2033,356.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2034,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2035,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2036,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2037,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2038,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2039,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Bilasuvar_PV,PV,2040,445.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_CHP_Legacy,Gas,2025,985.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_CHP_Legacy,Gas,2026,985.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_CHP_Legacy,Gas,2027,985.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_CHP_Legacy,Gas,2028,985.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_CHP_Legacy,Gas,2029,985.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Garadagh_Solar_PV_Pl_PV,PV,2025,230.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Garadagh_Solar_PV_Pl_PV,PV,2026,230.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Garadagh_Solar_PV_Pl_PV,PV,2027,230.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Garadagh_Solar_PV_Pl_PV,PV,2028,230.0
Capacity: MW,Azerbaijan,AzerbaijanMain,Azerbaijan_Garadagh_Solar_PV_Pl_PV,PV,2029,230.0
