g,Q1,Q2,Q3,Q5,Q4
MULTAN_ST_2023,0.85,0.85,0.85,0.85,0.85
NAROWAL_ICE_2031,0.85,0.85,0.85,0.85,0.85
NAVOI_ST_2023,0.631579,0.631579,0.631579,0.631579,0.631579
NISHAT _CHUNIAN_ICE_2031,0.85,0.85,0.85,0.85,0.85
NISHAT _POWER_ICE_2029,0.85,0.85,0.85,0.85,0.85
PAK_N_ICE_2023,0.85,0.85,0.85,0.85,0.85
PAK_N_ICE_2030,0.85,0.85,0.85,0.85,0.85
PAVLODAR-1_CHP_2023,0.581821,0.581821,0.581821,0.581821,0.581821
PAVLODAR-2_CHP_2023,0.711749,0.711749,0.711749,0.711749,0.711749
PAVLODAR-3_CHP_2023,0.55412,0.55412,0.55412,0.55412,0.55412
PETROPAVLOVSK-2_CHP_2023,0.714636,0.714636,0.714636,0.714636,0.714636
RAIWIND _JPGL_ICE_2023,0.85,0.85,0.85,0.85,0.85
RAIWIND _SEPCOL_ICE_2023,0.85,0.85,0.85,0.85,0.85
ROUSCH_CCGT_2029,0.85,0.85,0.85,0.85,0.85
SYRDARYA_ST_2023,0.862208,0.862208,0.862208,0.862208,0.862208
TAKAKHIL_ICE_2030,0.85,0.85,0.85,0.85,0.85
TAKHIATASH_ST_2023,0.75,0.75,0.75,0.75,0.75
TAKHIATASH_ST_2027,0.75,0.75,0.75,0.75,0.75
TAKHIATASH_ST_2029,0.75,0.75,0.75,0.75,0.75
TCHIMKENT-3_CHP_2023,0.7209,0.7209,0.7209,0.7209,0.7209
TURKMENBASHI-1_ST_2024,0.385714,0.385714,0.385714,0.385714,0.385714
TURKMENBASHI-1_ST_2026,0.385714,0.385714,0.385714,0.385714,0.385714
UCH_CCGT_2030,0.85,0.85,0.85,0.85,0.85
UST-KAMENOGORSK _TETS_CHP_2023,0.764712,0.764712,0.764712,0.764712,0.764712
YAVAN_CHP_2023,0.722015,0.722015,0.722015,0.722015,0.722015
ZHAMBYL_ST_2023,0.757642,0.757642,0.757642,0.757642,0.757642
EKIBASTUZ-1_ST_2023,0.765332,0.765332,0.765332,0.765332,0.765332
EKIBASTUZ-1_ST_2024,0.765332,0.765332,0.765332,0.765332,0.765332
EKIBASTUZ-2_ST_2030,0.789836,0.789836,0.789836,0.789836,0.789836
ABADAN _CITY-2_GT_2031,0.768248,0.768248,0.768248,0.768248,0.768248
ABADAN _CITY-2_CCGT_2031,0.9,0.9,0.9,0.9,0.9
AHAL_GT_2031,0.653788,0.653788,0.653788,0.653788,0.653788
UZB_HY_2031,0.418364,0.518364,0.518364,0.518364,0.418364
ANDIJAN-1_HY_2031,0.471709,0.638472,0.638472,0.638472,0.541351
ANGREN_ST_2031,0.572519,0.572519,0.572519,0.572519,0.572519
ASHGABAT_GT_2031,0.792014,0.792014,0.792014,0.792014,0.792014
ASTANA-2_CHP_2031,0.565868,0.565868,0.565868,0.565868,0.565868
AVAZA_GT_2031,0.84583,0.84583,0.84583,0.84583,0.84583
BAIPAZA_HY_2031,0.353725,0.444638,0.353725,0.353725,0.353725
BALKANABAD-2_GT_2031,0.70917,0.70917,0.70917,0.70917,0.70917
BALKHASH _ULKEN_CHP_NEW_2031,0.722015,0.722015,0.722015,0.722015,0.722015
CHARVAK_HY_2031,0.267426,0.497919,0.355364,0.355364,0.267426
DASHOGUZ _VELAYAT_CHP_2031,0.830606,0.830606,0.830606,0.830606,0.830606
DERWEZE_GT_2031,0.873592,0.873592,0.873592,0.873592,0.873592
DUSHANBE-2_CHP_2031,0.81,0.81,0.81,0.81,0.81
DUSHANBE-2_CHP_NEW_2031,0.81,0.81,0.81,0.81,0.81
EKIBASTUZ-2_ST_2031,0.789836,0.789836,0.789836,0.789836,0.789836
EKIBASTUZ-2_ST_NEW_2031,0.607566,0.607566,0.607566,0.607566,0.607566
GAZALKENT_HY_2031,0.330408,0.477216,0.447217,0.447217,0.292914
KAMBARATA-2_HY_2031,0.490521,0.553135,0.551244,0.551244,0.557869
KAMBARATA-2_HY_NEW_2031,0.489611,0.553135,0.489611,0.489611,0.489611
KARAGANDA _TPS-3_CHP_2031,0.564986,0.564986,0.564986,0.564986,0.564986
KHODZHIKENT_HY_2031,0.362044,0.414639,0.414639,0.414639,0.329466
KURPSAI_HY_2031,0.610225,0.397557,0.218362,0.218362,0.399976
LEBAP_GT_2031,0.718432,0.718432,0.718432,0.718432,0.718432
MARY_GT_2031,0.732461,0.732461,0.732461,0.732461,0.732461
MOYNAK_HY_2031,0.311494,0.358154,0.610451,0.525093,0.260213
NAVOI_ST_NEW_2031,0.631579,0.631579,0.631579,0.631579,0.631579
NAVOI_CCGT_2031,0.84728,0.84728,0.84728,0.84728,0.84728
PAVLODAR-1_CHP_2031,0.581821,0.581821,0.581821,0.581821,0.581821
PAVLODAR-3_CHP_2031,0.55412,0.55412,0.55412,0.55412,0.55412
PETROPAVLOVSK-2_CHP_2031,0.714636,0.714636,0.714636,0.714636,0.714636
SANGTUDA-1_HY_2031,0.310623,0.401778,0.310623,0.310623,0.310623
SANGTUDA-2_HY_2031,0.308813,0.376443,0.308813,0.308813,0.308813
SHAMALDYSAI_HY_2031,0.649889,0.432701,0.285395,0.285395,0.459786
SHARDARINSKYA_HY_2031,0.697013,0.790078,0.395431,0.395431,0.2601
SHULBINSKAYA_HY_2031,0.294773,0.329187,0.346626,0.345849,0.356229
TAKHIATASH_ST_NEW_2031,0.75,0.75,0.75,0.75,0.75
TASHKENT_CHP_2031,0.783947,0.783947,0.783947,0.783947,0.783947
TASH-KUMYR_HY_2031,0.549747,0.44028,0.272291,0.272291,0.426011
TOKTOGUL_HY_2031,0.45283,0.302655,0.267684,0.267684,0.302655
TOLIMARJON_ST_2031,0.82125,0.82125,0.82125,0.82125,0.82125
TOLIMARJON_CCGT_2031,0.9,0.9,0.9,0.9,0.9
TURKMENBASHI _REFINERY_GT_2031,0.385714,0.385714,0.385714,0.385714,0.385714
TYUYAMUYUNSKAYA_HY_2031,0.42729,0.433609,0.458602,0.458602,0.388841
UST-KAMENOGORSK _HPP_HY_2031,0.501008,0.559499,0.589139,0.587818,0.605461
UST-KAMENOGORSK _TETS_CHP_2031,0.764712,0.764712,0.764712,0.764712,0.764712
WATAN_GT_2031,0.822756,0.822756,0.822756,0.822756,0.822756
ZHAMBYL_ST_2031,0.757642,0.757642,0.757642,0.757642,0.757642
ALLAI _KHWAR_HY_2031,0.269528,0.286044,0.586471,0.586471,0.498516
PAK_N_HY_2031,0.336941,0.357588,0.733156,0.733156,0.623202
HAVELI _HAVELI BAHADUR _SHAH_CCGT_2031,0.85,0.85,0.85,0.85,0.85
BALLOKI _RLNG_CCGT_2031,0.85,0.85,0.85,0.85,0.85
BALLOKI _RLNG_CCGT_NEW_2031,0.85,0.85,0.85,0.85,0.85
BHIKKI _RENTAL_GT_2031,0.85,0.85,0.85,0.85,0.85
BHIKKI _RLNG_CCGT_2031,0.85,0.85,0.85,0.85,0.85
BHIKKI _RLNG_CCGT_NEW_2031,0.85,0.85,0.85,0.85,0.85
BIN _QASIM_CCGT_2031,0.85,0.85,0.85,0.85,0.85
PAK_N_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
CHASHMA _(CHASNUPP)_ST_2031,0.85,0.85,0.85,0.85,0.85
CHASHMA_HY_2031,0.394747,0.418936,0.858937,0.858937,0.73012
DAHARKI _FOUNDATION_CCGT_2031,0.85,0.85,0.85,0.85,0.85
DASU _DHP-1_HY_NEW_2031,0.392627,0.416686,0.854324,0.854324,0.726198
DIAMER _BASHA_HY_NEW_2031,0.296184,0.314333,0.644471,0.644471,0.547818
DUBER _KHWAR_HY_2031,0.32575,0.345711,0.708805,0.708805,0.602503
GHAZI-BAROTHA_HY_2031,0.326341,0.346338,0.71009,0.71009,0.603596
GUDDU_CCGT_2031,0.85,0.85,0.85,0.85,0.85
GULPUR_HY_NEW_2031,0.31025,0.329261,0.675077,0.675077,0.573834
HALMORE _POWER_CCGT_2031,0.85,0.85,0.85,0.85,0.85
HUB _RIVER_ST_2031,0.85,0.85,0.85,0.85,0.85
KAJAKI I_HY,0.356994,0.642136,0.579013,0.579013,0.231459
JAMSHORO_ST_2031,0.85,0.85,0.85,0.85,0.85
KARACHI _COASTAL_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
KORANGI _CREEK_CCGT_2031,0.85,0.85,0.85,0.85,0.85
LAKHRA_ST_2031,0.85,0.85,0.85,0.85,0.85
LAL _PIR_ST_2031,0.85,0.85,0.85,0.85,0.85
MANGLA_HY_2031,0.397253,0.421595,0.86439,0.86439,0.734754
MUZAFFARGARH_ST_2031,0.85,0.85,0.85,0.85,0.85
NANDIPUR_CCGT_2031,0.85,0.85,0.85,0.85,0.85
ORIENT _POWER_CCGT_2031,0.85,0.85,0.85,0.85,0.85
PAK _GEN_ST_2031,0.85,0.85,0.85,0.85,0.85
PATRIND_HY_2031,0.292591,0.31052,0.636654,0.636654,0.541173
PORT _PORT QASIM _THERMAL_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
QADIRPUR_CCGT_2031,0.85,0.85,0.85,0.85,0.85
QUAID-E-AZAM _SOLAR_PV_2031,1,1,1,1,1
SABA_ST_2031,0.85,0.85,0.85,0.85,0.85
SAHIWAL_CCGT_2031,0.85,0.85,0.85,0.85,0.85
SAPPHIRE _ELECTRIC_CCGT_2031,0.85,0.85,0.85,0.85,0.85
TARBELA_HY_2031,0.302016,0.320523,0.657163,0.657163,0.558606
THAR _THAR BLOCK-II _ENGRO_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
UCH_CCGT_2031,0.85,0.85,0.85,0.85,0.85
WARSAK_HY_2031,0.251536,0.266949,0.547321,0.547321,0.465237
THAR _THAR BLOCK-II _HUB_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
GRANGE _POWER_CCGT_NEW_2031,0.9,0.9,0.9,0.9,0.9
JAMSHORO_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
BIN _BIN QASIM _SIDDIQSONS_ST_NEW_2031,0.9,0.9,0.9,0.9,0.9
THAR _BLOCK-I_ST_NEW_2031,0.9,0.9,0.9,0.9,0.9
OSH_CHP_NEW_2031,0.9,0.9,0.9,0.9,0.9
TARBELA-V_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
MANGLA_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
BUNJI_HY_NEW_2031,0.241982,0.25681,0.526534,0.526534,0.447568
SEHRA_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
KAROT-JHELUM_HY_NEW_2031,0.305891,0.324634,0.665593,0.665593,0.565772
AZAD-PATTAN_HY_NEW_2031,0.322634,0.342404,0.702026,0.702026,0.596741
CHAKOTHI-HATIAN_HY_NEW_2031,0.334456,0.35495,0.727748,0.727748,0.618605
KOHALA-JHELUM_HY_NEW_2031,0.317586,0.337047,0.691042,0.691042,0.587404
KAIGAH_HY_NEW_2031,0.275355,0.292228,0.59915,0.59915,0.509294
MAHL_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
KARRANG_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
RAJDHANI_HY_NEW_2031,0.364819,0.387173,0.793815,0.793815,0.674764
KALAM-ASRTI_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
SHOGOSIN_HY_NEW_2031,0.385042,0.408636,0.837819,0.837819,0.712169
TAUNSA_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
SHARMAI_HY_NEW_2031,0.315489,0.334821,0.686479,0.686479,0.583525
ASRIT-KEDAM_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
MADYAN_HY_NEW_2031,0.291975,0.309866,0.635313,0.635313,0.540033
SHUROB_HY_NEW_2031,0.336167,0.276468,0.587806,0.587806,0.297764
BAGHDARA_HY_NEW_2031,0.268605,0.302168,0.753937,0.753937,0.559089
DASHTIJUM_HY_NEW_2031,0.337771,0.277788,0.590611,0.590611,0.299185
KOKEMEREN-1_HY_NEW_2031,0.445068,0.337551,0.171603,0.171603,0.311554
KOKEMEREN-2_HY_NEW_2031,0.445068,0.337551,0.171603,0.171603,0.311554
KAMBARATA-1_HY_NEW_2031,0.346148,0.346148,0.346148,0.346148,0.346148
FAN-YAGNOB_ST_NEW_2031,0.9,0.9,0.9,0.9,0.9
BUKHTARMASKAYA_HY_2031,0.478263,0.488633,0.760544,0.591593,0.577595
FARKHAD_HY_2031,0.418364,0.658364,0.658364,0.658364,0.518364
GOLOVNAYA_HY_2031,0.345821,0.413141,0.345821,0.345821,0.345821
KAIRAKKUM_HY_2031,0.642645,0.7259,0.642645,0.642645,0.642645
TASHKENT_ST_2023,0.774194,0.774194,0.774194,0.774194,0.774194
NOVO-ANGREN_ST_2030,0.527143,0.527143,0.527143,0.527143,0.527143
NOVO-ANGREN_ST_2031,0.527143,0.527143,0.527143,0.527143,0.527143
KARACHI _KARACHI NPP _(KANUPP)_ST_2023,0.85,0.85,0.85,0.85,0.85
KESC _SITE_ICE_2031,0.85,0.85,0.85,0.85,0.85
KORANGI_ICE_2030,0.85,0.85,0.85,0.85,0.85
KABANBAI _BATYR_PV_2031,1,1,1,1,1
KARAGANDA _HPS-1_ST_2031,0.733851,0.733851,0.733851,0.733851,0.733851
FAISALABAD_GT_2023,0.85,0.85,0.85,0.85,0.85
NAGHLU_HY_2031,0.199835,0.136139,0.387756,0.387756,0.214194
SUKI _KANARI_HY_NEW_2031,0.241914,0.256737,0.526384,0.526384,0.447441
KOTLI_HY_NEW_2031,0.329598,0.349795,0.717179,0.717179,0.609621
LOWER _PALAS_HY_NEW_2031,0.270252,0.286813,0.588047,0.588047,0.499856
LOWER _LOWER SPAT _GAH_HY_NEW_2031,0.280774,0.297979,0.610942,0.610942,0.519317
AKHROI _DAM_HY_NEW_2031,0.249223,0.264494,0.542288,0.542288,0.460959
MUNDA _DAM_HY_NEW_2031,0.336941,0.357588,0.733156,0.733156,0.623202
AYNI _(ZARAFSHAN)_HY_NEW_2031,0.359271,0.29547,0.628205,0.628205,0.318229
APPOLO _SOLAR_PV_2031,1,1,1,1,1
BEST _GREEN_PV_2031,1,1,1,1,1
Crest _Solar_PV_2031,1,1,1,1,1
UCH-KURGANSK_HY_2020,0.535053,0.535053,0.535053,0.535053,0.445224
SAHIWAL _PROJECT_ST_NEW_2031,0.85,0.85,0.85,0.85,0.85
KEYAL _KHWAR_HY_NEW_2031,0.226599,0.240484,0.493061,0.493061,0.419115
THAR _THAR BLOCK-II _THAL_ST_NEW_2031,0.9,0.9,0.9,0.9,0.9
FANDARYA_HY_NEW_2031,0.281354,0.231389,0.491962,0.491962,0.249212
Sanobad_HY_NEW_2031,0.987179,0.993485,1,1,0.987179
NUREK-2_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
YAVAN_HY_NEW_2031,0.323005,0.265644,0.564791,0.564791,0.286105
Jumar_HY_NEW_2031,0.40473,0.332856,0.707692,0.707692,0.358494
Moskov_HY_NEW_2031,0.68,0.802951,0.93,0.93,0.68
Kokcha_HY_NEW_2031,0.429031,0.352841,0.750183,0.750183,0.380019
Sangvor __HY_NEW_2031,0.386332,0.653339,0.929246,0.929246,0.386332
Oburdon _Oburdon  __HY_NEW_2031,0.388036,0.319126,0.678501,0.678501,0.343707
Sangiston _Sangiston  __HY_NEW_2031,0.417042,0.342981,0.72922,0.72922,0.369399
Garms _Garms  __HY_NEW_2031,0.46,0.700984,0.95,0.95,0.46
Urfatin _Urfatin  __HY_NEW_2031,0.404934,0.665592,0.934939,0.934939,0.404934
Shtien _Shtien  __HY_NEW_2031,0.457875,0.698095,0.946323,0.946323,0.457875
Surobi-2_HY_NEW_2031,0.288446,0.324487,0.809625,0.809625,0.600385
Kunar-A_HY_NEW_2031,0.352438,0.396475,0.989241,0.989241,0.733582
Kukcha_HY_NEW_2031,0.293062,0.32968,0.822581,0.822581,0.609993
Gulbahar_HY_NEW_2031,0.288446,0.324487,0.809625,0.809625,0.600385
Capar_HY_NEW_2031,0.288345,0.324374,0.809343,0.809343,0.600176
Kunar-B_HY_NEW_2031,0.288446,0.324487,0.809625,0.809625,0.600385
UCH-KURGANSK_HY_NEW_2031,0.797688,0.604987,0.30756,0.30756,0.558393
NARYN_HY_NEW_2031,0.226639,0.399037,1,0.855655,0.353751
Hodjikent_PSH_2_HY_NEW_2031,0.323247,0.297621,0.594875,0.594875,0.306345
HPP_in_Pskem_1_HY_NEW_2031,0.0798764,0.272922,0.625046,0.293324,0.104207
HPP_in_Pskem_2_HY_NEW_2031,0.0798764,0.272922,0.625046,0.293324,0.104207
HPP_in_Pskem_3_HY_NEW_2031,0.0798764,0.272922,0.625046,0.293324,0.104207
HPP_in_Pskem_4_HY_NEW_2031,0.0798764,0.272922,0.625046,0.293324,0.104207
HPP_in_Pskem_5_HY_NEW_2031,0.0798764,0.272922,0.625046,0.293324,0.104207
HAVELI _HAVELI BAHADUR _SHAH_CCGT_NEW_2031,0.85,0.85,0.85,0.85,0.85
CHASHMA _(CHASNUPP)_ST_NEW_2031,0.9,0.9,0.9,0.9,0.9
GOLEN _GOL_HY_NEW_2031,0.285681,0.303187,0.621619,0.621619,0.528393
NEELUM-JHELUM_HY_NEW_2031,0.369167,0.391789,0.803278,0.803278,0.682808
TARBELA-IV_HY_NEW_2031,0.188975,0.200554,0.411193,0.411193,0.349525
NUREK_1_HY_2022,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_2_HY_2019,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_3_HY_2023,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_4_HY_2024,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_5_HY_2020,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_6_HY_2025,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_7_HY_2021,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_8_HY_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_9_HY_2026,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_NUREK1-_REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_NUREK2-_REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_NUREK3-_REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_NUREK4-_REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_NUREK5-_REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_6-REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_7-REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
NUREK_9-REHAB_HY_NEW_2031,0.41133,0.502104,0.41133,0.41133,0.41133
ROGUN_1_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
ROGUN_2_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
ROGUN_3_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
ROGUN_4_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
ROGUN_5_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
ROGUN_6_HY_NEW_2031,0.483362,0.400017,0.594703,0.594703,0.428407
PAK_S_WT_2031,1,1,1,1,1
FWEL_WT_2031,1,1,1,1,1
JHAMPIR _TRICON_WT_NEW_2031,1,1,1,1,1
KAZ_N_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
KAZ_N_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KAZ_N_CHP_Coal_cand,0.9,0.9,0.9,0.9,0.9
KAZ_N_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KAZ_N_HY_Water_cand,0.440255,0.448973,0.440576,0.440576,0.189861
KAZ_N_PV_Solar_cand,1,1,1,1,1
KAZ_N_WT_Wind_cand,1,1,1,1,1
KAZ_N_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
KAZ_N_ST_UR_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_CHP_Gas_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_HY_Water_cand,0.440255,0.448973,0.440576,0.440576,0.189861
KAZ_S_PV_Solar_cand,1,1,1,1,1
KAZ_S_WT_Wind_cand,1,1,1,1,1
KAZ_S_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
KAZ_S_ST_UR_cand,0.9,0.9,0.9,0.9,0.9
KGZ_N_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
KGZ_N_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_N_CHP_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_N_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_N_PV_Solar_cand,1,1,1,1,1
KGZ_N_WT_Wind_cand,1,1,1,1,1
KGZ_N_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
KGZ_S_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
KGZ_S_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_S_CHP_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_S_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
KGZ_S_PV_Solar_cand,1,1,1,1,1
KGZ_S_WT_Wind_cand,1,1,1,1,1
KGZ_S_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
NEPS_AFG_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
NEPS_AFG_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_AFG_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_AFG_PV_Solar_cand,1,1,1,1,1
NEPS_AFG_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TAJ_PV_Solar_cand,1,1,1,1,1
NEPS_TAJ_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TKM_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TKM_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TKM_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_TKM_PV_Solar_cand,1,1,1,1,1
NEPS_TKM_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
NEPS_UZB_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
NEPS_UZB_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_UZB_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_UZB_PV_Solar_cand,1,1,1,1,1
NEPS_UZB_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_CCGT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_GT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_KAR_PV_Solar_cand,1,1,1,1,1
PAK_KAR_WT_Wind_cand,1,1,1,1,1
PAK_KAR_ST_HFO_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_CCGT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_GT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_N_PV_Solar_cand,1,1,1,1,1
PAK_N_WT_Wind_cand,1,1,1,1,1
PAK_N_ST_HFO_cand,0.9,0.9,0.9,0.9,0.9
