month,daytype,hourlabel,AT
m1,d15,t14,AT350
m1,d15,t15,AT351
m1,d15,t16,AT352
m1,d15,t17,AT353
m1,d15,t18,AT354
m1,d15,t19,AT355
m1,d15,t20,AT356
m1,d15,t21,AT357
m1,d15,t22,AT358
m1,d15,t23,AT359
m1,d15,t24,AT360
m1,d16,t1,AT361
m1,d16,t2,AT362
m1,d16,t3,AT363
m1,d16,t4,AT364
m1,d16,t5,AT365
m1,d16,t6,AT366
m1,d16,t7,AT367
m1,d16,t8,AT368
m1,d16,t9,AT369
m1,d16,t10,AT370
m1,d16,t11,AT371
m1,d16,t12,AT372
m1,d16,t13,AT373
m1,d16,t14,AT374
m1,d16,t15,AT375
m1,d16,t16,AT376
m1,d16,t17,AT377
m1,d16,t18,AT378
m1,d16,t19,AT379
m1,d16,t20,AT380
m1,d16,t21,AT381
m1,d16,t22,AT382
m1,d16,t23,AT383
m1,d16,t24,AT384
m1,d17,t1,AT385
m1,d17,t2,AT386
m1,d17,t3,AT387
m1,d17,t4,AT388
m1,d17,t5,AT389
m1,d17,t6,AT390
m1,d17,t7,AT391
m1,d17,t8,AT392
m1,d17,t9,AT393
m1,d17,t10,AT394
m1,d17,t11,AT395
m1,d17,t12,AT396
m1,d17,t13,AT397
m1,d17,t14,AT398
m1,d17,t15,AT399
m1,d17,t16,AT400
m1,d17,t17,AT401
m1,d17,t18,AT402
m1,d17,t19,AT403
m1,d17,t20,AT404
m1,d17,t21,AT405
m1,d17,t22,AT406
m1,d17,t23,AT407
m1,d17,t24,AT408
m1,d18,t1,AT409
m1,d18,t2,AT410
m1,d18,t3,AT411
m1,d18,t4,AT412
m1,d18,t5,AT413
m1,d18,t6,AT414
m1,d18,t7,AT415
m1,d18,t8,AT416
m1,d18,t9,AT417
m1,d18,t10,AT418
m1,d18,t11,AT419
m1,d18,t12,AT420
m1,d18,t13,AT421
m1,d18,t14,AT422
m1,d18,t15,AT423
m1,d18,t16,AT424
m1,d18,t17,AT425
m1,d18,t18,AT426
m1,d18,t19,AT427
m1,d18,t20,AT428
m1,d18,t21,AT429
m1,d18,t22,AT430
m1,d18,t23,AT431
m1,d18,t24,AT432
m1,d19,t1,AT433
m1,d19,t2,AT434
m1,d19,t3,AT435
m1,d19,t4,AT436
m1,d19,t5,AT437
m1,d19,t6,AT438
m1,d19,t7,AT439
m1,d19,t8,AT440
m1,d19,t9,AT441
m1,d19,t10,AT442
m1,d19,t11,AT443
m1,d19,t12,AT444
m1,d19,t13,AT445
m1,d19,t14,AT446
m1,d19,t15,AT447
m1,d19,t16,AT448
m1,d19,t17,AT449
m1,d19,t18,AT450
m1,d19,t19,AT451
m1,d19,t20,AT452
m1,d19,t21,AT453
m1,d19,t22,AT454
m1,d19,t23,AT455
m1,d19,t24,AT456
m1,d20,t1,AT457
m1,d20,t2,AT458
m1,d20,t3,AT459
m1,d20,t4,AT460
m1,d20,t5,AT461
m1,d20,t6,AT462
m1,d20,t7,AT463
m1,d20,t8,AT464
m1,d20,t9,AT465
m1,d20,t10,AT466
m1,d20,t11,AT467
m1,d20,t12,AT468
m1,d20,t13,AT469
m1,d20,t14,AT470
m1,d20,t15,AT471
m1,d20,t16,AT472
m1,d20,t17,AT473
m1,d20,t18,AT474
m1,d20,t19,AT475
m1,d20,t20,AT476
m1,d20,t21,AT477
m1,d20,t22,AT478
m1,d20,t23,AT479
m1,d20,t24,AT480
m1,d21,t1,AT481
m1,d21,t2,AT482
m1,d21,t3,AT483
m1,d21,t4,AT484
m1,d21,t5,AT485
m1,d21,t6,AT486
m1,d21,t7,AT487
m1,d21,t8,AT488
m1,d21,t9,AT489
m1,d21,t10,AT490
m1,d21,t11,AT491
m1,d21,t12,AT492
m1,d21,t13,AT493
m1,d21,t14,AT494
m1,d21,t15,AT495
m1,d21,t16,AT496
m1,d21,t17,AT497
m1,d21,t18,AT498
m1,d21,t19,AT499
m1,d21,t20,AT500
m1,d21,t21,AT501
m1,d21,t22,AT502
m1,d21,t23,AT503
m1,d21,t24,AT504
m1,d22,t1,AT505
m1,d22,t2,AT506
m1,d22,t3,AT507
m1,d22,t4,AT508
m1,d22,t5,AT509
m1,d22,t6,AT510
m1,d22,t7,AT511
m1,d22,t8,AT512
m1,d22,t9,AT513
m1,d22,t10,AT514
m1,d22,t11,AT515
m1,d22,t12,AT516
m1,d22,t13,AT517
m1,d22,t14,AT518
m1,d22,t15,AT519
m1,d22,t16,AT520
m1,d22,t17,AT521
m1,d22,t18,AT522
m1,d22,t19,AT523
m1,d22,t20,AT524
m1,d22,t21,AT525
m1,d22,t22,AT526
m1,d22,t23,AT527
m1,d22,t24,AT528
m1,d23,t1,AT529
m1,d23,t2,AT530
m1,d23,t3,AT531
m1,d23,t4,AT532
m1,d23,t5,AT533
m1,d23,t6,AT534
m1,d23,t7,AT535
m1,d23,t8,AT536
m1,d23,t9,AT537
m1,d23,t10,AT538
m1,d23,t11,AT539
m1,d23,t12,AT540
m1,d23,t13,AT541
m1,d23,t14,AT542
m1,d23,t15,AT543
m1,d23,t16,AT544
m1,d23,t17,AT545
m1,d23,t18,AT546
m1,d23,t19,AT547
m1,d23,t20,AT548
m1,d23,t21,AT549
m1,d23,t22,AT550
m1,d23,t23,AT551
m1,d23,t24,AT552
m1,d24,t1,AT553
m1,d24,t2,AT554
m1,d24,t3,AT555
m1,d24,t4,AT556
m1,d24,t5,AT557
m1,d24,t6,AT558
m1,d24,t7,AT559
m1,d24,t8,AT560
m1,d24,t9,AT561
m1,d24,t10,AT562
m1,d24,t11,AT563
m1,d24,t12,AT564
m1,d24,t13,AT565
m1,d24,t14,AT566
m1,d24,t15,AT567
m1,d24,t16,AT568
m1,d24,t17,AT569
m1,d24,t18,AT570
m1,d24,t19,AT571
m1,d24,t20,AT572
m1,d24,t21,AT573
m1,d24,t22,AT574
m1,d24,t23,AT575
m1,d24,t24,AT576
m1,d25,t1,AT577
m1,d25,t2,AT578
m1,d25,t3,AT579
m1,d25,t4,AT580
m1,d25,t5,AT581
m1,d25,t6,AT582
m1,d25,t7,AT583
m1,d25,t8,AT584
m1,d25,t9,AT585
m1,d25,t10,AT586
m1,d25,t11,AT587
m1,d25,t12,AT588
m1,d25,t13,AT589
m1,d25,t14,AT590
m1,d25,t15,AT591
m1,d25,t16,AT592
m1,d25,t17,AT593
m1,d25,t18,AT594
m1,d25,t19,AT595
m1,d25,t20,AT596
m1,d25,t21,AT597
m1,d25,t22,AT598
m1,d25,t23,AT599
m1,d25,t24,AT600
m1,d26,t1,AT601
m1,d26,t2,AT602
m1,d26,t3,AT603
m1,d26,t4,AT604
m1,d26,t5,AT605
m1,d26,t6,AT606
m1,d26,t7,AT607
m1,d26,t8,AT608
m1,d26,t9,AT609
m1,d26,t10,AT610
m1,d26,t11,AT611
m1,d26,t12,AT612
m1,d26,t13,AT613
m1,d26,t14,AT614
m1,d26,t15,AT615
m1,d26,t16,AT616
m1,d26,t17,AT617
m1,d26,t18,AT618
m1,d26,t19,AT619
m1,d26,t20,AT620
m1,d26,t21,AT621
m1,d26,t22,AT622
m1,d26,t23,AT623
m1,d26,t24,AT624
m1,d27,t1,AT625
m1,d27,t2,AT626
m1,d27,t3,AT627
m1,d27,t4,AT628
m1,d27,t5,AT629
m1,d27,t6,AT630
m1,d27,t7,AT631
m1,d27,t8,AT632
m1,d27,t9,AT633
m1,d27,t10,AT634
m1,d27,t11,AT635
m1,d27,t12,AT636
m1,d27,t13,AT637
m1,d27,t14,AT638
m1,d27,t15,AT639
m1,d27,t16,AT640
m1,d27,t17,AT641
m1,d27,t18,AT642
m1,d27,t19,AT643
m1,d27,t20,AT644
m1,d27,t21,AT645
m1,d27,t22,AT646
m1,d27,t23,AT647
m1,d27,t24,AT648
m1,d28,t1,AT649
m1,d28,t2,AT650
m1,d28,t3,AT651
m1,d28,t4,AT652
m1,d28,t5,AT653
m1,d28,t6,AT654
m1,d28,t7,AT655
m1,d28,t8,AT656
m1,d28,t9,AT657
m1,d28,t10,AT658
m1,d28,t11,AT659
m1,d28,t12,AT660
m1,d28,t13,AT661
m1,d28,t14,AT662
m1,d28,t15,AT663
m1,d28,t16,AT664
m1,d28,t17,AT665
m1,d28,t18,AT666
m1,d28,t19,AT667
m1,d28,t20,AT668
m1,d28,t21,AT669
m1,d28,t22,AT670
m1,d28,t23,AT671
m1,d28,t24,AT672
m1,d29,t1,AT673
m1,d29,t2,AT674
m1,d29,t3,AT675
m1,d29,t4,AT676
m1,d29,t5,AT677
m1,d29,t6,AT678
m1,d29,t7,AT679
m1,d29,t8,AT680
m1,d29,t9,AT681
m1,d29,t10,AT682
m1,d29,t11,AT683
m1,d29,t12,AT684
m1,d29,t13,AT685
m1,d29,t14,AT686
m1,d29,t15,AT687
m1,d29,t16,AT688
m1,d29,t17,AT689
m1,d29,t18,AT690
m1,d29,t19,AT691
m1,d29,t20,AT692
m1,d29,t21,AT693
m1,d29,t22,AT694
m1,d29,t23,AT695
m1,d29,t24,AT696
m1,d30,t1,AT697
m1,d30,t2,AT698
m1,d30,t3,AT699
m1,d30,t4,AT700
m1,d30,t5,AT701
m1,d30,t6,AT702
m1,d30,t7,AT703
m1,d30,t8,AT704
m1,d30,t9,AT705
m1,d30,t10,AT706
m1,d30,t11,AT707
m1,d30,t12,AT708
m1,d30,t13,AT709
m1,d30,t14,AT710
m1,d30,t15,AT711
m1,d30,t16,AT712
m1,d30,t17,AT713
m1,d30,t18,AT714
m1,d30,t19,AT715
m1,d30,t20,AT716
m1,d30,t21,AT717
m1,d30,t22,AT718
m1,d30,t23,AT719
m1,d30,t24,AT720
m1,d31,t1,AT721
m1,d31,t2,AT722
m1,d31,t3,AT723
m1,d31,t4,AT724
m1,d31,t5,AT725
m1,d31,t6,AT726
m1,d31,t7,AT727
m1,d31,t8,AT728
m1,d31,t9,AT729
m1,d31,t10,AT730
m1,d31,t11,AT731
m1,d31,t12,AT732
m1,d31,t13,AT733
m1,d31,t14,AT734
m1,d31,t15,AT735
m1,d31,t16,AT736
m1,d31,t17,AT737
m1,d31,t18,AT738
m1,d31,t19,AT739
m1,d31,t20,AT740
m1,d31,t21,AT741
m1,d31,t22,AT742
m1,d31,t23,AT743
m1,d31,t24,AT744
m2,d1,t1,AT745
m2,d1,t2,AT746
m2,d1,t3,AT747
m2,d1,t4,AT748
m2,d1,t5,AT749
m2,d1,t6,AT750
m2,d1,t7,AT751
m2,d1,t8,AT752
m2,d1,t9,AT753
m2,d1,t10,AT754
m2,d1,t11,AT755
m2,d1,t12,AT756
m2,d1,t13,AT757
m2,d1,t14,AT758
m2,d1,t15,AT759
m2,d1,t16,AT760
m2,d1,t17,AT761
m2,d1,t18,AT762
m2,d1,t19,AT763
m2,d1,t20,AT764
m2,d1,t21,AT765
m2,d1,t22,AT766
m2,d1,t23,AT767
m2,d1,t24,AT768
m2,d2,t1,AT769
m2,d2,t2,AT770
m2,d2,t3,AT771
m2,d2,t4,AT772
m2,d2,t5,AT773
m2,d2,t6,AT774
m2,d2,t7,AT775
m2,d2,t8,AT776
m2,d2,t9,AT777
m2,d2,t10,AT778
m2,d2,t11,AT779
m2,d2,t12,AT780
m2,d2,t13,AT781
m2,d2,t14,AT782
m2,d2,t15,AT783
m2,d2,t16,AT784
m2,d2,t17,AT785
m2,d2,t18,AT786
m2,d2,t19,AT787
m2,d2,t20,AT788
m2,d2,t21,AT789
m2,d2,t22,AT790
m2,d2,t23,AT791
m2,d2,t24,AT792
m2,d3,t1,AT793
m2,d3,t2,AT794
m2,d3,t3,AT795
m2,d3,t4,AT796
m2,d3,t5,AT797
m2,d3,t6,AT798
m2,d3,t7,AT799
m2,d3,t8,AT800
m2,d3,t9,AT801
m2,d3,t10,AT802
m2,d3,t11,AT803
m2,d3,t12,AT804
m2,d3,t13,AT805
m2,d3,t14,AT806
m2,d3,t15,AT807
m2,d3,t16,AT808
m2,d3,t17,AT809
m2,d3,t18,AT810
m2,d3,t19,AT811
m2,d3,t20,AT812
m2,d3,t21,AT813
m2,d3,t22,AT814
m2,d3,t23,AT815
m2,d3,t24,AT816
m2,d4,t1,AT817
m2,d4,t2,AT818
m2,d4,t3,AT819
m2,d4,t4,AT820
m2,d4,t5,AT821
m2,d4,t6,AT822
m2,d4,t7,AT823
m2,d4,t8,AT824
m2,d4,t9,AT825
m2,d4,t10,AT826
m2,d4,t11,AT827
m2,d4,t12,AT828
m2,d4,t13,AT829
m2,d4,t14,AT830
m2,d4,t15,AT831
m2,d4,t16,AT832
m2,d4,t17,AT833
m2,d4,t18,AT834
m2,d4,t19,AT835
m2,d4,t20,AT836
m2,d4,t21,AT837
m2,d4,t22,AT838
m2,d4,t23,AT839
m2,d4,t24,AT840
m2,d5,t1,AT841
m2,d5,t2,AT842
m2,d5,t3,AT843
m2,d5,t4,AT844
m2,d5,t5,AT845
m2,d5,t6,AT846
m2,d5,t7,AT847
m2,d5,t8,AT848
m2,d5,t9,AT849
m2,d5,t10,AT850
m2,d5,t11,AT851
m2,d5,t12,AT852
m2,d5,t13,AT853
m2,d5,t14,AT854
m2,d5,t15,AT855
m2,d5,t16,AT856
m2,d5,t17,AT857
m2,d5,t18,AT858
m2,d5,t19,AT859
m2,d5,t20,AT860
m2,d5,t21,AT861
m2,d5,t22,AT862
m2,d5,t23,AT863
m2,d5,t24,AT864
m2,d6,t1,AT865
m2,d6,t2,AT866
m2,d6,t3,AT867
m2,d6,t4,AT868
m2,d6,t5,AT869
m2,d6,t6,AT870
m2,d6,t7,AT871
m2,d6,t8,AT872
m2,d6,t9,AT873
m2,d6,t10,AT874
m2,d6,t11,AT875
m2,d6,t12,AT876
m2,d6,t13,AT877
m2,d6,t14,AT878
m2,d6,t15,AT879
m2,d6,t16,AT880
m2,d6,t17,AT881
m2,d6,t18,AT882
m2,d6,t19,AT883
m2,d6,t20,AT884
m2,d6,t21,AT885
m2,d6,t22,AT886
m2,d6,t23,AT887
m2,d6,t24,AT888
m2,d7,t1,AT889
m2,d7,t2,AT890
m2,d7,t3,AT891
m2,d7,t4,AT892
m2,d7,t5,AT893
m2,d7,t6,AT894
m2,d7,t7,AT895
m2,d7,t8,AT896
m2,d7,t9,AT897
m2,d7,t10,AT898
m2,d7,t11,AT899
m2,d7,t12,AT900
m2,d7,t13,AT901
m2,d7,t14,AT902
m2,d7,t15,AT903
m2,d7,t16,AT904
m2,d7,t17,AT905
m2,d7,t18,AT906
m2,d7,t19,AT907
m2,d7,t20,AT908
m2,d7,t21,AT909
m2,d7,t22,AT910
m2,d7,t23,AT911
m2,d7,t24,AT912
m2,d8,t1,AT913
m2,d8,t2,AT914
m2,d8,t3,AT915
m2,d8,t4,AT916
m2,d8,t5,AT917
m2,d8,t6,AT918
m2,d8,t7,AT919
m2,d8,t8,AT920
m2,d8,t9,AT921
m2,d8,t10,AT922
m2,d8,t11,AT923
m2,d8,t12,AT924
m2,d8,t13,AT925
m2,d8,t14,AT926
m2,d8,t15,AT927
m2,d8,t16,AT928
m2,d8,t17,AT929
m2,d8,t18,AT930
m2,d8,t19,AT931
m2,d8,t20,AT932
m2,d8,t21,AT933
m2,d8,t22,AT934
m2,d8,t23,AT935
m2,d8,t24,AT936
m2,d9,t1,AT937
m2,d9,t2,AT938
m2,d9,t3,AT939
m2,d9,t4,AT940
m2,d9,t5,AT941
m2,d9,t6,AT942
m2,d9,t7,AT943
m2,d9,t8,AT944
m2,d9,t9,AT945
m2,d9,t10,AT946
m2,d9,t11,AT947
m2,d9,t12,AT948
m2,d9,t13,AT949
m2,d9,t14,AT950
m2,d9,t15,AT951
m2,d9,t16,AT952
m2,d9,t17,AT953
m2,d9,t18,AT954
m2,d9,t19,AT955
m2,d9,t20,AT956
m2,d9,t21,AT957
m2,d9,t22,AT958
m2,d9,t23,AT959
m2,d9,t24,AT960
m2,d10,t1,AT961
m2,d10,t2,AT962
m2,d10,t3,AT963
m2,d10,t4,AT964
m2,d10,t5,AT965
m2,d10,t6,AT966
m2,d10,t7,AT967
m2,d10,t8,AT968
m2,d10,t9,AT969
m2,d10,t10,AT970
m2,d10,t11,AT971
m2,d10,t12,AT972
m2,d10,t13,AT973
m2,d10,t14,AT974
m2,d10,t15,AT975
m2,d10,t16,AT976
m2,d10,t17,AT977
m2,d10,t18,AT978
m2,d10,t19,AT979
m2,d10,t20,AT980
m2,d10,t21,AT981
m2,d10,t22,AT982
m2,d10,t23,AT983
m2,d10,t24,AT984
m2,d11,t1,AT985
m2,d11,t2,AT986
m2,d11,t3,AT987
m2,d11,t4,AT988
m2,d11,t5,AT989
m2,d11,t6,AT990
m2,d11,t7,AT991
m2,d11,t8,AT992
m2,d11,t9,AT993
m2,d11,t10,AT994
m2,d11,t11,AT995
m2,d11,t12,AT996
m2,d11,t13,AT997
m2,d11,t14,AT998
m2,d11,t15,AT999
m2,d11,t16,AT1000
m2,d11,t17,AT1001
m2,d11,t18,AT1002
m2,d11,t19,AT1003
m2,d11,t20,AT1004
m2,d11,t21,AT1005
m2,d11,t22,AT1006
m2,d11,t23,AT1007
m2,d11,t24,AT1008
m2,d12,t1,AT1009
m2,d12,t2,AT1010
m2,d12,t3,AT1011
m2,d12,t4,AT1012
m2,d12,t5,AT1013
m2,d12,t6,AT1014
m2,d12,t7,AT1015
m2,d12,t8,AT1016
m2,d12,t9,AT1017
m2,d12,t10,AT1018
m2,d12,t11,AT1019
m2,d12,t12,AT1020
m2,d12,t13,AT1021
m2,d12,t14,AT1022
m2,d12,t15,AT1023
m2,d12,t16,AT1024
m2,d12,t17,AT1025
m2,d12,t18,AT1026
m2,d12,t19,AT1027
m2,d12,t20,AT1028
m2,d12,t21,AT1029
m2,d12,t22,AT1030
m2,d12,t23,AT1031
m2,d12,t24,AT1032
m2,d13,t1,AT1033
m2,d13,t2,AT1034
m2,d13,t3,AT1035
m2,d13,t4,AT1036
m2,d13,t5,AT1037
m2,d13,t6,AT1038
m2,d13,t7,AT1039
m2,d13,t8,AT1040
m2,d13,t9,AT1041
m2,d13,t10,AT1042
m2,d13,t11,AT1043
m2,d13,t12,AT1044
m2,d13,t13,AT1045
m2,d13,t14,AT1046
m2,d13,t15,AT1047
m2,d13,t16,AT1048
m2,d13,t17,AT1049
m2,d13,t18,AT1050
m2,d13,t19,AT1051
m2,d13,t20,AT1052
m2,d13,t21,AT1053
m2,d13,t22,AT1054
m2,d13,t23,AT1055
m2,d13,t24,AT1056
m2,d14,t1,AT1057
m2,d14,t2,AT1058
m2,d14,t3,AT1059
m2,d14,t4,AT1060
m2,d14,t5,AT1061
m2,d14,t6,AT1062
m2,d14,t7,AT1063
m2,d14,t8,AT1064
m2,d14,t9,AT1065
m2,d14,t10,AT1066
m2,d14,t11,AT1067
m2,d14,t12,AT1068
m2,d14,t13,AT1069
